date,factor,explanation,updated_time,news_count
2022-11-03,0.9,財報三率三升與全年獲利挑戰新高激勵市場信心，展望樂觀且多元化產品組合助攻營收成長。,2025-08-03 18:15:07,20
2022-11-11,0.7,在新處理器平台推出與急單挹注下，第四季筆電出貨量可望持平上季，但價格壓力仍存，整體營運展望中性偏正面。,2025-08-03 18:15:09,20
2023-01-05,0.7,多元產品組合與非 PC 領域成長動能強勁有助穩定營收表現，但經濟前景不明仍是市場關注焦點。,2025-08-03 18:15:10,20
2023-02-06,0.6,營收表現符合預期但工作天數減少影響月增率，展望樂觀的全年成長前景與多元產品組合優化支撐市場信心。,2025-08-03 18:15:12,20
2023-03-08,0.7,財報亮眼、獲利創高且股利政策利多激勵市場情緒，但營收年減與第一季展望保守仍帶來一定壓力。,2025-08-03 18:15:14,20
2023-03-16,0.7,中國通路事業受惠疫情解封與人流回溫，搭配去年不利因素排除，營運展望樂觀，激勵市場對未來獲利成長的正向期待。,2025-08-03 18:15:15,20
2023-03-20,0.3,市場追價意願不足與外資賣超金控族群壓抑盤勢，但半導體與太陽能類股獲得法人青睞，整體市場情緒偏向中性。,2025-08-03 18:15:17,20
2023-03-22,0.6,基本面穩健且成長前景可期，惟短期盤勢波動加劇將壓抑股價表現空間。,2025-08-03 18:15:19,20
2023-03-27,0.4,電子權值股普遍走跌拖累大盤，僅少數個股抗跌，市場情緒偏向保守。,2025-08-03 18:15:20,20
2023-04-06,0.6,淡季營收衰退與庫存去化壓力仍在，但AI影像產品表現亮眼且泰國產能優勢有助後續成長，市場對群光中長期展望維持正向。,2025-08-03 18:15:22,20
2023-04-19,0.6,基本面展望正向且產業前景樂觀，股價有機會在低估水準下反彈，但需留意整體市場氛圍與投資人信心。,2025-08-03 18:15:23,20
2023-05-09,0.4,"法說展望保守與營收下修壓力仍在，短期市場情緒偏向中性，等待第二季旺季效應確認。

====================

0.6
AI 影像產品表現穩健，但整體需求不明朗、庫存調整延續影響營運展望，市場對群光股價維持謹慎態度。",2025-08-03 18:15:26,20
2023-05-10,0.6,第一季財報優於預期且第二季展望樂觀，營收與獲利成長動能強勁帶動正面市場情緒。,2025-08-03 18:15:27,20
2023-05-30,0.6,得標地上權案坐落於高鐵站前精華角地，預計開發總量體龐大，有利企業總部進駐，搭配軌道經濟題材，中長期營運發展潛力可期。,2025-08-03 18:15:29,20
2023-06-01,0.7,00919 配息率亮眼且持續調整成分股以維持高股息特性，激勵市場對 ETF 未來表現的正面期待。,2025-08-03 18:15:31,20
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示部分業務動能，惟經濟前景不明及伺服器電源成長趨緩壓抑市場信心。,2025-08-03 18:15:32,20
2023-06-06,0.9,營收回升、獲利展望樂觀與股利政策優渥激勵市場信心，AI商機與多角化佈局為未來成長注入動能。,2025-08-03 18:15:34,20
2023-06-17,0.3,營收與獲利衰退及第三季展望保守壓抑短期市場信心，但AI影像產品成長動能提振部分正面期待。,2025-08-03 18:15:35,20
2023-07-27,0.6,面板雙虎獲外資大買且台指期淨多單增加，顯示市場對相關個股展望樂觀，但投信持續賣超部分電子股與傳產股，整體而言中性偏正面。,2025-08-03 18:15:37,20
2023-12-06,0.3,營收與需求展望維持穩定但低於預期，短期市場情緒偏向中性。,2025-08-03 18:15:38,20
2023-12-14,0.6,聯準會放鴿，熱錢湧入市場，帶動台股大漲，指數創 22 個月高點，三大法人合計買超 340.58 億元。權值股表現亮眼，台積電除息後秒填息；聯發科再創波段新高，大立光強彈 6%。熱門個股英業達、矽統等漲停，嘉澤衝上千元大關，12 家千金股誕生。資金行情啟動，本土法人年終作帳，指數維持高檔震盪。,2025-08-03 18:15:43,20
2023-12-26,0.7,電子權值股普遍上漲，面板雙虎領軍強勢表現，加上 AI PC 概念題材助攻，整體電子類股氣氛樂觀。,2025-08-03 18:15:45,20
2023-12-27,0.6,內資主導行情，AI PC 產業與半導體供應鏈受青睞，群光等相關個股有望延續漲勢。,2025-08-03 18:15:46,20
2023-12-28,0.6,00930 結合 ESG、低碳、高股息的特色，搭配月月配息機制，吸引市場關注。成分股多為科技產業龍頭，展望明年電子產業景氣向上，有利獲利成長及本益比提升，但仍需留意個別股票表現與填息能力。整體而言，00930 的投資組合具備一定的成長潛力，但也存在波動風險，建議審慎評估並獨立判斷。,2025-08-03 18:15:50,20
2023-12-30,0.7,AI PC 換機潮題材與中國市場回溫帶動營運成長，激勵正面市場情緒。,2025-08-03 18:15:52,20
2024-01-03,0.4,電子類股普遍走跌，AI 概念族群表現疲弱，但部分個股如廣達、健鼎等力守紅盤，群光午前也維持小幅上揚，顯示市場情緒仍有支撐。,2025-08-03 18:15:53,20
2024-01-04,0.6,群光營收雙減與全年衰退15%反映需求疲軟，但2024年展望樂觀，三事業同步成長，有利於激勵市場信心。,2025-08-03 18:15:56,20
2024-01-05,0.3,市場觀望氣氛濃厚，選前政策作多力道不足，加上外資持續賣超權值股，拖累大盤走勢。,2025-08-03 18:15:58,20
2024-01-09,0.3,電子權值股與AI概念股撐盤，貨櫃三雄及傳產股走弱，市場情緒偏向中性。,2025-08-03 18:15:59,20
2024-01-16,0.3,外資及投信同步買超群創等個股，顯示市場對面板產業展望仍有期待，但金控股遭大舉賣超引發疑慮，整體而言市場情緒偏向中性。,2025-08-03 18:16:01,20
2024-01-23,0.6,面板族群買盤挹注股價表現，外資與投信同步加碼群創等個股，激勵市場情緒但整體漲勢受大盤影響而溫和。,2025-08-03 18:16:03,20
2024-01-29,0.9,AI 概念股強勢上漲帶動 ETF 成分股表現，中小型股波動大但長期報酬潛力佳，建議採取定期定額加碼策略。,2025-08-03 18:16:05,20
2024-02-06,0.9,AI PC 換機需求釋出利多，搭配傳統淡季後的旺季來臨，市場對群光未來業績展望樂觀，激勵正面情緒與股價上漲動能。,2025-08-03 18:16:06,20
2024-03-04,0.9,電子權值股與族群齊揚，市場情緒樂觀，多頭行情延續。,2025-08-03 18:16:08,20
2024-03-05,0.6,群光受惠 PC 市場回溫、Windows 作業系統升級及 AI PC 潛力，營收與獲利成長可期，技術面股價站上所有短中長期均線，市場情緒正面但仍需留意後續動能。,2025-08-03 18:16:10,20
2024-03-06,0.6,2 月營收年增且前 2 月營收創同期第三高，顯示基本面穩健，但農曆年工作天數減少影響單月表現，使市場情緒溫和偏多但不過度樂觀。,2025-08-03 18:16:12,20
2024-03-07,0.6,台股再創新高，多頭格局不變，但個別股票漲跌互見，市場聚焦在 00939、00940 兩檔新募集月月配 ETF，兩檔將為台股注入千億資金，加上未來內資作帳行情啟動，及融券強制回補潮下，指數創高同時，多頭格局不變。,2025-08-03 18:16:15,20
2024-03-08,0.3,新 ETF 募集破千億資金，大量短線資金正在大吃豆腐、宰肥羊。高股息成分股的助漲買盤，市場本就積累已久，但在近期，尤其 3/7、3/8 達到高峰，為什麼呢？金融市場，唯利是圖！00939、00940 兩檔 ETF 正在募資，00939 募破 500 億，00940 下週開幕，元大目標至少 600 億，合計突破千億的潛在買盤，要在月底 ETF 上市後，買入成分股。,2025-08-03 18:16:20,20
2024-03-09,0.9,獲利穩健與展望樂觀激勵市場情緒，內資買超推動股價強勢上漲。,2025-08-03 18:16:21,20
2024-03-10,0.4,市場對群光的整體看法偏向中性，雖然公司基本面表現穩健，但大盤結構不佳、個股漲多回檔，以及外在環境變數仍存，使得短期內市場情緒維持平穩。,2025-08-03 18:16:23,20
2024-03-11,0.6,群光受惠投信認養與股息題材，市場情緒偏正面，但整體行情仍需觀察大盤表現及個股基本面。,2025-08-03 18:16:25,20
2024-03-12,0.7,三大法人同步買超激勵市場情緒，外資與投信加碼鴻海等權值股帶動指數上漲。,2025-08-03 18:16:27,20
2024-03-13,0.9,財報亮眼且展望樂觀，去年創高紀錄並預期今年營收與獲利再成長，激勵市場對公司基本面前景的正向期待。,2025-08-03 18:16:28,20
2024-03-14,0.3,外資換股操作明顯，調節高股息 ETF 及部分漲多個股，市場信心略受影響。,2025-08-03 18:16:32,20
