date,factor,explanation,updated_time,news_count
2022-11-02,0.6,權值股拉抬助攻下，多頭信心回溫，市場情緒偏正面。,2025-08-03 19:52:16,20
2022-11-03,0.3,英業達等電子股在市場信心不足下走跌，但緯穎創高及傳產族群個別表現支撐大盤，整體市場情緒偏向保守。,2025-08-03 19:52:18,20
2022-11-06,0.3,多家重量級公司財報與展望將公布，市場關注營收表現與後續走勢，但整體展望仍偏向保守，預期短期股價波動加劇。,2025-08-03 19:52:19,20
2022-11-07,0.5,營收表現仍維持成長但出貨下滑與第四季展望保守使市場情緒偏向中性。,2025-08-03 19:52:21,20
2022-11-10,0.6,外資賣超前十名個股中，電子與傳產各半，但買超貨櫃三雄顯示對運輸類股的青睞。整體而言，市場情緒仍有所支撐，維持溫和上漲態勢。,2025-08-03 19:52:23,20
2022-11-11,0.6,財報表現符合預期且第四季展望中性，市場對營運前景仍有期待。,2025-08-03 19:52:24,20
2022-11-14,0.9,權值股領軍衝鋒、多檔個股強勢表現推升指數大漲，市場情緒樂觀。,2025-08-03 19:52:26,20
2022-11-17,0.6,美中晶片戰促使股神巴菲特首度大舉買進台積電，顯示其在半導體產業的重要性與競爭優勢，激勵相關概念股表現，但整體市場情緒仍受總體經濟影響而維持溫和偏多。,2025-08-03 19:52:28,20
2022-11-21,0.5,台泥企業積極推動綠色轉型，達和航運也加入節能減碳行列，新造船預計 2025 年首季交付，展望未來營運效率提升。三大法人同步賣超台股，外資調節航運、鴻海等個股，但偏好金控股，整體市場情緒維持中性。,2025-08-03 19:52:31,20
2022-11-22,0.5,台積電領漲帶動指數挑戰半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-03 19:52:33,20
2022-11-23,0.6,美中科技戰促使台廠伺服器製造分散布局，主要廠商在中國以外地區產能將提升至 5 成以上，有助於降低地緣政治風險帶來的營運衝擊。,2025-08-03 19:52:35,20
2022-11-25,0.6,生技族群成交值頻創高但電子股缺乏明確上漲動能，市場資金輪動恐影響多方行情延續。,2025-08-03 19:52:37,20
2022-11-28,0.3,外資賣超金額縮小且買超個股包含英業達等，顯示市場情緒略有改善，但整體仍處於修正階段。,2025-08-03 19:52:39,20
2022-11-29,0.3,三大法人買超帶動市場情緒，外資偏多操作金融與電子權值股，但個別股票表現分歧。,2025-08-03 19:52:40,20
2022-11-30,0.6,亞馬遜雲端事業部 AWS 增聘員工、建置資料中心計畫帶動伺服器需求成長，台廠供應鏈如鴻海、英業達等可望受惠，但整體市場展望仍偏向中性。,2025-08-03 19:52:42,20
2022-12-07,0.6,英業達在電子紙產品與醫療應用領域的創新發展，展現轉型契機並強化市場競爭力，但整體產業前景仍有不確定性影響短期股價表現。,2025-08-03 19:52:44,20
2022-12-08,0.6,雲端資料中心需求穩健與美系廠商拿下國防合約帶動台廠供應鏈營運成長，但英業達 11 月營收月減及筆電出貨疲弱影響短期市場信心。,2025-08-03 19:52:46,20
