date,factor,explanation,updated_time,news_count
2022-11-01,0.6,富士康鄭州廠事件引發市場擔憂，但台積電、聯發科等權值股穩盤，加上金融股助攻，指數站回萬三關卡。展望後市，需留意 Fed 利率決策結果對市場的影響。,2025-08-03 20:15:30,20
2022-11-02,0.6,鴻海調整返鄉離職員工政策，可能出現返鄉高峰，但中國鄭州航空港區實行 7 天全域靜態管理，引發市場擔憂，對公司營運造成壓力。,2025-08-03 20:15:33,20
2022-11-03,0.3,雖然美光新製程量產利多，但市場仍擔憂中國鄭州航空港區靜態管理影響鴻海營運，且聯準會鷹派言論引發股匯市動盪，台積電領跌，金融、傳產也表現疲弱，大盤失守月線。,2025-08-03 20:15:36,20
2022-11-04,0.6,電子權值股跌幅縮小、傳產族群領漲及集團作帳行情發酵，多空勢力在萬三關卡上演攻防戰，市場情緒呈現溫和偏多。,2025-08-03 20:15:40,20
2022-11-05,0.6,市場對科技類股的擔憂減緩，非科技中小型股展望樂觀，多頭信心回溫但仍需留意震盪整理。,2025-08-03 20:15:42,20
2022-11-06,0.5,多家大廠法說會及營收公布將引發市場關注，整體而言財報展望與產業前景仍有不確定性，短期內對股價影響有限。,2025-08-03 20:15:43,20
2022-11-07,0.6,雖然營收表現亮眼但鄭州疫情影響產能與下修第四季展望的利空消息衝擊市場信心，短期內多空勢力拉鋸使股價波動加劇。,2025-08-03 20:15:46,20
2022-11-08,0.6,營收表現與展望調整引發市場擔憂，惟面板報價上漲、股王財報亮眼等利多因素抵銷部分負面影響，整體市場情緒偏向中性。,2025-08-03 20:15:49,20
2022-11-09,0.7,鄭州廠區解封、營收報喜與利空出盡帶動科技股強勢反彈，市場信心回升，預期短線將延續正面氛圍。,2025-08-03 20:15:53,20
2022-11-12,0.7,鴻海與 PTT 合資的電動車廠奠基動土，展現集團在東協市場佈局決心，有利長期發展，但短期營運效益有限。,2025-08-03 20:16:21,20
2022-11-13,0.6,B20 峰會與郭台銘發文支持高虹安等事件為鴻海帶來正面曝光，但缺乏直接利多訊息使市場情緒維持溫和樂觀。,2025-08-03 20:16:23,20
2022-11-14,0.6,鴻海董事長出席 B20 峰會並發表演說，展現積極參與國際事務的決心，有助提升公司形象，但短期內對股價影響有限。,2025-08-03 20:16:26,20
2022-11-15,0.6,外資連三日買超台積電並大舉買超聯電等晶圓雙雄，顯示半導體產業前景樂觀，激勵市場情緒走揚。,2025-08-03 20:16:29,20
2022-11-16,0.6,鴻海集團電動車布局受惠，坦德科技成為 Model B 車燈供應商，有助明年營運增長，但整體市場情緒仍受到大盤影響而維持中性。,2025-08-03 20:16:31,20
2022-11-17,0.6,台版晶片法案通過激勵半導體族群，但電子權值股表現分歧，傳產與電子權值股維持平穩，市場情緒偏向正面但不過度樂觀。,2025-08-03 20:16:34,20
2022-11-18,0.3,鴻海招工報名人數超過預期，減緩生產壓力，但台股震盪整理，電子權值股漲多拉回，市場風險意識升溫。,2025-08-03 20:16:38,20
2022-11-19,0.6,整體經濟穩定與產業轉單帶動台廠受惠，市場情緒偏正面，但個股漲多拉回壓力仍在。,2025-08-03 20:16:41,20
2022-11-20,0.6,鴻海第三季財報亮眼且電動車計畫進展順利，激勵市場對未來成長前景的信心，但鄭州廠區受疫情影響及太原園區靜默管理仍帶來一定程度的不確定性，整體市場情緒呈現溫和偏多。,2025-08-03 20:16:43,20
2022-11-21,0.5,外資調節航運與鴻海，金融股獲青睞，三大法人賣超 42 億元，台股承壓但未破底。,2025-08-03 20:16:47,20
