date,factor,explanation,updated_time,news_count
2022-11-01,0.7,電子與金融股領漲帶動大盤上揚，光寶科等個股表現強勁，但部分傳產與代工族群相對疲弱。整體而言市場情緒偏正面但仍有不確定性。,2025-08-04 11:32:58,20
2022-11-07,0.6,營收年增與三大業務穩健成長顯示公司基本面良好，但終端需求放緩壓力仍在，市場情緒偏向正面但不確定性存在。,2025-08-04 11:33:00,20
2022-11-14,0.7,全球產能佈局與新廠啟用有利於降低生產風險並拓展市場版圖，搭配強勁的成長動能，正面因素超越潛在的中美貿易變數影響。,2025-08-04 11:33:01,20
2022-11-17,0.7,充電樁商機帶動相關台廠成長，光寶科受惠於電動車與資料中心雙引擎，營收與獲利可望再創新高。,2025-08-04 11:33:02,20
2022-11-18,0.7,獲獎肯定反映公司在環境、社會與治理面向的積極作為，提升市場對其永續經營能力的信心。,2025-08-04 11:33:04,20
2022-11-22,0.7,市場情緒偏正面，但電子股漲多拉回壓抑整體漲幅，金融與傳產類股表現相對強勢。,2025-08-04 11:33:06,20
2022-11-23,0.5,外資連兩日買超且加碼金融族群與航空雙雄，投信也轉為買超，顯示市場情緒偏正面，但個股表現分歧。,2025-08-04 11:33:07,20
2022-11-25,0.3,市場情緒中性，指數小跌但個股表現分歧，電子族群疲軟、傳產股強勢。,2025-08-04 11:33:09,20
2022-11-28,0.5,市場情緒維持中性，雖有部分個股獲青睞但整體成交量萎縮及三大法人同步賣超壓抑漲跌幅。,2025-08-04 11:33:10,20
2022-11-30,0.6,市場信心回溫帶動指數上漲，但個股表現分歧，部分權值股買盤力道不足。,2025-08-04 11:33:12,20
2022-12-02,0.5,富時羅素調整成分股名單，光寶科等列候補名單，市場反應平穩。,2025-08-04 11:33:13,20
