date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子與金融股領軍上攻，搭配新藥題材帶動生技股強勢表現，整體市場情緒偏正面，但成交量能不足且個別族群表現分歧，預期短線漲多後將有震盪整理的可能性。,2025-08-04 01:01:24,20
2022-11-02,0.6,電子權值股走強與航運族群領漲帶動指數開低走高重返月線，但市場觀望美國聯準會利率決策，成交量仍偏低。,2025-08-04 01:01:25,20
2022-11-06,0.5,多家重量級公司財報與展望公布，市場關注度高，但整體營收獲利表現尚未完全明朗，預期短期內市場情緒維持中性。,2025-08-04 01:01:27,20
2022-11-08,0.7,多頭資金回流半導體與航運族群，權值股普遍走揚，市場情緒轉趨樂觀。,2025-08-04 01:01:28,20
2022-11-09,0.3,營收與出貨雙降，市場需求疲弱壓抑股價表現，但廣達仍看好非筆電應用動能延續，對第四季釋出正面展望。,2025-08-04 01:01:30,20
2022-11-10,0.3,電子權值股走弱拖累大盤，傳產股也有壓，但生技醫療族群強勢支撐市場情緒。,2025-08-04 01:01:31,20
2022-11-11,0.7,第三季財報優於預期且第四季展望中性，但整體營收與出貨仍面臨下滑壓力，市場情緒維持溫和樂觀。,2025-08-04 01:01:33,20
2022-11-14,0.7,台股在電子、傳產等權值帶動下持續上漲，外資大買 377 億元，三大法人合計買超 329 億元，顯示市場信心回穩。加權指數創近兩個月新高，但部分個股如聯發科、國巨、華碩遭調節，鋼鐵及航運則有補漲行情。電子族群普遍走揚，台積電、聯電等權值股表現亮眼，驅動 IC 族群也有望受惠於需求增加。整體而言，多頭格局仍在，但操作難度提高，投資人應留意個別股票的基本面和技術面。,2025-08-04 01:01:37,20
2022-11-15,0.7,產業交流與國際合作有助拓展未來成長動能，激勵正面市場情緒。,2025-08-04 01:01:38,20
2022-11-16,0.3,市場情緒中性，個股表現分歧，傳產與電子股同步走弱，生技族群則獲得資金避險。,2025-08-04 01:01:39,20
2022-11-17,0.7,行政院通過晶片法案激勵半導體族群，外資買超台積電、聯電等，但市場信心仍受消費性電子需求疲弱影響，整體量能不足以支撐強勁上攻力道。,2025-08-04 01:01:42,20
2022-11-18,0.5,市場情緒中性，指數上沖下洗，權值股普遍回檔但電子零星個股撐場，加上資金轉進觀光與生技族群支撐。,2025-08-04 01:01:44,20
2022-11-21,0.6,"電子權值股疲軟拖累大盤，但鋼鐵、汽車等傳產撐盤，加上遊戲、生醫中小型股表現強勁，市場情緒維持中性偏多。

廣達近期營運與獲利表現平穩，且在中國遊戲版號審批放寬及寒假旺季帶動下，相關個股走勢強勁，有助支撐市場信心。",2025-08-04 01:01:47,20
2022-11-23,0.7,受惠美中科技戰促使台廠分散生產布局，廣達等主要伺服器業者在中國以外地區產能將大幅提升，有利於拓展新市場並降低地緣政治風險。,2025-08-04 01:01:48,20
2022-11-24,0.9,市場買盤回籠，電子權值股與IC設計族群領軍上攻，加上航運股助攻，激勵台股大漲創逾2個月新高，三大法人合計買超243億元。,2025-08-04 01:01:50,20
2022-11-25,0.3,市場情緒受到電子權值股疲弱、外資賣超及期貨空單增加的影響而轉為中性，但半導體測試介面廠和電動車概念股表現強勁，抵銷部分負面因素。,2025-08-04 01:01:52,20
2022-11-29,0.6,Fed 言論及中國反封控抗議擴大影響美股重挫，台股震盪走低，但軍工、車電等族群強勢表現，電子權值股回穩，加上金融股撐盤，終場指數翻紅小漲。整體而言，市場情緒中性偏正面，預期短期內在消息釋放後將趨於平穩。,2025-08-04 01:01:56,20
2022-11-30,0.7,亞馬遜雲端事業部 AWS 持續擴張帶動供應鏈需求，市場情緒偏正面。,2025-08-04 01:01:57,20
2022-12-01,0.6,面板雙虎在醫療領域布局多年，展出智慧醫療應用並與醫院合作，顯示轉型成效，激勵市場對其長期發展的正面看法。,2025-08-04 01:01:59,20
2022-12-02,0.3,電子權值股普遍走跌拖累大盤，僅鴻家軍與缺電概念股逆勢上揚，市場情緒偏向保守。,2025-08-04 01:02:00,20
2022-12-05,0.7,電子權值股與中小型股齊揚帶動大盤突破萬五關卡，市場情緒偏正面，但台積電尾盤翻黑壓抑漲幅收斂。,2025-08-04 01:02:02,20
2022-12-06,0.6,英特爾執行長亞洲行將拜訪廣達等供應鏈夥伴，顯示雙方合作關係緊密，有利於公司營運表現。,2025-08-04 01:02:04,20
2022-12-07,0.6,英特爾執行長訪台與供應鏈夥伴會面，雲端資料中心需求仍然強勁，但大盤走跌影響廣達股價表現。,2025-08-04 01:02:06,20
2022-12-08,0.7,美系雲端大廠拿下國防雲端合約，台廠供應鏈可望雨露均霑，加上廣達等業者對明年伺服器需求維持樂觀展望。,2025-08-04 01:02:08,20
2022-12-09,0.3,營收表現持穩但筆電出貨動能放緩與全年衰退壓力使市場情緒偏向保守。,2025-08-04 01:02:10,20
2022-12-13,0.9,微軟與倫敦證券交易所達成長期合作協議，顯示雲端業務前景樂觀，帶動相關供應鏈股價上漲。,2025-08-04 01:02:11,20
2022-12-14,0.7,展望明年成長動能仍強且擴產計畫持續，搭配新產品與合作案挹注營運動能，整體市場情緒偏正面。,2025-08-04 01:02:12,20
2022-12-15,0.5,個股表現分歧，外資買超傳產與航運但賣超電子權值，投信偏好鋼鐵與航運，整體市場情緒中性。,2025-08-04 01:02:14,20
2022-12-19,0.6,伺服器供應鏈受惠於新平台換機潮，營收與獲利成長可期，但整體市場情緒仍偏中性。,2025-08-04 01:02:16,20
2022-12-21,0.7,伺服器市場穩健成長與北美需求強勁，預期可為廣達帶來正面營收貢獻，但明年景氣放緩恐抑制增速。,2025-08-04 01:02:38,20
2022-12-22,0.6,"市場需求穩健帶動伺服器出貨前景，但中低階手機銷售疲弱恐延後新品上市，整體消息面呈現正負交錯，對廣達股價波動影響有限。

====================",2025-08-04 01:02:40,20
2022-12-23,0.7,乾淨能源政策利多與蘋果新機上市題材激勵相關個股，惟整體市場信心仍受通膨及升息影響而偏向中性。,2025-08-04 01:02:42,20
2022-12-27,0.6,中國解封激勵權值股與觀光類股表現，但電子族群漲幅有限，整體市場情緒偏正面但仍須留意漲多個股的追高風險。,2025-08-04 01:02:44,20
2023-01-03,0.3,勞動基金收益數回升但整體表現仍虧損，展望未來雖維持正成長但市場仍有不確定性，中性看待。,2025-08-04 01:02:45,20
2023-01-05,0.6,市場情緒偏向正面，但整體漲跌幅有限。半導體族群受惠美股反彈而走強，金融與傳產類股也有所表現。但雲端資料中心需求放緩影響廣達等相關個股，拖累整體市場氣氛。,2025-08-04 01:02:48,20
2023-01-08,0.5,法說、尾牙等活動可能帶來展望訊息，但整體營收表現與市場需求前景仍是關鍵因素。,2025-08-04 01:02:49,20
2023-01-09,0.6,廣達去年營收創高但筆電出貨衰退，市場對其基本面看法分歧，導致市場情緒偏向中性。,2025-08-04 01:02:51,20
