date,factor,explanation,updated_time,news_count
2022-11-01,0.6,"市場情緒偏正面，半導體族群領軍上攻，但個股表現分歧，整體漲幅有限。生技醫療類股強勢表現帶動大盤向萬三靠攏。

====================

請注意以上分析僅供參考，不代表實際市場走勢，也不構成任何投資建議或邀約。",2025-08-04 10:32:23,20
2022-11-02,0.6,電子權值股走強與航運族群領漲帶動指數開低走高重返月線，但市場觀望美國聯準會利率決策，成交量仍偏低。,2025-08-04 10:32:24,20
2022-11-03,0.3,"台股下跌壓抑市場信心，雖有國際半導體產業協會成立氣候聯盟等正面消息，但日月光等科技類股走勢疲弱，整體影響力有限。

====================

以下是提供的新聞資訊 :

美國聯準會 (FED) 升息 3 碼，美元續強，資金持續匯出，台股在台積電及傳產走弱下，開盤後重挫近 200 點，失守萬三及月線，下探 10 日線支撐，盤中跌點收斂，一度試圖重返萬三，今日成交金額估約 1600 億元。 台積電今日下跌逾 2%，壓抑大盤漲勢，鴻海、台達電、聯電、日月光投控等早盤均跌逾 1%，研華法說展望保守，今日股價重挫 7%，英業達、和碩、旭隼、矽力 *-KY 等也下跌 2-3%。 不過，緯穎第三季獲利創高，股價今日延續攻勢，逆勢強漲一度攻上漲停，創意也拉出半根漲停，國巨、技嘉漲逾 2%，智邦、信邦、微星等同步走揚，都是今日相對強勢的個股。 傳產表現更為疲弱，億豐、儒鴻跌逾 3%、豐泰跌 2%，寶成也同步走弱，台玻、台泥、台化、巨大、中鋼等傳產指標全面走跌，貨櫃海運三雄、航空雙雄表現同樣低迷。 族群股方面，華科集團作帳行情起跑，華新科、佳邦、信昌電聯袂走揚，嘉聯益更是一度大漲近 9%；連接器廠也各有表態，台端亮燈漲停，宣德、優群也漲逾 2%。

---

國際半導體產業協會 (SEMI) 今 (3) 日宣布成立全球半導體氣候聯盟(SCC)，已有超過 60 家半導體廠響應參與，盼加速產業生態圈減少溫室氣體排放腳步；其中包括台積電(2330-TW)(TSM-US)、環球晶(6488-TW)、南亞科(2408-TW)、日月光等 5 家台廠都是創始會員。 SCC 為全球首個全由半導體價值鏈企業所組成的聯盟，承諾致力於實現以下目標與核心行動，包括透過共同方法、技術創新並保持密切溝通，持續減少溫室氣體排放；每年發佈三大碳排放範圍相關之年度進度報告；設定近期及長期減碳目標，於 2050 年達成淨零碳排。 SEMI 全球行銷長暨台灣區總裁曹世綸表示，樂見日月光、環球晶、漢民科技、南亞科、台積電等 5 家台灣企業，率先響應成為 SCC 創始會員，共同為減緩全球暖化做出貢獻，希望更多台灣企業加入聯盟，發揮更深遠的產業影響力。 SSC 創始會員企業一致支持《巴黎協定》和相關協議抗升溫 1.5⁰C 目標，也認同於半導體價值鏈中推動氣候進程刻不容緩。SSC 成員包括 Google、超微 (AMD-US)、艾司摩爾 (ASML)、三星電子、SK 海力士、格芯、英特爾 (INTC-US)、美光 (MU-US) 等。",2025-08-04 10:32:35,20
2022-11-04,0.7,電子權值股跌幅縮小、航運股扮演撐盤要角及傳產族群走強帶動下，市場情緒趨於正面，但美股持續疲弱與聯準會鷹派訊息仍是主要變數。,2025-08-04 10:32:38,20
2022-11-07,0.7,半導體權值股強勢表現、航運族群領漲及金融股撐盤，激勵市場情緒回升，但仍需留意通膨、升息等不確定因素對後市的影響。,2025-08-04 10:32:42,20
2022-11-09,0.7,半導體族群領漲，電子權值股強勢反彈，加上外資買超力道增強，激勵市場情緒回升，但仍需留意後續利率走向與美股財報表現。,2025-08-04 10:32:44,20
2022-11-10,0.7,新廠動土與擴產計畫展現公司對未來需求的信心，長期營運前景樂觀，但短期內市場可能關注成本與供應鏈變化等議題。,2025-08-04 10:32:46,20
2022-11-11,0.9,美股大漲帶動台股勁揚逾 500 點，電子權值股領軍衝鋒，金融與傳產族群齊揚，指數站上萬四關卡，多頭信心回溫。,2025-08-04 10:32:49,20
2022-11-14,0.7,"台股在美股帶動下持續上攻，加權指數創近兩個月新高，三大法人合計買超 329 億元，外資再度大買 377 億元，顯示市場信心回穩。電子族群普遍走揚，台積電、聯電、日月光投控等權值股表現亮眼，傳產股如水泥、鋼鐵也受中國房市政策利多帶動而大漲。整體來看，市場情緒偏正面，有利於股價持續上攻，但仍需留意高檔賣壓及獲利了結的風險。

====================

請注意以上分析僅供參考，不代表任何投資建議，也不構成買賣之要約或邀約。",2025-08-04 10:32:53,20
2022-11-15,0.7,"台積電 ADR 盤後大漲激勵現貨股，帶動半導體族群強勢表態，但傳產權值股與金融股相對疲弱，指數開高走低震盪收斂，終場上漲 371 點，重返 14500 點之上。

0.6
台積電 ADR 盤後大漲慶祝波克夏買進，帶動現貨股強彈，但成交量快速擴增、指數逼近半年線反壓，加上非金電族群表現相對疲弱，提防指數震盪加劇。",2025-08-04 10:32:56,20
2022-11-16,0.7,"市場信心回升，營運展望佳個股成焦點，但漲多個股獲利了結賣壓出籠，指數震盪整理。外資持續買超台積電等權值股，傳產與電子族群輪動表現。

市場信心回升，營運展望佳個股成焦點，但漲多個股獲利了結賣壓出籠，指數震盪整理。外資持續買超台積電等權值股，傳產與電子族群輪動表現。",2025-08-04 10:33:00,20
2022-11-17,0.7,台版晶片法案通過及股神巴菲特加持激勵市場情緒，半導體族群領漲大盤，但成交量不足以支撐強勁上攻力道。,2025-08-04 10:33:03,20
2022-11-18,0.7,政策利多、金管會限空令及新台幣趨勢走緩等因素帶動指數強彈，半導體族群領漲，多頭反撲氣盛，但成交量能不足且技術面過熱，短線仍有回檔壓力。,2025-08-04 10:33:07,20
2022-11-21,0.3,電子權值股普遍疲軟拖累大盤走跌，但鋼鐵、汽車等傳產股及遊戲、生醫等中小型股撐盤有限，市場觀望氣氛濃厚。,2025-08-04 10:33:09,20
2022-11-22,0.7,台積電領軍電子權值股強勢反彈，搭配選舉行情助攻生技、軍工概念股，多頭氣盛，市場情緒偏正面。,2025-08-04 10:33:11,20
2022-11-23,0.7,電子權值股表現平淡，生技與金融族群領軍撐盤，顯示市場信心略有回溫，但電子股仍是主導方向。,2025-08-04 10:33:13,20
2022-11-24,0.6,聯準會釋出鴿派訊息提振市場信心，加上外資回補與作帳行情預期，支撐台股反彈走勢。,2025-08-04 10:33:14,20
2022-11-25,0.3,高價股與權值股同步走弱拖累大盤，市場信心受挫，日月光等中型股也未能倖免於難。,2025-08-04 10:33:16,20
2022-11-28,0.3,市場賣壓沉重，半導體三雄遭調節，但觀光與汽車族群撐盤有限，整體市場情緒偏空。,2025-08-04 10:33:17,20
2022-11-30,0.7,類股輪動與大型權值股轉強帶動整體市場情緒向上，多頭氣勢增強。,2025-08-04 10:33:18,20
2022-12-01,0.7,美聯儲主席鮑爾釋出鷹派言論，激勵全球股市大漲，台積電重返500元關口，帶動台股站上萬五，但盤面漲多賣壓出籠，漲幅略為收斂，終場上漲133點，成交量維持高檔。電子三雄領軍電子權值股衝鋒，半導體族群活躍，指數一度大漲逾270點，但尾盤台積電壓回、500元整數關卡得而復失，漲幅收斂。外資連三買，三大法人合計買超138.53億元。,2025-08-04 10:33:22,20
2022-12-02,0.6,市場情緒受到多空消息交雜影響，整體維持中性偏正面。電子權值股普遍走弱拖累大盤，但鴻海集團與缺電概念股逆勢上漲，外資買超力道也支撐市場信心。,2025-08-04 10:33:24,20
2022-12-04,0.7,外資買超力道強勁且集中在特定標的，顯示市場信心回溫但個股表現仍是主軸。,2025-08-04 10:33:26,20
2022-12-05,0.7,電子權值股與傳產龍頭領漲，新台幣走強帶動外資回流，多方氣勢旺盛，但個別族群表現分歧，市場情緒偏正面但仍需留意漲多個股的獲利了結壓力。,2025-08-04 10:33:29,20
2022-12-06,0.3,電子權值股普遍走疲拖累指數下跌，加上新台幣貶值壓力，市場情緒偏空，但部分題材股與供應鏈逆勢抗跌。,2025-08-04 10:33:31,20
2022-12-07,0.3,"市場情緒偏空，電子權值股疲軟及外資賣超影響下跌，但金融股撐盤及部分中小型股抗跌使跌幅有限。

====================

以下是提供的新聞資訊 :

美兩大投行紛紛示警經濟風險，導致美股四大指數全數下挫，台股今 (7) 日雖一度逆勢上漲超過 80 點，然而盤中賣壓出籠，反轉下跌 0.4%，上下震盪逾 130 點，成交量預估達 2670 億元。 電金權值股中，金融股表現亮眼，中信金大漲 3%，華南金大漲 2%，合庫金、第一金漲 1% 以上，不過電子類股疲軟，台達電下挫 2.8%，聯發科、聯電、日月光跌超過 1%。 高價股賣壓沉重，世芯 - KY 下挫逾 3%，力旺、嘉澤、精測下跌 2% 以上，亞德客 - KY、大立光、信驊、譜瑞 - KY 跌 1%。 儘管大盤轉跌，仍有零星個股點火，健喬 11 月營收再創新高今開盤衝上漲停，泰福 - KY 進軍抗體藥物也亮燈鎖死，日友營收大躍進大漲 7% 以上，網家、大略 - KY 漲 6%，瑞基、優盛漲半根漲停。 展望後市，法人認為，聯準會將在 15 日將召開 FOMC 利率會議，終端利率已成為重點，觀望態度下大盤漲勢預計將暫時放緩。

---

台股今 (7) 日上沖下洗，早盤在台積電領漲下，大盤翻紅突破 14800 點之上，不過隨即賣壓出籠，儘管金融股撐盤、生技等中小型股抗跌，指數仍翻黑下跌約百點，終場收在今日最低 14630.01 點，下跌 98.87 點或 0.67%，回測月線，成交量 2468 億元。 觀察權值股表現，台積電午盤後由紅翻黑，終場下跌 0.63%，以 475 元作收，失守月線；聯發科下跌超過 1%，聯電也有近 2% 跌幅，鴻海、日月光投控、廣達、欣興都收黑。 高價股綠油油一片，大立光下跌 1.3%，信驊大跌 3.4%，守住 2000 元關卡，旭隼則收平盤，力旺則跌 2.7%。 金融股扮演撐盤要角，台新金上漲超過 3%，中信金、華南金漲幅逾 2%，第一金、合庫金、玉山金、元大金、國票金、永豐金等均收盤上。 生技股也有零星點火，健喬 11 月、前 11 月營收創新高，激勵股價逆勢抗跌，帶量攻上漲停價 45.1 元，轉投資公司益得同步亮燈；泰福 - KY 啟動 2.0 計畫，進軍抗體藥物複合體 ADC 領域，股價也漲停鎖住。 另外，晟德拉出逾半根漲停，健亞、達爾膚、盛弘、杏輝、長聖等逆勢收紅。

---

台股今 (7) 日收在全場最低 14630.01 點，下跌 98.87 點，回測月線支撐。其中，外資持續大砍晶圓雙雄共 1.8 萬張、提款近 31 億元，以及面板雙虎共 3.4 萬張，資金轉向逾 10 檔金融股。 三大法人今日全站在空方，外資賣超 40.72 億元、連二賣；投信轉為賣超 17.34 億元；自營商再賣 25.77 億元，三大法人合計賣超 83.85 億元。期貨方面，外資淨多單增至 7134 口。 觀察外資操作，賣超元大台灣 50 反 1 最多，共 7.4 萬張，其餘多為電子股，包括友達 2.4 萬張、聯電 1.3 萬張，群創、光寶科、欣興等調節超過 7000 多張，華通、元太、景碩、台積電、鴻海等也有 5000-6000 多張。 外資買超標的集中金融股，臺企銀 2.8 萬張居冠，中信金約 1.8 萬張、彰銀 1.4 萬張、台新金 1.2 萬張、開發金 1.1 萬張，永豐金、華南金、新光金、玉山金、第一金等也獲得青睞。其餘個股則有日月光投控 7668 張、遠東新 6329 張、統一 6115 張。 投信賣超方面，前十名分別為裕隆、嘉聯益、欣興、技嘉、日月光投控、光寶科、奇鋐、鴻海、南電、統一；買超部分，前十名包括中鋼、廣積、開發金、中信金、建準、聯詠、聯強、中鼎、頎邦、宜特。",2025-08-04 10:33:48,20
2022-12-08,0.6,台股走勢疲弱，電子權值股承壓，外資連三賣，但內資中小型股表現強勁，尤其是電力、觀光等族群。半導體產業雖受總體經濟影響，但車用與工業需求依舊強勁，加上政府推動能源轉型政策，有利於相關個股。整體而言，市場情緒中性偏正面，短期內可能維持震盪走高格局。,2025-08-04 10:33:52,20
2022-12-09,0.7,"電子權值股與太陽能族群帶動大盤上漲，月線得而復失，但日月光 11 月營收年減，影響整體市場情緒。

====================

請注意以上分析僅供參考，不代表實際投資結果。",2025-08-04 10:33:55,20
2022-12-11,0.9,ESG 表現亮眼且獲最高分肯定，展現公司永續經營決心，激勵正面市場情緒。,2025-08-04 10:33:56,20
2022-12-12,0.3,電子權值股領跌、金融股賣壓沉重以及鋼鐵類股下挫拖累大盤，月線失守，外資及三大法人同步賣超，市場情緒偏向負面。,2025-08-04 10:33:59,20
2022-12-13,0.3,市場觀望美國 CPI 數據及 Fed 利率決策，電子權值股走弱，航運、鋼鐵與生技族群表現強勁，但整體量能不足，拖累大盤回測半年線支撐。,2025-08-04 10:34:02,20
2022-12-14,0.6,電子股普遍上漲，尤其是板卡族群強勢表現，以及台積電、鴻海、聯發科等大廠領漲，激勵市場情緒，但部分傳產與生技類股走弱，整體而言呈現偏多格局。,2025-08-04 10:34:04,20
2022-12-15,0.7,電子股漲跌互見，但傳產族群如航運、鋼鐵等領軍上攻，支撐大盤守穩月線關卡。,2025-08-04 10:34:05,20
2022-12-17,0.6,公司重視外籍員工生活與福利，舉辦耶誕派對等活動提升員工向心力，但營收獲利表現仍是市場關注焦點。,2025-08-04 10:34:07,20
2022-12-20,0.3,市場信心受總體經濟與消費性電子需求放緩影響，三大法人同步賣超，加上外資對金控股提款，拖累加權指數重挫。,2025-08-04 10:34:08,20
2022-12-21,0.7,台股反彈帶動權值股上揚，日月光等電子族群表現強勁，市場情緒正面。,2025-08-04 10:34:09,20
2022-12-22,0.7,電子權值股領漲帶動大盤上揚，搭配外資回頭買超與法人偏多操作，市場情緒轉趨樂觀。,2025-08-04 10:34:11,20
2022-12-23,0.6,生技產業題材持續發酵，製藥類股漲勢凌厲，但整體市場觀望氣氛濃厚，權值股走弱拖累大盤表現。,2025-08-04 10:34:14,20
2022-12-25,0.6,利率波動區間調整與外資賣超壓力使市場情緒偏空，但技術指標低檔且年底前短打行情持續，預期大盤將趨於量縮平淡。,2025-08-04 10:34:15,20
2022-12-27,0.6,中國解封帶動觀光股強彈，但生醫製藥股漲多拉回，IC 設計族群撐盤，加權指數力守 5 日線，市場情緒中性偏正面。,2025-08-04 10:34:17,20
2022-12-28,0.3,電子權值股與高價股疲弱拖累大盤，半導體族群賣壓沉重，但觀光類股相對抗跌，市場情緒偏向中性。,2025-08-04 10:34:18,20
2022-12-29,0.2,"市場信心受美股與台股走疲影響，電子權值股普遍下跌，僅少數個股抗跌，整體呈現偏空態勢。

====================

請注意以上分析僅針對 日月光 的新聞進行評估，不涉及其他公司或市場資訊。",2025-08-04 10:34:20,20
2022-12-30,0.7,"美股科技股強彈帶動台股反彈，外資買超金融及傳產股，電子族群有望領軍上攻。

====================

請注意以上輸出僅供參考，不代表實際市場行情。",2025-08-04 10:34:22,20
2023-01-03,0.6,電子權值股回穩與傳產族群輪動帶動指數上漲，市場情緒偏正面，但外資操作仍顯觀望。,2025-08-04 10:34:23,20
2023-01-04,0.6,雖然美股下挫及電子權值股疲軟，但中小型電力、內需消費題材股逆勢走揚，整體市場情緒維持中性。,2025-08-04 10:34:26,20
2023-01-05,0.7,半導體族群領軍上攻，加權指數站回 10 日線，三大法人合計買超，外資買超金融股與電子股，投信則賣超金融股。整體市場情緒偏正面，但個股表現分歧。,2025-08-04 10:34:28,20
2023-01-06,0.7,"半導體權值股強勢表態，聯發科扮演撐盤要角，金融股跌勢也收斂，帶動大盤翻揚，一度站上月線，但天豐新能源開發的允能風場債務危機衝擊相關風電概念股走弱。整體而言，市場情緒偏向正面但仍需留意年節長假賣壓及外部環境變化。

====================================================================================================

0.6
半導體族群強勢表現，聯發科獲得外資送暖，記憶體族群午盤湧入資金，金融股跌勢收斂，帶動大盤翻揚，一度站上月線，但天豐新能源開發的允能風場債務危機衝擊相關風電概念股走弱。整體而言，市場情緒偏向正面但仍需留意年節長假賣壓及外部環境變化。

====================================================================================================",2025-08-04 10:34:34,20
2023-01-09,0.9,"電子族群強勁反彈，晶圓雙雄領漲，加上金融、汽車等傳產股助攻，大盤大漲 378 點，站回月線，並創 1 個月新高，成交量放大至 2220 億元。三大法人聯手買超 432.27 億元，外資大舉回流，今天加碼買超台股 361.81 億元，為連 3 買。

====================

總體結論:
0.9
電子族群強勁反彈，晶圓雙雄領漲，加上金融、汽車等傳產股助攻，大盤大漲 378 點，站回月線，並創 1 個月新高，成交量放大至 2220 億元。三大法人聯手買超 432.27 億元，外資大舉回流，今天加碼買超台股 361.81 億元，為連 3 買。",2025-08-04 10:34:39,20
2023-01-10,0.6,營收創新高與獲利表現符合預期顯示公司基本面強勁，但市場情緒受到半導體產業需求放緩及庫存調整壓力影響，維持中性。,2025-08-04 10:34:41,20
2023-01-11,0.7,台股指數昨日震盪向上，外資和投信積極加碼，激勵市場情緒，但聯電 ADR 和聯電 ADR 上漲 1.2-1.65%，顯示對半導體產業的需求前景仍持謹慎態度。,2025-08-04 10:34:42,20
2023-01-12,0.6,法說前股價已先行反應，市場觀望氣氛濃厚，加上美股走揚帶動，整體對日月光的影響呈現正面但不強勁。,2025-08-04 10:34:44,20
2023-01-13,0.7,美科技股財報與通膨數據利多激勵美股漲勢延續，帶動台積電ADR強彈，預期將提振台股挑戰萬五大關，但農曆春節長假與後市展望仍是觀察重點。,2025-08-04 10:34:45,20
2023-01-14,0.7,獲選世界經濟論壇全球燈塔工廠肯定公司在工業 4.0 技術應用上的領導地位，展現強勁的製造能力與競爭優勢。,2025-08-04 10:34:47,20
2023-01-17,0.7,"新廠啟用象徵公司深耕台灣決心，展望未來產能擴張帶動營運成長，但短期內仍需關注整體市場需求與客戶庫存調整狀況。

====================

以下是提供的新聞資訊 :

日月光投控 (3711-TW) 今 (17) 日公告 9 月合併營收 437.97 億元，月增 0.4%，年減 11.5%；第三季合併營收 1286.01 億元，季減 14.3%，年減 13.2%。日月光投控表示，9 月及第三季營收表現符合預期，雖然客戶端庫存調整持續，但隨著客戶新品上市，訂單動能逐步回溫中。 日月光投控指出，目前產業仍處於修正階段，不過公司在車用、工控等產品線表現穩健，預期第四季營收將與第三季持平或小幅下滑，全年合併營收力拚與去年相當。 日月光投控表示，隨著客戶新品上市，訂單動能逐步回溫中，公司也積極進行產能調整，以因應未來需求變化。

範例輸出4:
0.6
營收表現符合預期，雖處庫存調整但新品上市帶動訂單動能回升，市場情緒偏向正面。",2025-08-04 10:34:52,20
2023-01-18,0.7,日月光營收成長與產業前景穩健，股價領先突破年線，市場情緒偏正面。,2025-08-04 10:34:53,20
2023-01-30,0.9,兔年開盤日大盤強彈，權值股領軍衝高，加上外資買超722億元創史上次高，激勵市場情緒走揚。,2025-08-04 10:34:55,20
2023-01-31,0.6,"市場情緒偏向中性，電子權值股回檔壓抑大盤，但傳產族群如鋼鐵、綠能等表現強勁，顯示資金有所流動。整體而言，雖然短期內指數可能持續震盪，但隨著市場情緒逐漸穩定，預計股價波動將趨於平緩。

請注意，此分析僅針對日月光相關新聞進行評估，不涉及其他公司或資訊。",2025-08-04 10:35:00,20
2023-02-01,0.7,多頭持續掌控大盤，電子權值股與中小型股輪動領漲，市場信心回穩，但仍需留意聯準會利率決策對後市的影響。,2025-08-04 10:35:02,20
2023-02-02,0.7,美股上漲激勵台股走強，權值股與中小型科技股齊揚，市場樂觀情緒高漲。,2025-08-04 10:35:04,20
2023-02-03,0.7,外資連 14 買超且買超金額超過 2500 億元，顯示市場信心回穩，但漲幅有限，顯示獲利了結賣壓仍在。,2025-08-04 10:35:06,20
2023-02-05,0.6,營收表現與展望、法說會等多項利空因素交織，市場情緒偏向保守，但部分正面訊息仍維持中性偏多。,2025-08-04 10:35:08,20
2023-02-06,0.3,半導體族群賣壓沉重，台積電領跌逾2%，加上外資終結連14買，三大法人合計賣超164.52億元，拖累市場信心。,2025-08-04 10:35:10,20
2023-02-07,0.6,產業趨勢轉變帶來中性影響，公司在全球化分工下具備優勢，但區域化發展也可能帶來新機會。,2025-08-04 10:35:11,20
2023-02-08,0.9,美股強彈帶動台積電領軍電子股反彈，半導體族群滿血復活，加上 IC 設計股同步走揚，三大法人聯手買超 176 億元，指數終場上漲 217 點收在 15618 點創下 7 個月來新高。,2025-08-04 10:35:14,20
2023-02-09,0.7,法說會釋出正面展望與產能擴張計畫激勵市場信心，但漲幅受制於整體大盤疲弱表現。,2025-08-04 10:35:16,20
2023-02-10,0.7,日月光法說釋出首季營收預估與全年成長展望，激勵市場情緒偏正面，但整體盤勢仍維持區間震盪，等待更多訊息。,2025-08-04 10:35:19,20
2023-02-11,0.7,"ChatGPT 熱潮帶動 AI 概念股漲勢，多數電子廠商樂見需求回溫，營運展望正向，但整體市場情緒仍受通膨與升息影響而偏弱。

====================",2025-08-04 10:35:21,20
2023-02-12,0.6,"市場對美國升息緩和的樂觀預期降溫，加上外資暫緩大舉買超動作，短線股價可能承壓，但法人仍看好不同族群間持續偏多輪動。

====================

以下是提供的新聞資訊 :

「2023 生策年會」即將在周四登場，包括行政院長陳建仁、金仁寶集團董事長許勝雄、富邦金董事長蔡明興都將出席並分享產業關注議題，NOR Flash 記憶體雙雄旺宏、華邦電也皆在本周陸續召開法說會，除公布去年財報，也將釋出最新展望，北京人工智慧產業創新發展大會則在明 (13) 日開幕，以下為本周大事預告： 2023 生策年會周四登場 現場大咖雲集 生策年會向來為生技產業年度盛事，尤其今年隨著醫學背景的陳建仁出任行政院長，外界也高度關注，生策會表示，此次年會特別邀請行政院長陳建仁指引未來產業推動方向，顧問許勝雄也將分享產業新思維。 專題演講方面，生策會也邀請富邦金董事長蔡明興，從金融投資角度剖析生醫產業發展趨勢，生策會副會長楊泮池分享數位醫療轉型的政策規劃與推動方針等議題。 旺宏、華邦電開法說會 NOR Flash 市況受矚 NOR Flash 雙雄旺宏 (2337-TW)、華邦電 (2344-TW) 預計本周二 (14 日)、周五 (17 日) 陸續召開法說會，由於指標半導體大廠如聯發科 (2454-TW)、日月光投控(3711-TW) 等，日前已釋出產業可望在第一季落底的展望，市場也關注整體 NOR Flash 市況，還有庫存去化及產業復甦進度等。 北京 AI 創新大會明開幕 華為、百度將出席 北京市科委等多個部門攜手華為、百度等，將在明 (13) 日聯合舉辦「北京人工智能產業創新發展大會」，由於近日在 ChatGPT 議題延燒下，AI 已成為各家科技大廠技術競爭的一大指標，尤其華為、百度兩大科技巨頭將在同一場合現身，發展方向料將成為會中焦點。

---

台股加權指數上周終結周線連 4 漲，但僅陷入狹幅震盪，周跌 16 點，儘管美股科技股轉弱、外資暫緩大舉買超動作，反映市場對美國聯準會 (Fed) 升息趨緩的期待降溫，不過，法人仍樂觀看待，即便外資暫時休息，散戶的螞蟻雄兵資金動能可望接棒，不同族群間持續偏多輪動應無虞。 由於聯準會官員近期發布一連串鷹派發言，美股由強勢轉入震盪整理，尤其科技股有壓，美股道瓊指數周跌 0.17%、標普 500 指數周跌 0.91%、那斯達克指數周跌 2.41%、費城半導體指數跌 2.3%。 在 1 月美國非農就業大增 51 萬人，遠超過市場預期的 18.5 萬人下，已令市場對美國升息緩和的樂觀預期減弱，接著在 2 月 15、16 日尚有達拉斯、紐約和克利夫蘭總裁將發表談話，仍可能進一步造成短線降溫。 從籌碼面來看，外資上周在集中市場小賣約 2 億元，終結連 4 周買超，不過，仍續買台積電達 151 億元，聯電、榮運、保瑞均獲加碼逾 20 億元，台達電、日月光投控也有超過 15 億元買盤進場。 而投信持續買超 34.1 億元，為連 2 周買超，其中，世芯 - KY 獲加碼 9.7 億元，聯詠 8.5 億元，保瑞 7 億元，元太、上銀均超過 6 億元，台積電、大立光、創意和廣達也達 5 億元之上，顯然多以跌深的中高價電子股為主。 信用交易上，融資連 2 周增加，合計共增加約 50 億元，由於券資比仍處在近 1 年左右的相對高點，法人認為，主力、中實戶和散戶半信半疑心態逐漸消弭，可望成為新一波推升大盤的動能。 永豐投顧表示，市場最擔心的是 PC 庫存嚴重恐遲遲無法消化完畢，但從近期聯詠和譜瑞法說釋放的產業訊息已看到曙光，基本面轉折較市場預期來得早，投資心態應偏多。 而本周主要須關注的有 14 日美國將公布 CPI 數據，而國內重要法說會將登場的有 2/14 旺宏、2/15 遠傳、2/17 盛群、新唐和華邦電，同時還有 2/15 的台指期結算。",2025-08-04 10:35:38,20
2023-02-13,0.3,市場憂心通膨與半導體需求放緩影響晶圓雙雄營運，加上新台幣貶值引發股匯齊跌，拖累大盤走勢，但生技、低軌衛星等族群抗跌支撐指數。,2025-08-04 10:35:41,20
2023-02-14,0.7,外資買超面板雙虎與金融股，顯示對市場信心回溫的樂觀預期，但電子權值股漲幅有限，整體市場情緒偏向正面但仍有不確定性。,2025-08-04 10:35:43,20
2023-02-16,0.7,三大法人同步買超且電子族群領漲激勵市場情緒，但個股表現分歧，操作難度提高。,2025-08-04 10:36:05,20
2023-02-17,0.3,美國通膨疑慮再起引發升息擔憂，拖累台股下跌，但金融、觀光與軍工概念股強勢表現抵銷部分賣壓。,2025-08-04 10:36:07,20
2023-02-19,0.6,市場情緒受到聯準會鷹派態度轉強與升息疑慮影響而趨保守，但個股表現仍活躍，顯示內資法人和中實戶、散戶加碼意願熱絡。,2025-08-04 10:36:08,20
2023-02-20,0.7,外資買超金融股，顯示對市場信心回穩，但面板雙虎轉向賣超與台積電連續遭減碼，反映獲利了結壓力仍在。,2025-08-04 10:36:10,20
2023-02-21,0.6,電子權值股疲弱拖累指數，傳產族群如塑化、貨櫃表現強勁，但金融股走勢偏空使市場情緒趨中性。,2025-08-04 10:36:11,20
