date,factor,explanation,updated_time,news_count
2022-11-03,0.3,市場信心受聯準會鷹派言論影響，指數下跌且量能萎縮，加上台積電走弱，整體氛圍偏空。部分個股如伺服器族群表現強勢，但整體漲跌幅度有限，顯示市場觀望氣氛濃厚。,2025-08-04 10:23:21,20
2022-11-07,0.6,網通三雄下半年營運強勁，帶動單月營收創高或次高，顯示需求暢旺與成長前景佳。,2025-08-04 10:23:22,20
2022-11-08,0.7,營收創高與展望正向顯示公司基本面強勁，激勵中性至正面的市場情緒。,2025-08-04 10:23:24,20
2022-11-10,0.7,網通廠財報亮眼，獲利創高激勵市場情緒，但整體漲幅有限，顯示短期內仍受到總體經濟與庫存調整的影響。,2025-08-04 10:23:25,20
2022-11-11,0.7,美國通膨數據樂觀與產業落底跡象提振市場信心，電子族群強勁反彈帶動大盤上漲，智邦營收持續成長助攻股價表現。,2025-08-04 10:23:27,20
2022-11-14,0.6,市場轉趨樂觀，多方行情延續，但部分族群如消費性電子或有庫存調整壓力，短期漲幅過高須留意技術面過熱風險。,2025-08-04 10:23:29,20
2022-11-18,0.7,需求穩健與新產品推出帶動成長前景，部分抵銷缺料壓力，整體市場情緒偏正面。,2025-08-04 10:23:30,20
2022-11-20,0.7,智邦積極佈局 800G 交換器市場，推出矽光技術解決方案，有利於未來成長動能，但短期內仍需觀察實際產品開發進度與效益。,2025-08-04 10:23:32,20
2022-11-21,0.6,"智邦推出新產品與方案，有利於未來成長，但目前市場需求仍疲弱，營運面臨壓力。

====================",2025-08-04 10:23:33,20
2022-12-02,0.3,市場觀望 CPI 數據，指數轉趨震盪，個股表現分歧，智邦等權值股承壓，但中小型股活潑，集團作帳行情啟動。,2025-08-04 10:23:35,20
2022-12-05,0.3,三大法人買賣超個股差異大，整體市場情緒偏向中性。,2025-08-04 10:23:36,20
2022-12-06,0.9,三家網通廠 11 月營收持續創高，顯示產業需求強勁，智邦 更看好明年雙位數成長，正面消息激勵市場情緒。,2025-08-04 10:23:38,20
2022-12-12,0.6,市場對經濟衰退的擔憂與出口數據疲軟壓抑部分股票表現，但網通產品需求相對穩健，部分個股仍有正面支撐。,2025-08-04 10:23:40,20
2022-12-14,0.6,電子股普遍上漲，尤其是板卡族群強勢表現，以及台積電、鴻海和聯發科的領漲，帶動整體市場情緒向上，但部分傳產類股如貨櫃航運和鋼鐵出現疲軟，影響市場信心。,2025-08-04 10:23:41,20
2022-12-19,0.6,伺服器供應鏈受惠於新平台拉貨，營收與獲利成長可期，但整體市場需求仍疲弱，庫存調整壓力持續影響股價表現。,2025-08-04 10:23:44,20
2022-12-20,0.7,與 Picocom 合作推出新 5G O-RAN 解決方案，展現公司積極搶攻 O-RAN 商機的企圖心，激勵正面市場情緒。,2025-08-04 10:23:45,20
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響，指數量縮走跌，權值股全面疲軟，僅部分個股表現較強。,2025-08-04 10:23:46,20
2022-12-26,0.3,市場觀望氣氛濃厚、外資休假及指數面臨反壓等因素影響，整體市場情緒偏向中性。,2025-08-04 10:23:48,20
2023-01-04,0.5,電子權值股普遍疲弱拖累大盤，但中小型個股如電力、內需消費題材股逆勢抗跌，顯示市場情緒仍維持中性。,2025-08-04 10:23:49,20
2023-01-06,0.7,營收創高與缺料緩解帶動下，市場情緒偏向正面，但仍需留意後續供應鏈狀況。,2025-08-04 10:23:51,20
2023-01-10,0.7,營收創高與展望樂觀顯示公司基本面強勁，激勵正面市場情緒，但萬五關卡仍是短期上檔壓力。,2025-08-04 10:23:52,20
2023-01-16,0.7,電子股領漲帶動台股創逾 1 個半月新高，智邦等個股表現強勁，但部分傳產與金融股走弱。,2025-08-04 10:23:54,20
2023-01-30,0.7,台股開紅盤大漲560點，三大法人同步買超827億元，外資連10日買超722億元，大舉回補半導體族群。,2025-08-04 10:23:55,20
2023-02-06,0.7,1 月營收雙創同期新高顯示需求強勁，但月減幅大於預期壓抑短期市場信心。,2025-08-04 10:23:56,20
2023-02-07,0.7,"市場情緒偏正面，電子與傳產股齊漲，但外資賣超及美股拉回壓抑漲幅。法人認為，若鮑爾談話沒有太大問題，台股有機會挑戰前高。

===========================================================================",2025-08-04 10:23:58,20
2023-02-08,0.6,營收成長與產業需求穩健支撐股價，但整體市場情緒受美 Fed 立場影響而趨於謹慎。,2025-08-04 10:24:00,20
2023-02-18,0.7,網通類股本周普遍走強，營運穩健與資金青睞帶動市場情緒偏多。,2025-08-04 10:24:01,20
2023-02-23,0.7,電子族群回神帶動大盤上漲，傳產與觀光股也有表現，但部分個股走勢仍相對弱勢。整體而言市場情緒偏正面但不過度樂觀。,2025-08-04 10:24:03,20
2023-03-06,0.9,"網通族群受惠 AI 熱潮與需求穩健，營收表現亮眼，股價強勢上攻，整體市場情緒正面。

智邦 2 月營收維持高檔，年增逾 6 成，累計前兩個月營收年增 37.8%，展望樂觀。公司預期今年 400G 交換器出貨將持續提升，預估比重可達 15%。智邦受惠 AI 熱潮與需求穩健，股價強勢上攻，整體市場情緒正面。",2025-08-04 10:24:07,20
2023-03-09,0.6,去年獲利創高且配發7.5元現金股利，展望今年營運持續成長，但新廠房資金需求影響配息率，使市場情緒偏向正面但不確定性仍存。,2025-08-04 10:24:09,20
2023-03-10,0.3,外資賣超智邦等電子股但買超部分個股，顯示市場信心仍有疑慮，但非全面悲觀。,2025-08-04 10:24:10,20
2023-03-15,0.7,台股反彈帶動個股走強，智邦等電子權值股上揚，但部分高價股與貨櫃三雄表現疲弱，整體市場情緒偏正面但漲勢有限。,2025-08-04 10:24:11,20
2023-03-23,0.7,市場情緒受美股期貨反彈與電子權值股回神帶動而轉為正面，但漲幅有限，顯示對後市仍持審慎態度。,2025-08-04 10:24:13,20
2023-03-27,0.4,電子權值股普遍走跌拖累大盤，智邦也下挫逾 3%，顯示市場信心偏弱。,2025-08-04 10:24:14,20
2023-03-30,0.7,台股大盤指數上漲，權值股與高價股表現強勁，加上記憶體族群與網通族群同步走揚，整體市場情緒正面。,2025-08-04 10:24:16,20
2023-04-06,0.7,營收創高與新廠擴產計畫提振市場信心，但整體經濟環境仍存在不確定性，短期內股價可能維持區間波動。,2025-08-04 10:24:18,20
2023-04-09,0.3,兩岸緊張局勢升溫與外資賣超影響市場信心，但部分個股題材仍具支撐力道。,2025-08-04 10:24:19,20
2023-04-13,0.2,電子股普遍走弱拖累大盤，加上台積電跌破季線，市場信心受挫，整體市場情緒偏向負面。,2025-08-04 10:24:20,20
2023-05-02,0.7,智邦宣示淨零碳排目標並與供應商夥伴合作減碳，展現企業永續經營決心，激勵正面市場情緒。,2025-08-04 10:24:22,20
2023-05-05,0.7,網通廠4月營收普遍創高，需求穩健且前景樂觀，激勵市場情緒向上。,2025-08-04 10:24:23,20
2023-05-08,0.7,台股受美股激勵上揚，權值股如台積電領漲帶動指數走高，但個別族群表現分歧。,2025-08-04 10:24:24,20
2023-05-10,0.5,電子股普遍疲弱拖累市場信心，但部分個股如世芯 - KY 強勁表現及貨櫃三雄、航空雙雄等傳產股撐盤使整體情緒維持中性。,2025-08-04 10:24:26,20
2023-05-11,0.6,財報表現亮眼且高層人事案有利於業務拓展，整體而言對市場情緒產生正面影響。,2025-08-04 10:24:27,20
2023-05-12,0.3,市場信心受美股與台指期拖累，權值股疲軟，僅部分高價股與AI概念股撐盤，整體市場情緒偏空。,2025-08-04 10:24:28,20
2023-05-19,0.6,外資及自營商同步買超，顯示市場信心回升，但投信賣超部分個股，整體而言對智邦的影響中性。,2025-08-04 10:24:30,20
2023-05-23,0.6,AI 產業發展趨勢明確，相關個股有望受惠，但短期漲多整理壓力仍在，宜靜待整理完畢再行佈局。,2025-08-04 10:24:32,20
2023-05-25,0.7,輝達財報優於預期激勵相關概念股走強，尤其是雲端運算族群表現亮眼，但個別股票漲跌差異大。,2025-08-04 10:24:33,20
2023-05-26,0.7,AI 概念股輪漲，權值股領漲，加上總統選舉行情助攻，激勵市場情緒偏正面，但短線乖離過大且成交量過大，需留意回檔風險。,2025-08-04 10:24:36,20
2023-05-27,0.7,AI 概念股持續強勢，輝達財報超預期帶動市場信心，但個股漲多後恐面臨高檔震盪，資金有望擴散至相關供應鏈。,2025-08-04 10:24:37,20
2023-05-29,0.7,AI 概念股持續強勢，輝達執行長黃仁勳來台助漲買氣，加權指數創近一年新高，但短線乖離過大，多頭趨勢明確但有修正機會。,2025-08-04 10:24:40,20
2023-05-30,0.7,AI 概念股輪動加上台積電強勢，行情撐在相對高檔，準備挑戰去年 6 月初的反彈高點，短線指數週 K 線連 2 紅後，週一再走高，本週挑戰 3 連紅，直指去年 6 月初高點 16811 點位置。,2025-08-04 10:24:43,20
2023-06-02,0.7,"AI、電動車等主流持續輪動，多頭氣勢強勁，但漲多個股震盪整理，指數有回檔壓力。CoWoS概念股如濕製程設備、晶圓級點膠機台、ABF載板等可留意。

====================

請注意以上內容僅供參考，不代表任何投資建議或實際市場行情，且分析結果可能與專業分析師有所出入。如需最新及最準確的資訊，請直接查詢相關證券公司或金融機構提供的即時報價和研究報告。",2025-08-04 10:24:46,20
2023-06-05,0.6,營收表現亮眼且展望正向，顯示公司基本面強勁，但缺乏重大利多訊息使市場情緒溫和偏多。,2025-08-04 10:24:47,20
2023-06-06,0.6,雖然部分個股漲多拉回，但整體市場仍維持正面氛圍，低估股票有機會補漲。,2025-08-04 10:24:49,20
2023-06-09,0.7,電子族群強勢表現帶動大盤突破 16800 點，傳產與金融股助攻多頭氣勢，市場情緒偏正面。,2025-08-04 10:24:50,20
2023-06-13,0.9,電子權值股領漲帶動大盤重返萬七，智邦等多檔個股強勢上揚，顯示市場情緒正面。,2025-08-04 10:24:51,20
2023-06-15,0.7,新品開發與 AI 布局展現公司前景，搭配交換器出貨成長，激勵市場信心。,2025-08-04 10:24:53,20
2023-06-16,0.3,市場情緒偏向中性，漲跌互見，個股表現分歧。,2025-08-04 10:24:54,20
2023-06-18,0.7,AI 商機帶動相關概念股表現，尤其輝達與超微在 AI 伺服器晶片領域的競爭激烈，供應鏈受惠程度高，智邦等網通廠也可望搭上這波成長列車。,2025-08-04 10:24:57,20
2023-06-20,0.3,市場情緒偏向中性，雖有部分業績股表現，但大盤指數下跌且個股漲跌互見，整體呈現震盪走勢。,2025-08-04 10:24:59,20
2023-06-27,0.7,網通基建需求強勁帶動台廠營收成長，美國政府大力推動寬頻建設政策有利業者發展。,2025-08-04 10:25:00,20
2023-06-28,0.7,AI、車用等長線主流持續擴散，搭配政策利多與除息因素消失，激勵市場情緒偏正面。,2025-08-04 10:25:02,20
2023-07-26,0.3,電子權值股疲弱拖累大盤，傳產與金融族群表現強勁，智邦等 AI 概念股走勢分歧。,2025-08-04 10:25:03,20
2023-07-27,0.6,半導體與金融股撐盤，友達等面板股強勢反彈，但 AI 概念股熄火拖累相關個股，整體市場情緒偏正面但漲幅有限。,2025-08-04 10:25:05,20
2023-07-28,0.7,AI 概念股強勢表現與產業前景穩健提振市場信心，惟漲幅過大個股宜留意獲利了結賣壓。,2025-08-04 10:25:06,20
2023-08-01,0.6,市場情緒維持中性，雖有部分個股轉強但整體缺乏明確方向與突破，行情尚未穩定。,2025-08-04 10:25:09,20
2023-12-01,0.3,市場情緒略為偏空，12月行情可能受限於大盤量能與投信調節壓力，個股表現將取決於基本面、籌碼面及技術面等綜合因素。,2025-08-04 10:25:10,20
2023-12-02,0.7,"AI 應用發展趨勢明確，智邦身為雲端產業鏈一環，受惠潛力大增，但短期內市場仍需消化相關消息。

====================",2025-08-04 10:25:12,20
2023-12-12,0.6,電子權值股普遍疲軟拖累大盤，但光學、矽晶圓與網通族群撐盤，整體市場情緒偏向正面。,2025-08-04 10:25:14,20
