date,factor,explanation,updated_time,news_count
2022-11-01,0.6,加速器計畫持續擴大與新創合作，展現公司對未來成長動能的佈局與信心。,2025-08-04 01:43:10,20
2022-11-04,0.6,財報表現亮眼且營運展望正面，但立訊投資損失與市場需求不確定性仍影響短期市場情緒。,2025-08-04 01:43:12,20
2022-11-08,0.3,營收表現符合預期但筆電出貨下滑壓抑市場信心，顯示器與桌機維持成長為正面因素。,2025-08-04 01:43:14,20
2022-11-17,0.7,台積電概念股受惠巴菲特加持，市場情緒偏正面，但整體量能不足且中小型股仍在整理，預期短期漲勢將相對溫和。,2025-08-04 01:43:16,20
2022-11-22,0.3,市場需求疲弱影響戴爾營運表現，使台廠代工廠如緯創等第四季出貨保守看待，引發市場信心下滑。,2025-08-04 01:43:18,20
2022-11-23,0.7,受惠美中科技戰促使台廠分散生產布局，主要台廠在中國以外地區伺服器主機板產能將大幅提升，有利於緯創等相關業者營運表現。,2025-08-04 01:43:19,20
2022-11-30,0.6,外傳塔塔集團收購緯創印度廠的消息激勵市場信心，但仍需等待官方正式回應以確認交易細節。,2025-08-04 01:43:21,20
2022-12-01,0.6,供應鏈變動與印度廠傳出收購案帶來不確定性，但整體消息面偏正向，市場情緒溫和上揚。,2025-08-04 01:43:23,20
2022-12-02,0.7,數位轉型與智慧製造策略明確，展現公司前瞻思維與競爭優勢，有利於長期市場信心。,2025-08-04 01:43:24,20
2022-12-03,0.7,台積電美國廠擴大製程與產能計畫、聯準會放緩升息步伐等正面消息抵銷部分負面因素，整體市場情緒偏向樂觀。,2025-08-04 01:43:26,20
2022-12-08,0.7,營收成長與子公司表現亮眼支撐市場信心，但大環境影響仍存，整體情緒偏正面但不確定性猶存。,2025-08-04 01:43:28,20
2022-12-09,0.7,塔塔集團進軍半導體產業計畫與潛在合作夥伴洽談，為緯創帶來正面發展前景。,2025-08-04 01:43:30,20
2022-12-12,0.3,電子權值股賣壓沉重拖累大盤跌逾百點，月線失守，成交量萎縮，三大法人同步賣超，市場情緒偏向負面。,2025-08-04 01:43:31,20
2022-12-13,0.7,微軟雲端合作案有利台廠供應鏈，但市場觀望美國 CPI 數據公布，外資偏空操作使股價走勢震盪。,2025-08-04 01:43:33,20
2022-12-14,0.7,三大法人同步買超激勵市場情緒，外資大舉回補緯創等個股，但須留意漲多後的獲利了結壓力。,2025-08-04 01:43:35,20
2022-12-15,0.5,外資買超電子權值股緯創，顯示對其後市信心，但整體市場表現平穩，無明顯漲跌傾向。,2025-08-04 01:43:36,20
