date,factor,explanation,updated_time,news_count
2022-11-03,0.9,財報三率三升與獲利創高激勵市場信心，AI影像產品出貨旺季及多元化產品組合拓展有助營收成長。,2025-08-04 11:50:07,20
2022-11-11,0.7,在急單挹注與新產品推出下，第四季筆電出貨可望持平上季，但價格壓力仍存。中國市場需求強勁，亞太地區表現優於預期。,2025-08-04 11:50:08,20
2023-01-05,0.7,穩健營收成長與多元化產品組合帶動正面市場情緒，但獲利表現仍需財報確認。,2025-08-04 11:50:10,20
2023-02-06,0.6,營收表現符合預期但仍受工作天數減少影響，展望今年成長動能穩健且產品組合優化，有助維持正面市場情緒。,2025-08-04 11:50:11,20
2023-03-08,0.7,財報亮眼、獲利創高及配發高額股利激勵市場信心，但營收年減與存貨調整壓力仍影響短期情緒。,2025-08-04 11:50:13,20
2023-03-16,0.7,中國通路事業受惠解封與去年不利因素排除，法人預估今年獲利翻倍、每股純益上看 3 元，激勵正面市場情緒。,2025-08-04 11:50:14,20
2023-03-20,0.3,市場追價意願不足與外資賣超壓力使股價走跌，但個別題材股仍有表現空間。,2025-08-04 11:50:15,20
2023-03-22,0.6,"市場雖然受到美國金融業危機影響，但優質科技股如網通股仍有表現空間，中磊受惠新興市場成長與產品組合優化，獲利持續成長，股價低估。

====================",2025-08-04 11:50:17,20
2023-03-27,0.4,電子權值股普遍走跌拖累大盤，僅少數個股抗跌，市場情緒偏向保守。,2025-08-04 11:50:18,20
2023-04-06,0.6,營收表現符合預期但仍受庫存調整影響，第二季有望回溫並帶動市場情緒。,2025-08-04 11:50:19,20
2023-04-19,0.7,基本面良好且產業前景穩健，低估股有機會展開補漲行情。,2025-08-04 11:50:21,20
2023-05-09,0.3,"財報與展望雙雙低於預期，營收與獲利下滑壓抑市場信心，但新產品與擴廠計畫提供短期成長動能。

====================

以下是提供的新聞資訊 :

群光 (2385-TW) 今 (9) 日召開法說，展望後市，財務長林玉玲表示，由於半導體上游展望保守、庫存消化再遞延兩季，終端需求仍不明朗，因此下修全年營收至年減 5% 以內，最好情況是持平去年，獲利則在費用控管得宜下，有望維持高檔。 林玉玲坦言，目前訂單能見度非常短，甚至有些客戶難以給出訂單，導致第二季出現急單效應，加上第三、四季看不清楚，以及庫存還要下修兩季，今年第三季前呈現逐季向上，第四季會弱一些，全年營收最好情況是持平去年，或是年減幅在 5% 以內。 各產品線表現方面，鍵盤因與 PC、NB 關聯性高，今年業績下滑高個位數；影像今年會推出一系列新產品，業績則中位數成長；電源則因子公司群電尚未給出全年營收展望，前景尚看不清楚。 單看第二季營運部分，營收有望季增高個位數，營益率有望高於第一季的 7.9%；各產品線中，鍵盤與影像均季增雙位數、電源則是中高個位數成長。 群光近年積極擴展 AI 影像產品，其中車用駕駛監測系統 (DMS) 去年底開始出貨，已導入後裝車用市場，客戶看準共享汽車、安全需求，明年訂單量翻倍成長。 群光泰國廠產能比重已攀升至 15%，目標今年再提升至 20%，林玉玲說，目前主要是以影像整機組裝，而泰國人工薪資是中國的 6 成，效率也達到 85%，另一方面，泰國廠的製造費用、攤提折舊費用較高，加上供應鏈尚不完全，運費、電費也較貴。",2025-08-04 11:50:28,20
2023-05-10,0.6,營收與獲利成長及各事業部表現優於預期帶動正面市場情緒，但仍需留意後續庫存調整狀況。,2025-08-04 11:50:30,20
2023-05-30,0.7,得標金額創區域新高，顯示市場對該地段開發潛力有信心，預期將帶動周邊房市與商業發展。,2025-08-04 11:50:31,20
2023-06-01,0.7,00919 配息率亮眼且持續調整成分股以維持高股息特性，激勵市場對其前景的正面預期。,2025-08-04 11:50:33,20
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示正面訊息，惟下半年經濟前景不明影響市場信心。,2025-08-04 11:50:34,20
2023-06-06,0.6,營收回升與第二季獲利表現樂觀激勵市場信心，AI影像產品成長潛力強化正面展望。,2025-08-04 11:50:35,20
2023-06-17,0.3,營收與獲利下滑及對未來展望保守壓抑市場信心，但 AI 影像產品成長潛力仍可望支撐部分正面情緒。,2025-08-04 11:50:37,20
2023-07-27,0.6,"面板雙虎獲外資大買，群創更位居買超個股之冠，顯示市場對面板產業前景樂觀，但投信持續賣超中鋼與欣興等個股，反映部分利空訊息。整體而言，多空因素交錯，市場情緒偏正面但不過度樂觀。

====================",2025-08-04 11:50:38,20
2023-12-06,0.3,營收與獲利雙降壓抑市場信心，但公司對明年復甦前景樂觀，維持中性偏空情緒。,2025-08-04 11:50:40,20
