date,factor,explanation,updated_time,news_count
2022-11-01,0.7,市場情緒轉趨樂觀，半導體雙雄領軍衝鋒，加上傳產穩盤、中小型股助攻，指數開低走高突破萬三關口。聯發科法說利空不跌帶動 IC 設計族群強勢表現，櫃買指數漲幅更勝大盤，顯示內資信心回穩。,2025-08-04 14:57:32,20
2022-11-03,0.3,Fed 主席鮑爾再度放鷹引發美股重挫，拖累台股走勢，但盤中仍有個股點火，威盛、雷虎等強漲，緯穎財報釋出好消息，大漲半根漲停板。,2025-08-04 14:57:57,20
2022-11-04,0.7,電子權值股承壓但傳產族群強勁支撐，加上中小型股獲資金青睞，指數跌幅收斂並翻紅，但仍需留意後續量能與美股科技股走勢。,2025-08-04 14:57:59,20
2022-11-06,0.6,財報、法說行情及新品發表機會帶動市場信心，但產業庫存調整壓力仍在，營收展望保守使短期漲幅有限。,2025-08-04 14:58:01,20
2022-11-07,0.7,台股在半導體權值股領軍下大漲逾200點，成交量放大至2046億元，多方信心回溫，但仍需留意中國防疫政策變化、美國CPI數據等不確定因素。,2025-08-04 14:58:04,20
2022-11-08,0.8,新晶片推出有助於維持市場信心，展現公司創新實力與技術領先地位，激勵正面投資情緒。,2025-08-04 14:58:07,20
2022-11-09,0.9,半導體族群強勢反彈，營收報喜與利空出盡激勵市場情緒，多頭氣氛回歸。,2025-08-04 14:58:10,20
2022-11-10,0.3,市場觀望美國 CPI 數據公布，指數回落，但電子權值股如台積電走弱，航運與生醫族群撐盤，整體影響有限。,2025-08-04 14:58:13,20
2022-11-11,0.7,美股大漲激勵台積電領軍電子權值股強彈，半導體族群表現亮眼，但市場仍需時間消化通膨數據降溫的訊息。,2025-08-04 14:58:16,20
2022-11-12,0.9,"通膨降溫帶動熱錢回流，聯發科股價強漲突破700元大關，市場買盤積極卡位，外資與投信同步站在買方。執行長喊話多元佈局目標，展望未來成長潛力。

====================",2025-08-04 14:58:18,20
2022-11-13,0.7,台灣半導體產業三大利基支撐市場信心，且獲利前景穩健，激勵正面投資情緒。,2025-08-04 14:58:19,20
2022-11-14,0.7,"台股受惠美 Fed 升息放緩預期、外資回補等因素帶動，指數蓄勢挑戰半年線。聯發科等電子權值股領漲，但三星調降明年出貨量恐影響非蘋供應鏈表現。

===========================================================================

本文未完，全文詳情及圖表 請見完整內容萬寶週刊 1515 期
============================================================================",2025-08-04 14:58:23,20
2022-11-15,0.7,"股神巴菲特增持護國神山激勵市場情緒，半導體族群強勢表現，但指數上攻半年線壓力沉重，中小型股轉弱。聯發科澄清供應鏈移出台灣傳聞，強調將持續投資台灣。

====================

本次新聞內容主要聚焦在台積電、聯發科等半導體族群的表現，以及相關公司的最新動態與市場影響。綜合考量股神巴菲特力挺台積電、台積電帶頭衝刺指數、聯發科澄清供應鏈移出台灣傳聞等因素，整體對聯發科隔日的市場情緒有正面影響，預估股價波動可能上漲。",2025-08-04 14:58:27,20
2022-11-16,0.7,台積電領軍反彈激勵市場情緒，但電子權值股賣壓出籠，傳產與金融亦疲弱，整體盤面震盪加劇。營運展望佳、最壞時期已過的個股成焦點。,2025-08-04 14:58:31,20
2022-11-17,0.6,台積電與聯發科走勢牽動大盤，光學鏡頭族群受惠蘋果摺疊鏡頭升級題材強勢表現。生技股成櫃買焦點，但部分個股量大不漲恐波動加劇。指數半年線前遇壓，短期有回落可能。,2025-08-04 14:58:35,20
2022-11-18,0.7,台版晶片法案通過、巴菲特買進台積電 ADR 等利多消息激勵市場情緒，半導體族群漲勢強勁，但漲多個股面臨獲利了結壓力，整體盤勢呈現震盪整理。,2025-08-04 14:58:38,20
2022-11-19,0.7,整體經濟穩定與台積電ADR受惠台版晶片法案激勵，半導體產業前景樂觀，相關個股有望延續漲勢。,2025-08-04 14:58:40,20
2022-11-21,0.3,聯發科推出新款 Chromebook 處理器，但市場情緒受電子權值股疲軟拖累，買盤力道不足，整體影響中性偏淡。,2025-08-04 14:58:44,20
2022-11-22,0.6,台積電領軍電子權值股大漲，半導體族群強勢反彈，搭配通膨數據顯示聯準會升息步伐可能放緩，激勵市場情緒回溫，但個別股票表現分歧，整體維持中性偏多看待。,2025-08-04 14:58:47,20
2022-11-23,0.6,電子權值股表現平淡，生技族群與金融類股領軍撐盤，顯示市場觀望氣氛濃厚，但多頭格局未變。,2025-08-04 14:58:49,20
2022-11-24,0.9,聯發科獲利與需求前景穩健，激勵市場情緒走揚，IC設計股強勢表現，加上航運股助攻，台股指數續創逾2個月新高。,2025-08-04 14:58:53,20
2022-11-25,0.6,"市場信心回溫但漲勢趨緩，多空力道拉鋸使股價波動加劇。

====================

請注意以上分析僅針對 聯發科 股票市場情緒與股價波動進行評估，不涉及其他公司或產業。",2025-08-04 14:58:55,20
2022-11-28,0.3,選後台股震盪回檔，半導體三雄遭調節，但觀光與汽車族群仍有買盤支撐，市場情緒偏向中性。,2025-08-04 14:58:58,20
2022-11-29,0.7,金融股撐盤、權值股回穩及軍工概念股強勢表現等多空因素交錯，整體市場情緒偏正面但仍有不確定性。,2025-08-04 14:59:01,20
2022-11-30,0.7,市場情緒溫和上升，聯發科等個股漲幅帶動大盤走高，但權值股表現參差、成交量放大且類股輪動快速，顯示多空勢力拉鋸，後市仍需觀察。,2025-08-04 14:59:04,20
2022-12-01,0.7,"美股四大指數齊漲激勵台股突破盤整，上攻萬五關卡，但漲幅略為收斂，顯示市場信心回溫但仍有獲利了結賣壓。

聯發科天璣 8200 系列即將問世，持續深耕中階市場，有機會與高通 Snapdragon 8 Gen1 直球對決，激勵股價上漲。",2025-08-04 14:59:08,20
2022-12-02,0.6,市場情緒維持中性，電子權值股普遍走弱拖累大盤，但非電族群與缺電概念股撐盤，指數跌幅收斂。,2025-08-04 14:59:11,20
2022-12-05,0.6,電子權值股領漲、ABF 載板強勢、軍工概念股表現亮眼，多頭氣盛，但獲利了結賣壓出籠導致漲幅收斂。,2025-08-04 14:59:14,20
2022-12-06,0.3,市場擔憂經濟數據與通膨壓力，加上電子權值股疲軟拖累大盤走低，雖有部分題材股如遊戲、生技族群抗跌，但整體市場情緒偏向保守。,2025-08-04 14:59:17,20
2022-12-07,0.3,市場情緒轉趨謹慎，電子權值股普遍走跌拖累大盤，僅金融與生技類股撐場面。,2025-08-04 14:59:19,20
2022-12-08,0.5,"市場風險意識升溫，指數震盪走低，但內資買盤仍積極，部分類股如伺服器供應鏈、元宇宙題材個股表現強勁。半導體上游 IC 設計族群受制裁影響，營運展望引發疑慮。

市場風險意識升溫，指數震盪走低，但內資買盤仍積極，部分類股如伺服器供應鏈、元宇宙題材個股表現強勁。半導體上游 IC 設計族群受制裁影響，營運展望引發疑慮。",2025-08-04 14:59:23,20
2022-12-11,0.5,市場觀望 FOMC 會議與外資賣超影響，加上個股漲多拉回，短期市場情緒中性。,2025-08-04 14:59:45,20
2022-12-12,0.3,電子權值股領跌，加上金控雙雄賣壓沉重，拖累大盤下挫，但部分個股如生技製藥概念股及太陽能族群表現強勁。市場觀望氣氛濃厚，指數失守月線。,2025-08-04 14:59:49,20
2022-12-13,0.6,市場觀望美國 CPI 數據公布，電子權值股走弱拖累大盤回測半年線，但生技醫療族群強勁表現抵銷部分跌幅。,2025-08-04 14:59:51,20
2022-12-15,0.3,聯準會鷹派言論衝擊市場信心，科技股走跌，但台積電填息成功帶動指數翻紅，加上傳產股撐盤，整體市場情緒偏向中性。,2025-08-04 15:00:15,20
2022-12-16,0.3,市場對於聯準會鷹派升息預期升溫，加上電子權值股疲弱，拖累大盤走跌，但航運族群強勢表現撐住指數，整體而言，投資人觀望美股及外資動向。,2025-08-04 15:00:19,20
2022-12-18,0.6,市場情緒中性，部分正面因素如 ChatGPT 商機與 AIoT 潛力提振，但整體經濟前景不佳、外資賣超及美股財報壓力仍在。,2025-08-04 15:00:21,20
2022-12-19,0.3,中國解封後的經濟復甦前景不明朗，對相關產業的需求增長帶來疑慮，聯發科等科技股走勢疲軟，市場情緒轉趨謹慎。,2025-08-04 15:00:25,20
2022-12-20,0.3,市場信心受美股與經濟衰退疑慮影響，聯發科等電子權值股承壓，但航運、鋼鐵等傳產類股表現相對強勁，整體而言市場情緒偏向保守。,2025-08-04 15:00:28,20
2022-12-21,0.6,市場消化日本調高殖利率曲線控制上限的影響，電子權值股回神，鋼鐵、航運等傳產族群表現強勁，整體市場情緒偏正面。,2025-08-04 15:00:31,20
2022-12-22,0.7,內資力挺傳產股與電子權值股，航運、鋼鐵等族群強勢表現，加上美股大漲帶動，整體市場情緒偏向正面。,2025-08-04 15:00:34,20
2022-12-23,0.6,生技產業受惠疫情帶動藥物需求與醫療器材銷售，整體表現穩健，但個股走勢分歧，製藥類別產品與市場需求差異影響股價。,2025-08-04 15:00:36,20
2022-12-26,0.6,市場觀望氣氛濃厚，電子股交投清淡，加權指數狹幅震盪，生技股獲得資金青睞，但外資放假去，動能不足，恐陷入弱勢整理。,2025-08-04 15:00:39,20
2022-12-27,0.6,中國解封題材激勵觀光與航空類股，權值股普遍走揚，但外資放假去、大盤成交量明顯縮減，市場情緒維持中性。,2025-08-04 15:00:42,20
2022-12-28,0.3,市場情緒偏向負面，主要受到美股科技股走弱與半導體族群疲軟的拖累，但觀光類股表現抗跌。,2025-08-04 15:00:44,20
2022-12-29,0.2,中國疫情爆發引發市場憂慮，美股與主要亞股走跌，台股開盤後一度失守萬四關卡，權值股如台積電、聯發科走疲，金融股也無力撐盤，但貨櫃三雄及生技、遊戲等中小型股逆勢抗跌，終場加權指數下挫 88.08 點或 0.62%，收在 14085.02 點。,2025-08-04 15:00:49,20
2022-12-30,0.6,美股四大指數收紅帶動台股反彈，權值股如台積電領漲，但尾盤賣壓湧現，漲點縮小。整體而言，電子、航運與觀光族群表現強勁，軍工概念股也受惠政策利多，市場情緒略為正面。,2025-08-04 15:00:52,20
2023-01-03,0.7,半導體三雄領軍反彈，電子權值股紛紛翻紅，加上部分金融與傳產股助攻，大盤收復5日線。聯發科走勢強勁，帶動IC設計族群普遍反彈，但市場觀望氛圍濃厚，成交量仍低於月均量。,2025-08-04 15:00:55,20
2023-01-04,0.6,市場情緒偏中性，電子股漲跌互見，光電族群強勢，但晶圓雙雄尾盤賣壓重；再生能源、百貨等類股表現亮眼，但航運股疲弱，加權指數小跌。聯發科宣布與頻譜共用服務商聯邦無線公司合作，成功使用Filogic無線連網產品Wi-Fi 7和Wi-Fi 6E晶片完成自動頻率控制系統的互通性測試，為Wi-Fi 7性能帶來提升。,2025-08-04 15:00:59,20
2023-01-05,0.6,半導體族群領軍突圍，加上金融、內需消費概念股助攻，市場情緒偏正面，但漲幅收斂顯示信心仍不足，後市仍需觀察。,2025-08-04 15:01:02,20
2023-01-06,0.7,半導體權值股強勢表態，聯發科大漲帶動 IC 設計族群走強，多頭指標明確，但台積電熄火、生技製藥、軍工股熄火，市場觀望封關效應。,2025-08-04 15:01:06,20
2023-01-08,0.7,Google 支援 RISC-V 將帶動 IP 供應鏈商機，晶心科等業者可望加速在安卓市場滲透率。,2025-08-04 15:01:08,20
2023-01-09,0.7,"市場情緒轉趨樂觀，多空勢力拉鋸激烈，指數高檔震盪整理，短期漲勢可望延續。

台股在聯發科領軍下，電子占整體成交比重重回6成，加上金融股撐盤，大盤開高走高，大漲超過250點，突破14600關卡，站回月線，估量放大至2400億元。",2025-08-04 15:01:12,20
2023-01-10,0.7,台股在電子權值股如台積電、聯發科等領漲下，指數站上 14800 點關卡，但量能不足且生技股表現疲弱，整體市場情緒偏向中性。加上外資持續回補，顯示對後市仍有信心。,2025-08-04 15:01:15,20
2023-01-11,0.3,聯發科營收表現符合預期但成長力道疲弱，市場情緒偏向中性。,2025-08-04 15:01:18,20
2023-01-12,0.7,電子權值股與原物料族群領漲帶動大盤上揚，市場情緒偏正面，但量能萎縮與封關在即使買盤觀望，短期漲勢恐受限。,2025-08-04 15:01:21,20
2023-01-13,0.6,通膨降溫激勵國際股市反彈，台積電法說報喜提振電子權值股走勢，但大立光釋出手機市場悲觀訊號拖累相關個股表現，指數漲幅收斂，終場上漲 92 點，守穩 14800 關卡。,2025-08-04 15:01:24,20
2023-01-17,0.6,虎年封關日電子權值股疲軟拖累大盤，但傳產與金融類股撐盤，外資連 9 買，市場情緒中性偏正面。,2025-08-04 15:01:48,20
2023-01-30,0.7,兔年開紅盤，受惠於科技股強勁反彈與台積電領軍上攻，帶動加權指數站上萬五關卡並創下 5 個多月來新高，顯示市場情緒轉趨樂觀。,2025-08-04 15:02:11,20
2023-01-31,0.3,電子權值股普遍回檔，金融指標股疲軟，加上美股走跌影響，拖累台股開低走低，大跌逾 200 點，摜破年線。雖有鴻家軍、航運等傳產股逆勢撐盤，但整體市場情緒偏向負面。,2025-08-04 15:02:14,20
2023-02-01,0.6,"題材股漲多拉回壓力大，基本面利空籠罩電子族群，市場情緒轉向謹慎觀望。

聯發科近期獲利表現亮眼，但隨著外資持續買超、股價上漲，短線漲幅已大，且去年董監酬勞高達每位平均 1.05 億元，引起市場關注。加上消費電子需求疲弱、庫存調整壓力等利空因素，可能對聯發科的營收和獲利造成影響。此外，台股在年線附近震盪，且電子族群表現不佳，也使得市場情緒轉向謹慎觀望。因此，短期內聯發科的股價波動可能會較大。",2025-08-04 15:02:20,20
2023-02-02,0.9,聯準會放緩升息步調與台積電領軍的半導體族群強勢表態，激勵大盤創逾7個月新高，市場情緒轉趨樂觀。,2025-08-04 15:02:22,20
2023-02-04,0.6,雖然聯發科法說會釋出保守展望，但中國解封與需求復甦前景穩健有助提振市場信心。,2025-08-04 15:02:45,20
2023-02-06,0.6,市場情緒偏中性，半導體權值股下跌拖累大盤，但生技、解封概念股表現強勁，籌碼面維持多方優勢，短線修正後仍有望延續漲勢。,2025-08-04 15:02:49,20
2023-02-07,0.3,市場情緒偏向中性，電子權值股走弱拖累大盤，但傳產族群與部分個股支撐指數守穩年線。FED 主席談話與科技股漲多後的震盪將影響後市表現。,2025-08-04 15:02:51,20
2023-02-08,0.9,美聯準會主席談話緩解升息疑慮激勵美股強彈，半導體族群領軍衝鋒，電子權值股全面走揚，高價股、IC設計股漲勢凌厲，再現七千金榮景，多頭氣盛。,2025-08-04 15:02:54,20
2023-02-09,0.3,聯發科股價疲軟，拖累台積電、聯電等電子權值股表現，市場情緒偏向保守。,2025-08-04 15:02:57,20
2023-02-10,0.3,"台股震盪走跌，電子與傳產指標股普遍疲軟，僅部分金融股撐盤，市場情緒偏向保守。加權指數收黑下跌 12.06 點，成交量降至 2097.74 億元。三大法人合計賣超 35.31 億元。主要電子權值股表現分歧，台積電、聯電、鴻海等多檔收紅，但聯發科、瑞昱、矽力 * - KY 等 IC 設計股走弱。創意未入列 MSCI 台灣指數成分股，早盤湧現失望性賣壓。軍工概念表現相對強勁，寶一、雷虎漲停，漢翔也有 1.6% 漲幅。整體而言，台股目前隨美股連動震盪，須留意部分漲多類股的獲利了結賣壓。

0.3
台股走勢震盪，IC 設計族群湧現賣壓，但台積電強力穩盤，加上金融股陸續翻紅助攻，跌勢並未擴大。三大法人合計賣超 35.31 億元。主要電子權值股方面，台積電漲近 1%，聯電、鴻海、國巨、台達電等多檔收紅，但聯發科、瑞昱、矽力 * - KY 等 IC 設計股表現疲弱。創意未入列 MSCI 台灣指數成分股，早盤湧現失望性賣壓。軍工概念表現相對強勁，寶一、雷虎漲停，漢翔也有 1.6% 漲幅。整體而言，台股目前隨美股連動震盪，須留意部分漲多類股的獲利了結賣壓。",2025-08-04 15:03:06,20
2023-02-12,0.5,產業展望與庫存調整議題引發關注，但缺乏明確利多訊息，市場情緒維持溫和。,2025-08-04 15:03:07,20
2023-02-13,0.3,市場觀望氣氛濃厚，加權指數跌勢收斂，電子權值股熄火，金融撐盤，部分傳產及生技、網通、資服股獲資金青睞。,2025-08-04 15:03:10,20
2023-02-14,0.7,台股在電子權值股與傳產族群領漲下站上波段新高，三大法人合計買超，外資終止連3賣，但市場觀望美國CPI指數釋出後續訊息，量能萎縮。,2025-08-04 15:03:13,20
