date,factor,explanation,updated_time,news_count
2022-11-02,0.6,三大法人買超英業達，且在權值股拉抬下指數站上 13100 點，顯示市場情緒偏正面。,2025-08-04 13:41:39,20
2022-11-03,0.3,市場信心受美聯準會升息及美元走強影響，英業達等電子股走跌，傳產族群疲弱，整體大盤下挫。,2025-08-04 13:41:40,20
2022-11-06,0.6,多家重量級公司財報與展望將公布，市場關注營收表現與產業前景，整體呈現中性偏正面。,2025-08-04 13:41:42,20
2022-11-07,0.6,營收成長與連續兩個月站穩500億元大關顯示公司基本面穩健，但市場需求變化仍帶來一定不確定性。,2025-08-04 13:41:43,20
2022-11-10,0.6,外資賣超英業達等個股但買超聯電、陽明等，投信買超英業達等，自營商賣超英業達等，顯示市場情緒中性。,2025-08-04 13:41:45,20
2022-11-11,0.6,"財報表現符合預期且產品組合改善帶動毛利率創高，但第四季展望保守及市場需求疲弱壓抑短期市場信心。

====================

以下是提供的新聞資訊 :

代工大廠英業達 (2356-TW) 今 (11) 日召開法說會，並公布第三季財報，受惠高單價產品比重提高，單季毛利率站上 5.15%，為近五年單季高點，稅後純益則達 17.49 億元，季增 16.6%、年減 37.54%，主因是去年同期業外有一次性資產處分挹注所致，單季每股純益 0.49 元，累計前三季純益 47.36 億元、年減 6.7%，每股賺 1.32 元。 英業達第三季營收達 1424.52 億元，季增 4.94%、年減 1.81%，毛利率 5.15%，季增 0.79 個百分點、年增 1.08 個百分點，營益率 1.57%，季增 0.41 個百分點、年增 0.54 個百分點，稅後純益 17.49 億元，季增 16.6%、年減 37.54%，每股純益 0.49 元。 累計英業達今年前三季營收 4069.94 億元，年增 9.5%，毛利率 4.67%，年增 0.32 個百分點，營益率 1.22%，年增 0.27 個百分點，稅後純益 47.36 億元，年減 6.7%，每股純益 1.32 元。 業外方面，英業達第三季業外貢獻約 5300 萬元，其中，匯兌利益約 1.63 億元、利息收入達 3.53 億元，出貨方面，英業達第三季筆電出貨約 500 萬台，季減 7.41%、年減 15.25%，累計前三季筆電出貨達 1540 萬台。 英業達 10 月營收則較上月小幅滑落，達 502.93 億元，月減 1.32%、年增 5.11%，但仍連兩個月站穩 500 億元大關，累計今年前 10 月營收達 4572.87 億元、年增 8.99%。

---

代工大廠英業達 (2356-TW) 今 (11) 日召開法說會，展望未來，總經理巫永財說，第四季受整體大環境影響，消費性產品出貨將下滑，伺服器則可望持平，明年看好筆電、伺服器、智慧裝置等三大產品線都將成長，其中，筆電在新增電競專案挹注下，出貨、平均單價都可望提升。 英業達認為，第四季筆電出貨將季減近 1 成，伺服器、智慧裝置出貨則可望持平第三季，營收受出貨下滑，估將滑落至今年第二季約 1350 億元水準。 英業達第三季毛利率達 5.15%，攀上近五年單季新高，英業達解釋，主因是產品組合貢獻，且第三季筆電產品占比首度低於 5 成，至於第四季能否維持 5% ，仍具挑戰性。 展望明年，巫永財表示，整體個人電腦 (PC) 市場估將至少下滑 1 成，英業達難避市場衝擊，但在新增電競專案加持下，明年出貨仍可望較今年成長，且平均單價 (ASP) 成長幅度將高於出貨成長，目前英業達商用、消費筆電比重約 7 比 3。 伺服器方面，伺服器事業群總經理蔡技安說，明年英業達伺服器可望與市場成長相當，達雙位數成長，企業端 (Enterprise) 需求則較 CSP(大型雲服務商) 放緩，目前兩者營收比重約 6:4，出貨量則相反。 英華達總經理何代水也說明智慧裝置展望，坦言今年營運受封控影響，不過明年在全球製造到位，可望陸續取得新客戶、新計畫，越南廠也預計明年首季完工、第二季加入量產，整體出貨、營收、獲利貢獻都將提升。 英業達全球產能布局持續進行，巫永財說，以伺服器產品為例，目前前端板子主要在中國、台灣生產，隨著年底墨西哥廠 5 條線逐步完工上線後，將把部分移轉過去，而因應全球產能擴充持續進行，估明年資本支出也將維持與今年 80 億元相當的水準。",2025-08-04 13:42:01,20
2022-11-14,0.7,權值股領漲加上電子、傳產族群齊揚，資金行情延續推升市場信心。,2025-08-04 13:42:03,20
2022-11-17,0.7,美股神巴菲特大舉買進台積電 ADR，激勵半導體族群表現，英業達等相關概念股有望受惠。,2025-08-04 13:42:05,20
2022-11-21,0.7,新聞內容呈現正負面訊息並存，航運業獲利表現亮眼但股價波動劇烈，整體市場情緒偏向中性。,2025-08-04 13:42:07,20
2022-11-22,0.7,台積電領漲帶動指數上攻半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-04 13:42:09,20
2022-11-25,0.6,傳產與生技族群成交值攀升，電子股轉弱使市場情緒趨中性，但若電子類股無法接棒生技族群則不利指數多方行情。,2025-08-04 13:42:31,20
2022-11-28,0.3,市場信心受到外資賣壓影響，個股表現分歧，整體呈現小幅修正走勢。,2025-08-04 13:42:33,20
2022-11-29,0.3,三大法人買超但個股表現分歧，外資偏好金融與晶圓雙雄，投信則鎖定金控股。,2025-08-04 13:42:34,20
2022-11-30,0.7,"亞馬遜雲端事業部 AWS 增聘員工擴廠帶動伺服器需求，台廠供應鏈如鴻海、英業達等可望受惠。

====================

請注意以上輸出僅供參考，不代表實際市場行情。",2025-08-04 13:42:36,20
2022-12-07,0.7,英業達在電子紙產品與醫療應用領域取得進展，展現多元發展潛力，有助於維持市場信心。,2025-08-04 13:42:38,20
2022-12-08,0.7,"雲端商機與伺服器需求穩健支撐營運展望，但整體大環境影響消費性產品表現。

====================

以下是提供的新聞資訊 :

英業達 (2356-TW) 今(8) 日公布 11 月營收，呈現兩樣情，緯創 (3231-TW)、英業達 (2356-TW) 今(8) 日公布 11 月營收，呈現兩樣情，緯創在子公司緯穎 (6669-TW) 挹注下，單月營收達 886.04 億元，月增 12.7%、年增 2.8%，累計今年前 11 月更已超越去年全年，英業達 (2356-TW) 則反映大環境影響，營收、筆電出貨均月減逾 1 成。 緯創 (3231-TW) 緯創 11 月營收達 886.04 億元，月增 12.7%、年增 2.8%，累計今年前 11 個月營收達 8879.69 億元，年增 16.1%，並已超越去年全年；出貨方面，緯創 11 月筆電出貨約 150 萬台，與上月持平但年減 4 成，桌機也與上月相當，出貨約 70 萬台、年減 17.65%，顯示器則出貨 90 萬台，月減 18.18%、年減 30.77%。 緯創表示，因明年農曆假期較早，估 12 月筆電出貨可望優於 11 月，桌機、顯示器則持平，整季來看，筆電出貨將季減約 1 成，桌機、顯示器出貨也將低於第三季水準，至於明年首季進入傳統淡季，預期筆電、顯示器出貨都將再下滑，桌機則可望持平。 另一方面，緯創旗下雲端伺服器大廠緯穎 11 月營收續站穩高檔，達 334.56 億元，月增 42.6%、年增 62.8%，改寫歷史次高，累計今年前 11 月營收達 2623.6 億元，年增 53.4%。 展望未來，緯穎指出，現階段對第四季需求持續樂觀，且未再看到供給面長短料有大問題，從歷史軌跡來看，傳統第四季是全年高峰趨勢不變，換言之，緯穎第四季營運可望續創新高。 英業達 (2356-TW) 英業達 11 月營收則下滑至 441.36 億元，月減 12.2%、年減 8%，累計今年前 11 月營收達 5014.23 億元、年增 7.2%；出貨方面，英業達 11 月筆電出貨約 140 萬台，月減 12.5%、年減 30%，累計今年前 11 月筆電出貨達 1840 萬台，低於去年同期。 展望未來，英業達維持先前展望，認為第四季受整體大環境影響，消費性產品出貨將下滑，其中，筆電出貨將季減近 1 成，伺服器、智慧裝置則可望持平第三季，明年看好筆電、伺服器、智慧裝置等三大產品線都將成長，其中，筆電在新增電競專案挹注下，出貨、平均單價都可望提升。",2025-08-04 13:42:50,20
2022-12-12,0.3,英業達受整體市場疲弱與電子權值賣壓拖累，營收表現遜於預期，加上外資持續賣超，短期股價承壓。,2025-08-04 13:42:52,20
2022-12-14,0.7,展望明年營運成長、擴產計畫與新產品應用帶動市場信心，但須留意大環境變數影響。,2025-08-04 13:42:54,20
2022-12-15,0.6,中芯國際衝刺成熟製程晶片產能與中國扶植半導體計畫恐對聯電、台積電等台廠營運造成壓力，英業達攜手英特爾、微軟目標成為首個取得5G專網執照的企業團體。,2025-08-04 13:42:56,20
2022-12-16,0.6,電子股普遍疲軟拖累大盤，但英業達等代工廠相對抗跌，生技股持續吸引資金避險，整體市場情緒偏向中性。,2025-08-04 13:42:58,20
2022-12-19,0.6,伺服器產業成長趨勢不變，相關供應鏈股價走強，但整體市場情緒仍偏中性，需持續關注後續動向。,2025-08-04 13:43:00,20
2022-12-20,0.3,市場氛圍偏空，三大法人同步賣超，加上外資對金控股賣壓沉重，拖累指數下跌，但部分傳產股獲投信青睞，顯示買盤力道仍在。,2025-08-04 13:43:02,20
