date,factor,explanation,updated_time,news_count
2022-11-01,0.6,市場信心逐步回穩，電子權值股與金融股領軍上攻，但鴻海等個股仍受利空影響，整體呈現區間震盪走高。,2025-08-04 14:05:47,20
2022-11-02,0.6,鴻海旗下富士康鄭州廠面臨返鄉潮與疫情雙重壓力，市場擔憂影響營運，但台股量縮震盪向上格局未變，指數有望挑戰 13394 點跳空缺口。,2025-08-04 14:05:50,20
2022-11-03,0.3,市場信心受鮑爾鷹派言論影響，指數失守月線，但中小型股題材撐盤，電子零組件、電纜等族群表現相對強勁。,2025-08-04 14:05:53,20
2022-11-04,0.6,電子權值股跌幅縮小、傳產族群強勢表態及集團作帳行情啟動等因素使市場情緒轉為正面，但美股持續走弱與外資賣超仍是隱憂，預期指數將在萬三附近區間震盪。,2025-08-04 14:05:56,20
2022-11-05,0.7,市場情緒中性，雖然部分公司財報表現亮眼，但整體經濟環境與升息壓力仍對科技類股造成壓抑。,2025-08-04 14:05:58,20
2022-11-06,0.6,"本周鴻海法說及聯發科新品發表為市場焦點，但鄭州封控影響生產值得關注。整體而言，財報與展望將左右電子股走勢。

====================",2025-08-04 14:06:00,20
2022-11-07,0.6,營收創高但下調第四季展望引發市場擔憂，需求強勁與政府支援有助穩定信心，但短期內利空因素仍影響整體情緒。,2025-08-04 14:06:03,20
2022-11-08,0.6,雖然營收與獲利表現亮眼，但鄭州廠疫情影響及下調第四季展望壓抑市場信心，整體而言對鴻海股價產生中性影響。,2025-08-04 14:06:05,20
2022-11-09,0.7,市場信心回溫，電子成交比重重返七成，加上營收報喜與利空出盡族群強勢表態，激勵指數大漲逾 200 點，站回 13500 點關卡。,2025-08-04 14:06:08,20
2022-11-10,0.3,市場觀望氣氛濃厚，加權指數下跌，但個別族群表現分歧，電子與金融股疲軟，生技醫療、航運等類股相對抗跌。鴻海第三季財報優於預期，營收、獲利皆創同期新高，但股價走弱，顯示短線漲多後拉回整理的態勢。,2025-08-04 14:06:12,20
2022-11-11,0.7,美股強彈激勵台股大漲逾 500 點，站上萬四關卡，半導體、電子族群領軍衝鋒，但鴻海等個股表現疲弱。市場信心回溫，成交量放大至 3000 億以上，顯示多方氣勢強勁。,2025-08-04 14:06:16,20
2022-11-12,0.7,鴻海與 PTT 合資電動車廠奠基動土，展現積極佈局電動車市場的決心，有利於長期發展，但短期內對股價影響有限。,2025-08-04 14:06:18,20
2022-11-13,0.6,B20 峰會與郭台銘力挺高虹安等政治議題對鴻海股價影響有限，但展現企業社會責任正面形象。,2025-08-04 14:06:20,20
2022-11-14,0.7,鴻海董事長出席 B20 峰會並發表演說，展現積極參與國際事務及推動產業發展的決心，有助提升公司形象，但短期內營運面臨挑戰，市場情緒偏中性。,2025-08-04 14:06:23,20
2022-11-15,0.7,外資買超聯電、台積電等晶圓雙雄，且連三日買超台積電，顯示對半導體產業前景樂觀，激勵市場情緒。,2025-08-04 14:06:25,20
2022-11-16,0.6,鴻海電動車供應鏈受惠，整體市場情緒偏正面，但台股走勢疲弱拖累表現。,2025-08-04 14:06:27,20
2022-11-17,0.6,行政院通過台版晶片法案激勵半導體族群，但電子權值股表現分歧，傳產股也有所震盪，市場情緒偏中性。,2025-08-04 14:06:30,20
2022-11-18,0.3,市場信心受到電子與金融傳產權值股走弱影響，短線漲多後出現修正，但中小型股與生技族群撐盤，整體維持偏多格局。,2025-08-04 14:06:33,20
2022-11-19,0.7,台股受惠於美中科技競爭，安控、金寶等「去中化」概念股與 RISC-V 等「去美化」概念股表現強勁，整體市場情緒正面。,2025-08-04 14:06:35,20
2022-11-20,0.6,雖然鄭州廠區受到疫情影響，但太原富士康生產秩序維持正常，市場對鴻海營運的擔憂減輕，整體而言中性偏正面。,2025-08-04 14:06:38,20
2022-11-21,0.5,鴻海量子計算研究所解決貧瘠高原現象，為量子機器學習領域開創新頁，但股價疲軟，顯示市場對此消息反應平淡。,2025-08-04 14:06:41,20
2022-11-22,0.7,鴻海延攬前台積電共同營運長蔣尚義擔任半導體策略長，顯示集團對半導體產業的重視與決心，有利於未來發展。,2025-08-04 14:06:43,20
2022-11-23,0.6,鴻海延攬前台積電大將蔣尚義擔任集團半導體策略長，有助提升市場信心，搭配玉晶光 VR 產品客戶新品上市有助營收、生技股強勢表現等利多因素，整體而言對鴻海的市場情緒產生正面影響。,2025-08-04 14:06:47,20
2022-11-24,0.6,"鄭州廠抗議事件引發市場擔憂，但鴻海已積極處理並持續生產，且集團加速電動車布局，有助於中長期營運表現。短期內雖有不確定性但影響有限。

====================

請注意以上分析僅針對 鴻海 (2317-TW) 進行評估，不涉及其他公司或市場資訊，請勿引用任何外部資料或新聞內容。",2025-08-04 14:06:50,20
2022-11-25,0.3,鄭州廠事件引發大量新進員工離職，恐影響 iPhone 11 月產量，拖累鴻海股價走跌，市場情緒偏向負面。,2025-08-04 14:06:53,20
2022-11-26,0.7,"鴻海延攬前台積電大將蔣尚義擔任半導體策略長，顯示集團對半導體領域的重視與決心，加上選舉行情助攻，市場情緒偏向正面，但中國封控影響仍待觀察。

====================

請注意以上分析僅針對鴻海公司進行評估，不涉及其他公司或股市資訊。",2025-08-04 14:06:56,20
2022-11-27,0.2,鄭州廠疫情封控與抗爭衝擊導致產能受阻，鴻海祭出激勵政策以維持生產，但事件負面影響仍壓抑市場信心。,2025-08-04 14:06:58,20
2022-11-29,0.7,鴻海與福斯汽車合作生產 Scout 品牌汽車的消息激勵市場情緒，顯示公司在電動車領域的擴張策略獲得正面回應。,2025-08-04 14:07:22,20
2022-11-30,0.7,市場情緒偏正面，主要受惠於亞馬遜雲端事業部 AWS 增聘員工與建置新資料中心的利多消息，以及台股大盤上漲帶動，但部分負面因素如富士康鄭州廠抗議事件、蘋果 iPhone 14 出貨量下修等仍存在，整體而言對鴻海股票市場情緒影響中性偏正。,2025-08-04 14:07:25,20
2022-12-01,0.7,鮑爾鴿派言論激勵美股大漲，台股跟進反彈站回萬五關卡，權值三王與半導體族群領軍衝鋒，成交量維持高檔，顯示市場樂觀情緒回升。,2025-08-04 14:07:28,20
2022-12-02,0.6,鴻海集團強勢表現帶動中小型股活躍，電子權值股則因台積電走弱而疲軟，整體市場呈現區間震盪。,2025-08-04 14:07:31,20
2022-12-05,0.6,集團作帳行情提前啟動，鴻海家族與聯家軍強勢表態，加上 ABF 載板、生技等族群買盤湧入，激勵指數重登萬五之上，但漲幅受獲利了結賣壓影響而收斂。,2025-08-04 14:07:35,20
2022-12-06,0.3,市場情緒轉為保守，電子權值股疲軟，傳產與金融也無力撐盤，拖累大盤跌幅擴大。遊戲、觀光、風電等族群相對抗跌，但整體表現仍偏弱。,2025-08-04 14:07:38,20
2022-12-07,0.3,市場情緒受到整體大盤下跌影響，雖有鴻海領投融資案利多，但仍無法抵擋賣壓，顯示投資人對於個股表現較為謹慎。,2025-08-04 14:07:40,20
2022-12-08,0.5,"市場風險意識升溫，權值股走疲拖累指數跌破月線，但內資買盤仍然積極，伺服器供應鏈個股表現強勁。

台股面臨反彈超過 2500 點後修正，目前應靜待修正後再啟動攻勢。",2025-08-04 14:07:44,20
2022-12-09,0.3,雖然鴻海增資印度子公司以擴充 iPhone 產線，但外媒報導郭台銘寫信給中國政府高層協助放鬆疫情管制的傳聞遭到否認，市場對於富士康鄭州廠恢復生產仍存在不確定性。,2025-08-04 14:07:47,20
2022-12-11,0.6,"公司多元化發展與車用產品布局進展正面，但整體市場觀望氣氛濃厚，個股表現為主。

====================

範例輸出1:
0.5
財報表現符合預期但營收與獲利下滑及庫存調整壓力使短期市場情緒維持中性。

範例輸出2:
0.6
公司多元化發展與車用產品布局進展正面，但整體市場觀望氣氛濃厚，個股表現為主。",2025-08-04 14:07:50,20
2022-12-12,0.6,電子權值股走勢疲軟拖累大盤，但生技醫療與太陽能族群表現強勁，整體市場情緒維持中性偏空。,2025-08-04 14:07:52,20
2022-12-13,0.6,市場觀望美國 CPI 數據及 Fed 利率決策，電子股走弱，金融賣壓湧現，但鋼鐵、生技等傳產族群表現強勁，抵銷部分跌幅。整體而言，盤面呈現中性格局。,2025-08-04 14:07:56,20
2022-12-14,0.7,鴻海與英特爾合作推出永續性資料中心解決方案，MODEL T 電動巴士投入土城廠區營運，展現企業對於綠色發展的重視，有助提升市場正面情緒。,2025-08-04 14:07:59,20
2022-12-15,0.7,儘管美股走跌及聯準會鷹派言論影響，但台積電填息及傳產股撐盤，整體市場情緒維持中性偏正面。,2025-08-04 14:08:02,20
2022-12-16,0.3,市場信心受美股拖累，電子權值股走弱，加上航運、生技等族群表現分歧，整體盤勢偏空，鴻海股價承壓。,2025-08-04 14:08:04,20
2022-12-17,0.3,鴻海處分紫光持股引發市場關注，但整體而言消息並未帶來明顯負面影響，短期內對市場情緒的衝擊有限。,2025-08-04 14:08:06,20
2022-12-18,0.6,市場情緒中性，部分新聞對公司基本面有正面影響但整體仍偏向中性，短期股價波動可能受到大盤與個股輪動影響。,2025-08-04 14:08:09,20
2022-12-19,0.3,市場觀望氣氛濃厚，缺乏明確主流族群領軍，僅防疫概念股短線受惠題材。整體而言，指數維持區間震盪格局，操作難度高。,2025-08-04 14:08:12,20
2022-12-20,0.3,市場情緒偏向保守，電子權值股疲軟拖累大盤走跌，但部分傳產類股如航運、鋼鐵支撐指數維持在相對高點。外資放假及升息壓力影響投資信心，短期內台股可能以中小型股為主，觀察大型股表現並留意資金是否回流電子股。,2025-08-04 14:08:15,20
2022-12-21,0.6,"市場情緒偏向正面，鋼鐵股與航運股領漲，但電子權值股表現平平，整體而言呈現小幅反彈。日本央行政策轉彎帶動亞股反彈，以及中鋼董座看好明年鋼市復甦優於預期，是支撐市場情緒的主要原因。

====================

請注意以上分析僅針對 鴻海 公司進行評估，不涉及其他公司或資訊。",2025-08-04 14:08:19,20
2022-12-22,0.7,內資力挺傳產股與電子權值股，外資回頭買超，多方重新站回半年線，市場情緒偏正面。,2025-08-04 14:08:22,20
2022-12-23,0.3,美股大跌拖累台股，半導體族群承壓，但蘋果新機上市題材及再生能源政策利多支撐部分個股表現。整體而言，市場情緒偏空，短期內難有明顯反彈。,2025-08-04 14:08:25,20
2022-12-24,0.6,轉投資公司建漢營運逐漸回溫，展望明年成長並擴廠，帶動鴻海集團網通事業正面發展。,2025-08-04 14:08:26,20
2022-12-25,0.6,鴻海董事長劉揚偉發表量子科技相關言論，展現公司在該領域的佈局與前景，但具體效益仍需時間驗證，短期內對市場情緒帶來正面影響。,2025-08-04 14:08:28,20
2022-12-26,0.2,"市場觀望氣氛濃厚，指數狹幅震盪，多空力道拉鋸，電子權值股表現疲弱，非電族群如製藥業相對抗跌。

====================

請注意以上分析僅針對 鴻海 公司的新聞進行綜合評估，不涉及其他公司或市場資訊。",2025-08-04 14:08:30,20
2022-12-27,0.6,中國解封題材帶動觀光族群強彈，但生醫製藥股漲多拉回，IC設計股挺身而出，加權指數力守5日線，成交量微幅增至1252億元。外資放假去，大型股賣壓減輕，大盤由內資主導，具題材性個股輪動，封關前剩下來的三個交易日，預期都將維持量縮快速輪動、橫盤整理為主軸。,2025-08-04 14:08:34,20
2022-12-28,0.6,市場情緒受到美股科技股走弱拖累而轉為中性，部分非電族群如觀光百貨仍獲買盤支撐，但三大法人合計賣超且外資調節晶圓代工族群。,2025-08-04 14:08:36,20
2022-12-29,0.6,市場情緒偏中性，部分個股如晶睿、建碁等受惠轉單效益或中國解封題材，但整體而言，電子權值股走弱、金融股疲軟，貨櫃三雄撐盤有限，多空勢力拉鋸。,2025-08-04 14:08:40,20
2022-12-30,0.7,雖然外資連三賣，但權值股領漲，航運與觀光族群強勢表現，顯示市場信心回升，預期隔日台股將呈現溫和上揚。,2025-08-04 14:08:42,20
2022-12-31,0.4,蘋果可能尋找其他代工廠生產高階 iPhone 的消息，加上鄭州廠疫情影響出貨量，對鴻海的市場信心造成壓力。,2025-08-04 14:08:44,20
2023-01-02,0.7,雖然鄭州廠區人力吃緊，但鴻海啟動「同舟共濟、助力生產」計畫調度員工支援，並收購德國汽車線束業者擴充電動車關鍵零組件布局，顯示公司積極因應挑戰並持續投資成長，激勵中性至正面市場情緒。,2025-08-04 14:08:47,20
2023-01-03,0.6,鴻海宣布併購案激勵市場信心，但台股開盤走勢疲弱，電子權值股下挫拖累大盤指數陷入萬四保衛戰。展望後市，雖然美股續弱、外資尚未大幅回流，加上內資可能提前獲利了結，但台積電資本支出擴大、鴻海併購案有助營運成長，整體而言市場情緒中性。,2025-08-04 14:08:50,20
2023-01-04,0.3,再生能源、風電概念股強勢表現帶動盤面多頭，但航運股賣壓沉重，加上權值股尾盤湧現賣壓，台股終場小跌。整體而言，市場情緒中性偏空，短期內漲跌幅有限。,2025-08-04 14:08:54,20
2023-01-05,0.6,營收表現符合預期且全年創高，但受到鄭州廠區疫情影響，部分產品類別月對月及年對年的表現仍有衰退，市場信心尚未完全恢復。,2025-08-04 14:08:56,20
2023-01-06,0.7,市場情緒偏正面，主要受惠於蘋果供應鏈營收成長與電子產業庫存調整接近尾聲的預期，但仍需留意中國封城對供應鏈的影響。,2025-08-04 14:09:00,20
2023-01-07,0.7,營收創新高與電動車布局進展激勵市場信心，但通膨壓力仍在，普發現金政策可能帶來短期利多。,2025-08-04 14:09:02,20
