date,factor,explanation,updated_time,news_count
2022-11-01,0.7,台股在電子、金融及傳產股齊漲帶動下，收盤再度重返萬三大關，金管會主委表示基本面佳且殖利率高，本益比低顯示被低估，後市可期。加上通膨壓力仍居高不下，升息速度之快導致亞洲貨幣貶值，美元指數創高，亞股重挫。綠能和電動車獲得政府政策支持，有機會旺個黃金十年。相關個股如台達電、永冠 - KY、元晶、安集等可留意。,2025-08-11 22:27:15,15
2022-11-02,0.7,台股受惠美股反彈及電子權值股強勢，指數上漲並站回月線，但量能不足且中小型個股表現亮眼，顯示市場觀望情緒仍濃厚。台達電領軍電子族群走強，伺服器相關概念股如緯穎、金像電等也有不錯表現，惟金融類股普遍下跌，傳產族群偏弱勢。整體而言，市場信心逐漸恢復，但仍需留意量能及個別族群的表現。,2025-08-11 22:27:20,15
2022-11-04,0.7,電子權值股跌勢縮小、金融與航運撐盤，加上內資青睞中小型股，激勵台股翻紅收漲，顯示市場信心回溫，但美股走弱仍是隱憂，後市需持續關注。,2025-08-11 22:27:40,15
2022-11-06,0.6,多家重量級公司召開法說會，營收展望及產業前景成為市場焦點，而聯發科新旗艦晶片亮相與台積電公布營收也將牽動電子族群走勢。成大電機論壇聚焦電動車、化合物半導體等議題，反映產業發展趨勢。整體而言，市場情緒偏正面但仍需留意經濟放緩對終端需求的影響。,2025-08-11 22:27:43,15
2022-11-08,0.7,積極參與聯合國氣候變遷大會並分享儲能系統案例，凸顯台達電在能源轉型中的領導地位，有助於提升市場信心。,2025-08-11 22:27:45,15
2022-11-10,0.7,鄭崇華看好電動車需求帶動市場快速成長的第三階段即將來臨，加上台達電 10 月營收創次高，顯示公司基本面強勁，激勵正面市場情緒。,2025-08-11 22:27:49,15
2022-11-11,0.9,美國通膨降溫激勵美股大漲，台積電 ADR 同步飆升，帶動台股強彈逾 500 點，多方指標如台積電、聯發科、台達電等領軍衝鋒，市場情緒轉趨樂觀。,2025-08-11 22:27:54,15
2022-11-12,0.3,通膨降溫與 FTX 破產事件帶動全球股市上漲，但台積電高雄廠 7 奈米延後擴產及半導體需求放緩等因素，對市場情緒造成一定壓抑。,2025-08-11 22:27:57,15
2022-11-14,0.7,多項利多消息激勵市場情緒，包括中國放鬆清零政策、釋出房市刺激政策等帶動相關族群走強，以及電子權值股如台積電、聯電、鴻海、台達電等漲勢助攻。,2025-08-11 22:28:00,15
2022-11-15,0.9,台積電ADR大買消息激勵指數強彈，半導體族群全面走強，權值股領漲帶動市場情緒轉正。,2025-08-11 22:28:03,15
