date,factor,explanation,updated_time,news_count
2022-11-03,0.3,市場信心受聯準會升息影響，指數開盤重挫，但部分個股如伺服器族群仍有支撐，顯示中小型股相對強勢。整體而言，量能不足且大盤震盪，預期短線區間整理為主。,2025-08-11 21:31:50,15
2022-11-07,0.6,網通三雄 10 月營收亮眼，智邦 繼續受惠於 400G 交換器需求強勁，帶動整體市場情緒正面。,2025-08-11 21:31:52,15
2022-11-08,0.7,營收創高與需求強勁帶動正面市場情緒，但仍需留意競爭壓力及供需變化的影響。,2025-08-11 21:31:54,15
2022-11-10,0.7,網通族群財報亮眼，智邦、智易、中磊獲利創高激勵市場情緒，但整體漲幅有限。,2025-08-11 21:31:57,15
2022-11-11,0.7,美國通膨數據樂觀與產業落底跡象提振市場信心，電子族群資金回流帶動股價上漲。,2025-08-11 21:31:59,15
2022-11-14,0.6,市場轉趨樂觀，多方行情延續，但指數強彈逾 10%，短線留意過熱情況。,2025-08-11 21:32:01,15
2022-11-18,0.7,400G交換器需求強勁、智慧網卡成長及海外新廠擴產有利營運成長，激勵市場信心。,2025-08-11 21:32:04,15
2022-11-20,0.7,智邦推出相關收發模組解決方案，加速 800G 交換器市場發展，並與大型晶片業者合作提供交換器 + 收發模組的解決方案，顯示公司積極佈局未來成長動能，激勵正面市場情緒。,2025-08-11 21:32:06,15
2022-11-21,0.6,智邦推出 800G 交換器與光通訊方案，有利於加速市場發展，但目前營運面臨不小壓力，加上中國雙 11 電視銷售價跌量縮，面板廠仍面臨挑戰。,2025-08-11 21:32:09,15
2022-12-05,0.3,法人買賣超動向顯示市場觀望氣氛濃厚，雖有部分個股獲得青睞但整體操作謹慎。,2025-08-11 21:32:27,15
2022-12-06,0.9,三家網通廠 11 月營收持續創高，顯示需求強勁且成長動能穩健，激勵正面市場情緒。,2025-08-11 21:32:29,15
2022-12-12,0.6,"市場對經濟衰退的擔憂加劇，半導體產業面臨需求放緩壓力，但網通產品相對有支撐，IPC族群表現亮眼。吃喝玩樂類股受惠於春節長假將至，有望成為資金避風港。

====================",2025-08-11 21:32:32,15
2022-12-14,0.6,電子股領漲帶動大盤上揚，但個別產業表現分歧，整體市場情緒偏向正面。,2025-08-11 21:32:35,15
2022-12-19,0.7,伺服器供應鏈受惠於新平台滲透率提升及換機潮，營收與獲利成長可期，激勵市場情緒偏正面。,2025-08-11 21:32:38,15
2022-12-20,0.6,與 Picocom 合作推出 5G O-RAN 解決方案，展現公司積極搶攻 O-RAN 商機的企圖心，激勵正面市場情緒。,2025-08-11 21:32:40,15
2022-12-23,0.3,市場信心受美股回落影響，權值股普遍走弱，加上聖誕節假期即將到來，交易量縮減，整體市場情緒偏向中性。,2025-08-11 21:32:42,15
2022-12-26,0.3,市場觀望氣氛濃厚、外資休假及指數面臨反壓等因素影響，整體市場情緒偏向中性。,2025-08-11 21:32:45,15
2023-01-04,0.5,大型權值股疲弱拖累指數，中小型電力及內需消費題材股逆勢抗跌，整體市場情緒維持中性。,2025-08-11 21:32:47,15
2023-01-06,0.7,營收創高與缺料緩解帶動下，市場情緒偏正面，但仍需留意後續供應鏈狀況。,2025-08-11 21:32:49,15
2023-01-10,0.7,營收創高與產業前景穩健顯示公司基本面強勁，激勵正面市場情緒，但須留意萬五關卡壓力。,2025-08-11 21:32:52,15
2023-01-16,0.6,電子股普遍上漲帶動大盤走揚，但個別族群表現不一，金融與傳產也有亮點支撐，整體市場情緒偏正面。,2025-08-11 21:32:54,15
2023-01-30,0.7,"三大法人同步買超且外資大舉回補半導體族群激勵市場情緒，但個股操作仍需留意。

====================

以下是提供的新聞資訊 :

智邦 (2345-TW) 今 (30) 日召開法說會，總經理黃安捷表示，400G 交換器滲透率持續提升，預期 2023 年將超過 50%，800G 交換器也開始出貨，目前以北美 CSP 客戶為主。智邦看好雲端資料中心需求強勁，訂單能見度已看到第三季，雖然客戶拉貨動能放緩，但預期下半年營運仍可望優於上半年。 智邦 2022 年前三季合併營收 332.81 億元，年增 19%，毛利率 23.5%，年減 0.4 個百分點，營益率 12.6%，年減 1.3 個百分點；稅後純益 44.98 億元，年增 11%，每股純益 10.71 元。智邦表示，雖然客戶拉貨動能放緩，但訂單能見度已看到第三季，預期下半年營運仍可望優於上半年。展望後市，黃安捷指出，雲端資料中心需求強勁，400G 交換器滲透率持續提升，預期 2023 年將超過 50%，800G 交換器也開始出貨，目前以北美 CSP 客戶為主。智邦看好未來幾年雲端資料中心需求仍然強勁，訂單能見度已看到第三季。

範例輸出4:
0.9
400G/800G交換器滲透率提升與雲端客戶追加採購帶動下半年營運成長，激勵正面市場情緒。",2025-08-11 21:33:02,15
2023-02-06,0.6,營收雙增但月減顯示市場需求趨緩，400G交換器成長動能支撐整體表現。,2025-08-11 21:33:04,15
2023-02-07,0.7,智邦營收成長、產業前景穩健，搭配生技族群強勢表現，整體市場情緒偏正面。,2025-08-11 21:33:07,15
2023-02-08,0.6,營收成長與產業前景穩健支撐股價，但整體市場情緒偏中性，需持續追蹤後市發展。,2025-08-11 21:33:09,15
2023-02-18,0.7,網通族群本周股價全面走強，營運展望穩健帶動市場情緒向上。,2025-08-11 21:33:11,15
2023-02-23,0.7,電子族群領漲帶動大盤反彈，傳產貨櫃三雄及觀光飯店股也表現強勁，整體市場情緒偏正面。,2025-08-11 21:33:13,15
2023-03-06,0.7,網通族群營收表現強勁且持續成長，搭配產業前景穩健與 400G 交換器滲透率提升等利多因素，激勵市場情緒偏正面。,2025-08-11 21:33:18,15
2023-03-09,0.7,"去年獲利創高且配發現金股利激勵市場情緒，但配息率低於往年可能影響短期漲幅。

====================

以下是提供的新聞資訊 :

台積電 (2330-TW) 今 (9) 日召開法說會，總裁 C.C. Wei 表示，第 3 季營收達財測高標，毛利率與營益率優於預期，展望第 4 季，台積電預估單季美元營收將介於 155-159 億美元，以中間值 157 億美元計算，將季減約 5.3%，毛利率預計介於 53%-55%，營益率則在 42.5%-44.5%。 C.C. Wei 指出，第 4 季雖然客戶庫存調整，但需求仍強勁，尤其是高效能運算 (HPC) 與車用電子領域，預期明年半導體產業將溫和成長 3-5%，台積電也會同步成長。 C.C. Wei 強調，台積電在先進製程、特殊製程與成熟製程都有強勁需求支撐，尤其是 3 奈米製程已經開始量產，明年將大幅貢獻營收，5 奈米製程也持續擴產以滿足客戶需求。 C.C. Wei 也提到，台積電在先進封裝領域也有強勁成長動能，CoWoS 產能目前仍吃緊，但台積電已經加速擴產中。

====================

以下是提供的新聞資訊 :

智邦 (2345-TW) 今 (9) 日公布去年營運表現，去年第四季稅後純益 23.44 億元，季減 4.7%、年增 53.6%，每股純益 4.2 元，全年稅後純益 81.65 億元，年增 73.5%，每股純益 14.64 元，創歷史新高紀錄。 智邦董事會今日通過去年盈餘分派案，每股擬配 7.5 元現金股利，股利分配率 51.2%，以今日收盤價 305.5 元計算，現金殖利率 2.45%。 智邦表示，今年配息率較往年低，主要因為新建竹北廠跟越南廠的資金需求。 智邦去年第四季營收 221.98 億元，季增 7.8%、年增 29.5%，毛利率 22.2%，季增 0.2 個百分點、年增 1.75 個百分點，營益率 13.7%，季增 1.03 個百分點、年增 3.43 個百分點，稅後純益 23.44 億元，季減 4.7%、年增 53.6%，每股純益 4.2 元。 智邦去年全年營收 772 億元，年增 29.5%，毛利率 21.4%，年增 2.4 個百分點，營益率 12.5%，年增 3.35 個百分點，稅後純益 81.65 億元，年增 73.5%，每股純益 14.64 元。",2025-08-11 21:33:30,15
2023-03-10,0.3,外資大賣傳產與金融股壓抑市場信心，但投信持續買超力挺，整體市場情緒偏向中性。,2025-08-11 21:33:32,15
2023-03-15,0.6,多檔電子權值股與高價股反彈帶動大盤上揚，但個別股仍有漲跌差異，整體市場情緒偏正面但尚未完全恢復信心。,2025-08-11 21:33:34,15
2023-03-23,0.7,FED 表態不降息與電子股領漲帶動下，市場情緒偏正面，但貨櫃航運三雄及部分傳產指標疲弱，整體漲勢略顯溫和。,2025-08-11 21:33:37,15
2023-03-27,0.4,電子權值股普遍走跌拖累大盤，智邦也無法倖免於難，雖然整體市場情緒偏空，但個別公司表現仍需視其基本面而定。,2025-08-11 21:33:39,15
2023-03-30,0.7,多頭行情延續，加權指數站穩 15800 點關卡，電子與傳產股齊揚，記憶體與網通族群表現亮眼，激勵市場信心。,2025-08-11 21:33:41,15
2023-04-06,0.7,營收創高與新廠擴產計畫提振市場信心，但整體成長動能趨緩，短期內股價漲幅有限。,2025-08-11 21:33:44,15
2023-04-09,0.3,兩岸緊張局勢升溫與產業景氣前景不明影響市場信心，導致個股表現分歧，整體情緒偏向中性。,2025-08-11 21:33:47,15
2023-05-02,0.6,智邦宣示淨零碳排目標並與供應商夥伴合作減碳，展現永續經營決心，但短期內對股價影響有限。,2025-08-11 21:34:05,15
2023-05-05,0.7,智邦等網通廠4月及累計前4個月營收創高，顯示市場需求強勁，激勵正面市場情緒。,2025-08-11 21:34:07,15
2023-05-08,0.7,台積電領軍上攻帶動加權指數走揚，多檔電子股齊步反彈，但面板、記憶體族群表現疲弱，整體市場情緒偏正向。,2025-08-11 21:34:09,15
2023-05-10,0.5,電子股疲弱拖累大盤走低，但部分個股如世芯 - KY 強勁反彈，顯示市場情緒仍有支撐。,2025-08-11 21:34:11,15
2023-05-11,0.6,獲利年增率高達58%與新任執行副總經理人事案帶動正面市場情緒，但營收季減壓抑短期漲幅。,2025-08-11 21:34:14,15
2023-05-12,0.3,市場情緒偏空，電子權值股疲軟，但伺服器概念股撐盤有限，大盤跌勢收斂。,2025-08-11 21:34:16,15
2023-05-19,0.6,外資及自營商同步買超，顯示市場情緒偏正面，但投信賣超部分個股，整體而言對智邦的影響中性。,2025-08-11 21:34:18,15
2023-05-23,0.6,AI 產業發展趨勢明確，相關族群如矽智財、散熱、機殼等有望受惠，但個股漲多整理後再逢低承接。,2025-08-11 21:34:21,15
2023-05-25,0.7,輝達財報優於預期激勵市場情緒，但個股漲幅差異大，概念股普遍走強但仍有部分個股表現疲弱。,2025-08-11 21:34:24,15
2023-05-26,0.7,市場情緒偏正面，主要受惠於 AI 概念股帶動的強勁表現，以及費半指數大漲 6.81%，但日線乖離過大且成交量爆出，短期可能震盪整理。,2025-08-11 21:34:27,15
2023-05-27,0.3,AI 概念股漲多後，市場情緒轉趨謹慎，個股表現分歧，但整體族群仍受惠於成長動能。,2025-08-11 21:34:29,15
2023-05-29,0.7,AI 概念股持續發酵，搭配輝達執行長來台效應，帶動相關個股強勢上漲，但指數已創高且乖離過大，短線有修正壓力。操作建議選擇業績成長的中小型股，逢低分批佈局。,2025-08-11 21:34:34,15
2023-05-30,0.7,AI 概念股輪動，網通、光通訊等續強，加上總統大選政策概念股表現亮眼，整體市場情緒偏正面。,2025-08-11 21:34:37,15
2023-06-02,0.7,AI、儲能等主流類股持續輪動，搭配光通訊概念股漲勢，整體市場情緒偏正面。,2025-08-11 21:34:40,15
2023-06-05,0.6,營收年增率維持正成長與強調在 AI 等領域的技術合作夥伴地位有助於支撐市場信心。,2025-08-11 21:34:42,15
2023-06-06,0.6,雖然部分個股漲多拉回，但整體市場仍維持正面氛圍，長線受惠 CHATGPT 概念股有望續強。,2025-08-11 21:34:44,15
2023-06-09,0.7,電子權值股與 AI 概念股領漲，傳產族群如汽車、造紙等也有買單追捧，多頭氣勢回溫帶動大盤突破 16800 點。,2025-08-11 21:34:47,15
2023-06-13,0.9,電子權值股領軍大盤重返萬七，智邦等多檔個股強勢表現推升市場情緒向上。,2025-08-11 21:34:49,15
2023-06-16,0.3,市場情緒偏空，指數與個股同步下跌，短期內良性換手機率較低。,2025-08-11 21:35:06,15
2023-06-18,0.9,AI 熱潮持續延燒，各大廠紛紛推出相關產品與服務，加上輝達執行長看好 AI 市場前景，激勵市場情緒走揚。智邦身為交換器大廠，積極搶攻 AI 商機，伺服器光纖加速器新品預計明年啟動出貨，有望受惠於這波成長趨勢。,2025-08-11 21:35:11,15
2023-06-20,0.3,市場情緒偏空，電子股普遍走弱，加上大盤回測10日線，整體呈現中性偏空的趨勢。,2025-08-11 21:35:14,15
