date,factor,explanation,updated_time,news_count
2022-11-01,0.6,"與 AppWorks 合作培育新創事業發展，展現公司前瞻佈局決心，有助提升市場信心。

====================

以下是提供的新聞資訊 :

緯創 (3231-TW) 今 (1) 日公告 9 月營收達 817.54 億元，月增 0.2%，年減 3.4%；第三季營收 2406.97 億元，季減 5.7%，年減 8.4%。 緯創表示，9 月筆電出貨量達 190 萬台，月增 10.1%，年減 11.2%；顯示器出貨量為 80 萬台，月增 3.6%，年減 19.5%；伺服器出貨量為 40 萬台，月減 4.8%，年減 12.9%。 緯創前三季筆電出貨量達 530 萬台，年減 14.2%；顯示器出貨量為 230 萬台，年減 18.5%；伺服器出貨量為 120 萬台，年減 10.3%。 緯創指出，第三季筆電、顯示器與伺服器出貨量均較上季下滑，其中筆電與顯示器主因是客戶持續進行庫存調整所致；伺服器則受到通路商拉貨動能放緩影響。 緯創表示，目前看來第四季筆電、顯示器出貨量仍將較第三季下滑，但伺服器有機會因客戶需求回溫而小幅成長。

範例輸出4:
0.3
營收與出貨表現疲弱，加上庫存調整壓力持續，拖累市場情緒走低。",2025-08-11 17:41:36,15
2022-11-04,0.7,營收與獲利成長帶動市場情緒偏正面，但業外損失與庫存調整壓力仍存在一定不確定性。,2025-08-11 17:41:40,15
2022-11-08,0.5,營收表現符合預期但筆電出貨下滑壓抑市場情緒，整體維持中性。,2025-08-11 17:41:42,15
2022-11-17,0.7,台積電概念股受巴菲特加持激勵，搭配半導體族群強勢表現，整體市場情緒偏正面。,2025-08-11 17:41:45,15
2022-11-22,0.3,市場需求疲弱影響戴爾營運表現，使台廠代工廠如緯創等第四季出貨保守看待，引發市場信心下滑。,2025-08-11 17:41:48,15
2022-11-23,0.6,受美中科技戰影響，台廠伺服器製造逐步分散至墨西哥、東南亞等地區，預期明年主要台廠在中國以外地區伺服器主機板產能將上看 5 成。,2025-08-11 17:41:50,15
2022-12-01,0.6,三星供應鏈名單變動及緯創印度廠傳出收購消息帶來不確定性，聯發科新晶片推出則為市場注入成長動能，整體而言中性偏多。,2025-08-11 17:42:09,15
2022-12-02,0.7,數位轉型與智慧製造策略明確，加上永續發展目標，展現公司前瞻思維，激勵正面市場情緒。,2025-08-11 17:42:11,15
2022-12-03,0.6,台積電美國廠擴大製程與產能規劃、鮑爾鴿派言論提振市場信心，但防疫險理賠衝擊壽險業獲利，印度廠傳聞引發關注，綜合而言市場情緒偏中性。,2025-08-11 17:42:14,15
2022-12-08,0.7,緯創營收成長與雲端伺服器表現亮眼帶動市場信心，但整體大環境影響仍存在，維持中性偏樂觀的市場情緒。,2025-08-11 17:42:17,15
2022-12-09,0.7,塔塔集團進軍半導體產業，擬與國際大廠合作並考慮自建晶圓廠，為供應鏈注入新活力，有利緯創等代工夥伴。,2025-08-11 17:42:19,15
2022-12-12,0.3,籌碼面與技術面轉弱，加權指數失守月線，三大法人同步賣超，電子權值股承壓，整體市場情緒偏向中性。,2025-08-11 17:42:22,15
2022-12-13,0.6,微軟雲端合作案有利台廠供應鏈，但市場觀望美國 CPI 數據公布，三大法人同步做空電子權值股，鋼鐵類股獲青睞。,2025-08-11 17:42:25,15
2022-12-14,0.6,三大法人同步買超激勵市場情緒，但聯準會升息與經濟衰退風險仍是關鍵因素。,2025-08-11 17:42:27,15
2022-12-15,0.5,外資買超緯創，投信持續買超，顯示市場對電子股有正面看法，但整體市場情緒仍維持中性。,2025-08-11 17:42:29,15
2022-12-16,0.6,"市場情緒偏空但電子股表現相對抗跌，緯創等代工廠翻紅支撐，生技股持續吸金。

====================

以下是提供的新聞資訊 :

緯創 (3231-TW) 今 (16) 日召開法說會，總經理林建宏表示，目前訂單能見度約 2-3 個月，預期第三季筆電出貨將季減雙位數百分點，但伺服器出貨可望持平至小幅成長，整體來看，下半年營運將優於上半年。 緯創第二季合併營收 1061.54 億元，季增 3%，毛利率 6.8%，季減 0.2 個百分點，營益率 - 1.4%，季減 0.5 個百分點，稅後虧損 12.98 億元，每股虧損 0.52 元。 緯創上半年合併營收 2096.97 億元，毛利率 6.8%，年增 0.2 個百分點，營益率 - 1.5%，年減 0.3 個百分點；稅後虧損 25.91 億元，每股虧損 1.04 元。 緯創表示，第二季筆電出貨量達 480 萬台，季增 10%，但受到中國封控影響，年減 20%；伺服器出貨量 110 萬台，季增 5%，年增 2%；顯示器出貨量 290 萬台，季減 15%，年減 14%。 緯創指出，目前筆電市場需求仍然疲弱，但預期下半年有機會優於上半年，伺服器則可望持續成長，整體而言，下半年營運將優於上半年。 緯創也宣布，董事會已通過在泰國設立新廠的投資案，預計明年第一季動工，2024 年第二季開始生產。

範例輸出4:
0.7
法說釋出下半年營運優於上半年的正面訊息，且宣布海外擴廠計畫，有助提振市場信心。",2025-08-11 17:42:38,15
2022-12-18,0.5,雖然外資持續賣超，但權值股買盤力道仍在，加上年底前法人拚績效，整體市場情緒維持中性偏多。,2025-08-11 17:42:40,15
2022-12-19,0.7,伺服器供應鏈受惠新平台滲透率提升及需求穩健，營收與獲利成長可期，激勵正面市場情緒。,2025-08-11 17:42:43,15
