date,factor,explanation,updated_time,news_count
2022-11-03,0.9,財報三率三升與高單價產品組合提升帶動獲利成長，非 PC 業績貢獻營收成長，展望全年賺一股本激勵正面市場情緒。,2025-08-11 23:17:31,15
2022-11-11,0.2,需求回升與新品推出挹注正面因素，但價格壓力、中國市場表現不佳及資產活化進度延遲拖累整體市場情緒。,2025-08-11 23:17:33,15
2023-01-05,0.7,營收創高與成長動能穩健帶動正面市場情緒，但獲利表現仍需財報確認。,2025-08-11 23:17:35,15
2023-02-06,0.6,營收年減但維持高個位數成長預期，加上非PC比重提高、AI影像等新品動能強勁，支撐市場信心。,2025-08-11 23:17:38,15
2023-03-08,0.7,獲利創高、配發高股息激勵市場情緒，營收年減壓力與存貨調整影響短期漲幅空間。,2025-08-11 23:17:40,15
2023-03-16,0.7,中國通路事業受惠解封與去年不利因素排除，法人預估今年營運將顯著好轉，挹注獲利表現。,2025-08-11 23:17:43,15
2023-03-20,0.3,市場追價意願不足，加上外資調節金融與鴻家軍，拖累大盤表現，但投信持續加碼支撐。,2025-08-11 23:17:45,15
2023-03-22,0.6,雖然整體市場受到美國金融業危機影響，但優質科技股如網通股中磊仍有成長潛力，基本面穩健支撐正面市場情緒。,2025-08-11 23:17:48,15
2023-03-27,0.5,電子權值股普遍走跌拖累大盤，僅少數個股抗跌，整體市場情緒偏向中性。,2025-08-11 23:17:50,15
2023-04-06,0.6,營收表現符合預期但仍受淡季與庫存調整影響，AI影像產品成長動能強勁有助支撐市場信心。,2025-08-11 23:17:52,15
2023-04-19,0.7,業績優異且低估股如金像電、乙盛等有望受惠 AI 伺服器需求成長，激勵市場情緒。,2025-08-11 23:17:55,15
2023-05-09,0.3,財測下修與營收表現疲弱壓抑市場信心，但新產品推出及擴產計畫仍支撐部分正面情緒。,2025-08-11 23:17:57,15
2023-05-10,0.6,營收成長與獲利改善帶動正面市場情緒，但年減壓力仍在。,2025-08-11 23:17:59,15
2023-05-30,0.7,策略聯盟/併購案完成且綜效明確的消息有利於激勵市場情緒，但仍需留意後續營收表現。,2025-08-11 23:18:02,15
2023-06-01,0.7,00919 配息率亮眼且持續調整成分股以維持高股息特性，激勵市場對 ETF 的正面情緒。,2025-08-11 23:18:04,15
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示正面基本面訊息，惟下半年經濟前景不明使市場情緒維持中性。,2025-08-11 23:18:06,15
2023-06-17,0.3,營收與獲利下滑及庫存調整壓力使短期市場情緒偏空，但AI影像產品成長動能支撐後市。,2025-08-11 23:18:24,15
2023-07-27,0.6,外資買超面板股與金融股，投信賣超電子權值股，顯示市場偏好低基期個股與傳產股，整體情緒中性偏多。,2025-08-11 23:18:26,15
2023-12-06,0.3,營收月減與年減顯示市場需求疲弱，但鍵盤營收年增及影像穩定略為緩解負面情緒。,2025-08-11 23:18:28,15
2023-12-26,0.7,耶誕行情與面板族群強勢表現帶動大盤上漲，電子權值股穩盤，多檔個股齊揚。,2025-08-11 23:18:46,15
2023-12-27,0.7,內資主導行情，AI PC 產業與半導體供應鏈股價持續上漲，激勵市場情緒向上。,2025-08-11 23:18:49,15
2023-12-28,0.7,00930 成分股中科技股佔比高，且多為龍頭廠商，搭配月月配息機制，吸引投資人青睞，激勵正面市場情緒。,2025-08-11 23:18:53,15
2023-12-30,0.7,AI PC 換機潮題材與中國市場回溫帶動營運成長，激勵正面市場情緒。,2025-08-11 23:18:55,15
2024-01-03,0.2,半導體類股重挫拖累市場情緒，電子指標表現分歧，貨櫃與防疫概念股相對抗跌。,2025-08-11 23:18:57,15
2024-01-04,0.7,群光預期2024年營收成長雙位數，三大事業同步成長，且AI PC帶動規格升級，有助於推升獲利表現，激勵正面市場情緒。,2025-08-11 23:19:00,15
2024-01-05,0.6,新聞中提到群光去年 12 月、Q4 營收雙減，全年減 15%，顯示公司營運表現不佳，可能對隔日的市場情緒產生負面影響。,2025-08-11 23:19:03,15
2024-01-09,0.7,AI 股與高價 IC 設計族群撐盤，緩解市場擔憂，貨櫃三雄重挫拖累大盤表現。,2025-08-11 23:19:05,15
2024-01-16,0.6,外資及投信同步買超群光，顯示市場對該公司後市看好，但整體台股下跌影響其漲幅空間。,2025-08-11 23:19:07,15
2024-01-23,0.5,三大法人買超但投信轉為賣方，外資偏好面板族群，市場情緒中性。,2025-08-11 23:19:09,15
2024-01-29,0.7,納入多檔 AI 概念股激勵市場情緒，但中小型股波動較大，建議採取定期定額加上逢低加碼策略。,2025-08-11 23:19:12,15
2024-02-06,0.7,AI PC 換機需求帶動鍵盤、影像模組等產品出貨成長，加上客戶庫存水位低，營收表現亮眼，激勵正面市場情緒。,2025-08-11 23:19:14,15
2024-03-04,0.9,電子股普遍走強，尤其是半導體與代工族群領漲，加上面板大廠法說行情提前發酵，激勵市場情緒樂觀。,2025-08-11 23:19:16,15
2024-03-06,0.6,營收年增與產品需求穩健支撐市場信心，但工作天數減少影響單月業績表現。,2025-08-11 23:19:34,15
2024-03-07,0.7,市場情緒偏正面，股價可能上漲。群光 2 月營收雙減，但累計營收仍為同期第三高，顯示公司基本面穩健。加上台股創新高、外資買超，以及 AI 概念股強勢表現，有利於群光的股價走揚。,2025-08-11 23:19:38,15
2024-03-08,0.6,新 ETF 募集破千億資金，大量短線資金正在大吃豆腐、宰肥羊。高股息成分股的助漲買盤，市場本就積累已久，但在近期，尤其 3/7、3/8 達到高峰。金融市場，唯利是圖！00939、00940 兩檔 ETF 正在募資，00939 募破 500 億，00940 下週開幕，元大目標至少 600 億，合計突破千億的潛在買盤，要在月底 ETF 上市後，買入成分股。,2025-08-11 23:19:43,15
2024-03-09,0.8,獲利穩健與營收增長展望正向，加上內資買超提前卡位，激勵市場情緒樂觀。,2025-08-11 23:19:45,15
2024-03-10,0.6,台股站上兩萬點後，市場關注能否維持漲勢並成為新地板，但大盤結構不健康、個股表現分歧，加上外資買超集中在少數權值股，居高思危氣氛升溫。,2025-08-11 23:19:48,15
2024-03-11,0.6,市場情緒偏正面，受惠於投信作帳行情與高股息 ETF 募集熱潮，但漲多個股拉回壓力大。,2025-08-11 23:19:51,15
2024-03-12,0.5,三大法人同步買超激勵市場情緒，但個股漲跌互見，整體籌碼面中性偏多。,2025-08-11 23:19:53,15
2024-03-13,0.7,財報亮眼且展望樂觀，帶動市場情緒偏正面，但仍需留意存貨修正與匯率風險。,2025-08-11 23:19:55,15
2024-03-14,0.6,外資換股操作，擴大加碼鴻海、金融股，大砍高股息 ETF，顯示市場信心略有動搖，但整體仍維持中性偏多格局。,2025-08-11 23:19:59,15
2024-03-15,0.3,高股息 ETF 受惠月配息題材，吸引資金湧入，但成份股漲幅已大，短線操作風險增加。建議等待個股修正後再行佈局。,2025-08-11 23:20:03,15
2024-03-17,0.6,外資買超權值股如鴻海、廣達等，顯示對後市仍樂觀，但台積電回跌影響指數，整體市場情緒偏正面但短線有壓。,2025-08-11 23:20:06,15
2024-03-18,0.7,高股息 ETF 漏網之魚成補漲焦點，基本面強勁且殖利率較高的個股有望受惠。,2025-08-11 23:20:09,15
2024-03-21,0.6,市場情緒偏正面，主要受緩降息預期、AI 概念股表現強勁以及重電股漲勢帶動，但個股漲多後追高仍需謹慎。,2025-08-11 23:20:27,15
2024-03-22,0.3,市場情緒偏向保守，AI 概念股漲多後獲利了結賣壓出籠，部分個股如技嘉、群光等遭外資及投信調節，指數震盪走堅但成交量縮減，顯示追高風險增加。,2025-08-11 23:20:31,15
2024-03-26,0.3,電子權值股及 AI 指標走弱，傳產與金融股表現相對抗跌，整體市場情緒偏向中性。,2025-08-11 23:20:49,15
2024-03-27,0.7,投信買超的 ETF 成分股如群光、瑞儀、新普、中美晶等，短線可能面臨獲利了結賣壓，但長期仍有上漲潛力。重電股本益比過高，建議選擇低基期的 EV 股，如華孚、麗清、高技、胡連、信邦、定穎投控等，具備較大的成長空間。,2025-08-11 23:20:54,15
