date,factor,explanation,updated_time,news_count
2022-11-01,0.6,亞股齊漲帶動台股上揚，半導體雙雄領軍，加上傳產穩盤與中小型股衝鋒，指數開低走高漲逾 70 點重返萬三，但個別權值股表現參差。,2025-07-07 00:06:52,2
2022-11-02,0.6,電子權值股與傳產族群領漲帶動指數回升至月線，但成交量低迷與聯準會利率決策將影響後市表現。,2025-07-07 00:06:54,2
2022-11-03,0.3,台積電領跌加上傳產疲弱拖累大盤，但部分電子股如緯穎、創意等逆勢抗跌，市場情緒偏向中性。,2025-07-07 00:06:55,1
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-07 00:06:56,1
2022-11-08,0.6,積極參與國際氣候變遷大會並分享節能減碳技術，展現企業永續發展決心，有助於提升市場正面形象。,2025-07-07 00:06:58,2
2022-11-10,0.6,公司展望電動車成長潛力強勁，營收倍增可期，但短期股價仍受大盤影響而震盪整理。,2025-07-07 00:06:59,2
2022-11-11,0.9,美國通膨數據樂觀與產業落底跡象顯示經濟軟著陸機率提高，激勵台股全面大漲並站上萬四關卡，電子權值股強勢表現帶動市場情緒轉趨正面。,2025-07-07 00:07:01,1
2022-11-14,0.9,權值股普遍上揚帶動大盤指數勁揚，電子與傳產類股齊步走強，顯示市場情緒樂觀且對台股後市看好。,2025-07-07 00:07:02,1
2022-11-15,0.9,台積電強彈帶動半導體族群齊揚，外資回流與三大法人買超激勵市場信心，多頭氣勢再起。,2025-07-07 00:07:03,1
2022-11-21,0.3,權值股普遍疲軟拖累大盤走勢，但遊戲與生技等中小型股逆勢抗跌，市場情緒偏向保守。,2025-07-07 00:07:05,1
2022-11-23,0.6,電子權值股表現平穩，貨櫃三雄與金融股領軍上攻，多頭格局延續且成交量放大，市場情緒偏正面。,2025-07-07 00:07:06,1
2022-11-24,0.6,台達電創波段新高，多頭走勢持續，但整體市場仍有轉弱跡象，個股輪動快速，需留意後市變化。,2025-07-07 00:07:07,1
2022-11-25,0.6,電子權值股疲弱拖累大盤，但電動車概念股與半導體測試介面族群強勢上漲，整體市場情緒偏向正面但震盪。,2025-07-07 00:07:09,1
2022-11-28,0.3,選後第一個交易日市場觀望氣氛濃厚，加權指數開低走低，電子權值股普遍回檔修正，金融與傳產族群也同步疲軟，整體盤勢偏空。,2025-07-07 00:07:10,1
2022-11-29,0.6,電子權值股回穩與傳產族群強勢表現帶動指數翻紅，市場情緒偏正面但仍有不確定性。,2025-07-07 00:07:11,1
2022-11-30,0.6,權值股普遍上漲，成交量放大，加上元宇宙題材助攻，整體市場情緒偏正面，但塑化類股漲多休息使漲幅受限。,2025-07-07 00:07:13,2
2022-12-04,0.6,12 月通常漲多跌少且資金行情升溫，加上外資買超力道強勁，整體市場氛圍偏向樂觀。,2025-07-07 00:07:14,1
2022-12-07,0.3,市場情緒偏空，電子權值股承壓，但金融與生技類股撐盤，整體呈現震盪走低格局。,2025-07-07 00:07:16,2
2022-12-08,0.6,11 月營收創同期新高但第四季展望保守，市場對未來成長力道存疑。,2025-07-07 00:07:17,1
2022-12-09,0.6,電子三雄領軍與傳產指標股強勢表現帶動大盤上漲，月線得而復失，市場情緒偏正面但仍存在不確定性。,2025-07-07 00:07:18,1
2022-12-16,0.6,台股下跌影響整體市場情緒，但貨櫃三雄與水泥雙雄逆勢上揚，以及生技類股表現強勁，緩解部分賣壓。,2025-07-07 00:07:20,1
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響而下滑，加上多數權值股走弱，台達電等個股也同步疲軟，整體市場情緒偏向保守。,2025-07-07 00:07:22,1
2022-12-27,0.6,權值股普遍走揚且觀光族群強勁反彈帶動市場情緒回升，但漲幅收斂與個別類股拉回使整體漲勢趨緩。,2025-07-07 00:07:23,2
2022-12-29,0.3,台股早盤大跌後走高，權值股普遍疲軟，但部分電子與傳產個股逆勢上漲，整體市場情緒偏向保守但未完全失去信心。,2025-07-07 00:07:25,1
2022-12-30,0.6,權值股穩盤與解封概念股強勢表現提振市場信心，但生技族群利空衝擊使整體情緒偏向中性。,2025-07-07 00:07:26,2
2023-01-03,0.6,權值股走勢分歧，電子族群疲弱影響市場信心，但重電與 IC 設計反彈提振投資人情緒，整體呈現中性偏空。,2025-07-07 00:07:28,1
2023-01-04,0.5,權值股普遍疲弱拖累大盤，惟中小型電力及內需消費題材股逆勢抗跌，市場情緒維持中性。,2025-07-07 00:07:29,1
2023-01-05,0.6,台積電領軍上攻激勵市場情緒，但權值股表現分歧，電子與金融族群支撐大盤，記憶體概念股與電商物流概念股強勢，整體呈現反彈格局。,2025-07-07 00:07:31,2
2023-01-06,0.6,電子資金回流帶動指數上漲，但部分傳產類股如風電概念股疲弱，市場情緒偏正面但仍有變數。,2025-07-07 00:07:32,1
2023-01-09,0.9,台積電領軍電子權值股強勁反彈，加上半導體、安控等族群齊揚，大盤量能放大突破月線，顯示市場情緒回溫，對未來展望樂觀。,2025-07-07 00:07:33,2
2023-01-10,0.6,營收創高且全年成長動能持續，展望樂觀，但第一季將面臨淡季效應與資本支出增加的挑戰。,2025-07-07 00:07:35,1
2023-01-12,0.5,市場觀望氣氛濃厚，權值股漲跌互見，傳產與金融族群表現分歧，整體交投清淡，指數小幅下跌，多空勢力拉鋸。,2025-07-07 00:07:36,2
2023-01-13,0.6,台積電法說符合預期帶動權值股走揚，激勵市場情緒但高價股疲軟與封關將近壓抑漲幅。,2025-07-07 00:07:37,1
2023-01-16,0.6,電子股領漲帶動大盤上揚，台積電、聯發科等權值股與多檔高價股走強，金融股也普遍表現不俗，顯示市場情緒正面，但部分傳產類股如貨櫃航運及製鞋族群仍疲軟，整體漲勢略顯溫和。,2025-07-07 00:07:39,1
2023-01-18,0.7,收購冠信電腦強化資通訊基礎設施技術與市場版圖，為台達電未來成長奠定良好基礎。,2025-07-07 00:07:41,1
2023-01-30,0.9,台積電領軍大漲帶動權值股齊揚，指數站上萬五關卡並創下 5 個多月來新高，顯示市場情緒樂觀且對未來展望正向。,2025-07-07 00:07:43,1
2023-02-01,0.9,台積電領軍大盤強彈，加權指數站回年線，多頭信心回溫，個股普遍走揚，僅少數個股拉回整理。,2025-07-07 00:07:44,1
2023-02-02,0.9,利率會議釋出鴿派訊息激勵市場情緒，電子權值股與高價股齊揚，台股創 7 個月新高。,2025-07-07 00:07:46,1
2023-02-03,0.6,市場情緒維持正面，多空交戰下指數震盪收紅，電子權值股漲跌互見，傳產與金融族群輪動表現。,2025-07-07 00:07:47,2
2023-02-07,0.6,權值股普遍走弱拖累大盤，但部分電子指標與傳產個股仍有表現，整體市場情緒偏向中性。,2025-07-07 00:07:48,1
2023-02-09,0.6,營收創高與展望樂觀提振市場信心，但整體行情仍受大盤走勢影響，短期內台達電股價可能維持區間波動。,2025-07-07 00:07:50,2
2023-02-10,0.3,權值股普遍疲軟拖累大盤，電子與傳產指標股表現不佳，但部分族群如餐飲、軍工及軟體仍有撐盤作用。,2025-07-07 00:07:51,1
2023-02-13,0.3,權值股普遍疲軟拖累大盤，但金融、傳產與部分電子股撐盤穩定指數，整體市場情緒偏向保守。,2025-07-07 00:07:53,1
2023-02-15,0.1,台積電遭波克夏大舉減持拖累重挫，引發市場信心動搖，加權指數跌逾200點失守5日線，電子權值股全面走低，僅儲能概念股與觀光類股逆勢抗跌。,2025-07-07 00:07:54,2
2023-02-21,0.3,電子權值股走勢疲弱拖累指數，傳產族群如塑化、貨櫃航運及部分金融股力挺，但整體市場情緒仍偏向保守。,2025-07-07 00:07:56,1
2023-02-22,0.6,獲利創高與營運展望樂觀顯示公司基本面強勁，但市場擔憂地緣政治緊張局勢影響整體經濟，引發短期波動。,2025-07-07 00:07:58,2
2023-02-23,0.6,法說展望樂觀且三大業務成長動能穩健，但獲利表現與毛利率承壓，市場對未來營運維持中性偏多態度。,2025-07-07 00:07:59,3
2023-02-24,0.3,權值股普遍走弱拖累大盤，市場觀望氣氛濃厚，指數開高後翻黑收低，成交量放大。,2025-07-07 00:08:00,1
2023-03-05,0.6,內資帶動選股行情持續，市場聚焦高殖利率題材與復甦展望，短期漲多個股有獲利了結壓力，但整體維持偏多氛圍。,2025-07-07 00:08:02,1
2023-03-07,0.7,台股多頭再起，電子、金融及傳產股齊揚，指數上漲並挑戰新高，台達電強勁表現帶動市場情緒正面。,2025-07-07 00:08:04,1
2023-03-08,0.3,市場情緒偏向中性，雖然台股受到美股下跌與聯準會鷹派言論影響而開低，但在傳產指標股如台塑、中鋼等強勢翻紅，以及中小型股支撐下，大盤跌幅收斂。權值股普遍走弱，僅聯電、大立光逆勢上漲；傳產股表現分歧，台塑三寶午後有資金進駐而翻紅，鋼鐵族群也逆勢收紅。AI軟體概念股與車用電子概念股則受到買盤青睞，漲幅顯著。整體來看，市場情緒偏向中性，指數跌幅有限，但成交量放大至超過 2600 億元，顯示投資人觀望態度濃厚。,2025-07-07 00:08:07,2
2023-03-09,0.7,營收表現符合預期且展望正向，尤其電動車業務強勁成長有助支撐市場信心。,2025-07-07 00:08:08,1
2023-03-10,0.3,"美股重挫拖累台股大跌，權值股普遍走低，但部分電子個股逆勢抗跌，顯示市場信心尚未完全喪失。整體而言，市場情緒偏向保守，短期內仍需觀察國際局勢與美股表現。

====================",2025-07-07 00:08:10,1
2023-03-13,0.5,美股及台股早盤重挫引發賣壓，但貨櫃三雄與部分電子權值股逆勢抗跌，顯示市場信心尚未完全喪失，整體市場情緒維持中性。,2025-07-07 00:08:11,1
2023-03-21,0.9,權值股普遍走強，加上普發現金效應與產業展望樂觀，激勵市場情緒向上且買盤力道回溫。,2025-07-07 00:08:13,1
2023-03-22,0.9,CDP 氣候變遷成績評比 A 級認可、供應鏈議合表現亮眼以及積極推動節能減碳與低碳創新，凸顯公司在永續發展上的努力與決心，激勵市場對未來營運前景的正面期待。,2025-07-07 00:08:15,2
2023-03-23,0.9,FED 表態不降息與美股反彈激勵下，電子權值股如台積電領漲帶動大盤上攻，突破前高來到 9 個月新高，顯示市場情緒樂觀且資金持續流入。,2025-07-07 00:08:16,1
2023-03-27,0.4,權值股普遍走跌拖累大盤，加上市場觀望氣氛濃厚，整體市場情緒偏向保守。,2025-07-07 00:08:18,2
2023-03-29,0.9,展望 2023 年，經濟衰退與產業營收下滑已是事實，但股市反映未來，預期資金面有利且電子股活耀，台股表現將優於預期。重點關注車用、儲能及 AI 人工智能相關產業。,2025-07-07 00:08:20,1
2023-03-30,0.7,透過策略性投資強化工業自動化產品線與解決方案，提升市場競爭力，激勵中長期正面市場情緒。,2025-07-07 00:08:21,1
2023-04-11,0.7,台達電取得台電大型儲能標案，顯示公司在電力基礎建設領域的技術與實力獲得認可，有利於未來營運成長。,2025-07-07 00:08:23,2
