date,factor,explanation,updated_time,news_count
2022-11-07,0.6,網通三雄 10 月營收齊創新高，顯示下游需求強勁，智邦 在 400G 出貨放量及 800G 產品認證中，明年成長動能可期。,2025-07-06 23:55:07,1
2022-11-10,0.3,市場情緒略為正面，外資回補航運股與部分電子權值股，但賣超傳產與金融個股，顯示對後市仍持審慎態度。,2025-07-06 23:55:08,1
2022-11-11,0.9,美國通膨數據樂觀與產業落底跡象顯示經濟軟著陸機率提高，激勵大盤強彈萬四關卡，電子權值股全面走揚，市場情緒轉趨正面。,2025-07-06 23:55:10,1
2022-11-18,0.9,400G 交換器需求強勁、智慧網卡成長動能持續，加上海外新產能陸續到位，展現公司營運穩健成長的正面前景。,2025-07-06 23:55:12,1
2022-12-06,0.9,三家網通廠 11 月營收持續創高，顯示產業需求強勁，公司基本面表現亮眼，激勵市場對未來成長前景的正向期待。,2025-07-06 23:55:14,1
2022-12-20,0.6,與 5G O-RAN 基頻晶片開發商 Picocom 合作推出新解決方案，展現公司在 O-RAN 商機中的技術實力與市場前景。,2025-07-06 23:55:17,1
2022-12-23,0.3,市場信心受美股回落與聖誕節假期影響而下滑，加上多數權值股走弱，引發整體市場情緒偏空。,2025-07-06 23:55:18,1
2023-01-04,0.5,電子權值股普遍疲弱拖累大盤，但中小型個股如電力、內需消費題材股逆勢抗跌，顯示市場情緒仍有支撐。,2025-07-06 23:55:20,1
2023-01-06,0.7,營收創高且展望樂觀，缺料緩解與新產品推動下，市場對未來成長前景持正向期待。,2025-07-06 23:55:22,1
2023-01-10,0.6,營收創高與展望樂觀顯示公司基本面強勁，激勵市場情緒向上但仍需留意萬五關卡壓力。,2025-07-06 23:55:24,1
2023-02-06,0.6,營收雙成長但月減幅大於預期，市場對後續動能仍存疑慮。,2025-07-06 23:55:27,1
2023-02-07,0.6,智邦受惠於相關個股表現強勁及市場關注度提升，帶動正面市場情緒與股價上揚。,2025-07-06 23:55:28,1
2023-02-18,0.7,網通類股整體走強顯示市場對產業前景樂觀，個別公司營運穩健與獲利成長為主要支撐力道。,2025-07-06 23:55:31,1
2023-03-06,0.9,網通類股全面走揚，智邦、神準等指標股漲幅顯著，市場對相關個股後市信心回升。,2025-07-06 23:55:34,2
2023-03-09,0.9,獲利創高與穩定配息政策展現公司財務實力，激勵市場情緒向上且股價有望反應基本面強勁。,2025-07-06 23:55:35,1
2023-04-06,0.6,營收創高且生產基地多元化策略有利中長期成長，但短期內獲利能力仍需觀察。,2025-07-06 23:55:39,1
