date,factor,explanation,updated_time,news_count
2023-01-05,0.7,多元產品組合與非 PC 領域成長動能強勁有助穩定營收表現，但獲利能力仍需關注成本控制。,2025-07-07 00:18:56,1
2023-02-06,0.6,營收表現符合預期但工作天數減少影響月營收，展望全年維持成長動能，市場對未來獲利前景樂觀。,2025-07-07 00:19:01,1
2023-03-16,0.7,中國通路事業受惠疫情解封與人流回溫，搭配去年不利因素排除，營運展望樂觀，激勵市場對未來獲利成長的正向期待。,2025-07-07 00:19:06,1
2023-04-06,0.6,第一季營收表現低於預期且年減雙位數，雖有 AI 影像產品支撐但整體展望仍偏向保守，市場情緒維持中性偏空。,2025-07-07 00:19:09,1
2023-05-09,0.3,法說會釋出保守展望與營收下修訊息，市場對未來業績前景存疑，但公司財務狀況穩健有助支撐股價表現。,2025-07-07 00:19:14,1
2023-05-10,0.6,第一季財報表現優於預期，營收與獲利雙增且毛利率維持水準，但第二季展望保守，市場對後續營運成長力道存疑。,2025-07-07 00:19:15,1
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示部分業務動能，惟整體展望保守且伺服器電源成長趨緩，市場情緒偏中性。,2025-07-07 00:19:19,1
2023-06-06,0.6,營收回升與第二季獲利展望樂觀帶動市場情緒，但年減壓力仍在，AI影像產品成長潛力為主要催化劑。,2025-07-07 00:19:20,1
2023-06-17,0.3,營收與獲利衰退及第三季展望保守壓抑短期市場信心，但 AI 影像產品成長動能可望支撐下半年表現。,2025-07-07 00:19:22,1
2023-07-27,0.6,面板三虎獲外資大舉買超，顯示市場對其營運前景持正向態度，激勵股價上漲。,2025-07-07 00:19:26,1
2023-12-06,0.3,營收月減但鍵盤需求穩定，展望明年復甦將支撐市場信心，但短期內獲利衰退壓力仍在。,2025-07-07 00:19:37,1
2023-12-14,0.7,聯準會降息預期與熱錢湧入激勵台股創高，權值股普遍上揚，市場情緒樂觀。,2025-07-07 00:19:39,1
2023-12-26,0.7,電子權值股普遍上漲，面板族群強勢表現與 AI PC 概念題材帶動市場信心，群光等其他電子股同步走揚。,2025-07-07 00:19:41,1
2023-12-30,0.7,AI PC 換機潮題材與中國市場回溫帶動營運成長，激勵正面市場情緒。,2025-07-07 00:19:42,1
2024-01-03,0.4,電子類股普遍走跌，AI 概念族群表現疲弱，但部分個股如廣達、健鼎等仍力守紅盤，顯示市場信心尚未完全喪失。,2025-07-07 00:19:44,1
2024-01-04,0.7,營收表現符合預期但仍呈雙減，展望未來成長動能強勁，市場對復甦前景樂觀。,2025-07-07 00:19:45,2
2024-01-09,0.3,權值股與AI概念股撐盤，電子族群表現相對強勢，但貨櫃三雄及傳產股走弱拖累大盤，市場情緒偏向中性。,2025-07-07 00:19:47,1
2024-02-06,0.9,AI PC 換機需求、Windows 10 支援終止等因素帶動鍵盤及周邊產品出貨成長，法人預期群光今年營收與獲利均可望雙位數成長，激勵市場情緒樂觀。,2025-07-07 00:19:51,1
2024-03-04,0.9,電子權值股與族群齊揚，市場情緒樂觀，多頭行情延續。,2025-07-07 00:19:55,1
2024-03-06,0.6,2 月營收年增且前 2 月營收創同期第三高，顯示基本面穩健，但農曆年工作天數減少影響單月表現，使市場情緒溫和偏多但不過度樂觀。,2025-07-07 00:19:56,1
2024-03-08,0.4,大盤上漲帶動個股表現，但群光受產業庫存調整與市場需求疲軟影響，股價走跌。,2025-07-07 00:19:57,1
2024-03-09,0.9,獲利穩健與展望樂觀帶動股價強勁上漲，市場對財報與股利政策寄予厚望。,2025-07-07 00:19:58,1
2024-03-17,0.6,外資買超權值股與投信偏好個股表現分歧，顯示市場對後市展望仍存在不確定性，但整體情緒尚未轉為明顯悲觀。,2025-07-07 00:20:01,1
2024-03-20,0.6,權值股與 AI 概念股領漲帶動大盤上揚，00939、00940 高息 ETF 成分股同步走強，市場情緒偏正面。,2025-07-07 00:20:02,1
2024-03-22,0.4,市場情緒受到升息影響而轉趨保守，加上個股漲多拉回與投信調節賣壓，整體呈現震盪偏空格局。,2025-07-07 00:20:03,1
2024-03-26,0.3,電子權值股與族群普遍走弱，傳產與金融股表現相對抗跌，整體市場情緒偏向保守。,2025-07-07 00:20:05,1
2024-03-29,0.6,台積電與聯發科領漲加上 AI 概念股輪動提振市場信心，但部分電子權值股如群光、聯電走勢疲軟，整體盤面呈現個股表現，市場情緒偏正向但仍有不確定性。,2025-07-07 00:20:06,1
2024-04-02,0.6,AI 概念股領軍衝鋒，加上市場傳出巴菲特回補台積電持股，激勵大盤再創新高，但個股漲跌分歧仍大。,2025-07-07 00:20:08,1
2024-05-11,0.6,營收與獲利成長優於預期，主要受惠筆電出貨量價提升及匯率助益，但市場對後續需求展望仍有疑慮，整體情緒偏正面但不確定性存在。,2025-07-07 00:20:13,1
2024-05-13,0.7,營收與獲利成長動能強勁，加上轉投資事業展望正面，激勵市場對未來業績的信心。,2025-07-07 00:20:14,1
2024-05-30,0.3,市場對未來獲利成長預期趨於保守，股價面臨修正壓力，但整體展望仍維持溫和上揚。,2025-07-07 00:20:17,1
2024-08-08,0.3,目標價調降與評級偏空引發短期市場疑慮，但股價跌幅相對輕微，顯示基本面仍具支撐。,2025-07-07 00:20:25,1
2024-08-09,0.6,市場預估獲利與營收持續成長，但分析師目標價下修引發短期股價壓力。,2025-07-07 00:20:26,2
2024-09-08,0.5,營收年增率前五名中，廣達、元太與慧洋等科技股表現亮眼，激勵市場信心。,2025-07-07 00:20:30,1
2024-09-19,0.9,出售蘇州廠房帶來一次性收益貢獻，第三季獲利表現亮眼且全年展望正向，激勵市場情緒與股價上漲。,2025-07-07 00:20:32,1
2024-09-25,0.7,中國人行降準降息等刺激經濟政策有利於消費性電子需求，藍天轉投資事業受惠潛力增加，加上台股強勁反彈，群光獲得資金青睞。,2025-07-07 00:20:34,2
2024-10-28,0.3,市場對未來獲利成長預期下修，引發短期內中性偏空的市場情緒。,2025-07-07 00:20:38,1
2024-11-07,0.3,市場對未來獲利成長預期下修引發中性偏空情緒，但營收表現仍維持一定水準。,2025-07-07 00:20:41,2
2024-11-09,0.7,營收創高與第四季展望樂觀顯示公司基本面強勁，激勵正面市場情緒。,2025-07-07 00:20:42,1
2024-12-10,0.3,分析師調降目標價與評級，顯示市場對公司營運前景存疑，但幅度有限且仍有部分持正向看法，整體情緒偏中性。,2025-07-07 00:20:46,1
2025-01-02,0.6,市場對未來獲利成長持正向展望，但短期營收表現疲弱將壓抑股價上漲動能。,2025-07-07 00:20:49,1
2025-01-16,0.7,公司展望未來表現樂觀，新產品與客戶轉單挹注營運成長動能，激勵市場情緒偏正面。,2025-07-07 00:20:51,1
2025-01-23,0.3,市場對未來獲利成長預期趨於保守，導致股價目標價下修，引發短期內中性偏空的市場情緒。,2025-07-07 00:20:53,1
2025-03-09,0.6,新品推出與市場升溫有利於相關廠商業績表現，但短期內仍需觀察供應鏈狀況及消費者購買力道。,2025-07-07 00:20:58,1
2025-03-11,0.6,政策利多帶動 3C 通路表現改善，加上轉投資百貨業績回升，營收獲利成長前景樂觀，但仍需持續關注市場復甦力道。,2025-07-07 00:21:00,2
