date,factor,explanation,updated_time,news_count
2022-11-01,0.6,鄭州廠疫情與員工事件雖造成短期波動，但富士康祭出高額獎勵政策穩定生產，市場對鴻海營運展望維持中性偏正面。,2025-07-07 00:47:45,3
2022-11-02,0.6,鄭州靜態管理雖不影響鴻海生產營運，但疫情仍為市場帶來一定的不確定性，短期內對股價造成壓力。,2025-07-07 00:47:47,2
2022-11-04,0.6,電子權值股跌勢收斂與航運、金融撐盤帶動加權指數翻紅，顯示市場情緒有所回溫，但三大法人合計賣超仍影響整體信心。,2025-07-07 00:47:48,1
2022-11-07,0.3,營收成長與展望調整引發市場擔憂，但強勁需求與客戶支援有望緩解短期衝擊，中長期影響有限。,2025-07-07 00:47:50,4
2022-11-08,0.9,鴻海加碼投資電動車新創並成為最大股東，顯示對該公司營運前景的信心與長期發展策略的支持，激勵市場情緒走揚。,2025-07-07 00:47:51,1
2022-11-09,0.9,鄭州疫情管控解除與台股強勁反彈激勵下，鴻海股價上漲並站回5日線，市場情緒正面。,2025-07-07 00:47:53,3
2022-11-10,0.6,鄭州廠疫情影響營運表現，但展望第四季仍可望成長，且客戶與政府支援有助降低衝擊，整體營運前景中性偏正面。,2025-07-07 00:47:54,4
2022-11-11,0.6,美股大漲激勵下指數跳空上漲跨越季線，多頭氣勢強勁且空手投資人眾多有利多方延續。,2025-07-07 00:47:56,1
2022-11-12,0.9,電動車產能擴張計畫與在地供應鏈發展策略展現鴻海積極搶攻電動車市場的決心，激勵正面市場情緒。,2025-07-07 00:47:57,1
2022-11-13,0.6,郭台銘力挺高虹安並表態支持新竹市科技發展，提升選情與市場信心；劉揚偉受邀出席 B20 峰會發表演說，凸顯鴻海國際能見度與影響力。,2025-07-07 00:47:59,2
2022-11-14,0.6,鴻海董事長在國際場合發表演說並分享產業經驗，展現公司領導地位與正面形象，有助於提升市場信心，但整體台股走勢強勁且權值股普遍上漲，顯示消息對個股影響有限。,2025-07-07 00:48:00,2
2022-11-16,0.3,市場情緒偏中性，電子股領漲但傳產與航運續弱，整體量能不足且半年線未站穩。,2025-07-07 00:48:02,1
2022-11-17,0.6,龐大的招工規模與高額獎勵措施顯示鴻海面臨人力短缺問題，但目前市場關注度有限，對股價影響有限。,2025-07-07 00:48:03,2
2022-11-18,0.5,法說展望樂觀且新廠開出將帶動營收成長，惟短期股價受大盤疲弱影響而陷入區間震盪。,2025-07-07 00:48:05,2
2022-11-20,0.3,太原富士康位於靜默管理範圍內，但生產與生活秩序維持正常，市場對營運影響存有疑慮。,2025-07-07 00:48:06,1
2022-11-21,0.6,與國際頂尖學術會議合作並提出創新解決方案，凸顯鴻海在量子計算領域的研發實力，有助提升市場對公司前景的信心。,2025-07-07 00:48:07,1
2022-11-22,0.6,延攬半導體大老加速集團半導體佈局與整合，市場對鴻海未來在半導體領域的發展前景持正面期待。,2025-07-07 00:48:09,3
2022-11-23,0.6,鄭州廠暴力抗議事件引發市場擔憂，但鴻海強調生產正常且已與員工溝通，短期內雖有負面影響但整體展望仍偏正向。,2025-07-07 00:48:11,4
2022-11-24,0.3,富士康鄭州廠爆發員工抗議事件引發市場擔憂，但鴻海已承認錯誤並與員工達成協議，短期內雖有負面影響但應可控制，整體市場情緒仍維持中性。,2025-07-07 00:48:13,1
