date,factor,explanation,updated_time,news_count
2022-11-01,0.6,政府支持與美國廠進度顯示長期投資信心，推升市場對台積電未來成長的正面期待。,2025-06-09 00:08:03,4
2022-11-02,0.7,台積電股價翻紅且帶動電子族群走強，顯示市場對科技股信心回升，情緒偏向正面。,2025-06-09 00:08:09,2
2022-11-03,-0.4,台積電廠區擴建政策受政府支持帶動短線樂觀，但Fed升息與美股重挫形成壓力，市場情緒呈現拉扯態勢。,2025-06-09 00:08:17,4
2022-11-04,0.3,市場整體情緒反彈且資金流動顯示支撐，但台積電未見直接利多刺激，影響有限。,2025-06-09 00:08:24,1
2022-11-07,0.85,台積電領漲電子股、獲外资買超，半導體產業利好消息強化市場信心。,2025-06-09 00:08:33,3
2022-11-08,0.9,配息穩定與資本預算擴張顯示公司前景樂觀，強化市場對台積電長期成長性的信心。,2025-06-09 00:08:39,2
2022-11-09,0.85,多項正面消息提振市場信心，引發買盤積極進場。,2025-06-09 00:08:45,4
2022-11-10,-0.3,營收表現亮眼但产能利用率下滑與市場整體走弱，形成多空拉扯格局。,2025-06-09 00:08:51,4
2022-11-11,0.95,營收雙創高點與美股台股全面上攻，強烈刺激市場對台積電的正面情緒與買盤動能。,2025-06-09 00:08:58,4
2022-11-12,0.7,營收成長與設廠擴張計畫強化市場對長期成長動能的樂觀預期。,2025-06-09 00:09:06,1
2022-11-14,0.5,市場整體漲勢強勁且資金持續流入，台積電作為電子權值股受惠，但技術面警戒可能限制漲幅，情緒偏向正面但不顯著。,2025-06-09 00:09:16,4
2022-11-15,0.5,巴菲特買入與技術性反彈強化市場信心，但基本面未明確利多，短期情緒偏樂觀但存在修正風險。,2025-06-09 00:09:21,4
2022-11-16,0.6,台積電受巴菲特增持與ADR暴漲帶動，顯示機構與市場對其長期價值認同，抵銷部分訂單下修與地緣風險影響，情緒偏向正面。,2025-06-09 00:09:28,4
2022-11-17,-0.3,多重利好政策與技術面支撐部分抵消了外資賣壓與美股拖累，但市場仍處於技術性修正壓力區。,2025-06-09 00:09:40,4
2022-11-18,0.3,晶片法案預期長期利多支撐，但聯準會升息與外資調節形成短線壓力，市場情緒呈現中性偏正面。,2025-06-09 00:09:52,3
2022-11-19,0.5,政策支持與客戶訂單穩定顯示長期成長動能，但競爭壓力可能限制短線漲幅。,2025-06-09 00:10:01,2
2022-11-20,0.85,巴菲特大额投资带动市场正面情绪，ETF配置强化资金流入支撑。,2025-06-09 00:10:08,1
2022-11-21,-0.3,台積電股價下跌與技術面整理壓力，抵消部分訂單利好，市場情緒偏保守。,2025-06-09 00:10:18,4
2022-11-22,-0.3,外銷訂單數據疲軟與市場整體整理格局影響情緒，但台積電新廠進展提供部分支撐。,2025-06-09 00:10:27,4
2022-11-23,0.2,市場情緒因半導體人才動向與產業鏈動能略為正面，但整體觀望氣氛與權值股震盪拉低漲勢，影響有限。,2025-06-09 00:10:34,3
2022-11-24,-0.1,市場情緒偏保守，資金輪動至其他權值股與貨櫃航運，台積電漲幅有限且ADR下跌，顯示短期缺乏強力支撐。,2025-06-09 00:10:43,3
2022-11-25,0.3,台積電股價微漲但電子權值股整體走弱，市場情緒受半導體測試介面與電動車概念支撐，但震荡格局限制漲勢幅度。,2025-06-09 00:10:50,4
2022-11-26,0.6,正面消息強調台積電在半導體產業的領導地位與國際戰略重要性，提升市場信心。,2025-06-09 00:10:56,1
2022-11-27,0.75,台股技術面與外資買超態勢強化，帶動市場對半導體族群正面期待。,2025-06-09 00:11:01,1
2022-11-28,-0.7,技術面乖離修正壓力與外資賣壓加劇，市場情緒偏向保守，短期偏向下跌。,2025-06-09 00:11:06,4
2022-11-29,-0.4,外资下调营收与毛利率预期引发担忧，但绿电增持提供部分支撑，整体情绪偏负面。,2025-06-09 00:11:12,3
2022-11-30,0.75,MSCI調整日資金大買、技術面強勢及半導體產業樂觀預期共同推升市場情緒。,2025-06-09 00:11:20,3
2022-12-01,0.85,美股漲勢帶動台股全面走揚，台積電權值股表現強勁，市場情緒顯著樂觀。,2025-06-09 00:11:25,4
2022-12-02,-0.5,台積電股價下跌與資金流出反映市場對短期營運及供電風險的擔憂，抵消再生能源題材的正面影響。,2025-06-09 00:11:32,4
2022-12-03,-0.1,缺電議題引發市場對台灣電力供應的擔憂，可能間接影響半導體產業運作，但未直接衝擊台積電營運表現。,2025-06-09 00:11:39,1
2022-12-04,0.6,外資持續買超與12月市場資金行情預期強化，推升台積電股價正面情緒。,2025-06-09 00:11:44,1
2022-12-05,0.0,台積電供應鏈動能與資金買盤顯示支撐，但股價震盪收黑反映短期市場觀望，整體情緒維持中性。,2025-06-09 00:11:54,2
2022-12-06,-0.5,台積電股價下跌且電子權值股普遍走弱，市場情緒受美股下跌與台股整體走跌拖累，抵消部分外資流入與供應鏈利多影響。,2025-06-09 00:12:05,4
2022-12-07,0.6,台積電擴大美國投資與即將舉行投資者日，強化長期成長預期，但短期市場修正壓力與資金調動可能導致波動。,2025-06-09 00:12:11,4
2022-12-08,-0.75,台積電股價下跌、權值股壓盤及外資連續賣超顯示市場情緒偏負，整體環境不利於股價表現。,2025-06-09 00:12:17,4
2022-12-09,0.6,營收創新高及外資看好季績，抵銷部分产能利用率下降影響，市場情緒偏正面。,2025-06-09 00:12:24,3
2022-12-11,0.3,除息與聯準會利率決策同步受關注，多頭季節性預期與縮減升息預期支撐市場情緒，但外資賣超與技術性整理形成制約。,2025-06-09 00:20:36,2
2022-12-12,-0.5,市場整體觀望氣氛濃厚，電子股遭賣壓拖累，但遠期營收預期提供部分支撐。,2025-06-09 00:20:45,3
2022-12-13,-0.7,台積電受大盤走弱及外資賣壓影響，股價下跌且市場情緒偏負面。,2025-06-09 00:20:52,3
2022-12-14,0.6,除息填息預期強勁且當日股價已漲近2%，市場對台積電後市走勢保持樂觀。,2025-06-09 00:21:02,3
2022-12-15,0.5,除息填息成功與強勁營收數據支撐市場信心，但聯準會鷹派言論與短期資金波動形成拉扯。,2025-06-09 00:21:10,4
2022-12-16,-0.8,全球升息與經濟放緩拖累市場情緒，台積電受權值股拖累股價走弱。,2025-06-09 00:21:16,4
2022-12-17,0.7,管理层增持及國際關係穩定、未來業務布局顯示長期成長信心，帶動市場正面情緒。,2025-06-09 00:21:24,3
2022-12-18,-0.6,外資連續賣壓與美股走跌形成雙重壓力，短期市場情緒偏負向。,2025-06-09 00:21:32,1
2022-12-19,-0.6,市場情緒受外資持續拋壓與美股走弱拖累，台積電權值股走弱但高層增持提供部分支撐，整體偏向負面。,2025-06-09 00:21:38,3
2022-12-20,-0.4,市場資金流向航運與鋼鐵股，半導體股受資金拋售壓力，台積電股價偏弱整理，情緒略偏負。,2025-06-09 00:21:46,1
2022-12-21,0.3,台股整體反彈與電子權值股零星走揚，帶動市場情緒略偏正面，但資金動能不足限制漲幅。,2025-06-09 00:21:54,4
2022-12-22,0.6,美股大涨带动ADR及台股上扬，叠加南京厂扩产计划确认，强化市场正面情绪。,2025-06-09 00:22:03,2
2022-12-23,-0.5,台積電獲特斯拉訂單利多被半導體逆風與美股走弱抵銷，市場情緒偏空但未完全受壓。,2025-06-09 00:22:09,4
2022-12-26,-0.4,市場整體情緒保守，台積電受技術面與資金輪動影響，短期偏壓但缺乏強力利多支撐。,2025-06-09 00:22:15,4
2022-12-27,0.4,3奈米量產典禮展示技術實力與深耕台灣決心，抵銷機構獲利了結的短期壓力，市場情緒偏正面。,2025-06-09 00:22:21,3
2022-12-28,-0.8,美股科技股走弱與半導體族群集体下跌，拖累台積電市場情緒顯著偏空。,2025-06-09 00:22:28,3
2022-12-29,-0.6,全球經濟憂慮與市場整體走弱拖累台積電股價，部分正面訊息未能抵銷系統性風險影響。,2025-06-09 00:22:34,4
2022-12-30,0.5,3奈米產能擴張與高管增持顯示長期成長動能，但首季營收季減與市場情緒波動形成拉扯。,2025-06-09 00:22:44,4
2023-01-01,-0.5,出口數據疲軟與市場觀望氣氛加劇，抵銷CES技術展示的正面影響，整體情緒偏負。,2025-06-09 00:22:52,1
2023-01-02,-0.2,台積電遭外資拋售但市場技術面與基本面顯示反彈潛力，整體情緒偏保守。,2025-06-09 00:23:01,2
2023-01-03,0.3,台積電盤中翻紅並收漲，顯示資金支撐與市場情緒反彈，但整體波動反映短期觀望氛圍。,2025-06-09 00:23:08,3
2023-01-04,-0.6,外資連續賣壓與電子股整體走弱拖累市場情緒，但部分資金轉向其他板塊形成部分支撐。,2025-06-09 00:23:16,3
2023-01-05,0.6,台積電領漲半導體族群且受美股費半強彈帶動，市場情緒顯著正面，但外資保守預期或限制漲幅幅度。,2025-06-09 00:23:26,4
2023-01-06,0.3,電子族群整體受資金追捧且表現強勁，但台積電當日持平未顯明漲跌，市場情緒偏正面但缺乏直接刺激。,2025-06-09 00:23:34,3
2023-01-08,0.3,法說會資本支出上修與營收展望存在矛盾，市場情緒受外資觀望與封關前調節壓力影響，呈現中性偏正面。,2025-06-09 00:23:42,2
2023-01-09,0.85,台積電領軍電子族群全面反彈，美股半導體指數強勁拉抬，市場情緒顯著轉暖。,2025-06-09 00:23:48,3
2023-01-10,0.3,全年營收創新高與毛利率預期改善支撐長期前景，但短期需求疲軟與产能利用率下滑帶來不確定性。,2025-06-09 00:23:54,3
2023-01-11,-0.1,法說會前夕市場觀望氣氛濃厚，電子股整體走弱與高管加碼買盤形成拉扯，短期情緒偏保守。,2025-06-09 00:24:03,4
2023-01-12,-0.1,台積電法說預期偏負面且首季營收季減，市場情緒保守，短期缺乏明確利多刺激。,2025-06-09 00:24:14,4
2023-01-13,0.7,外資積極買盤與法說會展望符合預期，強化市場對未來營運成長的樂觀情緒。,2025-06-09 00:24:21,4
2023-01-16,0.75,台積電表現強勁帶動大盤上漲，技術面與財報展望均顯示市場對其持續看多。,2025-06-09 00:24:28,3
2023-01-17,-0.6,台積電股價震盪且半導體族群走弱，反映市場對產業鏈需求與利潤空間的擔憂，牽動投資者情緒偏負面。,2025-06-09 00:24:35,3
2023-01-18,0.6,全球股市漲勢強勁及半導體產業需求持續熱絡，間接支撐台積電市場情緒。,2025-06-09 00:24:44,1
2023-01-19,-0.8,全球需求下滑與訂單減少導致市場情緒偏負。,2025-06-09 00:24:52,1
