date,factor,explanation,updated_time,news_count
2022-11-04,0.6,緯創集團整體財報表現強勁，營收與獲利雙創新高，中長期成長潛力受看好，支撐市場情緒正面。,2025-06-08 23:25:15,2
2022-11-08,0.4,緯創全年營收創新高且子公司表現強勁，抵消短期出貨下滑影響，市場情緒偏正面。,2025-06-08 23:25:24,1
2022-11-22,-0.7,戴爾訂單下修與市場景氣低迷直接衝擊緯創第四季出貨與獲利預期，引發市場負面情緒。,2025-06-08 23:25:35,1
2022-11-30,0.6,多重合作與印度市場布局消息提升市場對緯創國際化與供應鏈韌性的期待。,2025-06-08 23:25:42,1
2022-12-16,0.3,纬创在电子股普遍下跌中逆势上涨，显示市场对其有正面预期。,2025-06-08 23:25:50,1
2022-12-18,0.3,外資買超緯創顯示短期資金偏好，但台股整體走弱與市場不確定性可能限制漲勢。,2025-06-08 23:25:54,1
2022-12-22,0.0,內部人事與組織調整屬於戰略優化措施，短期市場反應偏向中性，缺乏明確利多或利空刺激。,2025-06-08 23:26:03,1
2023-01-04,0.3,纬创逆市抗跌显示短期支撑，但电子板块整体走弱可能抑制涨幅。,2025-06-08 23:26:11,1
2023-01-09,0.65,全年營運表現創歷史新高，顯示公司整體財務狀況穩健，帶動市場正面情緒。,2025-06-08 23:26:18,1
2023-01-11,0.3,外资买超纬创显示短期信心，但台股整体下跌及市场保守态度抵消部分正面影响。,2025-06-08 23:26:27,1
2023-01-14,0.6,全年營收創新高且股價反彈強勁，顯示市場對公司長期成長性仍保持信心。,2025-06-08 23:26:34,1
2023-01-15,0.3,緯創去年營收創新高但今年展望受關注，市場情緒偏保守且缺乏明確利多刺激。,2025-06-08 23:26:44,1
2023-01-17,0.6,財報表現亮眼、非PC業務成長潛力及管理層樂觀展望，強化市場對公司韌性與長期價值的信心。,2025-06-08 23:26:51,4
2023-02-03,0.6,外资及陆资买超带动市场情绪正面，显示资金对纬创的短期偏好。,2025-06-08 23:27:02,1
2023-02-04,0.6,全年获利創新高帶動正面情緒，但短期不确定因素略壓抑漲勢。,2025-06-08 23:27:09,1
2023-02-07,0.6,營收年增創新高且戰略升級強化長期成長動能，市場情緒正面。,2025-06-08 23:27:15,1
2023-02-16,0.7,創新成就與研發投資獲國際認可，強化市場對技術競爭力與長期成長潛力的信心。,2025-06-08 23:27:21,1
2023-02-24,0.3,外资买超纬创显示短期资金偏好，但整体市场下跌压力可能限制涨幅。,2025-06-08 23:27:31,1
2023-03-07,0.6,與行業龍頭合作提升技術形象，增强市場對長期成長潛力的信心。,2025-06-08 23:27:36,1
2023-03-08,0.5,外资及投信买超显示市场对纬创信心提升，抵消大盘下跌压力，情绪偏正面。,2025-06-08 23:27:45,1
2023-03-10,0.6,緯創醫學業務成長與擴張計畫顯示長期發展潛力，提升市場對其轉型與營運改善的期待。,2025-06-08 23:27:50,1
2023-03-12,-0.5,外資大額賣超與市場觀望氣氛加劇，壓抑市場情緒，不利股價短線表現。,2025-06-08 23:27:56,1
2023-03-14,0.5,緯創顯示出穩健財務表現與長期成長布局，配息創新高且AI、車用電子潛力受關注，但2023年成長預期有限，市場情緒偏正面但保守。,2025-06-08 23:28:02,3
2023-03-15,0.6,市場整體反彈、電子股走強且緯創看好AI與車用電子前景，帶動正面情緒。,2025-06-08 23:28:08,2
2023-03-18,0.6,去年營運表現亮眼且下半年成長展望積極，帶動市場情緒正面。,2025-06-08 23:28:16,1
2023-03-20,0.6,公司展示積極業務發展、財務穩健與未來戰略布局，強化市場對長期成長的樂觀預期。,2025-06-08 23:28:23,2
2023-03-21,0.8,緯創與母公司緯穎營運表現亮眼，資本支出擴張及產業成長預期強化市場正面情緒。,2025-06-08 23:28:38,1
2023-03-23,-0.1,市場整體走勢強勁但緯創午盤走跌，顯示短暫波動與市場情緒未完全同步。,2025-06-08 23:28:48,1
2023-03-24,0.7,AI商機與擴產計畫強化市場對長期成長的樂觀預期,2025-06-08 23:28:54,1
2023-03-25,0.7,外资持续买超及AI、EV布局提振市场信心。,2025-06-08 23:29:01,1
2023-03-26,0.6,外资与投信持续买超纬创显示资金看多，但市场观望情绪可能抑制短期涨幅。,2025-06-08 23:29:08,1
2023-03-27,0.5,緯創逆勢漲幅顯示市場對其營運或訂單有正面期待，抵銷電子股整體走弱的負面影響。,2025-06-08 23:29:15,1
2023-03-29,0.7,外資持續買超緯創顯示資金看好其營運前景，推升市場情緒正面。,2025-06-08 23:29:21,1
2023-03-30,0.6,外資與投信積極買超緯創，反映市場對其營運與未來展望的正面評估。,2025-06-08 23:29:28,1
2023-04-07,-0.5,第一季營收季減年減，筆電與顯示器出貨年減幅度明顯，短期市場對需求疲軟擔憂較強，但下半年回升預期部分緩衝負面情緒。,2025-06-08 23:29:34,1
2023-04-16,0.6,投信逢低布局與市場對中小型股的資金進場，顯示對電子股的短線樂觀情緒。,2025-06-08 23:29:41,1
2023-04-19,0.7,PC市場回暖與出貨量成長預期強化市場對緯創營運改善的樂觀情緒。,2025-06-08 23:29:48,1
2023-04-20,-0.5,产能调整與戰略轉型顯示長期布局，但停工停产可能短期衝擊市場信心。,2025-06-08 23:29:56,1
2023-04-23,0.3,外資積極布局緯創顯示對其未來表現信心，但整體市場氛圍偏空，拉低正面影響幅度。,2025-06-08 23:30:07,1
2023-04-24,0.6,電子股整體反彈帶動市場情緒正面，緯創表現強勢增強投資者信心。,2025-06-08 23:30:13,1
2023-04-28,0.6,投信與外資買超顯示市場對電子股信心回升，纬創受資金青睞推升短線情緒。,2025-06-08 23:30:20,1
