date,factor,explanation,updated_time,news_count
2022-11-01,0.7,電子與金融股領漲，光寶科等個股表現強勁，加上指數站回萬三支撐市場信心，但整體漲幅有限。,2025-08-04 23:20:51,20
2022-11-07,0.6,營收年增與三大業務穩健成長顯示公司基本面良好，但終端需求放緩壓力仍在，市場情緒偏向中性。,2025-08-04 23:20:53,20
2022-11-14,0.7,擴大全球產能與新廠啟用帶動正面市場情緒，營運展望樂觀且持續專注拓展長期成長領域。,2025-08-04 23:20:55,20
2022-11-17,0.7,充電樁商機帶動相關台廠成長，光寶科受惠於電動車與資料中心需求，營收與獲利可望再創新高。,2025-08-04 23:20:58,20
2022-11-18,0.7,獲獎肯定反映公司在環境、社會與治理面向的積極作為，提升市場對其永續經營能力的信心。,2025-08-04 23:21:00,20
2022-11-22,0.7,台積電領漲帶動指數上攻半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-04 23:21:03,20
2022-11-23,0.5,外資與投信同步加碼金融族群，顯示市場對於金融類股的偏好，但買超力道不強，整體市場情緒維持中性。,2025-08-04 23:21:05,20
2022-11-25,0.3,市場情緒中性，多空力道拉鋸，電子股轉弱、傳產族群承壓，生技股漲勢恐告段落。,2025-08-04 23:21:08,20
2022-11-28,0.3,市場情緒受到台股下跌影響而轉為略微負面，但三大法人賣超金額有限，顯示整體資金動能尚可。,2025-08-04 23:21:10,20
2022-11-30,0.6,外資買超金額大、投信賣超金額小，整體市場情緒偏向正面，但個股表現差異大。,2025-08-04 23:21:12,20
2022-12-02,0.5,富時羅素調整成分股名單，對公司基本面影響有限，但仍可能引發短期市場波動。,2025-08-04 23:21:14,20
2022-12-05,0.7,營收表現亮眼與成長展望激勵市場情緒，惟三大法人中投信賣超影響部分正面力道。,2025-08-04 23:21:16,20
2022-12-07,0.3,外資賣超及三大法人同步站在空方壓抑市場情緒，但個股表現分歧，整體影響中性。,2025-08-04 23:21:18,20
2022-12-08,0.4,三大法人聯手賣超拖累台股走疲，電子權值股普遍遭調節，市場情緒偏空。,2025-08-04 23:21:21,20
2022-12-19,0.6,投信買超與外資賣超個股重疊，顯示市場對光寶科的看法趨於正面，但整體三大法人持續賣超，市場情緒偏空。,2025-08-04 23:21:23,20
2022-12-20,0.6,投信大舉買超光寶科等 10 檔個股，顯示市場對相關標的仍有信心，但整體盤勢疲弱影響漲跌幅度。,2025-08-04 23:21:25,20
2022-12-21,0.5,三大法人互相對作，外資買超傳產股但賣超金融股，投信則反向操作，市場情緒中性。,2025-08-04 23:21:27,20
