date,factor,explanation,updated_time,news_count
2022-11-01,0.7,電子與金融股領軍上攻，搭配新藥題材的生技股強勢表現，多頭氣盛，但成交量不足且觀望 Fed 決策結果，使得大盤漲幅有限。,2025-08-04 17:24:26,20
2022-11-02,0.6,電子權值股走強與航運族群領漲帶動指數開低走高重返月線，但市場觀望美國聯準會利率決策，成交量仍偏低。,2025-08-04 17:24:28,20
2022-11-06,0.3,財報、法說會旺季來臨，市場關注營收表現及展望，但鄭州封控影響及消費性電子需求疲弱壓抑市場信心。,2025-08-04 17:24:30,20
2022-11-08,0.7,多頭資金回流半導體與航運族群，帶動大盤上漲，權值股普遍走揚。,2025-08-04 17:24:32,20
2022-11-09,0.3,營收表現符合預期但出貨量下滑與市場需求疲弱壓抑短期市場情緒，公司對第四季展望保守亦影響信心。,2025-08-04 17:24:34,20
2022-11-10,0.3,電子權值股走弱拖累大盤，傳產股漲跌互見，市場情緒偏空。,2025-08-04 17:24:36,20
2022-11-11,0.7,第三季財報優於預期且第四季展望中性，但整體營收成長與非筆電事業貢獻強勁支撐市場信心。,2025-08-04 17:24:38,20
2022-11-14,0.7,台股在電子、傳產等權值帶動下持續上漲，外資大買 377 億元，三大法人合計買超 329 億元，顯示市場情緒偏正面。加權指數創近兩個月新高，但部分個股如聯發科、國巨、華碩遭調節，表現相對弱勢。電子族群普遍走揚，水泥、鋼鐵等傳產股受中國房市政策利多帶動而噴出。操作難度提高，建議留意關注驅動 IC 等個股的後續表現。,2025-08-04 17:24:43,20
2022-11-15,0.7,產業界齊聚展現市場信心，政府與歐盟策略聯盟有利未來發展，激勵正面市場情緒。,2025-08-04 17:24:45,20
2022-11-16,0.3,市場情緒偏空，電子與傳產股同步走弱，僅部分個股表現強勁。,2025-08-04 17:24:47,20
2022-11-17,0.7,行政院通過晶片法案激勵半導體族群，但市場情緒仍受整體經濟與庫存調整壓力影響，短期內維持中性偏多。,2025-08-04 17:24:50,20
2022-11-18,0.3,"市場情緒偏向中性，雖有部分電子股表現強勢，但權值股普遍回檔，加上航運和金融族群走低，使得大盤終場翻黑下跌。三大法人合計賣超 43.88 億元，外資連續兩天站在賣方。

0.3
市場情緒偏向中性，雖有部分電子股表現強勢，但權值股普遍回檔，加上航運和金融族群走低，使得大盤終場翻黑下跌。三大法人合計賣超 43.88 億元，外資連續兩天站在賣方。",2025-08-04 17:24:54,20
2022-11-21,0.6,廣達在電子權值股普遍疲軟下表現相對抗跌，但整體市場情緒仍受半導體雙雄走勢與買盤觀望影響，維持中性。,2025-08-04 17:24:57,20
2022-11-23,0.3,受美中科技戰影響，台廠伺服器製造逐步分散至墨西哥、東南亞等地區，以因應政策變化與客戶需求。,2025-08-04 17:24:59,20
2022-11-24,0.6,Fed 會議紀要釋出鴿派訊號激勵美股四大指數全面收高，台股同步走揚，聯發科領軍 IC 設計股放量大漲，航運股也來助攻，加權指數終場上漲 175.46 點或 1.2%，收在 14784 點全場最高，續創逾 2 個月新高。,2025-08-04 17:25:02,20
