date,factor,explanation,updated_time,news_count
2022-11-01,0.6,市場情緒偏正面，主要受惠於電子與金融股的強勁表現，以及生技類股的領漲帶動，但部分權值股如鴻海、廣達等仍有壓力。整體而言，台積電翻紅以及聯發科的強勢表現，是支撐大盤上漲的主要原因。,2025-08-04 22:05:31,20
2022-11-02,0.6,電子權值股走強與貨櫃三雄助攻帶動指數開低走高重返月線，但市場觀望美國聯準會利率決策，預估成交量仍低迷。,2025-08-04 22:05:34,20
2022-11-03,0.3,"市場信心受台積電等權值股走弱影響，整體情緒偏空，加上傳產疲軟，拖累大盤表現。

====================

以下是提供的新聞資訊 :

日月光投控 (3711-TW) 今 (4) 日公告 9 月營收 66.54 億元，月增 0.3%，年減 11.5%；第三季營收 197.98 億元，季減 10.8%，年減 12.2%。累計前九個月營收達 628.97 億元，年減 4.7%。

日月光投控表示，9 月封裝測試事業營收為 44.91 億元，月增 0.3%，年減 12.2%；第三季封裝測試事業營收為 139.98 億元，季減 11.8%，年減 13.1%。累計前九個月封裝測試事業營收達 478.91 億元，年減 4.7%。

日月光投控指出，9 月EMS業務營收為 18.52 億元，月增 0.3%，年減 5.1%；第三季 EMS 業務營收為 53.98 億元，季減 8.2%，年減 6.4%。累計前九個月 EMS 業務營收達 128.07 億元，年減 0.3%。

日月光投控強調，第三季整體表現符合預期，雖然消費性電子產品需求疲弱，但車用、工規等產品需求仍維持穩健。展望第四季，公司對營運維持審慎樂觀看法，預期封裝測試事業與 EMS 業務將同步成長。

日月光投控表示，隨著客戶庫存調整接近尾聲，下游通路商開始補貨，帶動EMS業務回溫。封裝測試方面，公司持續受惠車用、工規等產品需求穩健，以及高階製程比重提升。

日月光投控強調，公司將持續深耕車用電子、5G、AIoT 等新興應用領域，並透過垂直整合與水平擴張策略，強化競爭優勢。",2025-08-04 22:05:42,20
2022-11-04,0.6,日月光推出新封裝技術並獲得市場正面反應，搭配台股早盤跌勢收斂及航運、金融等族群撐盤，整體市場情緒偏向樂觀。,2025-08-04 22:05:45,20
2022-11-07,0.7,半導體權值股領漲、航運族群強勢表現，以及金融股撐盤，激勵台股大漲逾 1%，成交量放大至 2046 億元。三大法人聯手買超 105.84 億元，其中外資終止連 4 賣回頭買超 92.03 億元。半導體族群如台積電、聯發科、日月光投控等漲幅都超過 2%，航運股萬海、新興、中航等亮燈漲停，金融股富邦金、中信金也上漲逾 2%。市場對利空鈍化跡象浮現，多方行情可望延續，但仍需留意美國 CPI 數據、FED 官員談話及期中選舉等變數。,2025-08-04 22:05:51,20
2022-11-09,0.7,半導體族群領漲，搭配台股匯雙漲氣勢，激勵市場情緒回升，但仍需留意後續利率走向與美股財報表現。,2025-08-04 22:05:54,20
2022-11-10,0.7,新廠投資案顯示公司擴張決心，有利長期營運成長，但短期內市場對需求前景仍有疑慮，影響股價表現。,2025-08-04 22:05:56,20
2022-11-11,0.8,美國通膨數據顯著降溫，激勵美股大漲，帶動台股開盤強彈逾 500 點，站上萬四大關，電子權值股領軍衝鋒，金融、航運等族群齊揚，市場情緒樂觀。,2025-08-04 22:06:00,20
2022-11-14,0.7,台股在美股帶動下持續走揚，電子權值股普遍上漲，加上中國房市政策利多傳出，原物料類股表現亮眼，三大法人合計買超 329 億元，外資再度加碼 377 億元，顯示市場信心回穩。,2025-08-04 22:06:03,20
2022-11-15,0.7,"波克夏買進台積電 ADR 與電子權值股強勢表現帶動下，市場情緒轉為正面，但漲幅過大與量能擴增恐引發短線震盪。

====================

日月光投控 (3711-TW) 今 (15) 日表示，集團秉持永續發展的企業精神，營運過程首重法律遵循，近年已攜手理律 ESG 團隊，在台灣及大陸廠區進行全面性環安衛法律遵循總體檢，徹底落實法遵管理工作。 日月光集團本次採用理律關聯事業律盟風險管理顧問公司的「ESGoal」法遵系統，除代表集團持續加強對法遵工作的重視外，也期許該系統能讓更多的台灣企業受惠。 律盟風險管理顧問多年來已協助上市櫃公司及中小企業進行環安衛法律遵循的經驗，日前正式推出 ESGoal 法遵系統，希望透過導入網路平台軟體，協助企業進行 ESG 法遵系統化管理工作。 理律 ESG 團隊有感於企業經常因面臨環安衛法規龐雜且變更頻繁、內部管理文件不確定是否合法、合規、擔心證照逾期影響工廠作業等問題，近年透過實地輔導，協助許多國內外企業強化環安衛法遵工作。 理律 ESG 團隊也憑藉在輔導過程中建立的實務經驗，成功在國內首次開發出 ESGoal 法遵系統，透過與律盟風險管理顧問合作，共同開發電腦網路平台，將專業法律資訊與企業管理行為進行系統性的結合，提供客製化且與法規即時連動的法遵管理服務，該平台因具備即時性通知特性，可協助企業經營者即時掌握環安衛管理現況，大幅降低企業因無法即時掌握資訊而觸法之風險。 ESGoal 法遵系統同時具有手機 APP 程式，讓企業透過系統內建的日常自檢、稽核管理、證照管理、風險事件管理、承攬商管理、變動管理、教育訓練管理、廠商進廠管理等模組，能有效做好法遵與管理工作，讓企業經營者可一目了然隨時掌握其法遵執行狀況與風險，即時完成資料保存及訊息傳遞，進而即時控管法遵風險。 ESGoal 系統不但為企業法遵工作提供了一項結合法律專業的科技解決方案，也希望藉此創造企業法遵及 ESG 永續管理的新價值。",2025-08-04 22:06:14,20
