date,factor,explanation,updated_time,news_count
2022-11-01,0.6,加速器計畫持續擴大與新創合作，展現公司對未來成長動能的重視，有助於提升市場信心。,2025-08-04 18:16:44,20
2022-11-04,0.6,整體而言，緯創營收與獲利表現亮眼，子公司貢獻度增加，但市場關注立訊投資損失及第四季展望，使得市場情緒維持中性偏正面。,2025-08-04 18:16:48,20
2022-11-08,0.3,營收表現符合預期但筆電出貨下滑壓抑市場信心，顯示器與桌機維持成長為正面因素。,2025-08-04 18:16:50,20
2022-11-17,0.7,台積電概念股受惠巴菲特加持，激勵市場情緒偏正面，但整體量能不足且中小型股仍在整理，對股價漲幅的支撐力道有限。,2025-08-04 18:16:53,20
2022-11-22,0.3,財報表現不如預期，加上市場需求疲弱影響營運，使得市場情緒偏向保守。,2025-08-04 18:16:55,20
2022-11-23,0.3,受美中科技戰影響，台廠伺服器製造逐步轉移至墨西哥、東南亞等地區，中國以外產能比重預計明年將達 5 成。,2025-08-04 18:16:57,20
2022-12-01,0.6,供應鏈變動與印度廠傳出收購案帶來不確定性，但整體消息面偏正向，市場情緒溫和上揚。,2025-08-04 18:17:21,20
2022-12-02,0.6,數位轉型與智慧製造策略明確，激勵市場對公司未來營運的正面期待。,2025-08-04 18:17:23,20
2022-12-03,0.6,台積電擴大美國投資與鮑爾鴿派言論提振市場信心，但產險業虧損、加密貨幣業者破產等負面消息壓抑部分樂觀情緒。,2025-08-04 18:17:25,20
2022-12-08,0.7,營收成長與伺服器需求強勁帶動緯穎表現亮眼，緯創整體營運展望正面，但大環境影響拖累英業達及台股走勢，使市場情緒維持中性偏多。,2025-08-04 18:17:28,20
2022-12-09,0.7,塔塔集團進軍半導體產業計畫與潛在合作夥伴洽談，為緯創等台廠帶來正面發展前景。,2025-08-04 18:17:30,20
2022-12-12,0.3,外資賣超、成交量萎縮與月線失守顯示市場信心不足，但個股如新光金、英業達等仍獲得青睞，整體情緒偏向中性。,2025-08-04 18:17:33,20
2022-12-13,0.6,微軟與倫敦證券交易所集團的長期合作協議有利於雲端資料中心需求成長，相關台廠供應鏈可望受惠，但整體市場觀望美國 CPI 數據公布，指數回測半年線支撐。,2025-08-04 18:17:36,20
2022-12-14,0.7,三大法人同步買超激勵市場情緒，外資大舉回補緯創等個股，但須留意漲多後的獲利了結壓力。,2025-08-04 18:17:38,20
2022-12-15,0.5,外資買超緯創，顯示市場對該公司的信心提升，但整體台股表現平平，影響有限。,2025-08-04 18:17:40,20
2022-12-16,0.6,市場情緒偏向中性，電子股普遍下跌但代工廠相對抗跌，傳產貨櫃三雄與生技股表現強勁。,2025-08-04 18:17:42,20
2022-12-18,0.6,多頭短線操作仍有空間，但籌碼面快速輪動且部分強勢股基本面薄弱，需留意極短線打帶跑行情。,2025-08-04 18:17:44,20
2022-12-19,0.7,伺服器供應鏈受惠於新平台滲透率提升及需求穩健，營收與獲利成長可期，激勵正面市場情緒。,2025-08-04 18:17:47,20
2022-12-22,0.6,高層人事異動帶來中性影響，但公司持續整合組織與提升競爭力，有利長期發展。,2025-08-04 18:17:50,20
2022-12-23,0.6,緯創高層異動引發市場關注，雖然對營運影響有限，但仍帶來一定程度的不確定性，短期內可能壓抑股價表現。,2025-08-04 18:17:53,20
