date,factor,explanation,updated_time,news_count
2022-11-03,0.7,財報三率三升與營收成長顯示公司基本面穩健，匯率有利因素挹注獲利表現。,2025-08-04 23:40:20,20
2022-11-11,0.2,"需求放緩與價格壓力影響市場信心，雖有急單挹注但短期正面效益有限。

====================

以下是提供的新聞資訊 :

群光 (2385-TW) 今 (11) 日召開法說會，公布第三季財報。群光第三季稅後純益 12.1 億元，季減 22%，年增 3%，每股純益 2.07 元；累計前三季稅後純益 40.6 億元，年增 4%，每股純益 6.89 元。群光第三季營收 243.8 億元，季減 5.7%，毛利率 16.2%，季減 0.3 個百分點，營益率 9.1%，季減 0.4 個百分點；稅後純益 12.1 億元，季減 22%，年增 3%。群光前三季累計營收 755.8 億元，年增 2.5%，毛利率 16.6%，年減 0.4 個百分點，營益率 9.7%，年減 0.1 個百分點；稅後純益 40.6 億元，年增 4%，每股純益 6.89 元。群光表示，第三季整體出貨量較上季持平，但產品組合略有變化，電競鍵盤、滑鼠等高階產品表現仍然強勁，而影像模組則因客戶庫存調整而下滑。展望第四季，群光預估營收將與第三季相當或小幅成長，毛利率及獲利也可望維持水準。群光指出，目前看來第四季需求仍然保守，但公司已著手進行庫存調整，以因應市場變化。群光強調，雖然消費性電子產品需求放緩，但電競、商用筆電等高階產品需求依舊強勁，有助支撐營運表現。

群光 (2385-TW) 今 (11) 日召開法說會，公布第三季財報。群光第三季稅後純益 12.1 億元，季減 22%，年增 3%，每股純益 2.07 元；累計前三季稅後純益 40.6 億元，年增 4%，每股純益 6.89 元。群光第三季營收 243.8 億元，季減 5.7%，毛利率 16.2%，季減 0.3 個百分點，營益率 9.1%，季減 0.4 個百分點；稅後純益 12.1 億元，季減 22%，年增 3%。群光前三季累計營收 755.8 億元，年增 2.5%，毛利率 16.6%，年減 0.4 個百分點，營益率 9.7%，年減 0.1 個百分點；稅後純益 40.6 億元，年增 4%，每股純益 6.89 元。群光表示，第三季整體出貨量較上季持平，但產品組合略有變化，電競鍵盤、滑鼠等高階產品表現仍然強勁，而影像模組則因客戶庫存調整而下滑。展望第四季，群光預估營收將與第三季相當或小幅成長，毛利率及獲利也可望維持水準。群光指出，目前看來第四季需求仍然保守，但公司已著手進行庫存調整，以因應市場變化。群光強調，雖然消費性電子產品需求放緩，但電競、商用筆電等高階產品需求依舊強勁，有助支撐營運表現。

0.3
財報符合預期但獲利下滑與第四季展望保守壓抑市場信心，公司積極調整庫存以因應需求變化。",2025-08-04 23:40:33,20
2023-01-05,0.6,營收創高與多元化產品組合帶動成長，展望後市樂觀，激勵正面市場情緒。,2025-08-04 23:40:35,20
2023-02-06,0.3,營收下滑與第一季展望保守壓抑市場信心，但公司強調多元化策略及高毛利產品成長潛力。,2025-08-04 23:40:38,20
2023-03-08,0.7,財報亮眼、獲利創高及配發高額股利激勵市場情緒，但營收年減與存貨調整壓力仍存在，維持中性偏正面看待。,2025-08-04 23:40:40,20
2023-03-16,0.7,中國通路事業受惠解封與去年不利因素排除，法人預估今年營收與獲利成長強勁，激勵正面市場情緒。,2025-08-04 23:40:43,20
2023-03-20,0.3,市場追價意願不足與外資提款金融股影響，整體市場情緒偏向保守。,2025-08-04 23:40:45,20
2023-03-22,0.6,雖然整體市場受到美國金融危機影響，但優質科技股如網通股中磊仍有成長潛力，基本面穩健支撐正面市場情緒。,2025-08-04 23:40:47,20
2023-03-27,0.4,電子股普遍走弱拖累大盤，群光等少數個股抗跌但整體市場情緒仍偏向負面。,2025-08-04 23:40:49,20
2023-04-06,0.3,營收表現不佳與供應鏈庫存調整壓力使市場情緒偏向負面。,2025-08-04 23:40:51,20
2023-04-19,0.7,業績表現優異且產業前景穩健，激勵市場情緒向上，但部分個股仍有補漲空間。,2025-08-04 23:40:54,20
2023-05-09,0.3,財報表現疲弱與全年營收展望保守壓抑市場信心，但新產品推出及擴產計畫提供部分支撐。,2025-08-04 23:40:56,20
2023-05-10,0.6,第一季財報優於預期且營收成長帶動市場信心，但年減幅度仍大使正面影響有限。,2025-08-04 23:40:58,20
2023-05-30,0.7,得標金額創高與軌道經濟利多支撐市場信心，但仍需關注後續開發進度。,2025-08-04 23:41:00,20
2023-06-01,0.7,00919 配息率亮眼且持續調整成分股以維持高股息特性，激勵市場對其前景的正面預期。,2025-08-04 23:41:03,20
2023-06-05,0.6,營收創新高與智慧建築專案貢獻顯示正面訊息，惟經濟前景不明及伺服器電源成長趨緩壓抑市場信心。,2025-08-04 23:41:05,20
2023-06-06,0.6,"營收回升與第二季獲利表現樂觀激勵市場情緒，惟年減壓力仍在。

====================

以下是提供的新聞資訊 :

群光 (2385-TW) 今 (6) 日公告營收，隨著客戶需求攀升，5 月營收重回 80 億元之上，達 84.54 億元，為今年次高，月增 7.37%、年減 14.29%；累計前 5 月營收 390.49 億元，年減 16.51%， 預期第二季營收有望季增雙位數。 展望本季，群光認為，影像產品受到 AI 影像產品推升，預估將可看到季增高個位數，加上第一季確立為全年谷底，第二季整體營收將有機會季增雙位數，並在營運費用嚴格管控下，本季獲利仍將不俗。 AI 風潮席捲全球，群光多年深耕影像產品市場，並和歐美一線大廠合作，推出先進的 AI 影像產品。以安控攝影機為例，群光去年推出擁有 AI 影像以及 AI 聲音辨識功能產品，顯示群光具備先進的 AI 影像技術，預期未來將持續受惠於國防授權法案 (NDAA)，迎來更多的轉單商機。 此外，群光今年將著重於打造多角化的 AI 影像產品組合，安控攝影機市場為重點拓展目標，預計推出 4-5 款商用安控攝影機，也是 AI 影像產品中成長率最高的產品。 群光去年每股純益 10.26 元，預計 6 月 16 日除息日，並將於 7 月 14 日發放現金股利 7.5 元，配發率高達 73%，現金股利亦為歷史新高。現金殖利率約 7%，遠優於以往水準。",2025-08-04 23:41:12,20
2023-06-17,0.3,獲利與營收雙減及對未來展望保守壓抑市場信心，但 AI 影像產品成長動能仍可期待。,2025-08-04 23:41:14,20
2023-07-27,0.6,外資買超面板雙虎與金融股，投信賣超電子權值股，顯示市場情緒偏向正面但仍有不確定性。,2025-08-04 23:41:16,20
2023-12-06,0.3,"營收與需求展望疲弱壓抑市場信心，但獲利前三季仍維持正成長，顯示公司基本面尚未全面衰退。

====================

以下是提供的新聞資訊 :

群光 (2385-TW) 今 (6) 日公告 11 月營收，在 PC、NB 急單效應過後，11 月營收降至 82.2 億元，月減 0.23%、年減 14.77%；前 11 月營收 903.52 億元，年減 15.7%，法人預期，第四季營收會較第三季微幅下降。 群光說明，11 月鍵盤與影像營收皆呈現小幅月增，其中，鍵盤營收連三個月年增，顯示客戶庫存水位已低，在急單過後需求仍維持穩定。雖然 PC、NB 急單暫歇，第四季營收會季減，但仍樂觀看待 2024 年營收成長。 展望後市，群光指出，PC、NB 產業可望迎來小幅復甦，無論是 Windows 10 將於 2025 年終止支援，或生成式 AI 應用，皆將帶動換機需求，並同步推升公司鍵盤、影像、電源營收成長。 群光前三季稅後純益 53.94 億元，年減 4%，每股純益 7.48 元，預期全年獲利在產品組合優化、成本控制以及匯率帶動下，成長幅度優於營收表現。",2025-08-04 23:41:22,20
2023-12-14,0.7,聯準會放鴿激勵市場信心，外資回補台股，多頭行情延續，加上年底作帳行情啟動，指數維持高檔震盪。個股方面，權值股漲跌互見，但中小型股表現亮眼，尤其是矽智財、光電和被動元件等族群強勢上攻。整體而言，市場情緒正面，股價有望續揚。,2025-08-04 23:41:27,20
2023-12-26,0.7,耶誕行情與面板族群強勢表現帶動大盤上漲，電子權值股穩健，部分個股如仁寶、友達、群創等漲幅顯著。,2025-08-04 23:41:29,20
2023-12-27,0.7,"內資主導行情，AI PC 產業與半導體供應鏈股價持續上漲，顯示市場偏多，但漲幅有限。

====================",2025-08-04 23:41:32,20
2023-12-28,0.7,00930 受惠於月配息、ESG、低碳等訴求，規模快速成長，前十大成分股涵蓋科技產業龍頭，展望明年電子產業景氣向上，加上 AI 應用開始普及，有利獲利成長，持股填息機會高。,2025-08-04 23:41:36,20
2023-12-30,0.7,AI PC 換機潮題材與中國市場回溫帶動營運成長，激勵正面市場情緒。,2025-08-04 23:41:37,20
2024-01-03,0.2,半導體類股重挫拖累市場，電子指標表現分歧，貨櫃與防疫概念股相對抗跌。,2025-08-04 23:41:40,20
2024-01-04,0.7,群光預期2024年營收成長雙位數，三大事業同步成長，且AI PC帶動規格升級，有助於推升獲利表現，激勵正面市場情緒。,2025-08-04 23:41:43,20
2024-01-05,0.6,新聞內容多元，包含總體經濟、產業趨勢與個股表現等，整體而言市場情緒中性偏正面。,2025-08-04 23:41:46,20
2024-01-09,0.7,電子權值股與高價IC設計族群撐盤，AI概念股強勢表現，以及貨櫃三雄重挫拖累大盤震盪走低。,2025-08-04 23:41:48,20
2024-01-16,0.6,群光在台股中的買盤動能強勁，顯示市場對其前景持正面看法，但整體市場情緒仍受到其他因素影響而呈現中性。,2025-08-04 23:41:50,20
2024-01-23,0.5,面板族群買盤挹注及投信中止連16買，股價呈現高檔震盪。,2025-08-04 23:41:52,20
2024-01-29,0.7,新增 AI 概念股並調整產業比重有利中長期表現，但短期漲多個股需留意獲利了結賣壓。,2025-08-04 23:41:55,20
2024-02-06,0.7,營收成長、需求前景穩健及 AI 應用帶動換機需求等正面因素，預期將支撐市場情緒。,2025-08-04 23:41:57,20
2024-03-04,0.9,電子權值股領軍衝高，加上族群表現強勁，激勵市場情緒樂觀，推升指數再創新高。,2025-08-04 23:41:59,20
2024-03-06,0.6,營收成長與需求回升有利於股價，但農曆年工作天數減少影響短期營收表現。,2025-08-04 23:42:21,20
2024-03-07,0.7,市場情緒偏正面，主要受惠於台股再創新高、半導體雙雄領漲，以及外資回頭買超等因素帶動。,2025-08-04 23:42:25,20
2024-03-08,0.7,新 ETF 募集破千億資金，大量短線資金正在大吃豆腐、宰肥羊。高股息成分股的助漲買盤積累已久，但近期在 00939 和 00940 兩檔 ETF 募集下達到高峰，吸引了大量短線資金，大戶集中買超成分股，為後續轉賣換手做準備。市場漲跌家數連續死亡交叉，非大型股一片綠，預計當相關高股息成分股出現 5 日線走平且下彎跌破時，短線投機資金撤出的多殺多將開始發酵。,2025-08-04 23:42:30,20
2024-03-09,0.7,獲利穩健與營收增長預期帶動股價上漲，內資買超顯示市場信心。,2025-08-04 23:42:32,20
2024-03-10,0.6,台股站上兩萬點帶動市場信心，但個股表現分歧，群光買超金額有限且在中小型股之列，短期內漲多回檔壓力較大。,2025-08-04 23:42:35,20
2024-03-11,0.7,投信認養與季底作帳行情激勵市場情緒，群光等個股有望受惠，但整體中小型股表現仍需觀察。,2025-08-04 23:42:37,20
2024-03-12,0.5,三大法人同步買超激勵市場情緒，但個股漲跌互見，整體籌碼面中性。,2025-08-04 23:42:39,20
2024-03-13,0.7,財報亮眼與展望樂觀激勵市場信心，營收成長、產品組合改善及海外擴廠計畫皆為正面訊息。,2025-08-04 23:42:42,20
2024-03-14,0.3,市場情緒轉為中性，主要受到高股息ETF遭外資賣超影響，且多檔個股回測支撐區，短線漲多股面臨獲利了結壓力。,2025-08-04 23:42:45,20
2024-03-17,0.7,外資買超權值股且投信積極搶進多檔個股，顯示市場對後市仍具信心，但台積電回跌壓抑指數表現。,2025-08-04 23:43:08,20
2024-03-18,0.7,高股息 ETF 漏網之魚成補漲焦點，基本面穩健且殖利率較高的個股有望受惠。,2025-08-04 23:43:11,20
2024-03-20,0.7,投信大舉買超加上 ETF 成分股題材激勵股價，但須留意籌碼換手後的漲多拉回風險。,2025-08-04 23:43:15,20
2024-03-21,0.6,市場情緒偏正面，主要受惠於 AI 概念股與重電股的強勢表現，但個股漲多後追高仍需謹慎。,2025-08-04 23:43:18,20
