date,factor,explanation,updated_time,news_count
2022-11-01,0.3,"獲利衰退與營收下滑壓抑市場信心，雖有新產能擴建計畫但短期正面效益有限。

====================",2025-08-05 04:15:54,20
2022-11-02,0.6,電子零件與光電族群強勢反彈，搭配權值股如台積電助攻，加上航運股穩盤，帶動指數收高，但量能不足恐影響後市。PCB族群人氣暢旺，銅箔基板廠漲停或大漲，ABF載板三雄也走強。,2025-08-05 04:15:58,20
2022-11-04,0.6,市場情緒偏正面，部分個股漲幅較大，但整體量能仍然不足，且有利空因素存在，短期內可能出現震盪。,2025-08-05 04:16:22,20
2022-11-05,0.4,營收下滑與電子業庫存調整延長壓抑市場信心，聯茂產能擴張計畫短期內難以提振股價。,2025-08-05 04:16:25,20
2022-11-09,0.6,營收報喜與利空出盡帶動市場情緒回升，但整體獲利表現仍疲弱，預期短期內股價波動將加劇。,2025-08-05 04:16:27,20
2022-11-14,0.6,營收穩定且題材豐富的股票有望吸引資金進駐，惟整體市場情緒仍偏中性，需留意個別公司基本面與籌碼面的變化。,2025-08-05 04:16:30,20
2022-11-15,0.7,營收穩定且具題材的個股有望受惠，帶動市場情緒偏正面，但整體漲幅仍需觀察。,2025-08-05 04:16:33,20
2022-11-16,0.7,權值股領漲帶動大盤上揚，半導體相關族群強勢表現，聯茂等 PCB 產業中游個股輪動補漲，市場情緒偏正面。,2025-08-05 04:16:36,20
2022-11-17,0.6,市場信心尚未完全恢復，雖有部分個股強勢表現但整體漲跌態勢仍顯不穩定。,2025-08-05 04:16:39,20
2022-11-18,0.7,新聞內容聚焦於台股多頭格局與主力股操作策略，對聯茂等 PCB 應用股的影響有限。,2025-08-05 04:16:41,20
2022-11-21,0.7,半導體、光學、安控、面板、ABF載板、IP矽智財、PCB銅箔基板等族群強勢，多方控盤，留意整理中的強勢股。,2025-08-05 04:16:45,20
2022-11-22,0.7,"聯茂、系微、欣興、昇陽半、訊舟等個股在產業復甦與題材支撐下，基本面穩健且跌深反彈潛力大，有望領軍類股上揚。

====================

以上是提供的新聞資訊 :

1. 護國神山走強，指數再戰半年線
2. 資金或可能轉趨防禦，選股不選市
3. 聯茂 (6213-TW) 擁有伺服器、5G、車用等超主流題材的滲透率，因為其銅箔基板產品的泛用性，在今年經濟狀況差勁、庫存還有待消化的情況下，也成功依靠那些主流題材的需求維持獲利，雖然第三季 0.74 表現不怎麼樣，但這可能就是近幾年的最低位置了，接下來有望隨科技產業復甦逐季轉好，而先前隨盤勢跌到谷底的情形，也為它建立了超大的反彈空間，與同產業的台光電 (2383-TW) 有著相似的股性，後續可以期待反彈。
4. 系微 (6231-TW) 主要從事 BIOS 程式碼的開發及設計，應用範圍涵蓋大部分嵌入式系統、筆記型電腦、桌上型電腦及伺服器。在先前疫情帶動 NB 需求水漲船高時系微成功獲得商機，而目前 NB 的動能依然健在，更甚至有較去年再次上揚的跡象。系微去年筆電營收占比來到 65%，推升營收、獲利寫下近十年新高，以基本面表現來看，系微去年 EPS 5.94 元，而今年上半年是去年上半年的一倍，基本面成長超級強，本益比偏低，高機率進行反彈。
5. 欣興 (3037-TW) 是全球最大的 ABF 載板供應商，ABF 載板佔公司整體營收約 30%，並且還在持續擴張。回顧去年營收欣興 2021 年合併營收 1045.62 億元，年增 18.9％，已經是連續第四年創新高，而今年還有再向上的趨勢，顯然對於 ABF 的需求已經是長線趨勢，在未來有新的材料取代它以前，ABF 的價位都難以撼動，雖然前陣子盤勢拉垮股價，反而使之跌深反彈，反彈空間巨大，能領軍 ABF 上揚。
6. 昇陽半 (8028-TW) 的「晶圓再生」本身就有不錯的熱度，在目前晶圓需求量隨科技越來越大的當下，在製作晶時勢必會有良率方面的問題，而那些失敗品又必須耗費昂貴的成本，所以各大晶圓廠都會委託昇陽半這樣的公司進行晶圓再生作業，昇陽半的處理方法是利用化學品進行酸洗、拋光、清洗後，再將晶圓送回代工廠，換個角度來說矽晶圓的需求有多大，昇陽半的營運動能就有多大，十月營收月增 6.36%、年增 17.73%，表現穩定。
7. 訊舟 (3047-TW) 為「網通」題材概念股，去年不缺訂單而缺料、缺運輸，而今年問題已經解決，十月營收年增 10.64%，雖然增加幅度看來沒有很多，但可以看出基本面成長潛力。同時訊舟還是一檔「低股價」受一般散戶投",2025-08-05 04:17:02,20
2022-11-23,0.7,金融與航運領漲帶動市場情緒偏多，但電子族群轉弱與生技股強勢上攻使盤面呈現分歧。整體而言，市場對聯茂等伺服器概念股仍持正面看法。,2025-08-05 04:17:05,20
2022-11-24,0.7,投信買超聯電、欣興、新唐等個股，顯示法人作帳行情啟動，有助提振市場情緒。,2025-08-05 04:17:08,20
2022-11-25,0.7,題材面與籌碼面助漲，多方氣勢強勁，但獲利能力與基本面仍需進一步確認。,2025-08-05 04:17:10,20
2022-11-29,0.6,台股選後指數維持震盪，軍工、車電股聯袂大漲，相關個股如雷虎、漢翔、台半、博智、和大等值得留意。伺服器產業力抗經濟逆風，有機會先蹲後跳，相關個股如緯穎、金像電、廣達、新唐、鈺創、聯茂、奇鋐等可多加關注。操作上不宜躁進，好股拉回再承接，依然控制持股比例。,2025-08-05 04:17:15,20
2022-12-01,0.6,新聞中提及聯茂 (6213-TW) 震盪仍可留意，顯示市場對該公司的股票存在一定程度的關注和可能的漲跌波動。,2025-08-05 04:17:18,20
2022-12-02,0.7,龍哥的研究報告顯示，市場情緒偏向正面，股價有上漲的潛力。報告中提到車用族群、伺服器和電動車持續成長，以及 PCB 產業營收穩定，這些因素都可能對聯茂的股票市場情緒產生積極影響。此外，龍哥還分享了各個股的具體分析和操作建議，進一步強化了對聯茂股價上漲的預期。,2025-08-05 04:17:22,20
2022-12-05,0.6,營收創五個月新高且產能擴張計畫有利未來成長，但電子業庫存調整延續及市場需求疲弱壓抑短期市場情緒。,2025-08-05 04:17:25,20
2022-12-06,0.7,車用、網通與光通訊族群強勢，伺服器相關個股持續看好，整體市場情緒偏正面。,2025-08-05 04:17:28,20
2022-12-08,0.6,市場情緒受到經濟衰退疑慮與半導體族群波動影響，部分個股如伺服器供應鏈表現相對強勢，但整體而言中性偏空。,2025-08-05 04:17:31,20
2022-12-12,0.3,市場信心受升息疑慮與成交量萎縮影響，電子權值股賣壓沉重拖累指數走低。,2025-08-05 04:17:33,20
2022-12-16,0.6,市場情緒中性，雖然部分個股表現強勁，但整體盤勢疲弱且波動加劇，籌碼面與產業前景仍存在不確定因素。,2025-08-05 04:17:36,20
2022-12-19,0.7,營收亮眼與產業前景穩定帶動市場信心，惟部分漲多個股出現獲利了結賣壓，整體情緒偏正面但波動加大。,2025-08-05 04:17:39,20
2023-01-03,0.6,伺服器新平台需求帶動材料供應商成長潛力，以及台燿赴泰設廠計畫有助中長期營運資金支撐市場信心。,2025-08-05 04:17:41,20
2023-01-04,0.7,儲能、驅動 IC、板卡、網通與 CCL 相關個股強勢整理後重新發動，多頭結構穩固，激勵市場情緒。,2025-08-05 04:17:44,20
2023-01-05,0.3,營收表現不如預期，加上庫存調整延續與產能擴張壓力，拖累市場信心。,2025-08-05 04:17:46,20
2023-01-09,0.6,"新聞內容提到大盤已兩次測季線，且於圖一中可看出自 12/1 的 15152 跌到 12/30 是第 21 天轉折，有時會提早或延後一天，分別 12/29 及 1/3 來到 13981 及 14001，已完成底部，預估農曆年前指數介於 14000~14900 震盪區間。同時也建議投資人可布局庫存下降且獲急單的驅動 IC 聯詠，並提到聯詠去年前三季 EPS 39.32 元，估全年 EPS 可達約 45 元，股價 33.45 本益比 7.4 倍，屬嚴重低估。

綜合以上資訊，市場情緒呈現中性偏正面，因為大盤已完成底部且有機會震盪上漲至 14000~14900 區間，而聯詠的庫存下降與獲急單的情況也顯示其基本面良好，因此對該公司股價產生正面影響。",2025-08-05 04:17:51,20
2023-01-12,0.5,投資設廠計畫與營收表現符合預期，但市場需求疲弱仍壓抑短期正面情緒。,2025-08-05 04:17:53,20
2023-01-16,0.7,電子權值股領軍與金融股撐盤下，指數站回萬五關卡，但部分個股仍面臨獲利下滑壓力，整體市場情緒偏正向但仍需留意個別公司基本面。,2025-08-05 04:17:56,20
2023-01-17,0.7,營收穩定與技術面偏多的族群有望受惠年後資金動能回籠，激勵正面市場情緒。,2025-08-05 04:17:59,20
2023-01-27,0.6,雖然營收衰退，但新產品推出與擴產計畫支撐後市成長，整體市場情緒偏正面。,2025-08-05 04:18:01,20
2023-01-30,0.3,雖有部分個股獲利表現亮眼，但整體市場情緒受總體經濟與消費性電子需求放緩影響，維持中性偏空看待。,2025-08-05 04:18:04,20
2023-01-31,0.6,"營收衰退但新產品推出與需求回溫帶動市場信心，股價突破平台整理區。

====================",2025-08-05 04:18:06,20
2023-02-01,0.7,市場情緒受多空因素影響，短期內維持中性偏正面，聚焦在技術面強勢與營收穩定的族群。,2025-08-05 04:18:09,20
2023-02-04,0.7,"產能擴張計畫與需求回升預期提振市場信心，股價突破平台整理區。

====================

以下是提供的新聞資訊 :

聯茂 (6213-TW) 在高階車用、高階伺服器 CCL 需求提升之下，預期第一季淡季為全年谷底，2023 年營收預估將回升，買盤推升股價一周上漲 10.38%，收在 81.9 元，並突破 4 個月以來平台整理區。 中國江西第三期產能，如期於 2022 年第四季起陸續開出，預期 2023 年第三季全數擴建完成，第三期整體規模為銅箔基板月產能 120 萬張，完成後江西廠產能倍增到 240 萬張；同時，聯茂並已確立赴泰國投資設廠。 聯茂本周股價收在 81.9 元，並突破 4 個月以來平台整理區，周漲 10.38%，三大法人一周買超 2606 張，短線支撐在 5 日線 80.92 元。 聯茂 2022 全年營收 291.26 億元，年減 10.45%，爲歷年營收次高。前三季稅後純益 15.21 億元、每股純益爲 4.01 元。 聯茂日 K 線圖",2025-08-05 04:18:15,20
2023-02-06,0.3,"營收下滑與庫存調整壓力影響市場信心，但新專案挹注及獲利成長潛力有限緩解負面情緒。

====================

以下是提供的新聞資訊 :

聯茂 (6213-TW) 昨 (5) 日公布 2023 年 1 月營收 19.56 億元，創 35 個月來新低，月減 16.63%，年減 36.83%，主要仍因客戶端還在去化庫存階段，同時，1 月工作天數減少也造成營收下滑，預計去化庫存時程要到第二季後才會緩解。",2025-08-05 04:18:39,20
2023-02-09,0.3,外資買超集中在電子指標股，賣超多為金融股，投信則轉為賣超，顯示市場情緒偏向中性。,2025-08-05 04:18:41,20
2023-02-10,0.2,三大法人賣超影響市場信心，雖有部分買盤支撐但整體呈現中性偏空態勢。,2025-08-05 04:18:43,20
2023-02-13,0.3,電子權值股走疲拖累大盤，外資連三賣超，市場情緒偏空。,2025-08-05 04:18:45,20
2023-03-03,0.7,類股良性輪漲推升大盤，銅箔基板庫存消化最完整且伺服器 PCB 將呈現大成長，金居獲利成長可期。,2025-08-05 04:18:48,20
2023-03-05,0.3,營收持續衰退與庫存去化延長壓抑市場信心，但車用電子和資料中心需求穩健及新廠擴產計畫提供部分支撐。,2025-08-05 04:18:50,20
2023-03-07,0.6,財報表現符合預期且下半年需求回溫與新產品滲透率提升帶動營運成長，激勵中性偏正面的市場情緒。,2025-08-05 04:18:52,20
2023-03-10,0.7,營運展望樂觀、獲利成長及高股息吸引買盤，中長期市場情緒偏正面。,2025-08-05 04:19:15,20
2023-03-12,0.7,跨出兩岸布局的購併案顯示公司積極因應客戶需求與市場變化，激勵正面市場情緒。,2025-08-05 04:19:17,20
2023-03-14,0.3,獲利與營收雙降壓抑市場信心，但軍工、航太需求強勁及新產品開發前景仍具正面效益。,2025-08-05 04:19:20,20
2023-03-22,0.6,雖然市場受到美國金融業危機影響，但優質科技股如網通股中磊仍有成長潛力，基本面穩健支撐正面情緒。,2025-08-05 04:19:22,20
2023-03-29,0.3,雖然部分產業有落底跡象，但整體市場仍受到歐美金融股影響，資金流向實質基本面較強的科技股，建議逢低布局封測、被動元件等個股。,2025-08-05 04:19:25,20
2023-03-31,0.6,多家 PCB 廠商陸續宣布赴泰國投資建廠，顯示對未來市場需求持樂觀態度，激勵正面市場情緒。,2025-08-05 04:19:27,20
2023-04-03,0.7,跨足東南亞市場並購併越南 PCB 廠顯示公司擴張決心，雖短期成本增加但長遠有利分散風險與滿足客戶需求。,2025-08-05 04:19:29,20
2023-04-11,0.7,獲頒名譽醫學博士學位與對電子產業景氣的正面展望激勵市場情緒，但營收與獲利下滑壓抑部分樂觀預期。,2025-08-05 04:19:32,20
2023-04-14,0.3,營收與獲利下滑壓抑市場信心，但伺服器新平台需求增溫帶來正面展望，整體情緒偏向中性。,2025-08-05 04:19:34,20
2023-04-16,0.7,多家電子業者擴大海外投資帶動設備需求，新廠產能開出有助提升營收與獲利貢獻。,2025-08-05 04:19:36,20
2023-04-23,0.6,聯茂在東南亞設廠計畫進展順利，預計 2024 年下半年開出新產能，有助擴大市場版圖並提升競爭力，激勵中性至正面市場情緒。,2025-08-05 04:19:39,20
2023-04-27,0.7,AI server 需求增溫與營收貢獻提升提振市場信心，但獲利表現仍有改善空間。,2025-08-05 04:19:41,20
2023-05-03,0.3,獲利表現疲弱與同業看法保守壓抑市場信心，雖有擴廠計畫但短期正面效益有限。,2025-08-05 04:19:44,20
2023-05-04,0.3,獲利表現不佳與營收低於預期壓抑市場信心，但 AI server 題材提振部分正面情緒。,2025-08-05 04:19:46,20
2023-05-09,0.3,獲利表現不佳與營收下滑壓抑市場信心，但公司對下半年展望正面，預期谷底反轉。,2025-08-05 04:19:48,20
2023-05-18,0.7,獲利表現優異且第二季起業績看增，激勵市場情緒向上。,2025-08-05 04:19:50,20
2023-05-22,0.7,CCL 廠獲利表現亮眼且市場需求可望於第二季回溫，加上台燿匯回資金挹注，激勵聯茂 等個股走強。,2025-08-05 04:19:52,20
2023-06-06,0.6,雖然整體市場呈現漲勢，但個股表現分歧，建議聚焦在 CHATGPT 受益股如金像電等，並留意技術面修正的機會。,2025-08-05 04:19:54,20
2023-06-20,0.7,業績表現亮眼且新產能開出帶動營收增長，搭配電動車需求強勁，激勵市場情緒偏多。,2025-08-05 04:19:57,20
2023-07-25,0.7,AI 產業需求強勁，聯茂 為 CCL 供應商，受惠於 AI 伺服器出貨成長，市場情緒正面。,2025-08-05 04:19:59,20
2023-07-26,0.6,AI 概念股漲跌互見，銅箔基個股走勢豬羊變色，聯茂、台燿等收跌，但台積電重獲資金青睞，指數站回 17200 復金，市場關注 FED 利率決策及會後聲明。,2025-08-05 04:20:02,20
2023-07-27,0.7,AI 概念股輪動，印刷電路板族群強勢表現，聯茂 漲停後震盪回測具低接機會。,2025-08-05 04:20:05,20
2023-07-28,0.7,AI 概念股持續輪動，多檔個股強勢表現，市場情緒偏正面，但仍需留意漲多後的獲利了結賣壓。,2025-08-05 04:20:08,20
2023-08-01,0.6,雖然獲利表現不佳，但車用電子需求強勁與資料中心材料認證進展正面，整體市場情緒維持中性偏多。,2025-08-05 04:20:11,20
2023-12-05,0.6,營收表現優於預期且第四季展望正向，加上新廠投資計畫有助中長期成長，激勵市場情緒。,2025-08-05 04:20:13,20
2023-12-06,0.6,大盤指數上漲但個股表現分歧，市場情緒偏向正面但仍需觀察資金輪動對各產業的影響。,2025-08-05 04:20:15,20
2024-01-04,0.7,新聞聚焦於產業前景與個股基本面，激勵市場對相關股票的正面情緒。,2025-08-05 04:20:17,20
2024-01-05,0.7,營收創高與獲利成長顯示公司基本面強勁，激勵正面市場情緒，但仍需留意產業庫存調整壓力。,2025-08-05 04:20:20,20
2024-02-05,0.9,營收創高與獲利成長激勵市場信心，AI 伺服器需求強勁及低軌衛星材料潛力大，擴產計畫也顯示對未來景氣樂觀。,2025-08-05 04:20:23,20
2024-02-21,0.3,AI 伺服器相關概念股漲多後回檔，整體市場情緒轉為中性，但欣銓等業績股表現強勁。,2025-08-05 04:20:25,20
2024-03-05,0.7,營收成長與獲利預期上修帶動正面市場情緒，但短期股價波動仍可能受到整體大盤影響。,2025-08-05 04:20:28,20
