date,factor,explanation,updated_time,news_count
2022-11-02,0.6,三大法人買超助攻權值股反彈，市場情緒偏正面，但需留意美國利率決策對台股後續影響。,2025-08-05 01:48:17,20
2022-11-03,0.3,市場信心受美國升息及匯率波動影響，英業達等科技股走弱，但緯穎強勢表現提供支撐。,2025-08-05 01:48:19,20
2022-11-06,0.3,多家重量級公司召開法說會，營收展望及產業前景成為市場關注焦點，但整體而言財報旺季與新品發表有助維持中性偏正面市場情緒。,2025-08-05 01:48:21,20
2022-11-07,0.5,營收成長與維持正面展望支撐市場信心，但筆電需求疲弱壓抑短期樂觀情緒。,2025-08-05 01:48:23,20
2022-11-10,0.3,市場情緒中性，外資賣超鴻海與華航但回補貨櫃三雄，投信買超英業達等個股，自營商賣超聯電、台積電等權值股。,2025-08-05 01:48:25,20
2022-11-11,0.6,第三季財報優於預期且第四季展望中性，整體營運表現穩健但市場需求趨緩影響短期成長動能。,2025-08-05 01:48:28,20
2022-11-14,0.7,權值股領漲與多檔個股表現亮眼帶動大盤上揚，但部分電子股疲弱影響整體市場情緒。,2025-08-05 01:48:29,20
2022-11-17,0.7,巴菲特加持與半導體族群強勢表現帶動市場情緒，股神投資行為與產業前景展望正面影響英業達等相關個股。,2025-08-05 01:48:32,20
2022-11-21,0.7,新聞聚焦於環保節能新船的採購與岸電系統建置，展現公司對永續發展的重視，有利長期營運效益提升，但短期內外資賣超壓力仍在。,2025-08-05 01:48:35,20
2022-11-22,0.7,台積電領漲帶動指數上攻半年線，但電子股追價意願降低，資金轉向生技與有望提前落底的產業。,2025-08-05 01:48:38,20
2022-11-23,0.6,"產能外移與供應鏈重組趨勢明確，但短期內中國產能仍占大宗，市場情緒偏向中性。

台股今日由生技族群、金融類股領軍撐盤，外資連兩日站買方，投信也由賣轉買，同步加碼金融股。",2025-08-05 01:48:40,20
2022-11-25,0.3,生技族群成交值頻創高，若電子類股無法接棒，可能不利於指數多方行情。,2025-08-05 01:48:42,20
2022-11-28,0.3,市場信心受到外資賣壓影響，雖然三大法人同步賣超但台股仍維持在高位區間震盪，整體情緒偏向中性。,2025-08-05 01:48:44,20
2022-11-29,0.3,三大法人買超帶動指數上漲，但個股表現分歧，外資偏好金融與晶圓雙雄。,2025-08-05 01:48:46,20
