date,factor,explanation,updated_time,news_count
2022-11-01,0.6,"富士康鄭州廠事件引發市場擔憂，但獎勵政策調整及電子權值股穩盤，抵銷部分負面影響；加上金融股撐盤，台股收漲逾百點。後市仍需觀察美聯準會利率決策結果。

====================

請注意以上分析僅供參考，不做買賣依據。",2025-08-05 02:16:53,20
2022-11-02,0.6,鴻海旗下富士康鄭州廠因應員工返鄉潮調整政策，激勵股價上漲，但中國鄭州航空港區實施 7 天全域靜態管理，可能影響生產，市場情緒偏中性。,2025-08-05 02:16:57,20
2022-11-04,0.6,電子權值股跌幅收斂、傳產族群領漲及集團作帳行情發酵等因素使市場情緒轉為正面，但美股走弱仍是後續觀察重點。,2025-08-05 02:17:21,20
2022-11-05,0.7,科技類股賣壓較大但非科技中小型股有望受惠，整體市場情緒偏正面。,2025-08-05 02:17:24,20
2022-11-06,0.6,多家重量級公司召開法說會，市場關注鴻海鄭州廠生產狀況，以及聯發科新旗艦晶片亮相等議題，財報與展望將左右市場情緒。,2025-08-05 02:17:26,20
2022-11-07,0.7,營收創高與權值股回神提振市場信心，但鄭州廠疫情影響及鴻海下修展望壓抑漲幅，整體多空勢力拉鋸。,2025-08-05 02:17:29,20
2022-11-08,0.7,市場情緒偏向正面，股價可能上漲。主要原因包括：1) 美國四大指數全面收紅，科技股領軍反彈；2) 台積電 ADR、聯電 ADR 雙雙收紅；3) 集邦公布 11 月上旬電視面板報價小幅上漲，顯示需求回升跡象；4) 信驊第三季財報亮眼，每股稅後純益達 15.83 元，單季大賺超過 1.5 個股本。,2025-08-05 02:17:34,20
2022-11-09,0.8,半導體族群領軍反彈，營收報喜與利空出盡激勵市場信心，多頭氣勢強勁推升股價上漲。,2025-08-05 02:17:38,20
2022-11-10,0.6,雖然美股下挫影響台股走跌，但鴻海第三季財報優於預期且營收成長顯著，搭配中小型股及生技族群表現強勁，整體市場情緒維持溫和偏多。,2025-08-05 02:17:41,20
2022-11-11,0.7,美股大漲激勵台股跳空上漲，多頭氣勢強勁，加上電子權值股領軍衝鋒，指數一度大漲逾 500 點，但仍需留意追高風險。,2025-08-05 02:17:45,20
2022-11-12,0.7,鴻海與 PTT 合資的電動車廠奠基動土，顯示公司積極佈局電動車市場，有利於長期發展，但短期營收貢獻有限。,2025-08-05 02:17:48,20
2022-11-13,0.6,鴻海董事長劉揚偉將出席 B20 峰會並發表演說，郭台銘也針對高虹安競選影片發表看法，顯示公司與政治人物互動頻繁，正面消息提振市場信心。,2025-08-05 02:17:51,20
2022-11-14,0.7,鴻海董事長出席 B20 峰會並發表演說，展現公司國際能見度提升，有利於未來商機拓展，激勵市場情緒偏正面。,2025-08-05 02:17:55,20
2022-11-15,0.7,外資買超聯電、台積電等半導體股，且投信、自營商也偏多操作，顯示市場對這些龍頭股有正面看法，但仍需留意漲多後的獲利了結壓力。,2025-08-05 02:17:58,20
2022-11-16,0.6,鴻海集團旗下電動車燈模組廠坦德科技取得專利技術，成為 Model B 車燈供應商，有助明年營運增添新動能，但台股整體走勢疲弱，個股表現分歧。,2025-08-05 02:18:01,20
2022-11-17,0.6,台版晶片法案通過激勵半導體族群，但電子權值股表現分歧，傳產股維持平穩，市場情緒偏中性。,2025-08-05 02:18:04,20
2022-11-18,0.3,市場信心稍歇，電子權值股疲軟，傳產與金融族群亦無表現，僅生技與中小型股撐盤，但整體影響有限。,2025-08-05 02:18:08,20
2022-11-19,0.7,台股受惠於美中科技競爭，半導體、安控等產業轉單效益顯現，多頭行情延續，市場情緒偏正面。,2025-08-05 02:18:11,20
