date,factor,explanation,updated_time,news_count
2022-11-04,0.8,公司針對美國出口管制新禁令表示影響有限，且預計第四季營收將顯著跳增，加上明年 ABF 載板供給不再是問題、CoWoS 產能獲得台積電大力支持，以及車用產品持續成長等利多因素，整體呈現正面發展。,2025-06-07 22:24:23,2
2022-11-07,0.9,美對中晶片禁令影響有限，加上超微新品採用台積電5奈米製程，帶動世芯 - KY 股價亮燈漲停。,2025-06-07 22:24:24,1
2022-11-22,-0.5,世芯-KY股價下跌，顯示市場情緒偏向保守。,2025-06-07 22:24:26,1
2022-12-07,-0.3,台股整體走跌，世芯 - KY 下跌主因為高價股賣壓沉重。,2025-06-07 22:24:28,1
2022-12-08,0.1,台股震盪走跌，世芯-KY股價下挫，但高價股仍獲得買盤青睞。,2025-06-07 22:24:29,1
2022-12-09,0.9,11 月營收創新高，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 22:24:31,1
2023-01-03,0.6,IC 設計族群跌深反彈，世芯 - KY 強漲超過 6%，重返半年線，成交值登山全台股第三名。,2025-06-07 22:24:34,1
2023-01-16,0.9,台積電釋出 HPC/AI 新品訊息，帶動 ASIC 與 IP 族群強勁表現。,2025-06-07 22:24:36,1
2023-01-31,-0.2,大盤走勢疲弱，世芯股價小跌，但高價股中仍有個股強勁上攻，顯示市場情緒偏向保守。,2025-06-07 22:24:39,1
2023-02-01,0.6,世芯 - KY 表現強勢，顯示市場對其營運前景持正面看法。,2025-06-07 22:24:40,1
2023-02-07,0.3,電子指標股如創意、矽力 *-KY 和世芯 - KY 表態上揚，帶動市場情緒正面。,2025-06-07 22:24:42,2
2023-02-08,0.9,IC 設計族群強勁反彈，營收與獲利表現亮眼，市場情緒正面。,2025-06-07 22:24:43,2
2023-02-09,0.1,世芯 - KY 在千金股普遍走疲下跌破千元價位，但整體市場表現平穩，影響有限。,2025-06-07 22:24:44,1
2023-02-24,-0.3,高價股普遍下挫，世芯-KY 表現疲弱，顯示市場對該公司前景持保守態度。,2025-06-07 22:24:46,1
2023-03-03,-0.5,市場焦點集中在美國商務部將中國企業列入實體清單，世芯 - KY 與同族群股價下挫超過 3%，引發市場負面情緒。,2025-06-07 22:24:48,1
2023-03-06,0.2,台股今日表現強勁，世芯雖然下跌，但在多頭市場中影響有限。,2025-06-07 22:24:49,1
2023-03-09,0.6,世芯-KY在IC設計股中表現強勁，顯示市場對該公司營運前景持樂觀態度。,2025-06-07 22:24:50,1
2023-03-10,-0.5,世芯 - KY 等電子指標股同步下跌，顯示市場對科技類股情緒偏保守。,2025-06-07 22:24:51,1
2023-03-15,0.9,世芯 - KY 營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 22:24:53,2
2023-03-18,0.9,受惠美系客戶 HPC 晶片需求強勁，營收有望倍增，再創歷史新高，市場情緒樂觀。,2025-06-07 22:24:54,1
2023-03-20,0.6,IC 設計族群領頭下，推升櫃買指數走勢突出，世芯 - KY 繼續上漲 3%，顯示市場對該公司仍有正面情緒。,2025-06-07 22:24:56,1
2023-03-22,0.9,世芯 - KY 營收持續成長，展望今年營收倍增，全年營收續創歷史新高，且北美市場需求強勁，預計量產業績將有三位數的成長幅度。,2025-06-07 22:24:57,2
2023-03-31,0.6,設計 IP 族群買盤強勢，世芯 - KY 大漲超過半根停板，顯示市場對該公司營運前景持正面看法。,2025-06-07 22:24:59,1
2023-04-10,0.9,受惠北美市場需求強勁，世芯 - KY 營收創高，法人估今年營收年增約 74%，量產業績三位數成長。,2025-06-07 22:25:01,1
2023-04-13,0.1,電子股普遍走弱，世芯 - KY 同樣下跌，但幅度相對較小，顯示市場情緒偏中性。,2025-06-07 22:25:02,1
2023-04-18,-0.5,高價股普遍走弱，世芯 - KY 與創意重摔近半根，顯示市場對相關個股的信心不足。,2025-06-07 22:25:03,1
2023-04-25,-0.7,IP 股普遍走跌，世芯 也挫逾 7%，顯示市場對該族群的信心不足。,2025-06-07 22:25:05,1
2023-05-03,-0.1,世芯-KY與其他高價股同步疲軟，顯示市場情緒偏向保守。,2025-06-07 22:25:06,1
2023-05-08,0.1,世芯 - KY 漲幅有限，表現平平，但整體台股走揚，帶動市場情緒溫和正面。,2025-06-07 22:25:08,1
2023-05-09,0.9,"營收持續創高，毛利率回升，展望樂觀，新案件洽談進度良好，預期帶動市場情緒正面。

客戶要求在非中國區建立設計團隊，分散工程資源，顯示公司因應地緣政治風險的積極作為。",2025-06-07 22:25:09,2
2023-05-10,0.5,電子股疲弱，世芯 - KY 逆勢大漲 5.5%，帶動市場情緒正面。,2025-06-07 22:25:10,2
2023-05-12,0.2,高價股如世芯-KY維持相對強勢，部分抵銷權值股疲軟的影響。,2025-06-07 22:25:11,1
2023-05-15,0.2,台股整體表現疲弱，世芯 - KY 仍維持成長趨勢，市場情緒偏中性。,2025-06-07 22:25:12,1
2023-05-16,0.8,權值股強勢反彈，帶動高價股普遍走強，世芯 - KY 在買盤追捧下大漲。,2025-06-07 22:25:13,1
2023-05-18,0.5,電子權值股普遍走揚，世芯-KY同步上漲，顯示市場情緒偏正面。,2025-06-07 22:25:14,1
2023-05-20,0.9,創意正面展望帶動同業世芯 - KY 股價上漲。,2025-06-07 22:25:15,1
2023-05-22,0.1,世芯 - KY 下跌，但在大盤走弱下表現相對抗跌。,2025-06-07 22:25:16,1
2023-05-29,0.8,AI 概念股持續發燙，帶動台股上漲，世芯 - KY 亮燈漲停。,2025-06-07 22:25:18,2
2023-05-31,-0.2,世芯 - KY 股價下跌，顯示市場對其表現持保守態度。,2025-06-07 22:25:19,1
