date,factor,explanation,updated_time,news_count
2022-11-01,0.6,電子股普遍上揚，光寶科漲幅超過4%，顯示市場對相關個股情緒偏正面。,2025-06-09 02:44:10,1
2022-11-07,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但對明年展望相對保守，預期帶動市場情緒正面。,2025-06-09 02:44:12,1
2022-11-14,0.8,全球產能布局加速，新廠啟用帶動市場正面情緒。,2025-06-09 02:44:13,1
2022-12-05,0.8,11 月營收持平，第四季與明年皆有成長預期，顯示公司整體表現穩健向上。,2025-06-09 02:44:16,1
2023-01-06,0.6,展望今年並專注拓展長期成長領域，顯示公司對未來有信心，市場情緒偏正面。,2025-06-09 02:44:19,1
2023-01-11,-0.3,電子股普遍走低，僅少數個股抗跌，整體市場偏向保守。,2025-06-09 02:44:21,1
2023-02-07,0.2,1 月營收月減 20%、年減 26.3%，顯示公司營運狀況受到春節工作天數減少影響，市場情緒偏中性。,2025-06-09 02:44:24,1
2023-02-09,0.6,電子指標股表現較強，其中光寶科漲幅居前，顯示市場對該公司有正面期待。,2025-06-09 02:44:25,1
2023-02-21,0.3,公司財報顯示獲利成長，展望今年雲端與光電業務持續成長，但資通訊產品下滑，加上部分客戶調整庫存，上半年營收將較去年同期下滑。,2025-06-09 02:44:28,3
2023-03-02,0.3,網通族群表現強勁，帶動光寶科股價上漲。,2025-06-09 02:44:29,1
2023-03-03,0.2,富時羅素調整成分股名單，光寶科列為候補名單，可能帶來短期利多。,2025-06-09 02:44:30,1
2023-03-07,0.2,整體而言，公司對未來展望仍保持樂觀，預期全年營收可優於去年，但上半年可能受到資通訊產品與客戶庫存調整影響而下滑。,2025-06-09 02:44:31,1
2023-03-12,0.1,投信買超且賣超個股有所換股操作，顯示市場對光寶科仍持中性態度。,2025-06-09 02:44:33,1
2023-03-15,0.1,光寶科除息影響有限，市場關注度不高。,2025-06-09 02:44:34,1
2023-04-07,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但上半年營收預計將較去年同期下滑，引發市場中性情緒。,2025-06-09 02:44:37,1
2023-04-14,0.2,營運展望保守，全年持平去年，但新產品與企業社會責任計畫有助於維持市場情緒。,2025-06-09 02:44:38,2
2023-04-24,-0.1,市場情緒偏中性，雖然部分零組件與工業電腦指標股上漲，但光寶科等電子股表現相對疲弱。,2025-06-09 02:44:40,1
2023-04-27,0.3,整體來看，雖然第一季營收與獲利表現不如預期，但公司對於雲端、網通業務成長仍持樂觀態度，認為下半年將優於上半年。市場情緒偏中性，短期內缺乏明顯利多或利空因素。,2025-06-09 02:44:42,2
2023-05-08,0.3,4月營收表現不如預期，但第二季有望優於第一季，且雲端與網通需求增溫，對市場情緒帶來中性偏正面影響。,2025-06-09 02:44:44,1
2023-05-19,0.2,光寶科推動減碳行動並協助供應商建構低碳競爭力，展現對環境永續發展的承諾，但具體營收與獲利影響尚待觀察。,2025-06-09 02:44:46,1
2023-05-23,-0.15,電子權值股表現參差，ABF載板與代工族群強勢，但部分個股如致茂、光寶科、大同等仍疲弱。整體而言市場情緒偏中性。,2025-06-09 02:44:47,1
2023-05-30,0.2,市場雖有震盪，但整體維持正面氛圍，外資買超多檔科技股，顯示對產業前景樂觀。,2025-06-09 02:44:49,1
2023-06-02,0.4,台灣 50 指數成分股納入光寶科，顯示市場對該公司的營運前景持中性偏正面看法。,2025-06-09 02:44:50,1
2023-06-05,0.6,光寶科大漲，顯示市場對公司表現正面看待。,2025-06-09 02:44:51,1
2023-06-07,0.8,營收成長與權值股上揚帶動市場情緒正面。,2025-06-09 02:44:52,2
2023-06-14,-0.3,電子股漲跌互見，光寶科等指標股走跌，顯示市場偏向保守，對隔日股價波動影響有限。,2025-06-09 02:44:53,1
2023-06-18,0.6,AI 伺服器商機帶動相關產業營收與獲利成長，市場情緒偏正面。,2025-06-09 02:44:56,1
2023-06-20,-0.5,光寶科股價下跌，顯示市場情緒偏向保守。,2025-06-09 02:44:57,1
2023-06-21,0.6,充電樁需求帶動相關台廠訂單成長，營收與獲利可望受惠，但整體市場漲多後仍需謹慎。,2025-06-09 02:44:58,1
2023-06-26,-0.5,台股下跌，權值股與 AI 概念股表現疲弱，但部分族群如遊戲、安控、造紙等仍有強勁表現。,2025-06-09 02:44:59,1
2023-07-26,0.5,電子三雄普遍下跌，但光寶科等 AI 概念股表現強勁，顯示市場對相關產業前景仍持正面看法。,2025-06-09 02:45:02,1
2023-07-31,0.3,外資雖然賣超光寶科，但買超其他電子股，且投信買超光寶科最多，顯示市場對該公司的看法仍屬正面。,2025-06-09 02:45:04,2
2023-08-01,0.3,光寶科旗下事業共同邁向集團綠色目標，整合資源推動永續供應鏈，展現對環境友善的決心。,2025-06-09 02:45:05,1
2023-12-08,0.3,AI 潮流帶動相關產業成長，市場情緒偏正面，但個股表現差異大，需進一步篩選強勢股。,2025-06-09 02:45:14,1
2023-12-12,0.6,電子權值股普遍走揚，光寶科在同業中表現亮眼，顯示市場對其前景持正面看法。,2025-06-09 02:45:16,1
2023-12-18,0.8,光寶科斥資擴建越南廠，顯示對未來營運成長有信心，預期帶動市場正面情緒。,2025-06-09 02:45:17,2
2023-12-19,-0.2,光寶科斥資租地委建擴建越南廠，顯示公司積極投資擴產以因應市場需求。,2025-06-09 02:45:18,1
2023-12-24,0.2,籌碼變動顯示外資對光寶科持正向態度，但內資結帳賣壓仍在。CES 展將登場，有利於 AI 族群表現。,2025-06-09 02:45:20,1
2024-01-09,0.3,雲端運算與高階伺服器電源為去年重要成長動能，但整體營收仍呈現下滑，市場情緒偏中性。,2025-06-09 02:45:22,2
2024-01-10,0.2,電子權值股普遍疲軟，但 AI PC 概念股表現強勁，加上 CES 展題材，緩解市場情緒。,2025-06-09 02:45:23,1
