date,factor,explanation,updated_time,news_count
2022-11-07,0.9,營收雙創新高，顯示公司業績表現亮眼，預期帶動市場正面情緒。,2025-06-07 21:59:57,1
2022-11-10,-0.2,文化創意類股走勢疲軟，顯示市場對該產業的信心不足。,2025-06-07 21:59:58,1
2022-11-17,0.6,台版晶片法案通過、明年新款 iPhone 導入 USB-C 等利多消息激勵相關概念股表現，但市場量能不足以支撐強勁上攻力道。,2025-06-07 21:59:59,1
2022-11-22,-0.6,創意股價下跌主因為矽智財與 ASIC 族群連日上漲後出現獲利了結賣壓。,2025-06-07 22:00:01,1
2022-11-24,0.8,IC 設計族群表現亮眼，聯發科領軍上漲，帶動市場情緒正面。,2025-06-07 22:00:02,1
2022-11-25,0.8,創意明年營收成長樂觀，且取得晶圓產能支援，客戶需求持續強勁，帶動市場情緒正面。,2025-06-07 22:00:03,1
2022-12-05,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 22:00:04,1
2022-12-08,0.2,電子權值股疲弱，高價股漲跌互見，但創意等少數個股獲得買盤青睞。,2025-06-07 22:00:05,1
2022-12-09,0.9,多家台廠11月營收創新高，顯示產業景氣穩健，帶動市場情緒正面。,2025-06-07 22:00:06,1
2022-12-16,0.1,電子股普遍走弱，但創意表現相對抗跌。,2025-06-07 22:00:08,1
2022-12-18,0.6,ChatGPT 與 AIGC 技術的興起，預示著 AIoT 產業的快速成長，相關個股如聯發科、中磊、正基等有望受惠。然而，目前市場仍面臨升息循環及獲利賣壓的挑戰，整體而言對市場情緒帶來中性偏正面的影響。,2025-06-07 22:00:10,1
2022-12-28,0.2,市場對未來成長性看法分歧，部分利多因素已反映在股價上。,2025-06-07 22:00:11,1
2022-12-30,0.1,創意與其他個股同步走弱，顯示市場情緒偏向保守。,2025-06-07 22:00:12,1
2022-12-31,-0.8,ASIC 族群股價下挫，加上市場對明年景氣展望保守，影響創意 股票市場情緒偏向負面。,2025-06-07 22:00:13,1
2023-01-03,0.6,權值股走勢分歧，IC 設計族群跌深反彈，帶動市場情緒偏正面。,2025-06-07 22:00:14,1
2023-01-05,0.3,營收持續成長，顯示公司表現良好，但外資對訂單下修的擔憂，引發市場情緒偏向保守。,2025-06-07 22:00:15,1
2023-01-06,0.2,電子股持續輪動整理，美股科技股受制利率回檔，大型電子股與高價股觀望態勢。台積電面臨 10 日線保衛戰，半導體族群走勢震盪，記憶體族群轉強。矽智財族群週五能否領軍反彈是強弱關鍵。,2025-06-07 22:00:17,1
2023-01-11,0.5,權值股走勢分歧，台積電、鴻海雙雙下挫，但 ASIC 與 IP 個股如金麗科、創意、智原等漲幅近 1%，顯示市場對相關產業仍有正面期待。,2025-06-07 22:00:18,1
2023-01-17,0.6,文化創意股表現強勢，帶動櫃買指數上漲，但整體市場受到半導體雙雄走弱拖累，且電子權值股表現參差，顯示市場情緒偏向正面但不確定。,2025-06-07 22:00:20,1
2023-01-30,0.6,權值股領漲，帶動大盤上揚，但遇年線反壓，且美聯準會利率決策即將公布，引發市場觀望氣氛。,2025-06-07 22:00:22,1
2023-02-02,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 22:00:23,1
2023-02-03,0.8,營運展望樂觀，Turnkey 業務成長動能強勁，帶動市場情緒正面。,2025-06-07 22:00:24,1
2023-02-05,0.9,營收與獲利雙成長，且客戶組合分散，有助減緩景氣逆風影響，市場情緒正面。,2025-06-07 22:00:25,1
2023-02-06,0.2,營收創高且展望正向，市場情緒偏正面，但漲多休息的可能性也存在。,2025-06-07 22:00:27,2
2023-02-07,0.6,電子族群表現分歧，權值股走弱，但創意等個股強勢上揚，顯示市場對部分產業仍有信心。,2025-06-07 22:00:28,2
2023-02-08,0.9,"IC 設計族群強勢表現，多檔個股創新高，顯示市場對相關產業前景樂觀。聯詠釋出優於預期的展望，進一步激勵買氣。

1.0
IC 設計族群全面上漲，領軍電子股衝鋒，美股四大指數收高，尤其費半勁揚超過 3%，台積電、聯發科等權值股齊步走揚。",2025-06-07 22:00:30,2
2023-02-09,0.2,電子族群人氣退燒，但創意衝上歷史新高，顯示個股表現差異大，整體市場情緒偏中性。,2025-06-07 22:00:31,1
2023-02-12,0.1,市場對美國升息緩和的樂觀預期減弱，但外資仍續買台積電等個股，投信持續買超中高價電子股，顯示市場偏多輪動。,2025-06-07 22:00:32,1
2023-02-13,0.8,伺服器市場成長動能強勁，帶動相關個股表現。,2025-06-07 22:00:33,1
2023-02-16,0.6,電子族群普遍上漲，設計 IP 相關業者如世芯 - KY、智原、M31 和創意 均有不錯表現，顯示市場對相關產業前景持正面看法。,2025-06-07 22:00:35,1
2023-02-20,0.9,ChatGPT 議題持續發酵，加上創意具備先進製程與封裝產能、HBM IP 技術等優勢，營收獲利成長強勁，市場情緒正面。,2025-06-07 22:00:36,2
2023-02-21,0.6,電子權值股走勢震盪，但高價股表現亮眼，IC設計及IP族群強勢上攻，傳產如台塑四寶、貨櫃三雄等力挺，加權指數盤中翻紅。整體而言，市場情緒偏正面，短期內有望維持輪動走勢。,2025-06-07 22:00:38,2
2023-02-24,0.2,權值股疲弱，但高價股普遍走揚，顯示市場情緒偏向正面。,2025-06-07 22:00:39,1
2023-02-25,1.2,創意受惠 AI 應用需求強勁，股價持續上攻，市值大增。,2025-06-07 22:00:40,1
2023-03-03,-0.9,市場擔憂中國客戶遭列入實體清單，可能衝擊創意營收與獲利，引發負面情緒。,2025-06-07 22:00:41,2
