date,factor,explanation,updated_time,news_count
2022-11-01,0.8,"台積電股價上漲,顯示市場情緒正面。主要原因是權值股帶動大盤站回萬三整數關卡,加上生技股成為多頭焦點。

-1
台積電 1 奈米廠傳聞落腳桃園龍潭,引發市場負面情緒。主要原因是設廠地點選擇有諸多考量因素,消息未經公司正式對外公告證實。",2025-06-07 21:43:32,4
2022-11-02,0.6,電子零件與光電族群強勢，權值股如台積電也翻紅收漲，整體市場情緒偏正面，但金融與傳產股仍偏弱勢。,2025-06-07 21:43:33,2
2022-11-03,0.2,台積電1奈米廠落腳桃園龍潭科學園區，政府積極協助水電需求，顯示對半導體產業發展的重視與支持。,2025-06-07 21:43:34,4
2022-11-04,0.3,電子權值股跌勢收斂，台積電獲得買盤支撐，顯示市場對科技產業仍有信心。,2025-06-07 21:43:35,1
2022-11-07,0.9,台積電領軍半導體股上攻，加上金融與傳產族群齊力助攻，大盤指數大幅上漲，顯示市場情緒正面。,2025-06-07 21:43:37,3
2022-11-08,0.9,台積電漲勢強勁，帶動加權指數大漲超過百點，顯示市場對公司表現正面看待。,2025-06-07 21:43:38,2
2022-11-09,0.9,"台積電股價大漲，顯示市場情緒正面。多項利多消息包括：ADR 大漲、董事會通過配息、外資認為明年獲利穩定、美國新廠建設進度如預期等。

====================

以下是提供的新聞資訊 :
晶圓代工龍頭台積電 (2330-TW) 持續展開反彈，一掃近半個月在 400 元下震盪走弱的行情，今 (9) 日跳空衝破 400 元關卡，股價開高走高，盤中最高大漲超過 3%，站上 412 元，市值也衝上 10.68 兆元。


台積電 ADR(TSM-US) 周二 (8 日) 大漲 3.6%，收在 65.02 美元，以台積電 8 日收盤價 399 元計算，溢價超過 4%。台積電股價自 10 月 20 日跌破 400 元大關後，一路在整數關卡下游走，隨著 ADR 連日走高，台積電股價也同步強漲表態。


台積電董事會昨日通過今年第三季配息 2.75 元，維持前季配息水準，預計明年 3 月 16 日除息。


外資認為，台積電基本面與蘋果新舊產品交替相關，預期明年第二季落底，雖然眼前總經變數仍多，但台積電明年獲利將相對同業穩定。從外資動態來看，近 2 日回頭轉買台積電、共買超逾 2 萬張。

---

隨著新台幣今 (9) 日強勢升值，台股也延續反彈氣勢，台積電、聯發科領軍電子股上攻，金融、傳產表現也穩健，推升指數強漲超過 200 點，站回 13500 點大關，回補前方跳空缺口，並往季線靠攏，預計今日成交量放大至 2500 億元。


權值股大多走強，台積電均線糾結後一路上攻，今強漲 3%，一舉站回 400 元大關，聯發科也突破盤整格局，飆漲近半根漲停板，往半年線靠攏，鴻海也有 2% 漲幅，富邦金、國泰金、聯電、日月光投控也都在盤上表現，為大盤走勢增溫。


高價股表現同樣不俗，大立光上漲超過 1.5%，企圖挑戰 2000 元整數關卡，力旺、緯穎、祥碩漲幅皆超過 4%，信驊、旭隼、AES-KY、富邦媒也都站穩紅盤。


盤面焦點方面，隨著驅動 IC 龍頭聯詠釋出庫存明年首季恢復正常水位，資金全面卡位相關個股，聯詠率先亮燈漲停，瑞鼎也同步攻上漲停板，矽創、譜瑞 - KY、晶宏也都有 5% 以上的漲幅。


另外，ABF 載板三雄也回神，欣興大漲超過 9%，衝破季線，南電、景碩漲幅也都在 6% 以上。

---

據外媒報導，晶圓代工龍頭台積電 (2330-TW)(TSM-US) 未來幾個月將宣布新廠建廠計畫，預計在興建中的美國亞利桑那州新廠旁，再蓋一座 3 奈米廠。


外媒華爾街日報報導，知情人士指出，台積電準備在亞利桑那州啟動新廠投資，投資規模估接近 2020 年拍板的 5 奈米廠、約 120 億美元，地點選在鳳凰城北部、目前興建中的新廠旁。


不過，今年 8 月起就曾陸續傳出，台積電正評估在亞利桑那州建第二座晶圓廠，台積電當時表示不回應市場傳聞。近期供應鏈也傳，台積電在美國建 3 奈米廠確實是長遠規劃，初估時間可能落在 2026 年。


台積電美國亞利桑那州新廠預計 12 月舉行首部機台移機典禮，除董事長劉德音將親率台灣官員前往，美國總統拜登傳也將親自出席。


隨著機台設備到廠，意味台積電新廠已部分完工；亞利桑那州 5 奈米廠約於 18 個月前動工，建設進度如預期，將於 2024 年開始量產，月產能 2 萬片，近期更傳出將進一步擴增至 2.2 萬片。

---

台股今 (9) 日強勢走高，漲幅冠居亞股，半導體族群上演絕地大反攻，權王台積電領銜飆漲逾 4%，貢獻大盤漲點約 148 點，加權指數終場大漲 291 點，以 13638 點作收，攀逾 1 個月以來新高，成交值增至 2377 億元。外資狂買 241 億元，三大法人合計買超 230.55 億元。


在法人動態方面，外資熱錢回流，今天再加碼買超 241.27 億元，為連 3 買，累計買超 423 億元；投信與外資同調，買超 11.96 億元，寫下連 10 買；自營商持續賣超 22.68 億元。三大法人合計買超 230.55 億元。


台積電 (
2330-TW
) 重登 400 元大關，終場收在 417 點全場最高，漲幅達 4.51%，市值增加 4667 億元，來到 10.81 兆元；聯發科 (2454-TW) 也大漲近半根停板，終場收在 650 元，逼近半年線，創逾 2 個月新高；聯詠股價強勢亮燈漲停，達 285 元，站上半年線，創 4 個月新高；瑞昱終場勁揚近 6%。


高價股方面，股王大立光上漲 1.3%，收在 1955 元，股后信驊遇壓挫逾 1%，IP 股力旺勁揚近 7%，收 1255 元，譜瑞 - KY 大漲近 9%，祥碩上漲 5.6%，其他包括緯穎、亞德客 - KY、AES-KY 等也都吸引買盤進駐。


美系外資認為 MLCC 產業景氣落底將至，重申國巨「優於大盤」評等，國巨今天股價強漲 7.75%，站上 400 元大關，以 424 元作收，被動元件股普遍走揚，華新科勁揚約 3.6%，凱美、立隆電、興勤、華容、大毅等，均走勢強勁。",2025-06-07 21:43:59,4
2022-11-10,0.3,台積電營收創高，但產能利用率下滑，市場對其前景看法分歧。,2025-06-07 21:44:00,4
2022-11-11,0.9,"美股大漲帶動台積電 ADR 跳空漲停，激勵台積電現股同步飆漲超過 8%，重返 11 兆元市值。市場情緒樂觀，預期電子族群將領軍上攻。

====================

以下是提供的新聞資訊 :
美股周四 (10 日) 狂飆逾千點，台積電 ADR(TSM-US)也暴漲超過 8%，激勵台積電 (2330-TW) 今 (11) 日股價同步催油門、跳空飛漲逾 8%，最高衝上 442 元，單日市值激增超過 8945 億元，重返 11 兆元大關、達 11.46 兆元。


台股今日在台積電暴漲、聯發科也上攻超過半根停板下，由半導體雙雄領軍電子族群衝鋒，指數衝破萬四大關，一舉飛越季線。


台積電昨 (10) 日公告 10 月營收，受惠蘋果 (AAPL-US) 新機與高效運算對 5 奈米需求持續增加，營收達 2102.66 億元，月增 1%，年增 56.3%，再改寫 9 月寫下的單月次高紀錄；前 10 月累計營收 1 兆 8486.25 億元，年增 44%。


美國 10 月關鍵通膨數據顯著降溫，同時聯準會官員釋出鴿派訊號，美股周四氣勢如虹，道瓊狂飆 1201 點，那指也強漲超過 7%，費半指數漲幅更超過 10%，台積電 ADR 也跟進漲近 9%。

---

美國通膨數據樂觀，帶動台股今 (11) 日全面上攻，開盤即飆漲逾 500 點，台積電漲逾 8%，聯發科、聯電等多檔權值股漲逾半根漲停，帶領大盤終場大漲 503.8 點，漲幅 3.73% 收 14007.56 點，一舉站上萬四大關，成交量放大至 3354.16 億元，創 5 個多月新高。


電金權值股今一片紅通通，台積電大漲超過 30 元站上季線，聯發科大漲逾 6%，聯電漲 5.6%，金融雙雄國泰金、富邦金皆漲逾半根漲停，日月光漲 4.5%，台塑四寶皆收紅，僅鴻海小跌 0.5%。


高價股漲勢也強勁，力旺漲停亮燈，信驊大漲 9% 以上，祥碩、創意飆逾 7%，旭隼、譜瑞皆漲逾半根漲停，AES 漲 4% 以上，大立光、亞德客漲幅 3%，世芯漲 2.8%。


資金今日回籠電子族群，ABF 三雄中南電開盤鎖住，欣興大漲逾 7%，景碩也漲超過半根漲停，智邦營收持續上攻今大漲 6% 以上，國巨飆 5.69%，台達電喊出長期營收目標漲 4.6%，研華、智原、廣達、旺宏、南亞科等都有不錯表現。


展望後市，法人認為，美國通膨數據釋出好消息、近期多產業市況也出現落底跡象，接下來須關注 12 月聯準會升息態度，若升息目標不再上調、通膨持續緩解，市場多頭可望逐步回籠。

---

台股今 (11) 日在美股收盤大漲激勵下，集中市場早盤一度跳空上漲，指數大漲 545 點，跨越季線並站上 1 萬 4000 點大關，市場專家指出，台股越過季線之後，可能出現震盪走勢，但今天多方跳空上漲缺口，將成短線多頭重要支撐。


台股今天早盤開在 13887.95 點，最高 14045.91 點，最低 13887.95 點，早盤 90 分鐘市場成交值已超過 2000 億元，預估全場市場成交值爲 4019 億元。


證券分析師黃漢成說，台股翻越季線後，可能面臨站上半年線的區間震盪格局，但整體而言，台股目前仍是震盪向上走勢。


今天台股盤中由 IC 設計股聯發科 (2454-TW)、台積電 (2330-TW) 帶動電子族群上揚，此外，金融股也有表現；權值股台積電、聯發科股價強勢上揚之外，但鴻海 (2317-TW) 則在平盤整理，大立光 (3008-TW) 上漲超過 2.54%，盤中站上 2000 大關，而在今年第三季賺 1.5 個股本的玉晶光 (3406-TW) 股價開高，中場股價上漲 2.27% 到 337.5 元。


ABF 載板廠欣興 (3037-TW) 及南電 (8046-TW) 盤中股價一度漲停，景碩 (3189-TW) 股價也走高。


貨櫃航運股方面，長榮 (2603-TW)、陽明 (2609-TW)、萬海 (2615-TW) 股價盤中都在平盤以上。


值得注意的是，台股指數一度大漲 545.5 點，創台股史上第三大漲點，黃漢成說，台股多頭氣勢目前仍沒有敗退跡象，且市場空手投資人仍多，將有助台股由底部上漲逾 1400 點後，持續震盪走高。

---

美國 10 月份關鍵通膨數據顯著降溫，同時聯準會官員釋出鴿派訊號，美股應聲大漲，道瓊指數狂噴 1200 點，連動台股今 (11) 日雙 11 不孤單，開盤也帶量勁揚 375.19 點、開在 13878.95 點，且漲勢立即擴大飆漲超過 500、登 14000 點之上，最高漲到 14045.51 點。


美國消費者物價指數 (CPI) 降溫幅度大於預期，點燃美股多頭信心，道瓊狂飆漲 1,201.43 點，創 2020 年 5 月以來最大漲幅；費城半導體指數大漲 10%，台積電 ADR 大漲 8.92%；科技股漲勢最吸睛，標普收盤猛升 5.54%，創 2020 年 4 月以來最佳表現。


受此激勵，台積電現股今天開盤狂飆 34 元、漲到 441.5 點，剽悍大漲超過 8%，貢獻大盤漲點超過 270 點，也帶動電子權值股凌厲強攻，聯電漲逾 6%、聯發科漲逾 5%，面板雙虎、日月光投控等都連袂走高。


盤面上不只電子股強勢，金融股、航運股等都百花齊放，國泰金漲約 4% 最帶勁，且漲幅也略高於大盤，整體金融股滿面紅，推升金融指數漲逾 2.6%；航運股中的航空雙雄展翅高飛，雙雙漲逾 3%，貨櫃股等也都表現亮眼，整體航運指數漲逾 2.5%。",2025-06-07 21:44:24,4
2022-11-12,0.8,營收持續成長，顯示公司在各領域的產品需求強勁，預期將帶動市場情緒正面。,2025-06-07 21:44:25,1
