date,factor,explanation,updated_time,news_count
2022-11-01,0.6,台股指數上漲，電子與金融股帶動市場走揚，多檔個股小漲或持平，顯示整體市場情緒偏正面。,2025-06-07 22:42:08,2
2022-11-02,0.6,電子權值股普遍走強，台達電漲幅近 3%，顯示市場對相關個股的信心回升。,2025-06-07 22:42:09,2
2022-11-03,-0.3,台積電及傳產走弱拖累大盤，但緯穎獲利創高帶動部分個股上揚，整體市場情緒偏向保守。,2025-06-07 22:42:10,1
2022-11-04,0.3,電子權值股跌勢收斂，台達電獲得資金青睞。,2025-06-07 22:42:11,1
2022-11-08,0.3,台達電參加聯合國氣候變遷大會 (COP27)，分享儲能系統成功案例和珊瑚復育實績，展現對環境永續的重視。雖然相關內容屬於長期發展策略，但仍有助提升公司形象，預期帶動市場正面情緒。,2025-06-07 22:42:13,2
2022-11-10,0.2,"鄭崇華看好電動車成長潛力，預期 2030 年市占率超過 15%，帶動營收突破 360 億美元。然而，台股今日走弱，台達電也同步下跌。

====================

以下是提供的新聞資訊 :
美債殖利率走高、加密貨幣拋售潮，美股周三全數收跌，台股今 (10) 日在台積電等電子權值股走弱、傳產金融股壓盤，指數開低震盪，下跌逾百點，一度跌破 13500 點關卡，估量 2100 億元。


櫃買指數開低走高，最高至 176.17 點，上漲約 0.4%，其中生技醫療最強勢，上漲 0.8%，其次為半導體與電子；文化創意最弱勢，下跌逾 1%，化工、紡織纖維也相對疲軟。


觀察權值股表現，台積電拉回整理，下跌 2%；鴻海也有近 2% 跌幅，力守百元價位；台達電、聯電、日月光投控、廣達、大立光同樣表現疲軟；聯發科力守盤上。


傳產股部分，台塑四寶全數走弱，航空雙雄震盪走低，貨櫃三雄中，長榮、陽明 10 月營收雙減，股價卻不同調，長榮上漲 2%，陽明則在平盤震盪，萬海也有超過 2% 漲幅。


聯發科逆勢抗跌，IC 設計族群也有零星買單，點晶上漲逾 4%，信驊、宏觀、瑞鼎漲幅超過 2%，沛亨、晶心科、盛群、佑華、聯詠等站穩盤上。


盤面上，以生技族群漲勢最剽悍，智擎一線胰腺癌臨床數據達標，股價跳空漲停鎖死，委買高掛逾 9 萬張，新藥股同沾光，佰研同步亮燈，杏國、東洋、德英、生華科、保瑞、東生華表現也不俗。

---

台達電 (2308-TW) 創辦人鄭崇華今 (10) 日參加第二屆成大電機論壇指出，公司積極發展電動車系統產品，目標 2030 年電動車產品市占率將超過 15%，帶動整體營收突破 360 億美元 (約新台幣 1.14 兆元)。


鄭崇華表示，全球 20 家車廠中，已有 15 家與台達電進行電動車相關的合作，現階段電動車市占率約 7-8%，未來可望超過 15% 以上，有很大成長空間。


鄭崇華認為，目前台達電營收落在 130 億美元，預計在電動車成長動能帶動下，2030 年營收可望倍增。


鄭崇華表示，台達電是全球重要電源系統關鍵供應商，2023、2024 年以後公司可望成為領頭羊，成為電源系統領導者，帶動產業進化。


台達電電動車產品涵蓋車載充電器、高壓直流電轉換器，動力驅動系統、馬達驅動機，以及四合一電動車集成系統。


除了車充 (on-Board Charger)，車外充電器市場也不缺席，近期充電器也獲得充電樁營運商、電力龍頭廠等客戶青睞，其中也推出 400KW 電動車快充，並導入碳化矽 (SiC) 技術，能量轉換效率提高達 96.5%，系統重量僅為傳統 DC 快充的 25%。


台達電 10 月營收 355.3 億元，月減 4%、年增 35%，創歷史次高，累計前十月合併營收 3143.13 億元，年增 22%。",2025-06-07 22:42:26,2
2022-11-11,0.8,台股全面上攻，電子族群表現強勁，台達電營收目標喊漲，帶動市場情緒正面。,2025-06-07 22:42:27,1
2022-11-14,0.8,台達電股價上漲，顯示市場對公司表現正面看待。,2025-06-07 22:42:28,1
2022-11-15,0.3,台積電等電子權值股強勁表現帶動大盤上漲，但台達電股價表現不如同業。,2025-06-07 22:42:29,1
2022-11-21,0.1,台股量縮震盪，權值股普遍疲軟，但部分中小型股如遊戲與生技族群逆勢撐盤。台達電開高走低，盤中翻黑，影響有限。,2025-06-07 22:42:31,1
2022-11-23,0.5,電子權值股表現平穩，金融與航運股領軍上攻，整體呈現偏多格局。,2025-06-07 22:42:32,1
2022-11-24,0.3,台達電創波段新高，顯示公司股價表現強勁，但整體市場量能不足，多頭家數持續走低，指數反彈過高，預期短期內仍有持續轉弱的可能性。,2025-06-07 22:42:34,1
2022-11-25,0.2,電子權值股欲振乏力，但電動車概念股及半導體測試介面獲資金青睞，整體市場情緒偏中性。,2025-06-07 22:42:35,1
2022-11-28,-0.5,大盤下跌且電子權值股全面回檔修正，顯示市場情緒偏向保守。,2025-06-07 22:42:36,1
