date,factor,explanation,updated_time,news_count
2022-12-07,-0.3,電子類股疲軟，高價股賣壓沉重，顯示市場對電子產業前景持保守態度。,2025-06-08 00:05:00,1
2022-12-08,0.2,電子權值股走低，部分高價股下跌，但嘉澤獲得買盤青睞，顯示市場對其仍有信心。,2025-06-08 00:05:01,1
2022-12-21,-0.2,嘉澤下挫 2%，但整體盤勢反彈，指數上漲 0.5%。,2025-06-08 00:05:02,1
2022-12-29,0.1,電子股普遍走跌，僅少數個股如聯詠、創意等有明顯漲幅，但整體市場情緒偏向保守。,2025-06-08 00:05:04,1
2022-12-30,0.1,嘉澤股價上漲，顯示市場情緒偏正面，但整體台股表現平平，影響有限。,2025-06-08 00:05:05,1
2023-01-12,-0.5,市場觀望氣氛濃厚，加上電子股普遍疲軟，嘉澤股價下跌。,2025-06-08 00:05:07,2
2023-01-16,0.2,電子族群普遍上漲，金融股表現強勢，但嘉澤下跌 1.5%，顯示市場對該公司存在一定疑慮。,2025-06-08 00:05:09,1
2023-01-31,-0.2,大盤走勢疲弱，權值股普遍下跌，但個股仍有強勢表現，顯示市場情緒偏向保守。,2025-06-08 00:05:11,1
2023-02-01,0.6,嘉澤股價上漲，顯示市場對其表現正面看待。,2025-06-08 00:05:12,1
2023-02-03,0.3,電子股漲跌互見，信驊、旭隼、亞德客 - KY 等高價股上揚，但嘉澤、力旺、創意、富邦媒等賣壓偏重，顯示市場對部分科技股仍持保守態度。,2025-06-08 00:05:13,1
2023-02-13,-0.3,電子權值股普遍走弱，嘉澤等高價股同步下跌，顯示市場情緒偏向保守。,2025-06-08 00:05:15,1
2023-03-27,0.5,電子權值股普遍走弱，嘉澤在高價股中表現相對強勁，帶動市場情緒正面。,2025-06-08 00:05:19,1
2023-04-13,0.2,電子股普遍走弱，嘉澤在高價股中表現相對抗跌，但仍有 2% 跌幅。,2025-06-08 00:05:22,1
2023-05-05,0.3,蘋概股中嘉澤連袂走揚，顯示市場對該公司營運前景持正面態度。,2025-06-08 00:05:25,1
2023-05-08,0.2,嘉澤市值高於 900 億元，有望納入 MSCI 新成份股，市場情緒偏正面。,2025-06-08 00:05:26,1
2023-05-10,-0.2,嘉澤跌超過 1%，在高價族群中表現不佳，但整體大盤走低，權值股普遍下挫，航運與生技類股則逆勢上漲。,2025-06-08 00:05:27,1
2023-05-18,0.3,電子權值股普遍走揚，嘉澤在其中表現較為強勢，顯示市場對其營運前景持正面看法。,2025-06-08 00:05:29,1
2023-05-25,0.8,輝達財報優於預期，帶動相關概念股走強，嘉澤受惠雲端運算題材，股價上漲。,2025-06-08 00:05:30,1
2023-06-06,-0.3,高價股普遍走跌，顯示市場情緒偏向保守。,2025-06-08 00:05:32,1
2023-06-07,0.8,權值股與高價股齊揚，帶動大盤上漲，顯示市場情緒正面。,2025-06-08 00:05:33,1
2023-06-08,-0.6,嘉澤股價下跌，顯示市場對其表現不滿意。,2025-06-08 00:05:34,1
2023-07-31,-0.3,法人賣超金額大，顯示市場對公司持保守態度。,2025-06-08 00:05:38,1
2023-12-14,0.9,法人預估嘉澤2024年伺服器營收成長40-50%，帶動全年營收雙位數成長，毛利率同步向上，獲利挑戰6個股本，再戰歷史新高。,2025-06-08 00:05:48,1
2023-12-16,0.85,外資報告調升評等與目標價，加上三大法人同步買超，顯示市場對嘉澤前景樂觀，預期股價將持續走揚。,2025-06-08 00:05:49,1
2024-01-04,-0.7,權值股普遍在平盤附近遊走，高價股成為提款重災區，千金股由股王世芯 - KY 領跌，嘉澤也跌出千元，顯示市場情緒偏向保守。,2025-06-08 00:05:52,1
2024-01-09,0.3,AI 股強勢表現帶動嘉澤 等高價 IC 設計股上漲，但貨櫃三雄重挫拖累市場情緒，預期短期內嘉澤 股價波動將受此影響。,2025-06-08 00:05:53,1
2024-03-01,0.6,電子權值股表現分歧，AI 股與散熱族群強勢，嘉澤、穎崴等扮演撐盤要角。,2025-06-08 00:05:59,1
2024-03-04,0.2,電子指標股普遍走強，嘉澤午盤前小漲，顯示市場情緒偏向正面。,2025-06-08 00:06:00,1
2024-03-22,0.1,電子指標普遍上漲，但整體市場波動加劇，嘉澤漲幅溫和，顯示對公司的影響有限。,2025-06-08 00:06:03,1
2024-04-02,0.6,電子指標股普遍上漲，嘉澤在強勢族群中表現亮眼。,2025-06-08 00:06:04,1
2024-04-26,0.8,電子股全面上揚，嘉澤受惠於市場情緒正面影響。,2025-06-08 00:06:07,1
2024-05-08,0.8,嘉澤營收持續成長，顯示公司獲利能力強勁，預期將帶動市場正面情緒。,2025-06-08 00:06:09,2
2024-05-13,0.8,獲利與營收雙創新高，市場預估持續上修，顯示公司財務表現亮眼，引發正面情緒。,2025-06-08 00:06:11,1
2024-05-21,0.4,台積電等電子權值股有撐，嘉澤漲逾 4%，顯示市場對相關個股仍具信心。,2025-06-08 00:06:12,2
2024-05-30,-0.5,權值股走勢偏弱，高價股普遍下跌，嘉澤也無法倖免於難，顯示市場情緒偏向保守。,2025-06-08 00:06:14,1
2024-06-04,0.5,嘉澤逆勢上漲，顯示市場對其表現仍有信心。,2025-06-08 00:06:15,1
2024-06-07,0.3,嘉澤5月營收成長，顯示公司營運狀況良好，但整體市場情緒偏中性。,2025-06-08 00:06:16,1
2024-06-13,0.9,公司營運狀況良好，獲利成長且各項產品滲透率提升，市場情緒樂觀。,2025-06-08 00:06:18,1
2024-06-14,0.8,嘉澤營收與獲利雙創新高，股價強勢上漲，顯示市場對公司前景樂觀。,2025-06-08 00:06:19,2
2024-06-24,-0.2,電子權值股普遍走弱，嘉澤也隨市場下跌，但跌幅相對溫和。,2025-06-08 00:06:20,1
2024-07-01,-0.4,電子股普遍走弱，嘉澤跌幅較大，顯示市場對該公司股票情緒偏向保守。,2025-06-08 00:06:22,1
2024-07-05,0.3,電子權值股漲跌互見，嘉澤上漲，但整體市場量能不足，影響有限。,2025-06-08 00:06:23,1
2024-07-12,0.5,電子股修正下，嘉澤逆勢上漲，顯示市場對其表現仍有信心。,2025-06-08 00:06:25,1
2024-07-17,0.3,電子權值股普遍走跌，但部分個股如祥碩、川湖仍維持正面表現。,2025-06-08 00:06:26,1
2024-07-18,-0.7,半導體類股普遍下跌，嘉澤也受到影響，顯示市場對該產業前景存在疑慮。,2025-06-08 00:06:27,1
2024-08-10,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-08 00:06:30,1
2024-08-12,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-08 00:06:31,1
2024-08-23,0.2,高價電子股普遍強勢，嘉澤收紅，顯示市場對相關個股情緒正面。,2025-06-08 00:06:32,1
2024-08-26,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-08 00:06:33,1
2024-08-28,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-08 00:06:34,1
2024-09-02,-0.5,電子股普遍走弱，嘉澤及緯穎、祥碩等高價股有 2% 上下的跌幅，顯示市場對相關產業的看法偏向保守。,2025-06-08 00:06:36,1
2024-09-06,0.6,電子權值股與高價股普遍強勢，嘉澤漲幅居前，顯示市場對該公司表現正面看待。,2025-06-08 00:06:37,2
2024-09-10,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-08 00:06:39,1
2024-09-16,-0.2,嘉澤股價下跌，顯示市場對其表現持保守態度。,2025-06-08 00:06:40,1
2024-09-25,0.6,電子權值股普遍走強，高價股表現亮眼，嘉澤漲逾5%，顯示市場對公司營運前景持正面看法。,2025-06-08 00:06:42,1
2024-10-05,0.2,分析師對2024年EPS預估下修，但營收表現仍維持成長趨勢。,2025-06-08 00:06:43,1
2024-10-15,0.6,AI 股帶動下，嘉澤 股價上漲，顯示市場對公司前景持正面態度。,2025-06-08 00:06:45,1
2024-10-17,-0.5,電子股普遍走弱，嘉澤與同業同步下跌，顯示市場情緒偏向保守。,2025-06-08 00:06:46,1
2024-10-21,0.6,市場情緒偏正面，主要受惠於分析師對嘉澤獲利預估上修，以及高價股全面上攻。,2025-06-08 00:06:47,2
2024-10-23,-0.6,電子股普遍走弱，嘉澤跌幅超過其他同業，顯示市場對該公司信心不足。,2025-06-08 00:06:48,1
2024-10-29,-0.3,電子權值股普遍走弱，嘉澤等高價股也下跌，顯示市場情緒偏向保守。,2025-06-08 00:06:50,1
2024-11-08,0.8,營收持續成長且年增率高，顯示公司表現亮眼，預期將帶動市場正面情緒。,2025-06-08 00:06:51,1
2024-11-11,0.2,獲利與營收預估雙雙下修，引發市場對公司未來表現的擔憂。,2025-06-08 00:06:53,1
2024-11-13,-0.5,嘉澤股價下跌，顯示市場對其表現較為保守。,2025-06-08 00:06:53,1
2024-12-02,0.8,多家分析師調升目標價，顯示市場對公司前景樂觀，股價有望持續上漲。,2025-06-08 00:06:56,2
2024-12-09,0.2,廠辦與產能擴張相關的資本支出消息，對市場情緒帶來中性影響。,2025-06-08 00:06:57,1
2024-12-11,0.6,高價股表現強勁，嘉澤與旭隼逆勢上漲，顯示市場對部分個股仍有正面看法。,2025-06-08 00:06:59,1
2024-12-13,0.1,嘉澤股價上漲表態，顯示市場對其營運前景持正面看法。,2025-06-08 00:07:00,1
2024-12-23,0.6,電子指標股普遍上漲，嘉澤等個股也同步走揚，顯示市場情緒偏正面。,2025-06-08 00:07:01,1
2025-01-06,-0.2,大盤上漲，台積電等指標股強勢，但嘉澤表現相對弱勢。,2025-06-08 00:07:03,1
2025-01-09,-0.4,電子權值股表現平淡，航運類股下挫，嘉澤股價承壓。,2025-06-08 00:07:04,1
2025-01-13,-0.7,嘉澤受輝達下修今年 CoWoS 需求量及 AWS 供應鏈釋出新規格 800G 產品良率不如預期影響，相關業者股價全面重挫。,2025-06-08 00:07:06,2
2025-02-07,0.7,電子權值股與高價股齊揚，嘉澤等個股表現強勁，帶動市場情緒正面。,2025-06-08 00:07:09,1
2025-02-09,0.2,MSCI 季度調整入選個股有表現空間，但美中貿易戰不確定性仍影響市場情緒。,2025-06-08 00:07:10,1
2025-02-12,0.3,MSCI 台灣指數成份股新增嘉澤，顯示市場對該公司有正面看法。,2025-06-08 00:07:11,1
2025-02-17,0.8,獲利與營收預估雙創新高，顯示公司財務狀況良好，預期帶動市場情緒正面。,2025-06-08 00:07:13,1
2025-03-04,0.1,嘉澤等電子指標股上漲，但台積電下跌影響整體市場表現。,2025-06-08 00:07:15,1
2025-03-07,0.1,營收年增率高達55%，顯示公司表現優於同業，但月減幅過大，市場對其短期獲利能力仍有疑慮。,2025-06-08 00:07:16,1
2025-03-11,0.8,分析師對嘉澤獲利預估持續上修，顯示市場對公司營運前景樂觀。,2025-06-08 00:07:17,1
