date,factor,explanation,updated_time,news_count
2023-03-21,0.6,電子權值股普遍上漲，儲能概念股表現亮眼，顯示市場情緒偏正面，但個別股票漲跌差異大。,2025-06-07 23:52:43,1
2023-05-04,0.85,外資報告全面上調散熱廠目標價與評等，顯示對奇鋐營運前景樂觀。,2025-06-07 23:52:47,1
2023-05-06,0.9,美系外資看好奇鋐伺服器業務成長潛力，調升目標價至 200 元，加碼買進，激勵市場情緒正面。,2025-06-07 23:52:48,1
2023-05-09,0.6,電子權值股普遍走揚，帶動市場情緒正面，但儲能概念股與國防航太族群疲弱，整體而言電子類股表現較為強勁。,2025-06-07 23:52:50,1
2023-05-15,0.2,台股整體表現疲弱，奇鋐雖然營收創高，但在多數產業谷底下，市場情緒偏中性。,2025-06-07 23:52:51,1
2023-05-26,0.6,輝達概念股強勢，帶動市場情緒正面，但整體台股表現仍需觀察。,2025-06-07 23:52:53,1
2023-05-31,-0.2,電子權值股與 AI 概念股表現疲弱，但記憶體模組廠逆勢上漲，整體市場情緒偏向保守。,2025-06-07 23:52:55,1
2023-06-02,-0.5,台灣 50 指數成分股調整，奇鋐 被刪除，引發市場對其未來營運前景的擔憂。,2025-06-07 23:52:56,1
2023-06-18,0.6,奇鋐被列入 AI 伺服器散熱概念股，引發市場對相關產業的關注與期待。,2025-06-07 23:52:58,1
2023-06-30,0.9,AI 概念股強勢上攻，奇鋐 攻上漲停，顯示市場對該公司前景樂觀。,2025-06-07 23:53:00,1
2023-07-24,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:53:02,1
2023-12-31,0.3,奇鋐是輝達 (NVIDIA-US) 主要散熱供應商 Cooler master 供應鏈的一員，氣冷新產品 3D VC 散熱模組在今年下半年開始小量出貨，雖然目前營收佔比仍低，但產品單價明顯優於傳統 VC 模組，有助未來營收成長。,2025-06-07 23:53:15,1
2024-01-01,0.6,外資和投信積極買超奇鋐，顯示對該公司有正向看待，但整體台股行情仍受國際熱錢流入、新台幣走升、CES 展等因素影響。,2025-06-07 23:53:16,1
2024-01-04,-0.2,電子股表現分歧，奇鋐跌幅與同業相當，顯示營運狀況未受市場青睞。,2025-06-07 23:53:17,1
2024-01-08,0.8,奇鋐營收創新高，顯示公司業績表現亮眼，預期將帶動市場正面情緒。,2025-06-07 23:53:18,1
2024-01-09,0.3,AI 股強勢表現帶動奇鋐 等相關個股上漲，但貨櫃三雄重挫影響整體市場情緒。,2025-06-07 23:53:19,1
2024-01-10,0.6,外資買超奇鋐，顯示對該公司股票市場情緒正面。,2025-06-07 23:53:20,1
2024-01-22,0.8,AI 概念股全面上漲，奇鋐 受惠於市場熱度，預期帶動正面市場情緒。,2025-06-07 23:53:22,1
2024-01-25,0.6,AI 概念股普遍上漲，奇鋐 受惠市場聚焦 AI 概念股而有所表現。,2025-06-07 23:53:23,1
2024-01-26,-0.3,AI 類股下跌，奇鋐 跌幅較小，顯示市場對其影響有限。,2025-06-07 23:53:24,1
2024-01-30,0.9,奇鋐股價攻上漲停，營收創新高，獲外資青睞，顯示市場對公司表現正面看待。,2025-06-07 23:53:26,2
2024-02-01,0.3,電子權值股走勢分歧，AI 指標股下跌，但散熱族群領軍上攻，奇鋐強漲逾 7%，顯示市場對相關產業仍有信心。,2025-06-07 23:53:27,1
2024-02-03,0.9,散熱族群股價大漲，顯示市場對伺服器需求前景樂觀，帶動奇鋐等個股表現。,2025-06-07 23:53:28,1
2024-02-04,0.6,外資連續買超奇鋐，本周買超金額超過 50 億元，顯示市場對該公司持正面態度。然而，永豐投顧提醒，2 月台股營收、財報表現可能普通，影響整體市場情緒。,2025-06-07 23:53:29,1
2024-02-09,0.8,奇鋐受惠於輝達新顯卡系列出貨帶動，營運表現穩健，市場情緒正面。,2025-06-07 23:53:31,1
2024-02-15,0.9,奇鋐營收創高，顯示公司業績強勁，預期將帶動市場正面情緒。,2025-06-07 23:53:32,1
2024-02-16,0.8,營收與獲利持續成長，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:53:33,2
2024-02-25,0.3,外資連買 2 周，本周續買 292 億元，其中買超奇鋐達 15 億元。投信同樣逢高賣 AI 相關族群，但也同步搶進中高價股，買超奇鋐逾 11 億元。,2025-06-07 23:53:35,1
2024-03-01,0.6,電子權值股表現分歧，AI 股同步走高，散熱族群強勢，傳產中重電族群拉回休息。整體而言，市場情緒偏正面，但個別股票漲跌互見，可能導致股價波動較大。,2025-06-07 23:53:37,1
2024-03-04,0.5,電子指標股普遍走揚，奇鋐漲幅達 4%，顯示市場對相關個股情緒偏正面。,2025-06-07 23:53:38,1
2024-03-11,0.6,輝達 GTC 技術大會將登場，市場預期將發布新產品，有利散熱族群表現，奇鋐 股價上漲。,2025-06-07 23:53:40,1
2024-03-15,0.5,奇鋐及 IC 通路雙雄文曄、大聯大均漲 7%，顯示市場對相關個股有正面看法。,2025-06-07 23:53:41,1
2024-03-24,0.1,投信買超奇鋐逾 9 億元，顯示對該公司持正面態度。,2025-06-07 23:53:43,1
2024-03-26,-0.7,電子股普遍疲弱，尤其是 AI 指標股表現不佳，加上 PCB、IC 設計 等族群全面下跌，奇鋐 股價亦大跌 7%，顯示市場對相關產業前景持保守態度。,2025-06-07 23:53:44,1
2024-04-08,0.6,AI 概念股普遍走強，奇鋐 受惠於相關題材而上漲，顯示市場對公司前景持正面看法。,2025-06-07 23:53:46,1
2024-04-21,0.2,奇鋐受惠散熱需求，但近期動能下降，市場情緒中性。,2025-06-07 23:53:48,1
2024-04-24,0.9,電子權值全面走強，AI 概念股同步回神，奇鋐 直奔漲停，顯示市場對該公司營運前景樂觀。,2025-06-07 23:53:49,1
2024-05-06,0.8,奇鋐受惠 AI 伺服器散熱需求強勁、3D VC 出貨量提升，以及水冷產品需求增加，營收表現亮眼，市場情緒正面。,2025-06-07 23:53:51,1
2024-05-15,0.6,MSCI 調整結果對奇鋐有正面影響，但幅度有限。,2025-06-07 23:53:53,1
2024-05-18,0.8,鴻海法說會上調第二季展望，AI伺服器需求強勁，帶動市場情緒正面。,2025-06-07 23:53:54,1
