date,factor,explanation,updated_time,news_count
2022-11-01,0.2,電子股漲跌互見，廣達在外資賣超下表現相對弱勢，但整體市場情緒仍偏正面。,2025-06-07 20:36:27,2
2022-11-08,0.8,廣達等半導體族群漲勢強勁，顯示市場對相關公司營運前景樂觀。,2025-06-07 20:36:29,1
2022-11-10,-0.3,台股震盪整理，廣達等權值股走弱，但生技族群強勢，顯示市場情緒偏向中性。,2025-06-07 20:36:30,1
2022-11-11,0.3,營收與獲利雙創高點，顯示公司營運狀況良好，但展望未來筆電出貨仍將下滑，可能影響市場情緒。,2025-06-07 20:36:31,3
2022-11-14,0.2,廣達相關新聞內容多為市場分析與操作建議，對公司營運狀況或財務數字的具體影響有限。整體而言，市場情緒偏中性，無明顯漲跌傾向。,2025-06-07 20:36:32,1
2022-11-23,0.6,廣達積極分散生產基地，顯示對中國市場風險管理意識提升，有利長期營運穩定。,2025-06-07 20:36:34,1
2022-11-25,0.1,電子權值股欲振乏力，廣達股價走勢偏弱，但整體市場漲跌互見，影響有限。,2025-06-07 20:36:35,1
2022-11-29,0.2,電子股普遍回穩，廣達獲得資金點火，但整體市場仍偏震盪。,2025-06-07 20:36:36,1
2022-12-02,-0.3,電子權值股普遍走跌，廣達收黑，市場情緒偏向保守。,2025-06-07 20:36:37,1
2022-12-07,0.3,"雲達總經理表示明年成長目標維持雙位數，但幅度可能低於今年。擴產步調不停歇，泰國主機板產能占比將拉升至50%。

台股近一個月大漲超過1600點，加上全球經濟環境具挑戰，資金獲利了結賣壓沉重，大盤在昨日一舉摜破五日線、十日線，今日恐進一步修正，面臨月線保衛戰。",2025-06-07 20:36:39,2
2022-12-15,0.1,外資買超，投信賣超，但整體影響有限。,2025-06-07 20:36:41,1
2022-12-27,0.6,電子權值股普遍上揚，廣達維持 1% 漲幅，受惠中國解封帶動市場情緒正面。,2025-06-07 20:36:43,1
2023-01-05,-0.7,Meta 下修訂單需求將衝擊相關供應鏈營收與獲利，引發市場負面情緒。,2025-06-07 20:36:44,1
2023-01-08,0.2,多家大廠尾牙登場，營收表現與展望可望引發市場關注。,2025-06-07 20:36:45,1
2023-01-10,0.8,公司高層釋出正面展望，鼓勵員工開放思維，預計帶動市場信心。,2025-06-07 20:36:46,2
2023-01-31,0.2,電子權值股普遍拉回，但鴻海傳出代工訂單利多，帶動部分相關個股上揚。整體而言，市場情緒偏中性。,2025-06-07 20:36:49,1
2023-02-03,0.3,電子股漲跌互見，廣達震盪走低，但台股終場翻紅小漲，顯示市場整體情緒仍屬正面。,2025-06-07 20:36:50,1
2023-02-07,0.3,電子類股普遍走揚，廣達等個股也有 1-2% 漲幅，但整體市場量能不足，指數在年線附近震盪。,2025-06-07 20:36:52,1
2023-02-12,0.1,市場對美國升息緩和的樂觀預期減弱，但投信持續買超中高價電子股，顯示法人仍偏多操作。,2025-06-07 20:36:53,1
2023-03-08,0.1,廣達權值股表現疲軟，但 AI 軟體概念股逆勢收紅，顯示市場對相關產業仍有期待。,2025-06-07 20:36:56,1
2023-03-15,0.2,廣達去年財報優於預期，獲利創次高，但伺服器業務展望保守，雲端成長放緩，整體營運表現平穩。,2025-06-07 20:36:58,2
2023-03-20,-0.2,電子權值股表現平淡，市場資金流向其他族群。,2025-06-07 20:36:59,1
2023-03-21,0.6,電子權值股普遍上漲，廣達表現不俗，但整體市場情緒偏中性。,2025-06-07 20:37:00,1
2023-03-30,0.7,廣達在台股中表現強勁，上漲超過 1%，記憶體族群與網通族群皆有不錯的漲幅，顯示市場對相關產業前景持正面看法。,2025-06-07 20:37:01,1
2023-04-10,0.2,廣達營收與出貨量雙成長，但市場情緒仍偏保守，主要因為第一季營收衰退且雲端設備業務成長幅度下滑。,2025-06-07 20:37:03,1
2023-04-17,0.2,廣達宣布投資設廠，市場傳出有望成為蘋果在泰國生產 MacBook 的合作夥伴，但營收與獲利表現雙減，雲端設備業務成長幅度也將下滑。整體而言，雖有利多消息但營運狀況不佳，市場情緒偏中性。,2025-06-07 20:37:05,2
2023-04-19,0.9,NB 市況回溫，第二季出貨量成長，帶動電子代工廠股價上漲，顯示市場對 廣達 的前景樂觀。,2025-06-07 20:37:06,1
2023-04-20,0.1,市場行情波動較大，但整體而言無重大利多或利空消息影響廣達。,2025-06-07 20:37:07,1
2023-04-21,0.2,電子權值股漲跌互見，廣達在大盤中表現平穩。,2025-06-07 20:37:08,1
2023-04-23,0.1,外資上周買超廣達 2.2 萬張，顯示對公司仍有正面看法。,2025-06-07 20:37:09,1
2023-04-24,0.3,廣達將在越南設廠，顯示其積極多元化產能以因應地緣政治風險。然而第一季營收與出貨量雙減，市場對於雲端設備業務成長幅度也較往年下滑至個位數持保守態度。,2025-06-07 20:37:11,2
2023-05-02,0.8,三大法人同步站在買方，外資看好伺服器代工廠，顯示市場情緒正面。,2025-06-07 20:37:12,1
2023-05-06,0.9,董事長林百里強調廣達在筆電、雲端、AI伺服器三大領域穩坐龍頭寶座，展望未來持續成長。,2025-06-07 20:37:13,1
2023-05-09,0.3,營收表現符合預期，但市場對第二季的展望仍偏保守。,2025-06-07 20:37:14,2
2023-05-11,0.2,獲利雖然雙減，但毛利率表現優於前季及去年同期，營運狀況尚可。,2025-06-07 20:37:15,1
2023-05-13,0.85,廣達業務展望樂觀，股價上漲至百元俱樂部，顯示市場對公司前景看好。,2025-06-07 20:44:29,1
2023-05-18,0.5,電子權值股普遍走揚，廣達也有 1-2% 漲幅，顯示市場情緒偏正面。,2025-06-07 20:44:31,1
2023-05-19,0.9,廣達營運展望樂觀，股價強勢上攻，超車鴻海成為代工股王，顯示市場對公司前景看好。,2025-06-07 20:44:32,2
