date,factor,explanation,updated_time,news_count
2022-11-03,0.8,第四季新品推出，有利 ASP 提高，營運將優於第三季。技嘉積極投入浸沒式液冷技術研發，伺服器解決方案可望提供完整方案。,2025-06-08 00:53:28,2
2022-11-14,0.3,電子股表現分歧，技嘉等個股下跌，但傳產與航運股支撐市場。,2025-06-08 00:53:30,1
2022-11-16,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 00:53:31,1
2022-11-19,0.8,營運逐步回溫，庫存去化告一段落，加上新品銷售優於預期，市場情緒偏正面。,2025-06-08 00:53:32,1
2022-12-07,0.3,英特爾執行長訪台並拜訪多家台灣科技公司，可能帶來正面消息，但整體市場環境不佳，對技嘉股價影響有限。,2025-06-08 00:53:34,1
2022-12-14,0.8,板卡業者受惠新品上市帶動 ASP、營運逐步回溫，多檔個股攻上漲停，技嘉也漲近 5%，顯示市場情緒正面。,2025-06-08 00:53:36,1
2022-12-15,0.7,電子股漲跌互見，但板卡族群強勢，技嘉盤中亮燈漲停，收盤漲幅也有 6.5%，顯示市場對該公司表現正面看待。,2025-06-08 00:53:37,1
2022-12-16,-0.6,電子股普遍走弱，技嘉漲多拉回也跌 6%，顯示市場對該公司短期營運前景持保守態度。,2025-06-08 00:53:38,1
2022-12-23,0.3,市場情緒偏中性，雖然公司對明年展望樂觀，但整體大盤走弱，個股表現分歧。,2025-06-08 00:53:40,2
2022-12-29,0.2,顯卡業者營運展望審慎，第四季可望優於第三季，但市場情緒偏向平穩，無明顯漲跌傾向。,2025-06-08 00:53:42,2
2022-12-30,0.1,技嘉股價走弱，顯示市場情緒偏向保守，但整體影響力道有限。,2025-06-08 00:53:43,1
2023-01-03,0.8,顯卡族群強勢表現，新品發表等利多帶動市場情緒正面。技嘉漲幅超過 2%，顯示公司股價受惠於整體產業趨勢。,2025-06-08 00:53:44,3
2023-01-04,0.1,電子權值股普遍下跌，僅部分個股逆勢抗跌，但整體市場表現平穩。,2025-06-08 00:53:46,1
2023-02-07,0.3,電子類股普遍走揚，技嘉等個股也有所上漲，但整體市場量能不足，顯示買盤力道薄弱。,2025-06-08 00:53:49,1
2023-02-09,0.2,電子權值股表現平淡，技嘉下跌，但工業電腦及軍工概念股強勢上揚。,2025-06-08 00:53:51,2
2023-02-15,0.8,MWC 展出與伺服器應用布局逐步發酵，顯示公司積極搶攻新一代伺服器、Open RAN 市場商機，預期帶動市場情緒正面。,2025-06-08 00:53:52,1
2023-03-09,0.8,營收成長顯示公司表現優於同業，預期將帶動市場正面情緒。,2025-06-08 00:53:55,1
2023-03-10,0.3,部分電子股逆勢上揚，顯示市場情緒偏向正面，但整體大盤走弱，影響程度有限。,2025-06-08 00:53:56,1
