date,factor,explanation,updated_time,news_count
2022-11-04,0.3,電子權值股跌勢收斂，日月光投控獲得資金青睞。,2025-06-07 22:35:48,1
2022-11-09,0.8,整體而言，日月光投控的營收持續成長、稼動率維持高檔，以及對明年展望樂觀，預期將帶動市場情緒正面。,2025-06-07 22:35:50,1
2022-11-11,0.8,台積電領軍大漲帶動電子權值股強攻，日月光投控等多檔個股同步走高，顯示市場情緒偏正面。,2025-06-07 22:35:51,1
2022-11-15,0.1,"日月光強調永續發展與環安衛法遵工作,並推出 ESGoal 法遵系統,整體呈正面訊息。",2025-06-07 22:35:53,2
2022-11-17,0.8,產業創新條例修正草案將在行政院討論，日月光營運長吳田玉表態支持並認為有利於維護台灣半導體生態系統的前瞻研發能量及長期競爭優勢。,2025-06-07 22:35:54,1
2022-11-24,0.1,台股反彈走勢延續，日月光 ADR 上漲，但外資持續回補力道不強。,2025-06-07 22:35:55,1
2022-11-25,-0.3,日月光投控走勢疲弱，顯示市場對其表現不太樂觀。,2025-06-07 22:35:56,1
2022-12-01,0.8,日月光投控在資金積極卡位下飆漲近半根，站穩所有均線並重返百元俱樂部，顯示市場對公司前景持正面看法。,2025-06-07 22:35:58,1
2022-12-04,0.6,外資連買 4 周且買超金額較大的個股表現良好，顯示市場對這些公司的基本面有信心。,2025-06-07 22:35:59,1
2022-12-06,0.1,日月光獲獎肯定環保表現，但整體大盤走勢疲弱，權值股普遍下挫，影響日月光的市場情緒。,2025-06-07 22:36:00,2
2022-12-07,-0.3,台股整體走跌，日月光等電子類股表現疲軟，但部分個股如健喬、泰福 - KY 等逆勢上揚。市場觀望 FOMC 會議結果，引發保守情緒。,2025-06-07 22:36:02,1
2022-12-08,-0.3,市場觀望氣氛濃厚，權值股普遍走跌，但部分中小型股如再生能源與觀光類股表現強勁。整體而言，日月光投控在大盤疲弱下仍維持平穩，顯示公司基本面支撐力道尚可。,2025-06-07 22:36:03,1
2022-12-09,0.6,日月光投控營收雖然年減，但仍維持正成長，且看好明年全年營收持平今年，並預期在景氣下滑時市占率將擴張，有助穩固產業領導地位。整體而言，公司展望樂觀，對市場情緒帶來正面影響。,2025-06-07 22:36:05,3
2022-12-12,-0.7,台股大跌，日月光投控等電子權值股全面倒地，顯示市場情緒偏向負面。,2025-06-07 22:36:06,2
2022-12-21,0.5,台股反彈，日月光股價上漲，顯示市場情緒正面。,2025-06-07 22:36:08,1
2022-12-29,0.1,台股下跌，但日月光收紅，顯示個別公司表現相對強勁。,2025-06-07 22:36:09,2
2023-01-03,0.5,半導體雙雄拉抬，日月光助大盤上攻，顯示市場對相關產業有正面期待。,2025-06-07 22:36:11,1
2023-01-04,0.1,電子權值股普遍走弱，但部分高價指標股及中小型電力與內需消費題材股逆勢抗跌，整體市場情緒偏向保守。,2025-06-07 22:36:12,2
2023-01-10,0.8,營收創新高，外資看好定價能力與成長前景，市場情緒正面。,2025-06-07 22:36:14,2
2023-01-12,0.1,美股全面收漲，日月光ADR上漲，但台積電法說前偏向保守，市場觀望氣氛濃厚。,2025-06-07 22:36:15,1
2023-01-13,0.3,美科技股財報預期偏弱，加上本次農曆春節假期較長，市場情緒略顯保守。,2025-06-07 22:36:16,1
2023-01-18,0.6,日月光營收成長，且封測股整體看俏，預期帶動市場情緒正面。,2025-06-07 22:36:17,1
2023-01-31,-0.3,大盤走勢疲弱，權值股普遍下跌，但部分個股如銅價、併購等題材仍有表現，整體市場情緒偏向保守。,2025-06-07 22:36:19,1
2023-02-01,0.6,日月光投控受惠於台股強勁表現及權值股普遍走揚，股價上漲。,2025-06-07 22:36:20,1
2023-02-02,0.5,電子、半導體股表現強勢，日月光收盤價平盤之上，顯示市場對該公司持中性偏正面看法。,2025-06-07 22:36:21,1
2023-02-03,0.3,台積電熄火但日月光逆勢上漲，顯示市場對電子產業的看法分歧。,2025-06-07 22:36:22,1
2023-02-07,0.3,電子權值股走弱，但日月光投控抗震，IC 設計及矽智財指標股有所表態，傳產台塑四寶攜手上攻。,2025-06-07 22:36:24,1
