date,factor,explanation,updated_time,news_count
2022-11-07,0.9,ASIC 及 IP 概念股全面走強，受惠於美中晶片禁令影響有限，以及超微新品採用台積電先進製程，帶動市場情緒正面。,2025-06-07 22:28:57,1
2022-11-17,0.6,台版晶片法案通過、明年新款 iPhone 導入 USB-C 等利多消息激勵相關概念股表現，但市場量能不足以支撐強勁上攻力道，中小型個股持續整理。,2025-06-07 22:28:59,1
2022-11-22,0.2,ASIC-Go 解決方案看好，市場情緒偏正面。,2025-06-07 22:29:01,2
2022-12-07,0.9,營收創新高、展望樂觀，預期帶動市場正面情緒。,2025-06-07 22:29:03,1
2023-01-11,0.5,權值股走勢分歧，台積電、鴻海雙雙下挫，但 ASIC 與 IP 個股如智原等表現強勁，顯示市場對相關產業仍有信心。,2025-06-07 22:29:07,1
2023-01-31,0.6,智原宣布跨地域製造支援服務，顯示公司積極因應供應鏈挑戰，提升營運彈性。,2025-06-07 22:29:10,1
2023-02-03,0.6,三大法人連續買超，顯示市場對台股仍有信心。智原為今日量大上漲股之一，表現亮眼。,2025-06-07 22:29:12,1
2023-02-07,0.8,營收創高且看好今年成長動能，顯示公司業績表現亮眼，預期帶動市場正面情緒。,2025-06-07 22:29:13,1
2023-02-16,0.6,電子族群普遍上漲，設計 IP 相關業者如智原、M31 和創意均漲超過 3%，顯示市場對相關產業前景樂觀。,2025-06-07 22:29:15,1
2023-02-19,0.1,本周台股有多場重要法說將登場，包括智原等。,2025-06-07 22:29:16,1
2023-02-21,0.3,營收與獲利雙創高點，顯示公司營運狀況良好，但股價波動受大盤影響。,2025-06-07 22:29:18,2
2023-02-22,0.1,電子股普遍下挫，智原等矽智財族群賣壓沉重，但觀光類股強勁反彈。整體而言市場情緒偏向保守，短期缺乏明顯利多刺激。,2025-06-07 22:29:19,1
2023-02-28,0.1,外資雖然賣超智原，但金額不大，且內資呈現連 4 周買超，顯示整體市場情緒中性。,2025-06-07 22:29:21,1
2023-04-23,0.1,市場氛圍偏空，不排除傳統「五窮」將提前到來，但法人仍布局部分個股，顯示中性看待。,2025-06-07 22:29:27,1
2023-04-24,0.1,智原法說會將公布最新的營運狀況，市場對其財報與展望高度關注。,2025-06-07 22:29:28,1
2023-04-25,-0.3,第一季財報不佳、第二季營收預估衰退，但矽智財與委託設計收入持續成長，市場情緒偏向保守。,2025-06-07 22:29:29,3
2023-04-26,0.3,庫存調整影響營收，但明年恢復成長動能，外資維持優於大盤評等。,2025-06-07 22:29:30,1
2023-04-29,-0.8,智原下修全年展望、季度與年度營收預測皆低於市場預期，引發市場負面情緒，但長期成長趨勢不變，維持優於大盤評等。,2025-06-07 22:29:31,1
2023-05-23,0.8,此次海外引資活動邀請多家知名 IC 設計公司參與，顯示台灣在半導體產業的競爭力，吸引日本機構法人關注。元富證券看好台股高殖利率優勢，有助提升日系資金投資意願。,2025-06-07 22:29:35,1
2023-06-14,0.1,除息事件對個別股票造成短期賣壓，但整體影響有限，市場情緒中性偏淡。,2025-06-07 22:29:38,1
2023-06-17,0.8,智原在產業地位穩固，未來成長動能強勁，市場情緒正面。,2025-06-07 22:29:39,1
2023-06-28,0.3,下半年行情展望樂觀，電子股營收可期，但缺乏明確的正面消息。,2025-06-07 22:29:41,1
2023-06-29,0.6,市場資金充沛，電子股有實質營收支撐，且本益比低，有利下半年行情。,2025-06-07 22:29:42,1
