date,factor,explanation,updated_time,news_count
2022-11-04,0.5,營收與獲利雙創高點，顯示公司營運狀況良好，但展望第四季保守，市場情緒偏中性。,2025-06-07 21:35:56,2
2022-11-08,0.1,營收創高且旗下子公司表現亮眼，整體呈現正面，但筆電出貨仍衰退，市場情緒偏中性。,2025-06-07 21:35:57,1
2022-11-22,-0.6,戴爾財報優於預期，但對第四季營運保守看待，影響台廠代工廠如緯創等的出貨表現。緯創認為第四季筆電出貨仍將季減個位數，顯示市場需求疲弱。,2025-06-07 21:36:00,1
2022-11-30,0.3,塔塔集團收購緯創印度廠的消息引發市場關注，但具體細節仍未明朗，短期內可能對股價產生波動。,2025-06-07 21:36:01,1
2022-12-16,0.1,電子股普遍走弱，但緯創在代工廠中表現相對抗跌。,2025-06-07 21:36:04,1
2022-12-18,0.1,外資買超緯創，顯示對公司有信心，但整體台股走勢疲弱，影響有限。,2025-06-07 21:36:05,1
2022-12-22,0.2,人事異動可能帶來短期不確定性，但整體調整有助於公司組織與營運效率。,2025-06-07 21:36:06,1
2023-01-04,0.1,電子權值股普遍下跌，緯創逆勢抗跌，顯示市場對其表現仍有期待。,2025-06-07 21:36:08,1
2023-01-09,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但考量經濟環境不確定性，市場情緒偏中性。,2025-06-07 21:36:09,1
2023-01-11,0.6,外資持續加碼二線晶圓廠與面板雙虎，顯示對市場後市仍有信心。,2025-06-07 21:36:10,1
2023-01-14,0.8,"營收與獲利雙創新高，預期帶動市場情緒正面，但首季筆電、顯示器衰退可能引發短期波動。

====================

以下是提供的新聞資訊 :
電子大廠緯創 (3231-TW) 去年營收衝上 9843.98 億元、年增 14.31%，直逼兆元大關，改寫全年新猷，也激勵股價同步走升，在買盤進駐下，本周股價周漲 3.07%，重返 30 元大關，最高來到 30.3 元，並站回所有均線之上。


緯創去年 12 月營收達 964.29 億元，月增 8.8%、年增 0.4%，為去年單月次高，第四季營收達 2636.33 億元，季增 5.4%、年增 0.4%，累計去年全年營收達 9843.98 億元、年增 14.31%，單季、全年均改寫新高。


展望本季，緯創認為，受傳統季節性因素、農曆春節工作天數減少影響，首季筆電、顯示器都將衰退 1 成以上，桌機則估與去年第四季相當，不過後續各產品線出貨都可望逐季成長，全年來看，伺服器將保持成長，桌機持平向上，筆電出貨則恐稍微衰退，顯示器則會反映去年高基期。


另一方面，緯創也將睽違三年，在下周二 (17 日) 召開實體尾牙活動。




緯創日 K 圖",2025-06-07 21:36:16,1
2023-01-15,0.2,緯創營收逆勢創高，顯示公司營運狀況良好，但虎年封關日成交量恐再縮，市場情緒偏中性。,2025-06-07 21:36:17,1
2023-01-17,0.5,"獲利創新高、展望正面，預期帶動市場情緒偏多。

緯創財報亮眼，獲利雙創新高，營運狀況良好，加上總經理暨執行長林建勳對今年非個人電腦應用成長樂觀，認為可望保持雙位數成長趨勢，整體展望正面，有助於提振市場信心。",2025-06-07 21:36:19,4
2023-02-03,0.2,市場整體呈現平穩，雖有外資買超緯創，但僅屬於個股表現，對大盤影響有限。,2025-06-07 21:36:22,1
2023-02-04,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 21:36:22,1
2023-02-07,0.8,營收創高、發展藍圖與人才策略等正面訊息，預期將帶動市場情緒偏多。,2025-06-07 21:36:24,1
2023-02-16,0.8,獲選全球百大創新機構，再度肯定公司在研發與創新的投入，預期將帶動市場正面情緒。,2025-06-07 21:36:25,1
2023-02-24,-0.2,市場波動加劇，外資賣超電子權值股但也買進緯創等個股，顯示對部分科技股仍有信心，但整體情緒偏向保守。,2025-06-07 21:36:27,1
2023-03-07,0.6,緯謙科技與 Databricks 建立夥伴關係，將提供完整的雲端技術與垂直產業解決方案，預期帶動市場對於緯創集團旗下子公司的正面情緒。,2025-06-07 21:36:29,1
2023-03-08,0.2,外資買超緯創，顯示對公司持正面態度。,2025-06-07 21:36:30,1
2023-03-10,0.8,緯創醫學營收持續成長，展望未來並規劃上市，顯示公司發展前景看好，預期帶動市場正面情緒。,2025-06-07 21:36:31,1
2023-03-12,0.1,市場觀望聯準會動態，且大盤跌破月線支撐，個股財報利多難以維繫多頭火種。,2025-06-07 21:36:32,1
2023-03-14,0.2,法說會釋出保守展望，但強調高毛利產品持續成長，預期帶動市場情緒中性。,2025-06-07 21:36:33,3
2023-03-15,0.6,美股四大指數收紅，台積電 ADR 和聯電 ADR 同步上漲，加上緯創 董事長看好 AI 伺服器和車用電子前景，帶動市場情緒偏正面。,2025-06-07 21:36:35,2
2023-03-18,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 21:36:36,1
2023-03-20,0.8,公司舉行總部新建工程開工典禮，顯示對未來發展的信心，且總經理看好產業逐季成長，財務狀況穩健。,2025-06-07 21:36:37,2
2023-03-21,0.9,緯穎營運展望樂觀、擴產計畫積極且獲利亮眼，預期將帶動市場情緒正面。,2025-06-07 21:36:38,1
2023-03-23,0.3,電子股普遍上漲，但緯創表現偏弱，顯示市場對其信心略有不足。,2025-06-07 21:36:39,1
2023-03-24,0.9,緯穎營收、獲利雙創高，展望樂觀，產能擴張計畫不變，AI 應用商機持續成長。,2025-06-07 21:36:40,1
2023-03-25,0.9,"緯創營運展望樂觀、外資連續買超、股價創下近十年新高，顯示市場對公司前景看好。

1
緯創營運展望樂觀、外資連續買超、股價創下近十年新高，顯示市場對公司前景看好。",2025-06-07 21:36:42,1
2023-03-26,0.3,投信持續作帳，外資也轉為買超緯創，但市場仍觀望清明連假與德銀事件的影響。,2025-06-07 21:36:43,1
2023-03-27,0.5,電子權值股普遍走弱，緯創逆勢上漲 3%，表現相對強勁。,2025-06-07 21:36:44,1
2023-03-29,0.6,外資買超緯創 1.2 萬張，顯示對公司股票有正面看法，但清明連假後市場觀望氣氛濃厚，影響程度有限。,2025-06-07 21:36:45,1
2023-03-30,0.3,外資買超緯創，投信也買超緯創，但整體市場表現平平。,2025-06-07 21:36:46,1
2023-04-07,0.3,整體而言，緯創第一季營收雖然衰退，但預計第二季將有雙位數成長，且全年逐季成長，市場對其後市看法偏正面。,2025-06-07 21:36:48,1
2023-04-16,0.2,外資買超緯創 1.4 萬張，顯示對該公司持正面態度。,2025-06-07 21:36:49,1
2023-04-19,0.9,NB 市況回溫帶動電子代工廠股價上漲，緯創、廣達等多檔個股強勁表現，顯示市場對公司營運前景樂觀。,2025-06-07 21:36:51,1
2023-04-20,0.2,緯創調整產能，停工部分產線，但仍維持集團內工作媒合優先，顯示公司積極因應市場變化，短期對股價影響有限。,2025-06-07 21:36:52,1
2023-04-23,0.2,外資上周買超緯創 5.3 萬張，投信也大舉布局，顯示市場對該公司持中性偏多態度。,2025-06-07 21:36:53,1
2023-04-24,0.6,緯創漲逾4%，子公司緯穎漲3%，在千金股中表現相對強勢。,2025-06-07 21:36:54,1
2023-04-28,0.2,外資買超緯創，顯示對公司持中性看法。,2025-06-07 21:36:55,1
2023-05-02,0.8,外資看好伺服器代工廠，買超緯創等多檔個股，顯示市場對相關產業前景樂觀。,2025-06-07 21:36:56,3
2023-05-05,0.2,華新第一季財報優於預期，營收與獲利雙創高點，但第二季展望保守，市場情緒偏中性。,2025-06-07 21:36:58,1
2023-05-08,0.2,緯創印度業務撤離消息對市場情緒造成一定程度的衝擊，但營收表現仍維持正向，整體而言影響有限。,2025-06-07 21:36:59,3
2023-05-10,-0.3,電子股普遍走弱，外資賣超緯創，投信也小幅賣超，顯示市場對該公司股票存在一定程度的負面情緒。,2025-06-07 21:37:00,2
2023-05-11,0.2,財報與展望符合市場預期，短期內無明顯利多或利空。,2025-06-07 21:37:01,1
2023-05-12,0.6,MSCI 調整中新增緯創，顯示市場對該公司前景持正面看法，但整體大盤走勢疲弱，影響程度有限。,2025-06-07 21:37:02,2
2023-05-18,0.8,緯創在電子權值股中表現強勁，顯示市場對其前景持正面看法。,2025-06-07 21:37:04,2
2023-05-19,0.5,電子代工廠普遍上漲，緯創漲幅居前，顯示市場對相關產業的信心提升，但整體漲幅不如其他類股明顯。,2025-06-07 21:37:05,1
2023-05-22,0.8,新廠投資案顯示公司積極擴張佈局，預期將帶動未來營收成長，激勵市場情緒正面。,2025-06-07 21:37:06,1
2023-05-23,0.5,電子代工的緯創、英業達等同步收漲，顯示市場對相關個股持正面態度。,2025-06-07 21:37:07,1
2023-05-24,0.5,電子指標股中，緯創逆勢大漲逾 3%，技嘉也漲約 2%，顯示在市場下跌時仍有部分個股表現強勁。,2025-06-07 21:37:08,1
2023-05-25,0.9,輝達財報優於預期，帶動相關概念股走強，緯創漲幅最大，顯示市場對公司營運前景樂觀。,2025-06-07 21:37:09,2
2023-05-26,0.8,電子權值股領軍上漲，加上 AI 概念股強勢表現，顯示市場情緒正面。,2025-06-07 21:37:10,2
2023-05-27,0.85,輝達財報與展望優於預期，帶動相關概念股大漲，緯創受惠於 AI 需求強勁，股價寫下 14 年新高。,2025-06-07 21:37:11,1
2023-05-29,0.1,緯穎股東會傳承順利，營運展望樂觀，但市場關注度有限。,2025-06-07 21:37:13,3
2023-06-06,-0.3,產能調整與關廠議題可能對市場情緒造成負面影響，但強調以員工意願為主要考量，應可緩和部分疑慮。,2025-06-07 21:37:14,1
2023-06-07,0.3,緯創董事長提到南科新廠將於第三季量產，以及越南二期擴建預計明年下半年完工，可望帶動市場對公司未來成長的正面期待。,2025-06-07 21:37:15,1
