date,factor,explanation,updated_time,news_count
2022-11-01,0.9,第三季財報亮眼，營收與獲利雙創新高，加上對第四季展望樂觀，預期將帶動市場情緒正面。,2025-06-08 01:27:23,1
2022-11-02,0.9,第三季財報亮眼，前三季獲利超越去年全年，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 01:27:24,2
2022-11-03,0.6,緯穎第三季獲利創高，股價延續攻勢強漲，但整體大盤走弱，傳產表現疲弱。,2025-06-08 01:27:25,2
2022-11-05,0.9,營收與獲利雙創高點，展望樂觀，持續看好雲端資料中心市場需求，並規劃擴產因應，預期帶動市場情緒正面。,2025-06-08 01:27:26,1
2022-11-08,0.6,緯穎營收成長且對第四季需求樂觀，顯示公司營運狀況良好，但筆電出貨下滑可能影響整體表現。,2025-06-08 01:27:27,1
2022-11-09,0.8,高價股普遍走強，緯穎漲幅超過 4%，顯示市場對公司表現持正面看法。,2025-06-08 01:27:28,1
2022-11-16,0.3,電子指標股普遍上漲，緯穎也有 2% 漲幅，但傳產與航運股走弱，整體市場震盪。,2025-06-08 01:27:30,1
2022-11-25,-0.3,高價股普遍走弱，緯穎亦同步修正，顯示市場偏向保守。,2025-06-08 01:27:31,1
2022-12-06,-0.6,高價股普遍走弱，顯示市場情緒偏向保守。,2025-06-08 01:27:33,1
2022-12-12,-0.7,電子權值股全面下跌，加上高價股表現疲軟，引發市場負面情緒。,2025-06-08 01:27:34,1
2022-12-13,-0.3,市場觀望氣氛濃厚，加上權值股與高價股普遍走弱，緯穎也同步下跌，但生技醫療股強勁表現提供一定支撐。,2025-06-08 01:27:35,1
2022-12-21,0.1,緯穎股價上漲，顯示市場對公司表現持中性偏正面看法。,2025-06-08 01:27:36,1
2022-12-28,0.1,緯穎與日商三菱日聯銀行簽署永續連結貸款，顯示公司積極投入 ESG，並持續推動綠色永續發展。然而，台股今日走弱，半導體族群表現疲軟，電子相關高價股也同步下跌，緯穎股價亦受到影響。,2025-06-08 01:27:38,2
2022-12-30,0.3,電子權值股表現穩健，緯穎為高價股之一，市場情緒偏正面。,2025-06-08 01:27:39,1
2023-01-05,0.2,醫材產業營收成長，顯示市場需求穩定，但科技股表現疲弱，整體市場情緒偏中性。,2025-06-08 01:27:41,2
2023-01-09,0.2,營收與獲利雙創高點，顯示公司營運狀況良好，但面對經濟環境變化，緯穎謹慎看待未來成長力道。,2025-06-08 01:27:42,1
2023-01-10,0.3,整體市場氣氛偏正面，但個股表現分歧，緯穎營運狀況良好，獲利創新高，預期帶動市場情緒正面。,2025-06-08 01:27:44,2
2023-01-11,-0.5,電子股普遍走低，尤其是高價指標的緯穎與旭隼下跌超過3%，引發市場對科技產業前景的擔憂。,2025-06-08 01:27:45,1
2023-01-12,0.3,緯穎股價上漲，但整體台股表現平淡，顯示市場對緯穎的反應有限。,2025-06-08 01:27:45,1
2023-01-16,0.6,電子與金融股普遍走揚，緯穎漲超過 1%，顯示市場情緒偏正面。,2025-06-08 01:27:47,1
2023-01-31,-0.2,大盤走勢疲弱，緯穎股價下跌，但仍有個股強勢上攻，顯示市場情緒偏向保守。,2025-06-08 01:27:49,1
2023-02-01,0.6,緯穎表現強勢，顯示市場對其營運前景持正面看法。,2025-06-08 01:27:50,1
2023-02-02,0.8,緯穎股價強勢上漲，顯示市場對公司營運前景樂觀。,2025-06-08 01:27:50,1
2023-02-04,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 01:27:51,1
2023-02-07,-0.2,電子族群走勢疲軟，傳產族群表現優異，但緯穎與高價股同步下跌，顯示市場情緒偏向保守。,2025-06-08 01:27:53,2
2023-02-13,-0.3,電子權值股普遍走弱，高價股與緯穎同步下跌，但生技產業與低軌衛星題材支撐部分個股表現。,2025-06-08 01:27:54,1
2023-02-15,0.5,緯穎參展 MWC 展示新產品，顯示積極搶攻 Open RAN 市場商機，但營收下滑可能引發部分市場疑慮。,2025-06-08 01:27:55,1
2023-02-19,0.2,"整體而言，新聞內容對緯穎的市場情緒影響有限。雖然外銷訂單可能連五黑，但法說會聚焦管理層對未來營運展望，皇將併購案也可望強化競爭力，整體呈現中性偏正面。

1.0
新聞內容對緯穎的市場情緒影響有限。",2025-06-08 01:27:57,1
2023-02-22,0.9,獲利創新高、配發高額股利與調升資安層級，顯示公司財務狀況良好且重視風險控管，預期帶動市場正面情緒。,2025-06-08 01:27:58,1
2023-02-23,0.8,"股利創新高、獲利亮眼且對未來展望正向，帶動市場情緒樂觀。

緯穎法說會釋出正面訊息，包括今年伺服器產業仍可望有低個位數成長、下半年營運優於上半年、看好資料中心產業長期成長等。",2025-06-08 01:28:00,3
2023-02-24,0.8,緯穎參加 MWC 2023 展出邊緣運算伺服器解決方案，顯示公司積極拓展新業務領域，預期將帶動市場正面情緒。,2025-06-08 01:28:01,2
2023-02-25,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，擴大資本支出以因應未來成長需求，預期帶動市場情緒正面。,2025-06-08 01:28:02,1
2023-03-02,0.2,電子權值股表現參差，高價股中僅少數個股抗跌，整體市場偏向保守。,2025-06-08 01:28:04,1
2023-03-06,0.5,緯穎在台股上漲的背景下表現強勁，但缺乏明確的利多消息，市場情緒偏向中性。,2025-06-08 01:28:05,1
2023-03-21,0.8,緯穎營運展望樂觀，擴產計畫積極進行，且每股配息 50 元優於預期，潛在殖利率 5.5%，整體呈現正面。,2025-06-08 01:28:07,2
2023-03-22,0.9,"權值股普遍走強，加上輝達概念股表現亮眼，以及高價千金股如緯穎等領軍帶動，預期將推升市場情緒正面。

電子族群成交比重超過 6 成，顯示市場對科技產業前景仍持樂觀態度。",2025-06-08 01:28:09,2
2023-03-24,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 01:28:10,1
2023-03-25,0.8,緯穎與母公司緯創展望樂觀，AI伺服器需求強勁，激勵市場情緒正面。,2025-06-08 01:28:11,1
2023-03-30,0.8,電子權值股與高價股領漲，加上記憶體族群與網通族群同步走強，顯示市場情緒偏正面。,2025-06-08 01:28:12,2
2023-03-31,-0.3,緯穎股價下跌，顯示市場對其表現較為保守。,2025-06-08 01:28:13,1
2023-04-07,0.6,緯穎 3 月、第一季營收雙創新高，顯示公司表現亮眼，但整體市場仍低迷，上下半年營收比重將落在 4:6。,2025-06-08 01:28:15,1
2023-04-13,0.2,電子股普遍走弱，緯穎也小跌，但航運與傳產族群有所支撐，整體市場情緒偏向保守。,2025-06-08 01:28:16,1
2023-04-18,-0.6,高價股普遍走弱，顯示市場觀望氣氛濃厚，影響投資人信心。,2025-06-08 01:28:17,1
2023-04-20,0.1,個股表現疲軟，但整體市場維持平穩，顯示對緯穎的影響有限。,2025-06-08 01:28:18,1
2023-04-24,0.2,市場情緒偏中性，雖然緯穎漲幅領先，但整體台股表現平平，缺乏明顯的利多或利空因素。,2025-06-08 01:28:19,2
