date,factor,explanation,updated_time,news_count
2023-01-05,0.9,營收創新高、多元化產品組合、高毛利產品拓展等正面訊息，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:27:50,1
2023-02-06,0.6,群光營收與獲利雙創高點，顯示公司營運狀況良好，但第一季受農曆新年假期、景氣衰退疑慮及 NB 市場仍處於庫存修正期影響，全年營收先蹲後跳。,2025-06-07 23:27:54,1
2023-03-16,0.8,藍天中國通路事業受惠解封、人流回溫，以及過去不利影響排除，預計今年狀況好轉，挹注獲利表現。法人看好藍天今年獲利可望翻倍，每股純益上看 3 元。,2025-06-07 23:27:58,1
2023-04-06,0.3,雖然第一季營收表現不佳，但 AI 影像產品出貨高峰落在二、三季，客戶提早預訂產能，後續業績成長可期。法人分析群光今年營收成長主軸為拓展非 PC 產品應用，並著重高附加價值產品，如商用監測系統等高階產品，整體市場情緒偏向正面。,2025-06-07 23:28:02,1
2023-05-09,-0.3,公司下修全年營收展望，且訂單能見度短，庫存消化延後，引發市場對其獲利表現的擔憂。,2025-06-07 23:28:05,1
2023-05-10,0.3,營收與獲利雙創高點，顯示公司營運狀況良好，但增幅不如預期，市場情緒偏向正面但保守。,2025-06-07 23:28:06,1
2023-06-05,0.6,營收回溫且智慧建築專案貢獻顯著，市場情緒偏正面。,2025-06-07 23:28:10,1
2023-06-06,0.9,營收回升、獲利展望樂觀、AI影像產品成長潛力大，預期將帶動市場正面情緒。,2025-06-07 23:28:11,1
2023-06-17,0.2,營收與獲利雙減，顯示公司營運狀況不佳，但展望本季獲利仍將不俗，且 AI 影像產品推升，預估營收將有機會季增雙位數。,2025-06-07 23:28:13,1
2023-07-27,0.3,"外資買超群光, 投信也小幅買超, 顯示市場對該公司持中性偏多態度。",2025-06-07 23:28:16,1
2023-12-06,0.3,PC、NB 需求回溫，營運展望樂觀，但第四季營收仍將季減，市場情緒偏中性。,2025-06-07 23:28:25,1
2023-12-14,0.8,多檔個股上漲，顯示市場情緒偏正面。,2025-06-07 23:28:27,1
2023-12-26,0.4,電子權值股普遍上漲，群光在同類股中表現平穩。,2025-06-07 23:28:29,1
2023-12-30,0.8,藍天股價創逾4年新高，營運展望樂觀，帶動市場情緒正面。,2025-06-07 23:28:30,1
2024-01-03,0.2,電子類股普遍下跌，但群光等少數個股力守紅盤，顯示市場對部分公司仍有信心。,2025-06-07 23:28:31,1
2024-01-04,0.2,"群光預期全年營收成長雙位數，三大事業同步成長，AI PC 帶動規格升級，有利於營收與獲利表現。電子股漲跌互見，群光相對強勢。

===========================================================================",2025-06-07 23:28:32,2
2024-01-09,0.2,群光與其他高價 IC 設計指標同步上漲 1-2%，顯示市場對相關產業的看法偏正面。,2025-06-07 23:28:34,1
2024-02-06,0.9,市場預期 PC 出貨量回升，加上 AI 應用帶動換機需求，法人看好群光今年營收獲利雙位數成長。,2025-06-07 23:28:37,1
2024-03-04,0.5,電子指標股普遍上漲，群光漲約 6%，顯示市場對相關產業有正面期待。,2025-06-07 23:28:40,1
2024-03-06,0.6,2月營收年減3.25%，但前兩個月營收仍維持成長，顯示公司整體營運狀況尚佳。法人預估下半年需求回升，有利於群光後續業績表現。,2025-06-07 23:28:42,1
2024-03-08,0.1,個股漲跌互見，指標股強勢上漲，但群光等少數個股下跌，整體市場情緒偏中性。,2025-06-07 23:28:43,1
2024-03-09,0.9,展望今年營收與獲利雙位數成長，三大事業同步增長，加上高配息預期與列入 ETF 成分股，市場情緒樂觀。,2025-06-07 23:28:44,1
2024-03-17,0.1,外資買超群光，顯示對公司營運仍具信心，但整體市場氣氛偏謹慎，影響有限。,2025-06-07 23:28:45,1
2024-03-20,0.6,群光在高息ETF中的表現亮眼，顯示市場對其股利政策有正面期待，但整體大盤走揚且漲幅有限，預期短期內股價波動溫和。,2025-06-07 23:28:47,1
2024-03-22,0.1,AI 概念股表現強勢，但群光等獲投信調節的個股下跌，市場情緒偏中性。,2025-06-07 23:28:48,1
2024-03-26,-0.5,電子股普遍疲弱，群光跌幅超過 4%，顯示市場對相關產業前景持保守態度。,2025-06-07 23:28:49,1
2024-03-29,-0.2,市場漲跌互見，個股表現分歧，群光與聯電等走弱，顯示部分科技股承壓。,2025-06-07 23:28:50,1
2024-04-02,0.8,電子指標股普遍上漲，群光也有 2% 以上的漲幅，顯示市場對相關產業有正面期待。,2025-06-07 23:28:52,1
2024-05-11,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:28:56,1
2024-05-13,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:28:57,1
2024-05-30,0.2,分析師下修獲利預估值，引發市場對公司財務表現的擔憂。,2025-06-07 23:28:59,1
2024-08-08,-0.3,分析師目標價與評級調降，顯示市場對公司前景看法偏保守。,2025-06-07 23:29:06,1
2024-08-09,0.2,市場預估EPS與營收持續成長，但分析師目標價下修，顯示獲利能力可能面臨挑戰。,2025-06-07 23:29:07,2
2024-09-08,0.2,營收年增率正成長，顯示公司整體表現穩健，但月增率未能名列前茅，市場情緒偏中性。,2025-06-07 23:29:11,1
2024-09-19,0.6,出售廠房帶來處分利益，第三季獲利可望成長，但市場關注度有限。,2025-06-07 23:29:13,1
2024-09-25,0.8,中國人行宣布多項刺激經濟政策，帶動相關產業股價上揚，群光作為電子通路商場百腦匯的轉投資公司，營運可望受惠。加權指數大漲逾 300 點，群光股價同步走高。,2025-06-07 23:29:15,2
2024-10-28,0.1,分析師對獲利預估下修，引發市場保守情緒。,2025-06-07 23:29:18,1
2024-11-07,0.1,分析師對2024年EPS預估下修，但營收表現仍維持正向。,2025-06-07 23:29:20,2
2024-11-09,0.8,第四季中國舊換新補貼、高階機種換機需求帶動營收成長，且消費旺季可望延續到明年農曆年前，預期將刺激市場情緒正面。,2025-06-07 23:29:21,1
2024-12-10,-0.3,分析師調降目標價及評級，但幅度不算太大，且市場情緒仍以中立居多。,2025-06-07 23:29:25,1
2025-01-02,0.8,獲利與營收預估上修，顯示市場對公司未來表現樂觀。,2025-06-07 23:29:28,1
2025-01-16,0.6,董事長許崑泰表示持續研發創新、力拚營收成長、高附加價值產品優化組合等正面訊息，對市場情緒帶來正面影響。,2025-06-07 23:29:30,1
2025-01-23,0.2,分析師對獲利預估下修，引發市場謹慎情緒。,2025-06-07 23:29:31,1
2025-03-09,0.8,群光受惠於板卡廠商推出新品與高通擴大 AI PC 市場，法人看好電腦週邊產品線營收成長。,2025-06-07 23:29:36,1
2025-03-11,0.3,轉投資百腦匯及群光廣場百貨受惠政策效益，營收獲利可望成長，但整體影響有限。,2025-06-07 23:29:37,2
