date,factor,explanation,updated_time,news_count
2022-11-01,0.6,新旗艦晶片即將發表，預計延續採用台積電 4 奈米製程，並在架構上有所變動，引起市場關注。,2025-06-08 02:25:42,3
2022-11-02,0.6,電子權值股普遍走強，聯發科漲幅超過 0.8%，顯示市場對該公司表現持正面看法。,2025-06-08 02:25:43,1
2022-11-03,0.1,台積電等權值股下跌拖累大盤，但聯發科小幅上漲，顯示市場情緒偏中性。,2025-06-08 02:25:44,1
2022-11-08,0.9,新旗艦晶片天璣9200採用台積電4奈米製程，效能與功耗表現亮眼，有利於推動市場情緒正面。,2025-06-08 02:25:45,1
2022-11-09,0.9,台股強勁反彈，聯發科領軍電子權值股上攻，漲幅超過 4%，顯示市場情緒正面。,2025-06-08 02:25:46,2
2022-11-10,0.2,"儘管營收下滑，但聯發科預期庫存調整將在本季達頂峰，並看好 2023 年上半年有回補庫存需求，市場情緒中性。

傳產股部分，台塑四寶全數走弱，航空雙雄震盪走低，貨櫃三雄中，長榮、陽明 10 月營收雙減，股價卻不同調，長榮上漲 2%，陽明則在平盤震盪，萬海也有超過 2% 漲幅。",2025-06-08 02:25:48,2
2022-11-11,0.8,聯發科執行長看好未來多元成長動能，預期市場將變得穩健，有利於公司營運表現。,2025-06-08 02:25:50,4
2022-11-12,0.9,市場預期手機庫存將在第四季達最高峰，明年首季客戶恢復拉貨，有助聯發科營收重返成長。執行長喊話多元佈局目標，激勵股價大漲。,2025-06-08 02:25:51,1
2022-11-14,0.6,聯發科持續多元化佈局製造供應鏈，但這是一個「漸進式」過程，並無意將供應鏈以任何形式移出台灣，持續全力投資台灣。市場普遍看好電子族群表現，聯發科可望成為指標之一。,2025-06-08 02:25:53,3
2022-11-15,0.8,"聯發科強調將持續全力投資台灣，並致力在現有合作關係基礎下放眼世界，且隨著業務擴張，會投資更多領域。半導體族群全面歡騰，聯發科漲幅逾 3%，顯示市場對公司營運前景持正面看法。

0.6
台灣團隊在國際固態電路研討會 (ISSCC) 表現亮眼，業界以聯發科入選 5 篇最多。聯發科 CPU 團隊開發出 4 奈米 5G 手機晶片，透過溫控技術優化遊戲體驗，凸顯公司在先進製程與技術研發的實力。",2025-06-08 02:25:55,3
