date,factor,explanation,updated_time,news_count
2022-11-01,0.2,營收與獲利雖然下滑，但公司對未來展望仍抱持樂觀態度，預期明年有新產品加入貢獻。,2025-06-08 02:48:02,1
2022-11-02,0.8,儘管營運遭遇逆風，但股價跌幅已深，反彈力道強勁。,2025-06-08 02:48:03,2
2022-11-05,0.1,電子業庫存去化延長，加上第四季拉貨力道趨緩，對聯茂營收造成壓力，但車用和資料中心需求仍維持穩健。,2025-06-08 02:48:04,1
2022-12-05,0.2,營收創5個月新高，顯示公司營運狀況略有改善，但電子業去化庫存延長，市場情緒偏中性。,2025-06-08 02:48:07,1
2023-01-05,0.1,營收雖然衰退，但車用電子和資料中心需求維持穩健，且新產能將於明年開出，有望帶動市場情緒溫和上漲。,2025-06-08 02:48:11,1
2023-01-12,0.3,擴廠計畫與營收表現尚可，但整體市場仍偏保守，短期內缺乏強勁的利多刺激。,2025-06-08 02:48:12,1
2023-01-16,0.2,電子權值股普遍上漲，ABF 載板三雄與板卡族群也有亮眼表現，但銅箔基板廠火災事件影響部分個股。整體而言，市場情緒偏向正面但不強烈。,2025-06-08 02:48:14,1
2023-01-31,0.6,市場對聯茂的營運展望持樂觀態度，預期第二季起新產品發酵帶動成長，但大盤走勢疲弱，個股表現參差。,2025-06-08 02:48:16,2
2023-02-04,0.8,新產能開出與擴廠計畫，顯示公司對未來成長有信心，帶動市場情緒正面。,2025-06-08 02:48:18,1
2023-02-05,0.3,營收創下35個月來新低，顯示公司目前面臨市場需求疲弱的挑戰，但車用電子和資料中心需求仍維持穩健。整體而言，市場情緒偏向保守但不至於過度悲觀。,2025-06-08 02:48:19,1
2023-03-05,0.3,庫存去化延續、產能擴張等中性訊息交錯，市場情緒偏向保守。,2025-06-08 02:48:22,1
2023-03-12,0.8,健鼎購併南越日系 PCB 廠，將可投入伺服器板等產品的生產，並回應客戶在兩岸之外要求建立多元產能的需求。,2025-06-08 02:48:24,1
2023-04-11,0.6,公司高層對下半年展望樂觀，預期需求逐月成長，新廠也將於明年開出產能，有利中長期營運。,2025-06-08 02:48:27,1
2023-04-23,0.3,聯茂在東南亞設廠進度領先，市場對其營運前景持中性樂觀態度。,2025-06-08 02:48:29,1
2023-05-03,0.2,CCL 廠看法不一，營收與獲利表現差異大。,2025-06-08 02:48:31,1
2023-05-22,0.6,台燿與聯茂股價齊漲，顯示市場情緒偏正面，但第二季業績成長力道仍有疑慮。,2025-06-08 02:48:33,1
2023-12-05,0.8,營收逐月增溫，新廠擴產計畫啟動，顯示公司營運正向發展，預期帶動市場情緒偏多。,2025-06-08 02:48:47,1
2024-01-05,0.8,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 02:48:51,2
2024-02-05,0.8,營收創高且獲利優於預期，帶動市場情緒正面。,2025-06-08 02:48:55,1
2024-03-05,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 02:48:58,1
2024-03-07,0.8,CCL 廠營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-08 02:48:59,1
2024-03-30,0.9,AI 伺服器需求強勁、毛利率提升、獲外資青睞、股價創新高、多家券商看好，顯示市場對公司營運前景樂觀。,2025-06-08 02:49:02,1
2024-04-05,0.2,營收表現略低於預期，但泰國廠動工與投資金額增加，顯示公司擴張意願強烈，對市場情緒帶來正面影響。,2025-06-08 02:49:03,1
2024-04-06,0.6,PCB 產業復甦跡象明顯，AI 應用帶動載板需求回升，加上龍頭廠股價轉強，預期整體族群將啟動輪漲行情。,2025-06-08 02:49:05,1
2024-05-06,0.6,營收持續成長且股價上漲，顯示市場對公司表現正面看待，但三大法人合計賣超，可能影響短期信心。,2025-06-08 02:49:08,1
