date,factor,explanation,updated_time,news_count
2022-11-07,0.2,營收持續成長，但筆電出貨下滑，市場對未來展望仍有疑慮。,2025-06-08 01:44:12,1
2022-11-11,0.3,第三季財報優於預期，但第四季展望保守，營收可能下滑至第二季水準。,2025-06-08 01:44:13,2
2022-11-23,0.6,台廠伺服器業者因應美中科技戰，逐步擴大在墨西哥、東南亞等地區製造，預期明年主要台廠在中國以外地區伺服器主機板產能將上看 5 成。,2025-06-08 01:44:15,1
2022-11-30,0.8,亞馬遜雲端事業部門 AWS 計劃增聘員工並建造新的資料中心，顯示對未來業務前景樂觀，預期將帶動相關供應鏈如英業達的正面市場情緒。,2025-06-08 01:44:17,1
2022-12-07,0.8,英業達旗下英研智能開發的電子紙產品在醫療領域取得進展，與綠湖數位醫療合作推出電子紙病床卡，已應用於多家醫院。這顯示公司持續拓展新事業版圖，為營運增添動能，預期將帶動市場正面情緒。,2025-06-08 01:44:19,1
2022-12-14,0.8,展望明年營運成長、擴大全球產能，伺服器業務維持雙位數成長，5G Next Lab 開幕，積極佈局智慧製造與 5G 應用。,2025-06-08 01:44:20,2
2022-12-16,0.1,電子股普遍走弱，但英業達、緯創等代工廠相對抗跌。,2025-06-08 01:44:21,1
2022-12-24,0.8,營運展望樂觀，伺服器與筆電業務成長可期，加上新事業發展，有利支撐市場情緒正面。,2025-06-08 01:44:23,1
2022-12-27,0.2,越南廠房擴張與新客戶加入，顯示公司積極佈局未來成長動能，但整體市場環境變數仍多。,2025-06-08 01:44:24,1
2023-01-07,0.3,英華達與全球人壽合作推出健康促進外溢保單，透過榮文生醫的循環腫瘤細胞檢測主動進行癌症篩檢，可望儘早得知是否有罹癌風險，以達到早期發現早期治療的目的，並進而促進健康。,2025-06-08 01:44:26,1
2023-01-11,-0.5,電子股普遍走低，英業達為其中一家弱勢指標，市場情緒偏向保守。,2025-06-08 01:44:27,1
2023-01-17,0.8,英業達斥資設立越南子公司，顯示對未來成長有信心，並積極佈局新市場。同時去年營收創高，預期帶動市場正面情緒。,2025-06-08 01:44:29,1
2023-02-21,0.3,越南投資額上調可能帶來營運利多，但第一季出貨預估仍衰退，市場情緒偏中性。,2025-06-08 01:44:33,1
2023-03-03,0.9,英業達積極招募人才，展現對未來成長的信心，並在伺服器與車用電子領域取得進展，激勵市場情緒正面。,2025-06-08 01:44:35,1
2023-03-07,0.2,營收雖然小幅下滑但仍創同期新高，維持全年成長展望，市場情緒中性。,2025-06-08 01:44:36,1
2023-03-12,0.2,投信持續買超英業達，顯示對公司營運有正面看法。,2025-06-08 01:44:37,1
