date,factor,explanation,updated_time,news_count
2022-11-02,0.6,電子零件與光電族群帶動市場，權值股如台積電也翻紅，整體呈現偏多格局，但金融股與傳產股走弱，影響有限。,2025-06-07 23:55:32,2
2022-11-08,0.9,伺服器、交換器等需求持續升溫，加上新平台效益將於明年顯現，營收與獲利成長可期，預期帶動市場正面情緒。,2025-06-07 23:55:34,1
2022-11-18,0.3,大盤短線整理，金像電等個股強勢，但缺乏明確利多消息。,2025-06-07 23:55:35,1
2023-01-31,-0.2,三大法人買超金額縮減，顯示市場對該公司的看好程度下降。,2025-06-07 23:55:43,1
2023-02-25,0.9,營收與獲利雙創高點，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:55:46,1
2023-03-09,0.6,營收與獲利雙創高點，顯示公司營運狀況良好，但部分產品線需求趨緩，影響市場情緒正面程度。,2025-06-07 23:55:48,1
2023-04-11,0.8,營收回升且第二季訂單量優於首季，顯示公司營運狀況良好，預期帶動市場情緒正面。,2025-06-07 23:55:51,1
2023-04-26,0.8,營收回升、第二季成長預期，以及伺服器需求復甦等利多因素，將帶動市場情緒正面。,2025-06-07 23:55:54,1
2023-05-19,0.85,新伺服器平台及 AI 伺服器需求強勁，帶動市場情緒正面。,2025-06-07 23:55:56,1
2023-05-20,0.9,新伺服器平台及 AI 伺服器需求強勁，外資報告調高目標價，加碼買超推升股價創近 23 年來新高。,2025-06-07 23:55:58,1
2023-05-25,0.9,輝達財報優於預期，帶動相關概念股走強，金像電亮燈漲停，顯示市場對公司營運前景樂觀。,2025-06-07 23:55:59,1
2023-06-14,0.8,AI伺服器需求強勁，看好中長期成長趨勢，加上擴廠投資，市場情緒正面。,2025-06-07 23:56:02,1
2023-06-18,0.6,AI 伺服器需求激增，金像電 AI 伺服器應用在伺服器板的占比將從低個位數百分比，提升至中高個位數百分比。,2025-06-07 23:56:04,1
2023-06-30,0.6,電子權值股表現疲弱，AI 概念股帶動部分個股上漲，但整體市場情緒偏向保守。,2025-06-07 23:56:06,1
2023-12-01,0.9,金像電籌資成功、營收與獲利雙創高點、擴產計畫以及外資調升評等與目標價，均為正面消息，預期帶動市場情緒樂觀。,2025-06-07 23:56:17,1
2023-12-07,0.6,台股集中市場今日開盤在平盤附近震盪，AI 伺服器概念股及車用零組件、重電等類股走勢活潑，顯示市場人氣聚集。,2025-06-07 23:56:18,1
2023-12-08,0.6,AI 應用持續擴大，相關概念股如金像電漲勢強勁，顯示市場對 AI 產業前景樂觀。,2025-06-07 23:56:20,1
2024-01-04,-0.2,電子股表現分歧，金像電與部分同業同步下跌，但跌幅相對溫和，顯示市場情緒偏向保守。,2025-06-07 23:56:23,1
2024-01-05,0.2,金像電與健鼎同為伺服器及 AI 伺服器板供應商，受惠產業趨勢，但健鼎獲利超越金像電，市場情緒略偏正面。,2025-06-07 23:56:24,1
2024-01-09,0.1,"電子股表現相對有撐，AI 股及高價 IC 設計指標強勢，但貨櫃三雄重挫拖累市場。外資賣超金像電，投信也同步減碼。

整體而言，電子股支撐力道有限，航運股下跌影響市場情緒，金像電雖然有買盤支撐，但仍難免受到波及。",2025-06-07 23:56:27,2
2024-01-18,0.4,電子權值股普遍上漲，但中小型股表現偏弱，金像電跌幅有限，顯示市場對其營運前景仍持謹慎態度。,2025-06-07 23:56:28,2
2024-01-22,0.8,AI 概念股全面上揚，金像電 受惠於相關題材，市場情緒正面。,2025-06-07 23:56:30,1
2024-01-25,0.5,金像電在 PCB 相關族群中表現強勁，顯示市場對該公司前景持正面態度。,2025-06-07 23:56:31,1
2024-01-29,0.6,AI 及 AI PC 概念股強勢上漲，帶動市場情緒正面，但貨櫃航運股走弱，可能影響整體漲幅。,2025-06-07 23:56:32,1
2024-02-04,0.2,投信在 AI 相關族群中積極建立部位，顯示對金像電後市持正面看法。,2025-06-07 23:56:34,1
2024-02-16,0.1,大盤走堅格局不變，金像電在 PCB 供應鏈中表現較強，但整體市場資金分散，對股價影響有限。,2025-06-07 23:56:36,1
2024-02-25,0.3,外資連買 2 周，本周續買金像電達 15 億元，但投信逢高調節，顯示市場對該公司後市看法偏中性。,2025-06-07 23:56:37,1
2024-02-27,-0.6,欣興法說會釋出保守展望，拖累相關個股表現，但營收與獲利仍維持正成長，顯示公司基本面尚可。,2025-06-07 23:56:39,1
2024-03-01,0.6,電子權值股表現分歧，AI 股與散熱族群走強，金像電扮演撐盤要角，顯示市場對公司營運前景持正面看法。,2025-06-07 23:56:40,1
2024-03-15,0.5,台積電尾盤急跌，加權指數下跌，但金像電在鴻海法說正向加持下上漲。,2025-06-07 23:56:42,1
2024-03-22,0.6,AI 概念股表現強勢，金像電漲幅超過 6%，顯示市場對相關概念股情緒正面。,2025-06-07 23:56:44,1
2024-03-26,-0.3,電子股普遍疲弱，PCB 與 IC 設計族群跌幅較重，部分權值股如廣達、緯創、英業達等表現不佳，引發市場對金像電的擔憂。,2025-06-07 23:56:45,1
2024-03-29,0.2,AI 概念股輪動帶動相關個股上漲，但金像電漲幅有限，顯示市場對其後市仍持保守態度。,2025-06-07 23:56:46,1
2024-04-02,-0.4,金像電跌幅較小，但仍在電子指標股中表現弱勢，顯示市場對其信心略有下降。,2025-06-07 23:56:48,1
2024-05-13,0.2,市場對金像電的目標價與獲利預估下修，但整體評級仍維持樂觀，且近期股價表現平穩。,2025-06-07 23:56:52,2
2024-06-07,0.8,營收成長強勁，顯示公司業績表現亮眼，預期將帶動市場情緒正面。,2025-06-07 23:56:55,1
2024-06-08,0.2,獲利與營收表現亮眼，但分析師下修EPS預估值，市場情緒偏向中性。,2025-06-07 23:56:56,1
2024-06-19,0.3,FactSet 對金像電(2368-TW)的最新調查顯示，雖然營收與獲利表現亮眼，但分析師對2024年EPS預估持續下修，中位數由12.27元降至11.76元，市場預估目標價也略有下調。整體而言，雖然5月營收成長強勁，但獲利預期的修正可能引發部分投資人擔憂，對股價造成壓力。,2025-06-07 23:56:59,2
2024-07-10,0.3,台股創新高，電子權值股有撐，綠能與矽光子概念股表現亮眼，整體市場偏正面，但漲幅有限。,2025-06-07 23:57:02,1
2024-07-16,0.8,分析師調升目標價與評級，顯示市場對公司前景樂觀。,2025-06-07 23:57:03,1
2024-07-18,0.2,獲利預估下修，營收表現平平，市場情緒偏向保守。,2025-06-07 23:57:04,1
2024-07-31,0.5,電子權值股開低走高，金像電等 PCB 相關個股早盤上揚，顯示市場情緒偏正面。,2025-06-07 23:57:06,1
2024-08-02,-0.8,電子權值股普遍下跌，加上半導體類股和高價股重挫，引發市場恐慌情緒，預期將對金像電產生負面影響。,2025-06-07 23:57:08,1
2024-08-07,0.9,獲利與營收雙創新高，加上擴產計畫，顯示公司前景看俏，預期帶動市場正面情緒。,2025-06-07 23:57:09,1
2024-08-08,0.8,獲利與營收雙創新高，顯示公司財務狀況良好，預期帶動市場情緒正面。,2025-06-07 23:57:10,2
2024-08-28,0.9,營收創新高、擴產計畫以及與臻鼎結盟等利多消息，預期將帶動市場情緒正面。,2025-06-07 23:57:13,1
2024-09-03,0.6,金像電等 PCB 族群強勢，顯示市場對相關產業前景樂觀。,2025-06-07 23:57:14,1
2024-09-13,0.6,分析師對金像電獲利預估上修，顯示市場對公司前景樂觀，但營收成長力道仍有疑慮。,2025-06-07 23:57:16,1
2024-10-03,0.2,獲利與營收預估雖有下修，但仍維持正向成長趨勢，市場情緒偏中性。,2025-06-07 23:57:19,1
2024-11-08,0.2,分析師對獲利預估下修，引發市場保守情緒。,2025-06-07 23:57:22,1
2024-11-09,-0.6,分析師目標價下修與評級偏向樂觀，但市場情緒仍偏保守，主要因近期股價無明顯表現。,2025-06-07 23:57:23,1
2024-12-13,0.3,金像電漲幅領先同業，顯示市場對其表現仍有期待。,2025-06-07 23:57:27,1
2024-12-16,0.9,多家外資券商上修目標價與獲利預測，顯示對公司營運前景樂觀，帶動市場情緒正面。,2025-06-07 23:57:28,2
2024-12-20,0.8,轉單題材與營收創新高，顯示公司業績成長動能強勁，激勵市場情緒正面。,2025-06-07 23:57:30,1
2025-01-06,0.2,電子權值股漲多跌少，金像電為今日相對弱勢指標，但整體市場情緒仍偏正面。,2025-06-07 23:57:32,1
2025-01-08,0.8,營收持續成長，顯示公司業績表現亮眼，預期將帶動市場正面情緒。,2025-06-07 23:57:33,1
2025-01-13,-0.7,營收與獲利預估下修，以及新產品開發不如預期，引發市場對公司未來業績的擔憂。,2025-06-07 23:57:35,3
2025-02-08,0.9,營收創新高、產能滿載、獲利成長且預期持續上修，顯示公司表現優異，市場情緒樂觀。,2025-06-07 23:57:38,1
2025-02-11,0.2,獲利與營收預估下修，引發市場對公司財務表現的擔憂。,2025-06-07 23:57:39,1
2025-02-17,0.2,分析師對金像電獲利預估下修，引發市場保守情緒。,2025-06-07 23:57:40,1
2025-02-24,-0.6,金像電與其他電子股同步下跌，顯示市場對整體電子產業前景持保守態度。,2025-06-07 23:57:42,1
2025-03-04,0.1,金像電與其他電子指標股同步上漲，但漲幅不如其他個股顯著，市場情緒偏中性。,2025-06-07 23:57:43,1
2025-03-07,0.8,營收年增率高達47%，顯示公司業績成長強勁，預期將帶動市場正面情緒。,2025-06-07 23:57:44,1
2025-03-12,0.5,分析師對金像電獲利預估持續上修，顯示市場對公司營運前景樂觀。,2025-06-07 23:57:46,1
2025-03-14,0.9,獲利與營收預估雙創新高，顯示公司財務狀況良好，預期帶動市場情緒正面。,2025-06-07 23:57:47,1
