date,factor,explanation,updated_time,news_count
2022-11-01,0.1,外資賣超鴻海，且鄭州廠疫情影響持續，但富士康調高獎勵政策，顯示積極應對問題，市場情緒偏向保守。,2025-06-08 02:09:10,3
2022-11-02,0.1,"鄭州航空港區實施靜態管理，雖然鴻海為重點企業可維持生產，但仍引發市場擔憂，股價短期可能承壓。

新聞提到鄭州航空港區將實施七天全域靜態管理，暫停各類聚集性活動和經營性場所營業，僅保障民生的公共服務類企業可維持運作。雖然鴻海為重點企業，可在閉環管理下維持正常生產，但仍可能影響部分供應鏈或員工生活，引發市場擔憂，短期股價可能承受賣壓。",2025-06-08 02:09:12,2
2022-11-04,0.3,電子權值股跌勢收斂，鴻海獲得資金青睞，顯示市場對其仍有信心。,2025-06-08 02:09:13,1
2022-11-07,0.3,雖然鄭州廠疫情影響營運，但河南省政府已承諾全力支持恢復生產，且第四季展望僅從原先的審慎樂觀調整，顯示對鴻海營運的衝擊有限。,2025-06-08 02:09:15,4
2022-11-08,0.8,投資電動車新創有利於公司拓展業務版圖，預期帶動市場正面情緒。,2025-06-08 02:09:15,1
2022-11-09,0.8,鄭州廠解除靜態管理，配合台股反彈行情，帶動鴻海股價上漲。,2025-06-08 02:09:17,3
2022-11-10,0.3,鄭州廠疫情影響營運，但公司積極應對並展現危機處理能力，市場對鴻海的信心尚未動搖。,2025-06-08 02:09:18,4
2022-11-11,0.3,台股大漲帶動鴻海股價，但缺乏明顯利多消息，市場情緒偏中性。,2025-06-08 02:09:19,1
2022-11-12,0.8,鴻海與 PTT 合資電動車廠，預計 2024 年達到生產交車階段，初始年產量 5 萬輛逐步提高至每年 15 萬輛，顯示公司積極拓展新事業版圖，對市場情緒帶來正面影響。,2025-06-08 02:09:20,1
2022-11-13,0.2,"郭台銘對新竹市長選情的發言與參與活動,以及劉揚偉出席B20峰會並發表演講,整體而言屬於中性資訊,對鴻海股價影響有限。",2025-06-08 02:09:22,2
2022-11-14,0.8,鴻海董事長在國際場合發表專題演講，展現公司對全球經濟發展的影響力與貢獻度，激勵市場情緒正面。加上台股大盤強勢上漲，帶動相關權值股如台積電、鴻海等走揚，預期將進一步提振鴻海隔日的股價表現。,2025-06-08 02:09:24,2
2022-11-16,0.1,鴻海收平盤，市場情緒中性。,2025-06-08 02:09:25,1
2022-11-17,0.2,鄭州廠招工規模龐大，顯示勞動力需求強勁，但電子權值股表現平平，市場情緒偏向中性。,2025-06-08 02:09:26,2
2022-11-18,0.1,訊芯 - KY 法說釋出營運展望正面，但台股今日表現疲弱，顯示市場情緒偏中性。,2025-06-08 02:09:27,2
2022-11-20,0.2,太原富士康位於靜默管理範圍內，但生產與生活秩序正常，顯示對營運影響有限。,2025-06-08 02:09:28,1
2022-11-21,0.2,鴻海與澳洲雪梨大學合作提出量子計算新解決方案，為量子機器學習領域帶來突破性進展，市場對此技術創新持正面態度。,2025-06-08 02:09:29,1
2022-11-22,0.6,延攬前台積電共同營運長蔣尚義擔任集團半導體策略長，有助於加速鴻海在全球的半導體製造布局以及整合，市場情緒正面。,2025-06-08 02:09:31,3
2022-11-23,0.1,鄭州廠暴力抗議事件引發市場擔憂，但鴻海已出面說明並澄清相關謠言，目前園區正常運作。加上美股四大指數全面收漲帶動台股反彈，整體而言對市場情緒影響有限。,2025-06-08 02:09:32,4
2022-11-24,0.2,富士康鄭州廠招募新員工時出現技術失誤，引發員工抗議事件，但已和參與較小抗議活動的員工達成初步協議，並提供離職補貼，蘋果公司也派人實地考察，市場情緒偏中性。,2025-06-08 02:09:34,1
2022-11-25,-0.6,鄭州廠員工抗議事件影響 11 月 iPhone 產量，但新進員工離職不會直接影響生產，鴻海已提供補貼金額超過一個月薪資。,2025-06-08 02:09:35,3
2022-11-26,0.2,郭台銘表示集團半導體布局不會複製台積電，與台積電完全錯開，著重汽車應用。雖然市場關注鴻海的半導體發展，但整體而言對公司營運影響有限。,2025-06-08 02:09:37,2
2022-11-27,0.2,鄭州廠祭出激勵政策以維持產能，但獎金下調且未提及訂單狀況，市場情緒偏中性。,2025-06-08 02:09:38,1
2022-11-28,0.6,鴻海積極投資墨西哥與泰國廠房，顯示對電動車市場前景樂觀，帶來正面市場情緒。,2025-06-08 02:09:39,1
2022-11-29,0.2,台股大漲超過 150 點，電子、金融、傳產權值股領軍，顯示市場情緒偏正面，但鴻海收盤平盤，表現中規中矩。,2025-06-08 02:09:40,1
