title,keywords,content,publish_at,id,summary,related_stocks,uuid
泰山決議處分4.35萬張全家股票 交易金額逾82億元,"['泰山', '全家', '龍邦']","泰山 (1218-TW) 今 (2) 日召開董事會，晚間公告決議在不超過 4.35 萬張額度內，處分全家 (5903-TW) 股票，依全家今天收盤價 189.5 元計算，若全數處分，總交易金額將達 82.43 億元。


泰山目前持有全家股票 50136 張，持股比例 22.46%，如依泰山董事會決議全數處 4.35 萬張，持股將降至 6636 張，等於將出脫手中持股的 86.76%。


泰山指出，董事會決議處分對全家的持股，活絡長期股權投資價值、提昇股東權益及改善財務結構。


泰山指出，獨立董事杜英達今天在審計委員會及董事會表達因此案有太多空白授權，且處分案金額接近本公司資本額的兩倍，應該適用公司法 185 條之規定，所以反對此案。


但泰山強調，關於處分泰山公司投資有價證券案程序，經理部門諮詢並由二外部獨立律師出具法律意見書，並有上市公司處分有價證券實務案例佐證，允無適法性疑慮。審計委員會委員提議並經董事會討論後，針對交易數量、每股交易價格下限及授權處分期間做成決議，並無空白授權情事。


泰山去年才經歷經營權之爭，但是戰火似乎未完全平息，大股東龍邦 (2514-TW) 集團今年持續買進泰山股權，持續加碼對泰山持股，旗下保勝投資自 8 月 24 日至 11 月 28 日，共投入 3.13 億元，以每股購入均價 36.91 元，買進泰山股票 8504 張，若加上龍邦對泰山持股 32.36%，合計龍邦集團持有泰山股權已進一步拉高到 42.16%。


同時，市場解讀，龍邦持續加碼泰山股權一步步進逼泰山的經營權，主要也是看上泰山手中持有 22.46% 的全家股權，但今天泰山則透過董事會決議要處分此「金雞母」。",2022-12-03 00:02:45,3373,泰山 (1218-TW) 今 (2) 日召開董事會，會中並決議在不超過 4.35 萬張額度內處分全家 (5903-TW)，依全家今天的收盤價 189.5 元計算，泰山如全數處分這筆 19.48% 的全家股權，交易總金額將達 82.43 億元。,"['泰山', '全家', '龍邦']",bb275b89-95e2-4402-8be7-2a0b20e2e680
〈熱門股〉光隆全年EPS挑戰新高 外資力挺周漲5.72%,"['光隆', '成衣', '服飾']","光隆實業 (8916-TW) 今年前三季稅後純益達 8.09 億元，已超越 2021 年全年，每股純益達 5.89 元，本周獲外資連續買超 5 天，買超張數達 3067 張，股價收在 59.1 元，周漲幅 5.72%，並站上所有均線。


光隆業務目前三大業務包括成衣、家紡及羽絨銷售，近年調整營運策略，以提升生產彈性及競爭力，積極擴大成衣業務接單。光隆 2022 年前三季戶外機能服飾營收已達 27.7 億元，占營收比重 56%，公司除增設現有海外投資越南成衣生產線外，擬加速海外擴張，預期 2026 年成衣營收比重將達 70%，光隆董事長詹賀博指出，將繼續積極拓展戶外成衣業務，帶動獲利進一步成長。


光隆 2 日股價收在 59.1 元，一周漲幅 5.72%，並站上所有均線，就技術線型而言，均線糾結在 57 元形成有力支撐，日 KD 低檔交叉向上，且 MACD 翻紅，將有利於短線股價向上挑戰前高 63.7 元。




光隆日 K 線圖",2022-12-03 11:30:18,3372,光隆實業 (8916-TW) 今年前三季稅後純益達 8.09 億元，已超越 2021 年全年，每股純益達 5.89 元，本周獲外資連續買超 5 天，買超張數達 3067 張，股價收在 59.1 元，周漲幅 5.72%，並站上所有均線。,['光隆'],45a16f55-a2aa-4d94-aa5a-e560f25359be
〈熱門股〉晶睿營運續強 股價突破200元大關創高,"['安控', '晶睿', 'AIOT']","安控大廠晶睿 (3454-TW) 產能持續滿載，第四季營運不看淡，明年營運審慎樂觀看待，加上轉型跨入全方位解決方案供應商，預期明年垂直場域市場業績有望雙位數成長，本周股價連日走強，突破 200 元關卡，一度攻上 229 元創新高，周漲 22.7%。


晶睿預期第三季營運動能將延續至本季，對於第四季業績不看淡，同時審慎樂觀看待明年營運動能，持續爭取訂單，維持利潤表現。


晶睿認為，雖然有 NDAA(美國國防授權法案) 挹注營收成長，不過硬體製造難有很高的經濟效益，迎接 AIoT 時代來臨，公司轉型搶攻智慧城市、交通運輸、醫療、教育、自動化等垂直市場，預期今、明年相關營收有望兩位數成長。


產能方面，晶睿隨著訂單增加，今年第二、三季啟動擴產，目前產能較今年初翻倍且達滿載，為因應供應鏈分散計畫，有著手布局海外廠區，不過細節還在討論中。",2022-12-03 12:00:04,3371,安控大廠晶睿 (3454-TW) 產能持續滿載，第四季營運不看淡，明年營運審慎樂觀看待，加上轉型跨入全方位解決方案供應商，預期明年垂直場域市場業績有望雙位數成長，本周股價連日走強，突破 200 元關卡，一度攻上 229 元創新高。,['晶睿'],91453b77-4836-49b1-ae53-fb568a5f94b7
〈熱門股〉漢來美食營運可望逐季走強 飆15個月新高價,"['漢來美食', '餐飲', '熱門股']","連鎖餐飲集團漢來美食 (1268-TW) 過去一周漲幅達 14%，最高來到 134 元，創去年 9 月以來新高價位，由於漢來美食第三季已成功轉盈，法人看好，第四季隨著解封、外食需求湧現，可望繳出較去年同期更亮麗的獲利成績，並呈現逐季走強態勢。


漢來美食旗下主要品牌目前營運均已回到疫情前水準，宴會廳方面，僅剩下婚宴尚未完全恢復，尾牙接單則是相當熱絡，10 月合併營收已創同期新高，隨著年末聚餐、尾牙宴陸續舉辦，短線營收動能至少一路熱至農曆年。


展望 2023 年，漢來美食重心在籌備南港漢來飯店，預計一口氣導入高價位自助餐、名人坊、鐵板燒、火鍋、日式料理等餐食品牌，大型宴會廳也將加入大台北宴會市場，將成為漢來美食強勁新成長動能。",2022-12-03 13:00:04,3370,〈熱門股〉漢來美食營運逐季走強在望 飆上 15 個月來新高價,['漢來美食'],7f789083-4bf9-4615-8fed-152c9c00472f
〈熱門股〉盛達儲能訂單旺 周漲33%登上市漲幅第一,"['盛達', '儲能', '網通', '電源供應器']","老牌電源供應器廠盛達 (3027-TW) 大刀闊斧搶攻儲能市場，在手訂單已衝上 200MW 吸引市場關注，本周買盤搶進大漲 33.6%，成為上市漲幅第一名，股價逼近一年半以來高點。


盛達儲能大拓點，除了台電 AFC 平台 dReg 儲能設備訂單以外，能源轉移用 E-dReg 訂單也陸續到手，再加上卡位能源局光 + 儲方案，總規模破 200MW。


台電 AFC 建置目標中，dReg 儲能系統主要應用於台電緊急時刻穩定電力系統頻率用的設備，而 E-dReg 設備由功率型、能量型組成，除了電網穩定功能，也能預先儲存多餘電力、配合調度放電至電網。


業內人士指出，目前國內儲能市場各家系統廠積極搶進，不過以供應鏈角度來看，目前盛達接觸資方、客戶最廣，未來儲能市場逐步擴大後，盛達成長態勢有望持續強勁。",2022-12-03 13:45:59,3369,老牌電源供應器廠盛達 (3027-TW) 大刀闊斧搶攻儲能市場，在手訂單已衝上 200MW 吸引市場關注，本周買盤搶進大漲 33.6% 成為上市漲幅第一名，股價逼近一年半以來高點，成交量放大至 12 萬張。,['盛達'],7fd75cee-b1f6-4c7a-b129-4a8933703282
台積美國廠將生產4奈米、鮑爾轉鴿、三星供應鏈名單出爐 本周大事回顧,"['台股', '本周大事回顧', '本周大事', '台積電', '美國廠', '4奈米', '聯準會', '鮑爾', '鴿派', '三星', '供應鏈', '廣宇', '八貫', '產險', '防疫險']","台積電傳計劃美國廠未來將生產 4 奈米晶片，製程較原規劃先進；聯準會主席鮑爾釋出鴿派論調，預計 12 月利率會議將放慢升息步伐。另外，國內壽險業受防疫險影響，前 10 月慘虧 1338 億元，以下是本周大事回顧：


蘋果催促 台積電計劃在美生產 4 奈米晶片


彭博近期引述知情人士透露，在蘋果等美國客戶催促後，台積電計劃 2024 年亞利桑那廠啟用時，將生產 4 奈米晶片、月產能 2 萬片，製程較原本規劃先進、產量也更多，並計劃在附近興建第二座工廠，生產 3 奈米晶片。


鮑爾估最快 12 月放緩升息步伐 仍會持續緊縮


美國聯準會 (Fed) 主席鮑爾 30 日表示，Fed 可能最快在 12 月放緩升息升息步伐，但同時強調未來還會持續升息，利率會保持在限制性區間一段時間，才能戰勝通膨。


三星供應鏈名單出爐 除名京東方、台廠一家遭剔除


南韓媒體近日報導指出，三星已發布 2022 年供應鏈名單，京東方、阿爾卑斯電氣、日東電工、羅姆遭踢出名單，中國光學大廠舜宇光學則逐漸成為關鍵供應廠商，台廠有友達、群創等四家，PCB 廠志超則遭剔除。


FCC 禁陸對講機大廠 美系廠商瓜分市占廣宇同受惠


美國聯邦傳播委員會 (FCC) 宣布禁止核發新的使用許可給 5 家中國企業，對講機品牌海能達也在其中，廣宇美系無線電大客戶可望迎來轉單，且在手訂單創高，廣宇也看好客戶的後續成長動能，將同步吃香。


八貫軍用布局報捷 供應北約軍隊防彈衣關鍵材料


地緣政治動盪，全球軍事投資金額持續升高，八貫近期接獲全球知名軍用品大廠訂單，間接打進北約軍隊防彈衣供應鏈，供應外罩與關鍵核心材料克維拉纖維的添加塗層，加上航太在手訂單推升，明年營運可望再成長。


產險業前 10 月慘虧 1338 億 防疫雙險理賠逾 1700 億元


受防疫保單之亂重創，產險業前 10 月稅前大虧 1338 億元，跟去年同期賺 214 億元相比，年減金額高達 1552 億元，創下史上最慘紀錄。而最新的防疫雙險理賠金額已突破 1700 億元。


印度廠傳塔塔集團擬出資 190 億元收購 緯創不予回應


外媒報導指出，印度塔塔集團 (Tata Group) 正與電子代工大廠緯創談判進行收購事宜，塔塔擬斥資 400-500 億盧比 (約新台幣 151-190 億元) 收購緯創在印度 Karunadu 的工廠，不過緯創對此不予回應。


FTX 風暴最新受害者 BlockFi 聲請破產保護


加密貨幣放款業者 BlockFi 28 日宣布，已連同旗下 8 家子公司聲請破產保護，成為本月稍早加密貨幣交易所 FTX 倒閉引發幣圈風暴的最新受害者。",2022-12-03 13:50:00,3368,台積電傳計劃美國廠未來將生產 4 奈米晶片，製程較原規劃先進，聯準會主席鮑爾釋出鴿派論調，預計 12 月利率會議將放慢升息步伐，另外，國內壽險業受防疫險影響，前 10 月慘虧 1338 億元，以下是本周大事回顧：,[],e3f4a5e9-a403-419e-99be-9d462af7aff8
精測11月營收3.82億元 Q4估較上季略降溫,"['精測', '探針卡', '測試介面', 'HPC', '手機', '5G', 'AP']","精測 (6510-TW) 今 (3) 日公布最新營收，受產業淡季影響，11 月營收 3.82 億元，月減 9.1%，年減 6.9%，累計前 11 月營收 40.46 億元，年增 6%；精測看好，第四季營收可維持今年第二季水準、約 11.85 億元，季減約 3.6%。


精測指出，第四季為半導體產業淡季，其中，探針卡產品受終端庫存調整影響，包括智慧型手機應用處理器 (AP) 晶片、SSD 控制晶片、電源管理晶片 (PMIC) 的探針卡測試需求略為降溫，高效能運算 (HPC) 探針卡訂單表現則相對強勁。


非探針卡測試介面，主要業績來源為 HPC 晶圓測試板、AP 測試用 SFT(System Final Testing)、射頻 (RF) 晶片測試及 Gerber(測試介面板) 製作。


精測認為，由於季節性因素影響，多項晶片測試需求持續疲弱，因此客戶分散與全球佈局綜效是降低風險重要的因素。


據研調機構 DIGITIMES Research 最新兩岸供應鏈訪談資訊統計，今年第四季中國雙 11 購物節帶來的銷售仍不如 2021 年同期，且促銷期一過，預期需求下滑幅度再擴大。


不過，非中國海外市場進入傳統旺季，美國 11 月感恩節黑色星期五消費季表現，據全球權威軟體 Adobe 旗下網路數據分析 Adobe Analytics 公布，感恩節當天，美國前百大電商銷售額較去年成長約 3%，達到 52.9 億美元，創新高。


儘管今年 11 月終端市場消費好壞成績摻半，但明年全球仍可能籠罩高通膨壓抑消費的經濟衰退期，不過，精測看好，半導體產業從沒有停滯研發腳步，正透過發展新技術為明年度如何刺激消費、搶搭景氣復甦第一班列車預作準備，人工智慧、晶片異質整合、手機結合車聯網等相關市場都可望引領前進。


精測也跟上 5G 智慧型手機次世代晶片的發展路程，近期展開 AP 晶片混針探針卡驗證作業，期盼明年與客戶攜手面對全年 5G 智慧型手機滲透率逾 6 成的新挑戰。",2022-12-03 13:52:46,3367,精測 (6510-TW) 今 (3) 日公布最新營收，受產業淡季影響，11 月營收 3.82 億元，月減 9.1%，年減 6.9%，累計前 11 月營收 40.46 億元，年增 6%；精測看好，第四季營收可維持今年第二季水準。,['精測'],678d345e-687c-4365-88a5-8d0694cbfebc
〈熱門股〉挾缺電概念股題材 森崴能源單周漲逾11%,"['森崴', '電力', '缺電', '風電']","森崴能源 (6806-TW) 受惠缺電概念股題材發酵，本周五 (2 日) 股價盤中急拉狂飆漲停，終場以漲停價 70.2 元作收，周漲幅達 11.96%。


台積電 (2330-TW)(TSM-US) 董事長劉德音日前透露對台灣電力的憂心，建議政府關心 5 年後電夠不夠用，把眼光擺在國內電力需求；劉德音對於國內缺電言論一出，也引發電力概念股股價群起表態。


森崴表示，過往公司策略是出售電廠獲得一次性鉅額收入，未來將透過出售自有營運電廠方式，獲得穩定收益，而明年在風電業務挹注下，期盼營運大幅成長。


森崴前 10 月累計營收 29.84 億元，年增 34.75%。前三季稅後純益 1.16 億元，年增 62.45%，每股純益 0.61 元。

 




森崴能源日 K 線圖",2022-12-03 14:20:11,3366,森崴能源 (6806-TW) 受惠缺電概念股題材發酵，本周五 (2 日) 股價盤中急拉狂飆漲停，終場以漲停價 70.2 元作收，周漲幅達 11.96%。台積電 (2330-TW)(TSM-US) 董事長劉德音日前透露對台灣電力的憂心，建,"['台積電', '森崴能源', '森崴能源', '台積電']",3ed5f2ee-7375-472d-ad7b-daa75c461b3c
〈熱門股〉視陽光學展蜜月行情 攻上300元整數大關,"['視陽光學', '隱形眼鏡', '晶碩', '矽水膠']","隱形眼鏡商視陽光學 (6782-TW) 28 日以每股 168 元掛牌上市，受惠矽水膠前景展望佳，2 日收盤站上 300 元整數大關，大展蜜月行情，展望明年，視陽光學除持續規畫擴產外，新開發的老花、散光產品也預計在明年上半年、下半年推到市場，有助營運成長。


視陽光學成立於 1998 年，主要從事拋棄式軟性隱形眼鏡研發製造、銷售，總部位在桃園龜山，工廠則在馬來西亞檳城，2009 年在新經營團隊入主後，切入自主矽水膠隱形眼鏡產品開發，並在日本擁有自有品牌 Refrear，目前是亞洲第一大、全球第五大矽水膠隱形眼鏡製造商。


視陽光學受惠隱形眼鏡需求成長、矽水膠滲透率提升，累計今年前三季純益已達 4.93 億元、每股純益 9.02 元，前三季已賺贏去年全年，預期今年全年營收、獲利都將改寫歷史新高。


隨著視陽光學上市，市場也出現比價效應，和碩 (4938-TW) 集團隱形眼鏡商晶碩 (6491-TW) 本周表現也不俗，周漲 6.37%，站回半年線，最高一度來到 398.5 元，而晶碩也公布 11 月營收，單月營收連三個月站穩 6 億元之上，達 6.11 億元，月減 6.1%、年增 5.1%，累計前 11 個月營收達 58.06 億元、年增 12.9%，超越去年全年。




視陽光學日 K 圖",2022-12-03 14:40:03,3365,隱形眼鏡商視陽光學 (6782-TW) 28 日以每股 168 元掛牌上市，受惠矽水膠前景展望佳，2 日收盤站上 300 元整數大關，大展蜜月行情，展望明年，視揚光學除持續規畫擴產外，新開發的老花、散光產品也預計在明年推出。,"['視陽', '和碩', '晶碩']",9f0626fb-598f-483f-ae61-cfd25d4e089e
〈熱門股〉光罩明年營運續旺 股價飆近半年高,"['光罩', '產能', '吃緊', '供需', '擴產', '漲價']","光罩 (2338-TW) 受惠晶圓廠產能鬆動，客戶新開案訂單不斷增加，整體供需吃緊，預期今年將再度調漲價格，有助本業獲利成長，本周資金也積極卡位，推升周五股價一度衝上 95.9 元，終場收在 95.7 元，創近半年新高。


儘管半導體產業現正面臨庫存調整，不過，由於各家 IC 設計業者為保持競爭力，皆積極開發新產品，期待市場復甦後，能迎來新一波成長動能，因此帶動光罩開案量急遽成長，市場就傳出光罩針對急單價格調漲近 5 成。


此外，由於先前關鍵設備交期長達 2-4 年，但近期隨著美國商務部對中國祭出半導體出口禁令，光罩已搶先取得科磊檢測機台，並在 1 個月內交機，預計本月就可裝機。


光罩看好，待新機台陸續到位後，不僅有助紓解產能吃緊問題，也可望在明年首季貢獻營收，預期明年營收可再年增 1 成以上。",2022-12-03 15:00:05,3364,光罩 (2338-TW) 受惠晶圓廠產能鬆動，客戶新開案訂單不斷增加，整體供需吃緊，預期今年將再度調漲價格，有助本業獲利成長，本周資金也積極卡位，推升周五股價一度衝上 95.9 元，終場也收在 95.7 元，創下近半年新高。,['光罩'],18ae6f9d-68e5-47c2-bdce-95bdbefb17b1
