content,publish_at,id,summary,title,keywords,related_stocks,uuid
"德昌 (5511-TW) 主要營業項目為「承攬工程提供服務」，項目包含道路、橋樑、重劃、醫院、廠房、辦公大樓等。客戶有政府機關也有民間企業，工程集中在中部與南部。


啟發投顧證券分析師丁彥鈞表示，一般來說，承包「民間機關」工程，毛利率超過 10%。而承包「政府機關」工程，毛利率僅介於 3% 到 5% 之間。以前政府招標採用「最低金額標」，由出價最低的廠商得標。此方法雖然可以有效減少政府支出，但常常發生品質不佳的情況。因此近期政府大力推行「統包工程最有利標」，由統包廠商負責設計、施工、管理、驗收。雖然統包廠商需要負擔更多的責任，但另一方面，如果統包廠商具有領導、整合、管理的能力，就可以用較佳的價格得標。由於德昌 (5511-TW) 擇優承作，不論是政府機關或民間機關，只承接毛利率超過 10% 的工程。所以德昌 (5511-TW) 有較高的毛利率。


受惠中美貿易戰，台商回流設廠，帶動台中、台南、高雄的廠辦需求增加，住宅需求也一併成長。另一方面，年輕人不願意從事工地工作，工人供給減少。在需求上升但是供給減少的情況下，價格上升，營造廠可以獲得更多的利潤。雖然建築成本上升，但德昌 (5511-TW) 對客戶採用成本加成法計價，建築成本上漲的風險由客戶負擔，德昌 (5511-TW) 收取一定比率的服務費，毛利率介於 11% 到 13% 之間。


2018 年德昌 (5511-TW)「在手訂單未完工部分」的金額只有 82 億元，之後逐年增加，2022 年年底，金額上升至 276 億元，2023 年第 1 季，金額上升至 365 億元。依據政府電子採購網的資訊，德昌(5511-TW) 於 2023 年第 2 季又拿到 3 個案子，其中水湳轉運中心新建工程的合約金額高達 30 億元，台中北屯廍子重劃區的社會住宅工程，合約金額 79.2 億元。每月營收以 9 億元計算，德昌 (5511-TW) 未來 4 年營收無虞。


此外，德昌 (5511-TW) 亦受政府單位委託代為辦理土地開發，在手項目包含「鳳山工業區」、「旺來工業區」、「南星計畫遊艇產業園區」、「草屯手工藝產業園區」、「新市產業園區」。此業務為勞務收入，成本低廉，毛利率高達 8 成。


啟發投顧證券分析師丁彥鈞表示，德昌 (5511-TW)2023 年第 1 季勞務收入占比較高，EPS 衝上 3.35 元。第 2 季在營收大幅增加的情況下，獲利有望超過第 1 季的水準。德昌(5511-TW) 於 7 月 20 日完成填息，7 月 24 日股價再創歷史新高，擠下根基 (2546-TW) 成為營造股的股王。


若想參考德昌 (5511-TW) 更為詳細的個股研究報告或分析師所追蹤之其他標的，歡迎加入 Line 免費社群或 FB 社團。


FB 社團：


https://www.facebook.com/groups/325444274604683


Line 免費社群：


https://line.me/ti/g2/g07Xbf8Qyk8YPIae39KoCd1MKfK6iMiEoAqeqw?utm_source=invitation&utm_medium=link_copy&utm_campaign=default


YouTube 頻道：


https://www.youtube.com/@user-bq6wz9kr7v


本公司所推薦分析之個別有價證券

無不當之財務利益關係 以往之績效不保證未來獲利

投資人應獨立判斷 審慎評估並自負投資風險",2023-07-24 14:23:12,12391,無摘要,德昌在手工程大增 股價填息再創歷史新高 躍升營造股王,"['啟發投顧', '丁彥鈞', '德昌', '高殖利率', '根基', '趨勢分析', '營建營造']","['德昌', '根基']",55a5d07a-2e18-4846-831c-2153ecb94b06
"台股今 (24) 日早盤跌破月線，但在 AI 股、散熱族群撐盤下，加權指數一度翻揚但追價買盤並未湧現，終場加權指數只小漲 2.91 點、收在 17033.61 點，留下影線 171 點，守住月線，成交值 4045.23 億元；三大法人賣超 176.22 億元。


觀察三大法人今天籌碼動向，外資賣超 195.2 億元，為連 3 賣；投信賣超 29.91 億元，為連 8 賣；自營商不離棄買超 48.89 億元，三大法人合計賣超 176.22 億元。",2023-07-24 15:00:20,12390,無摘要,台股險守月線三大法人賣超176.22億元 外資再倒195億元,"['三大法人買賣超', '籌碼', '外資', '自營商', '投信']",[],cc8de3ce-8605-4f50-a0e7-d3c283b0fcb5
"國際石塑地板製造業者美喆 - KY(8466-TW) 發行 CB 已完成募集 5.05 億元，預計在 7 月 26 日上櫃交易，轉換價訂爲 52.8 元，轉換溢價率爲 106%，美喆 - KY 此次發行 CB 進行市場籌資，主要爲發行新債償還於 2020 發行的舊 CB。


美喆 - KY 在獲市場急單挹注下，5 月及 6 月營收表現較佳，主要受惠外銷代工客戶急單需求，美喆 - KY 今 (2023) 年 6 月營收 2.78 億元，月增 0.93%，年減 10.96%，2023 年第二季營收爲 8.16 億元，也爲 4 個季度的新高，季增 52.96%，年減 23.04%。2023 年 1-6 月美喆 - KY 營收 13.49 億元，年減 34.76%。


美喆 - KY 表示，受惠外銷代工業務訂單需求持續增溫，加上集團深化歐洲及美市場 LVT、SPC 石塑地磚業務接單效益逐步展現，其中 SPC 石塑地磚銷售仍保持 3 個月月增力道，推升 2023 年第二季 SPC 石塑地磚比重提升至 28%，同時集團也積極優化台南廠生產學習曲線等，助力美喆 - KY 6 月營收表現繳出近 11 個月新高記錄。


美喆 - KY 指出，目前積極優化台南新廠學習曲線，有助於吸引北美地區品牌商、區域經銷商洽談合作機會，目前仍陸續進行台南新廠認證作業，有助於推升整體業務拓展，推升台南新廠產能稼動率，以創造整體營運正面效果挹注。


美喆 - KY 在 2023 年第一季營收 5.53 億元，稅後虧損 4421 萬元，較去年同期由盈轉虧，每股虧損 0.67 元。",2023-07-24 15:16:13,12389,國際石塑地板製造業者美喆 - KY(8466-TW) 發行 CB 已完成募集 5.05 億元，預計在 7 月 26 日上櫃交易，轉換價訂爲 52.8 元，轉換溢價率爲 106%，美喆 - KY 此次發行 CB 進行市場籌資，主要爲發行新債償舊 CB。,美喆-KY發行CB完成募集5.05億元 7/26上櫃交易,"['美喆', 'CB', '虧損']",['美喆-KY'],b5c3264e-d791-4290-94a1-b6ff7e9498e8
"帆宣 (6196-TW) 受惠美國、中國兩大地區需求熱絡，上半年營收表現年增 28% 優於產業平均，近期傳出帆宣在美國當地工程狀況良好，取得更多訂單，帶動今年營運從持平轉為小幅成長。


晶圓代工龍頭美國廠在廠務工程端由漢唐與帆宣分食，再由兩家外包給當地下游包商，據了解，由於兩家發包與施工模式差異，加上帆宣因先前在威州有管理經驗，管理方式較貼近美國當地施工狀況，取得更多水氣化工程訂單，無塵室與 MEP(機電空調系統)、AAS(排氣系統) 則由漢唐進行施工。


晶圓代工龍頭目前正積極解決設備安裝人員不足影響，預計下半年將持續強化力道，預計在管理模式差異下，帆宣可望取得更多訂單，挹注未來營運表現，對此帆宣不回應單一客戶事宜。


帆宣目前在手訂單仍達 600 億元以上，且下半年將持續認列客戶美國廠營收，有助下半年營運再優於上半年，全年則再度挑戰歷史新高，為連續四年改寫新猷。",2023-07-24 15:41:31,12388,帆宣 (6196-TW) 近期受惠美國、中國兩大地區需求熱絡，上半年營收表現年增 28%，優於產業表現，近期也傳出帆宣在美國當地工程狀況良好，取得更多訂單，帶動今年營運從持平轉為小幅成長；對此帆宣不回應單一客戶事宜。,〈帆宣展望〉美國業務新進展 今年展望優預期,"['帆宣', '美國', '亞利桑那', '無塵室', '水氣化工程']",['帆宣'],201c4628-34f6-4b55-a830-0b3a8a604d54
"帆宣 (6196-TW) 除了硬體設備銷售外，近年也透過自身數據累積，加上工研院 AI 分析技術，開發設備預診斷 (PHM) 系統，並已獲晶圓代工廠青睞採用，成功將數據變現。


帆宣 PHM 系統透過整合設備大數據與分析技術，提前提醒客戶設備可能發生的狀況，減少非預期性的設備維修與意外，不僅可以方便設備停機更換、估算產能變化，更有助工廠安排人力，相比過去僅定期通知客戶進行維修，提供更高附加價值。


帆宣 PHM 系統主要與工研院合作，透過 AI 分析技術，協助硬體產業數位轉型，也大幅提升設備效能，也是硬體業者將數據變現的方式之一。


另外，帆宣轉投資亞達科技也透過 AI 技術，將設備維修 SOP 化，可提升工程師維修品質的穩定性，同時結合 VR 裝置，強化維修人員訓練效率與降低維修錯誤率。",2023-07-24 15:41:50,12387,帆宣 (6196-TW) 除了硬體設備銷售外，近年也透過自身數據累積，加上工研院 AI 分析技術，開發設備預診斷 (PHM) 系統，並已獲晶圓代工廠青睞採用，成功將數據變現。,〈帆宣展望〉自研AI PHM系統 導入晶圓代工廠,"['帆宣', 'AI', '設備', '半導體', 'SOP', 'VR', 'PHM']",['帆宣'],2b75e58b-f452-480e-adae-bb0c4a226683
"我上禮拜五的文章有寫到說，華碩 (2357-TW) 能夠漲停板創歷史新高，就是 AI 股票持續有資金進駐拉抬的最直接表現。果然今天 AI 伺服器和散熱族群的股票，成為除了造紙以外，少數維持強勢的股票。華碩第二根漲停板，廣達 (2382-TW)、技嘉 (2376-TW)、廣明 (6188-TW) 也攻上漲停板，緯創 (3231-TW)、廣運 (6125-TW) 大漲超過 7%。這些股票不變的慣性就是拉回就必須找機會買進，否則一轉眼就繼續衝新高，這就是高姿態強勢股的習性，盤整期短，漲勢幅度大。


高姿態的強勢股如何介入？歡迎點下方連結加入好友私訊詢問。


https://lin.ee/6rOzncL


投資人可能會問：「我就是沒有買到廣達、技嘉或緯創，或者說這樣高姿態的股票我也不曉得如何進場，甚至根本不敢進場，那該怎麼辦？」其實我上禮拜五的文章也有重點提到說：「像震盪回檔幅度比較大的股票像宏碁、和碩、佳世達、仁寶、神達都已出現止跌跡象」。若你看好一檔股票後勢，回檔後出現止跌，止跌後進一步有拉抬紅 K 轉強，就是你可以比較安全積極介入的時機。我們不去預測低點就不會接下落的刀子，當你觀察到止跌並出現轉強紅 K 才去買進，就不算預測低點。買轉強絕對會比接低點來的安全。


協禧 (3071-TW) 就是標準回檔止跌後出現轉強紅 K，7/21 轉強紅棒出現後，今日續強再攻一根漲停板。湧德 (3689-TW) 也是一樣走勢，且已攻過回檔下來的高點。




仁寶 (2324-TW)、和碩 (4938-TW)、宏碁 (2353-TW)、瀚宇博 (5469-TW)、曜越 (3540-TW)、豪勉 (6218-TW) 也都是止跌後出現轉強紅 K，但漲幅還沒有像協禧和湧德那麼大。




我們看到協禧和湧德在止跌後已快速拉升漲幅，湧德甚至再次攻過前高，協禧只差臨門一腳就要越過前高。剩下還沒漲多的 AI 股，仁寶、和碩、宏碁等該如何操作呢？後續請點擊下方連結加入我的 LINE 官方帳號追蹤與關注。或 LINE 搜尋 ID: @MORE989


台股鈔能力 - 陳冠廷分析師 
https://lin.ee/6rOzncL


本公司所推薦分析之個別有價證券

無不當之財務利益關係 以往之績效不保證未來獲利

投資人應獨立判投斷 審慎評估並自負資風險",2023-07-24 16:15:49,12386,無摘要,沒買到廣達和技嘉，如何從回檔止跌的AI股找尋新機會？,"['趨勢分析', '華碩', '廣達', '緯創', '技嘉', '宏碁', '和碩', '協禧', '仁寶', '瀚宇博', '曜越', '豪勉', '湧德']","['華碩', '廣達', '曜越', '瀚宇博', '\ufeff宏碁', '和碩', '仁寶', '湧德', '協禧', '廣運', '緯創', '廣明', '技嘉', '豪勉']",161545df-21a9-409d-a769-c362940fa8f6
"網通廠四零四 (Moxa) 今 (24) 日表示， 獲 HR Asia 今年亞洲最佳企業雇主獎和多元、平等和包容獎，兩項殊榮體現四零四在打造良好職場環境方面的卓越表現，並在多元、平等和共融等面向成功的實踐。


四零四台灣區總經理林世偉表示，這是公司 5 月獲得 Achievers 最佳職場全球 50 大企業及企業當責與績效精英獎後，再獲得雙料獎項，是對我們秉持以員工為中心、注重長遠價值、樂於分享，以及建立高參與度和歸屬感的企業文化，更是激發全體同仁群體動能的催化劑。


四零四成立以來致力形塑一個讓員工高度參與公司成長，並分享成果的職場環境，而這次以核心價值 (Core)、員工 (Self) 和團隊 (Group) 三大維度，以及員工參與度策略、員工獎勵、人才發展、職場多元／平等／包容、職場福祉、企業數位化等六項關鍵指標中均以高分獲獎。


四零四表示，公司重視多樣性，尊重不同背景、經歷和觀點，其中每年全球員工意見調查，給予每位員工發聲的機會，開放式溝通不僅賦予員工參與塑造公司未來發展的權利和機會，同時也為管理層和經營團隊提供了寶貴的反饋意見。


四零四表示，目前也透過績效評估來提供相關在職訓練，使同仁能持續提升管理力與績效水平，一起打造長期發展的共同願景和一致的戰略目標。


四零四持續提供多元的企業文化活動和員工獎勵計畫，積極促進員工福祉和提升同仁參與度，更邀請員工參與新企業總部大樓的空間設計，以期打造理想的工作環境和使用者體驗，助公司持續成長並奠定成功基礎。",2023-07-24 16:23:46,12385,網通廠四零四 (Moxa) 今 (24) 日表示， 獲 HR Asia 今年亞洲最佳企業雇主獎和多元、平等和包容獎，兩項殊榮體現四零四在打造良好職場環境方面的卓越表現，並在多元、平等和共融等面向成功的實踐。,網通廠四零四職場環境受肯定 獲HR Asia兩獎項,"['網通', '四零四', 'HR Asia', '亞洲最佳企業雇主獎']",[],b9b3204c-76ed-4feb-bdca-c7fc95ed21e5
"東森 (2614-TW) 轉投資東森寵物雲今 (24) 日宣布，與全台最大動物醫院慈愛動物醫院合作，於台南市開出動物醫院複合門市，並預計，下半年總展店數達 26 家，其中將續開 1-2 家複合店，營運穩健成長中。


東森表示，東森寵物雲上半年營收達 12 億元，年增 4%，目前全台門市已達 136 家，預計下半年預計再開 26 家，穩居最大規模連鎖寵物店，此次與慈愛動物醫院合作，開出寵物店結合動物醫院的複合門市，預計此類複合據點今年將再增加 1-2 家。


「東森寵物永康永大店 X 慈愛動物醫院大灣分院」聯合開幕後，不僅提供寵物購物和美容體驗，也將設有醫療服務，為慶祝新開幕，慈愛動物醫院大灣分院也推出疫苗免費兌換券、胸腔 X 光及腎功能檢查、全套血檢優惠等服務。


東森寵物雲表示， 在台南地區已開出 19 家東森寵物門市，此次一同參與活動，而下半年也將陸續開出新據點，有助穩定拓展營收動能。",2023-07-24 16:30:06,12384,東森開動物醫院結合寵物店複合門市 下半年總展店數逾 20 家,東森開動物醫院結合寵物店複合門市 下半年總展店數逾20家,"['東森', '寵物', '連鎖', '電商', '零售']",['東森'],399a0b75-74bf-4977-bad3-1f6607420061
"經濟部統計處今 (24) 日公布台灣批發、零售及餐飲業營業額統計，其中餐飲業受惠於端午連假、畢業季等聚餐效應，單月營業額 834 億元、年增 34.7%，寫歷年同月新高紀錄。


但根據統計處預估，受到高基期效應影響，預估 7 月餐飲業營業額約落在 849~872 億元，年增幅縮小至 12%~15%。經濟部統計處副處長黃偉傑說，主要與去 (2022) 年高基期有關。


根據經濟部公布，6 月餐飲業營業額 834 億元，與去年同期相比，餐飲業營業額年增 34.7%。


黃偉傑說，餐館業受惠端午連假、畢業季帶動聚餐效應，加以比較基期偏低，帶動年增 36.1%；飲料店業則因連假出遊潮，加上天氣炎熱，帶動冰飲品需求增加，年增幅 16.0%。


另外，外燴及團膳承包業因航班旅運人次回升，帶動空廚餐點需求增加，加上去年同期部分學校因疫情停課，衝擊團膳營收，比較基期較低，使得年增幅高達 71.8%。


統計處表示，如按照季度比較，第 2 季餐飲業營業額 2486 億元，季減 2.6%，年增 36.9%；統計上半年餐飲業營業額為 5038 億元，創歷年同期新高，年增幅 26.3%。",2023-07-24 16:31:59,12383,經濟部統計處今 (24) 日公布批發、零售及餐飲業營業額統計，其中餐飲業受惠於端午連假、畢業季等聚餐效應，單月營業額 834 億元、年增 34.7%，寫歷年同月新高紀錄。,端午連假、畢業季聚餐帶動 台灣6月餐飲零售額834億元、年增逾3成,"['餐飲', '營業額', '零售']",[],d2926d09-ac9c-4b4d-a628-22c1be5369c6
"台灣自有品牌過濾大廠旭然 (4556-TW) 積極深化 ESG 永續經營方針，不僅持續推動綠色製程、設立企業獎學金、積極培育人才，今 (24) 日並與玉山銀行簽訂員工持股信託契約。


旭然指出，為增進員工對公司的向心力、保障員工未來退休經濟生活的穩定，今天由旭然董事長何兆全與玉山銀行簽訂員工持股信託契約，將每月自員工薪資提撥自提金、以及公司提撥之獎勵金，共同交付玉山銀行信託管理，透過員工薪酬多元化增進福利，深化凝聚員工對公司向心力，達到留才、擴大新血招募效果，齊心提升營運績效並共享經營成果，奠定公司長期永續經營。


旭然「企業永續經營、人才為本」理念，首次辦理員工持股信託方案預計 7 月正式啟動，依照員工職等、考績的員工，以及公司前一年度營運成果，訂定自願參與員工提撥金額扣款標準及公司相對提撥獎勵金額，定期存入員工信託專戶，；以基層員工為例，每月最少提撥 2,000 元，並依照公司前一年度營運成果最低提撥 50％獎勵金，再加上員工考績定期調薪，換算每年調薪幅度達 2-6%，不僅讓員工成為公司股東，齊心創造公司營運良好發展，一同分享公司利潤，也相當額外薪資加給，而長期累積投入的金額，也有助於保障員工退休生活。


旭然近年積極深化 ESG 永續經營方針，不僅持續推動綠色製程、設立企業獎學金、積極培育人才等，其中旗下雲科二廠頂樓設置雨水回收系統，回收的雨水經過自有品牌 Filtrafine 過濾設備後，即可供廠房廁所、澆花等生活用水，為環境盡一份心力，同時於去年起積極鼓勵員工參與節能減碳活動或說明會，並於 2023 年正式啟動溫室氣體盤查計畫，戮力完善綠色競爭力目標。",2023-07-24 16:33:00,12382,台灣自有品牌過濾大廠旭然 (4556-TW) 積極深化 ESG 永續經營方針，不僅持續推動綠色製程、設立企業獎學金、積極培育人才，今 (24) 日並與玉山銀行簽訂員工持股信託契約。,〈ESG狂潮〉旭然深化永續經營推動綠色製程 今簽訂員工持股信託契約,"['旭然', '持股信託', 'ESG']",['旭然'],29565d51-3cfd-458a-aaac-f00c1064ef30
