,ds,open_price,high_price,low_price,y,volume,foreign,investment,dealer,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,ratio_over_1000_shares
0,2022-11-01,645.0,677.0,639.0,676.0,9213079,246400,94000,20355,44.75,16,8,10,13.94
1,2022-11-02,677.0,685.0,662.0,678.0,7115353,-380750,142000,-10419,44.75,16,8,10,13.94
2,2022-11-03,665.0,709.0,662.0,701.0,8999573,-150943,346000,78551,44.75,16,8,10,13.94
3,2022-11-04,695.0,725.0,695.0,725.0,8122316,-640397,126000,6482,44.75,16,8,10,13.94
4,2022-11-07,750.0,797.0,736.0,797.0,10380845,-746500,529000,100968,45.08,22,5,9,13.31
5,2022-11-08,801.0,825.0,765.0,778.0,11922094,-80000,-132000,-81084,45.08,22,5,9,13.31
6,2022-11-09,789.0,801.0,770.0,790.0,7414070,87000,5000,-1232,45.08,22,5,9,13.31
7,2022-11-10,784.0,817.0,783.0,800.0,6572273,533605,-5000,13533,45.08,22,5,9,13.31
8,2022-11-11,855.0,868.0,823.0,823.0,9890859,-214080,440000,47550,45.08,22,5,9,13.31
9,2022-11-14,829.0,843.0,823.0,830.0,5163451,377095,-54000,-16962,45.9,13,11,12,11.76
10,2022-11-15,837.0,855.0,815.0,843.0,7069844,647077,-10000,-3469,45.9,13,11,12,11.76
11,2022-11-16,848.0,867.0,840.0,860.0,6898488,595968,65000,13353,45.9,13,11,12,11.76
12,2022-11-17,865.0,883.0,861.0,882.0,5358533,-371000,97000,1890,45.9,13,11,12,11.76
13,2022-11-18,886.0,895.0,863.0,875.0,6199010,252800,95000,-93593,45.9,13,11,12,11.76
14,2022-11-21,885.0,910.0,882.0,890.0,4738823,-46000,24000,-5731,46.39,15,10,7,18.25
15,2022-11-22,903.0,906.0,858.0,862.0,6747955,-17200,-165000,-2881,46.39,15,10,7,18.25
16,2022-11-23,879.0,894.0,873.0,879.0,5612122,635600,27000,-10941,46.39,15,10,7,18.25
17,2022-11-24,890.0,925.0,882.0,916.0,6362154,106973,59000,133446,46.39,15,10,7,18.25
18,2022-11-25,916.0,918.0,875.0,883.0,4871107,-516144,6000,-54164,46.39,15,10,7,18.25
19,2022-11-28,877.0,906.0,875.0,890.0,3673119,82000,41000,-39,45.25,14,11,9,13.36
20,2022-11-29,893.0,905.0,870.0,902.0,3668523,144934,64000,-18812,45.25,14,11,9,13.36
21,2022-11-30,908.0,943.0,906.0,927.0,5683009,24542,71000,60443,45.25,14,11,9,13.36
22,2022-12-01,952.0,960.0,895.0,895.0,7426897,-842666,111000,-62867,45.25,14,11,9,13.36
23,2022-12-02,902.0,918.0,890.0,913.0,4251808,237102,-42000,-12116,45.25,14,11,9,13.36
24,2022-12-05,918.0,928.0,899.0,909.0,3468849,173752,-116000,-24676,46.17,14,8,10,16.18
25,2022-12-06,907.0,918.0,894.0,894.0,3142275,-179564,-35000,20737,46.17,14,8,10,16.18
26,2022-12-07,895.0,895.0,857.0,858.0,5040321,152934,5000,-72207,46.17,14,8,10,16.18
27,2022-12-08,859.0,879.0,853.0,878.0,3358918,-100,12000,51461,46.17,14,8,10,16.18
28,2022-12-09,925.0,926.0,898.0,915.0,6807552,496826,55000,84765,46.17,14,8,10,16.18
29,2022-12-12,914.0,920.0,875.0,879.0,4280193,-416620,-8000,-96552,46.27,14,8,11,14.92
30,2022-12-13,891.0,905.0,865.0,865.0,4158466,-32230,18000,8650,46.27,14,8,11,14.92
31,2022-12-14,877.0,914.0,873.0,911.0,4785723,936109,11000,102553,46.27,14,8,11,14.92
32,2022-12-15,908.0,911.0,872.0,885.0,4658897,-746807,-55000,-25805,46.27,14,8,11,14.92
33,2022-12-16,870.0,877.0,854.0,876.0,3720654,148688,30000,-3679,46.27,14,8,11,14.92
34,2022-12-19,870.0,886.0,857.0,885.0,2899115,132286,68000,-14732,45.96,14,7,10,16.72
35,2022-12-20,879.0,898.0,812.0,823.0,7170444,-24240,-287000,-91534,45.96,14,7,10,16.72
36,2022-12-21,830.0,836.0,807.0,809.0,3866705,-116500,-18000,6913,45.96,14,7,10,16.72
37,2022-12-22,826.0,833.0,801.0,814.0,3783959,156291,-63000,-4388,45.96,14,7,10,16.72
38,2022-12-23,796.0,815.0,791.0,803.0,2949646,257000,-273000,-4308,45.96,14,7,10,16.72
39,2022-12-26,810.0,810.0,773.0,781.0,3598173,80000,-80000,-10013,47.17,14,7,10,18.38
40,2022-12-27,783.0,792.0,773.0,780.0,3550896,143000,-59000,16703,47.17,14,7,10,18.38
41,2022-12-28,765.0,771.0,731.0,750.0,6600180,834707,-263000,-82721,47.17,14,7,10,18.38
42,2022-12-29,745.0,773.0,739.0,769.0,3240547,-311484,150000,20822,47.17,14,7,10,18.38
43,2022-12-30,783.0,798.0,776.0,788.0,5091653,-641289,411000,19369,47.17,14,7,10,18.38
44,2023-01-03,798.0,855.0,796.0,855.0,6365329,315000,442000,135657,45.81,16,7,7,19.1
45,2023-01-04,850.0,882.0,844.0,879.0,6156121,-249078,439000,-10997,45.81,16,7,7,19.1
46,2023-01-05,888.0,897.0,851.0,857.0,6189016,174826,58000,-40778,45.81,16,7,7,19.1
47,2023-01-06,860.0,868.0,831.0,837.0,4465787,-400553,-22000,-3060,45.81,16,7,7,19.1
48,2023-01-09,859.0,873.0,849.0,854.0,5261930,-200512,15000,93034,44.98,16,9,7,16.26
49,2023-01-10,859.0,868.0,836.0,851.0,3226082,-22950,-83000,2840,44.98,16,9,7,16.26
50,2023-01-11,846.0,849.0,822.0,833.0,4500690,-35460,-330000,-35960,44.98,16,9,7,16.26
51,2023-01-12,833.0,844.0,827.0,839.0,2455613,346000,-2000,-18742,44.98,16,9,7,16.26
52,2023-01-13,848.0,858.0,837.0,837.0,3060341,109000,86000,-4672,44.98,16,9,7,16.26
53,2023-01-16,848.0,868.0,837.0,862.0,3018308,482164,22000,39089,43.91,13,7,8,18.2
54,2023-01-17,860.0,861.0,843.0,846.0,2701508,-245151,105000,-3000,43.91,13,7,8,18.2
55,2023-01-30,879.0,900.0,863.0,864.0,5231500,-779352,282000,124294,45.51,14,9,7,18.16
56,2023-01-31,861.0,864.0,839.0,843.0,3192245,-463490,20000,-20252,45.51,14,9,7,18.16
57,2023-02-01,855.0,889.0,852.0,888.0,4312383,756000,85000,85586,45.51,14,9,7,18.16
58,2023-02-02,902.0,935.0,898.0,926.0,6337593,232853,295000,137368,45.51,14,9,7,18.16
59,2023-02-03,931.0,950.0,917.0,943.0,5805994,-105412,461000,-1774,45.51,14,9,7,18.16
60,2023-02-06,927.0,935.0,904.0,933.0,3761649,96381,191000,-61790,46.12,15,9,6,18.96
61,2023-02-07,938.0,954.0,923.0,949.0,4280892,141386,178000,44910,46.12,15,9,6,18.96
62,2023-02-08,970.0,1010.0,958.0,998.0,7627915,17754,82000,147867,46.12,15,9,6,18.96
63,2023-02-09,995.0,1020.0,981.0,1005.0,4358894,-109811,190000,-21917,46.12,15,9,6,18.96
64,2023-02-10,1000.0,1005.0,948.0,978.0,5502614,-283703,365000,-114020,46.12,15,9,6,18.96
65,2023-02-13,990.0,1020.0,957.0,959.0,5787196,-1151880,196000,17978,42.02,16,5,7,16.99
66,2023-02-14,953.0,974.0,909.0,912.0,7385062,-2141235,106000,-66462,42.02,16,5,7,16.99
67,2023-02-15,909.0,928.0,906.0,920.0,4062179,-59000,103000,25981,42.02,16,5,7,16.99
68,2023-02-16,937.0,983.0,930.0,961.0,6015293,1187746,22000,101950,42.02,16,5,7,16.99
69,2023-02-17,954.0,957.0,915.0,929.0,5033397,-938834,-64000,-55598,42.02,16,5,7,16.99
70,2023-02-20,931.0,954.0,926.0,927.0,3127097,-169928,16000,-26666,40.21,19,4,7,14.38
71,2023-02-21,939.0,945.0,923.0,940.0,3425925,-392923,-10000,38114,40.21,19,4,7,14.38
72,2023-02-22,932.0,933.0,900.0,900.0,6020850,-494600,-16000,-92558,40.21,19,4,7,14.38
73,2023-02-23,922.0,980.0,919.0,958.0,8895636,1570938,126000,102353,40.21,19,4,7,14.38
74,2023-02-24,980.0,993.0,935.0,944.0,7200410,-504914,38000,-1783,40.21,19,4,7,14.38
75,2023-03-01,948.0,1035.0,933.0,1035.0,9164861,1441961,63000,176599,40.62,16,6,6,16.06
76,2023-03-02,1035.0,1050.0,999.0,1005.0,5999611,-422616,13000,17515,40.62,16,6,6,16.06
77,2023-03-03,1025.0,1050.0,932.0,968.0,7237049,-562825,18600,-37575,40.62,16,6,6,16.06
78,2023-03-06,990.0,992.0,945.0,957.0,4820416,-1277944,-62000,-8344,39.51,17,5,8,12.36
79,2023-03-07,969.0,969.0,946.0,957.0,2784163,17751,-153000,-10366,39.51,17,5,8,12.36
80,2023-03-08,956.0,1045.0,949.0,1000.0,7963680,278000,-45000,243744,39.51,17,5,8,12.36
81,2023-03-09,1015.0,1050.0,1005.0,1030.0,5407178,354703,76000,-19202,39.51,17,5,8,12.36
82,2023-03-10,1010.0,1025.0,984.0,998.0,4458744,-15995,-19400,-115081,39.51,17,5,8,12.36
83,2023-03-13,1005.0,1015.0,962.0,998.0,6837229,-454624,-10000,-19617,38.65,16,6,6,13.7
84,2023-03-14,1000.0,1030.0,989.0,989.0,6172043,143885,23500,35791,38.65,16,6,6,13.7
85,2023-03-15,1020.0,1070.0,1020.0,1025.0,7445857,205000,7000,51012,38.65,16,6,6,13.7
86,2023-03-16,1065.0,1125.0,1055.0,1125.0,11669200,899185,197000,42659,38.65,16,6,6,13.7
87,2023-03-17,1180.0,1235.0,1150.0,1205.0,12275664,99593,-90000,15419,38.65,16,6,6,13.7
88,2023-03-20,1195.0,1245.0,1190.0,1245.0,5346712,234211,-150000,-14694,40.41,17,6,7,14.02
89,2023-03-21,1250.0,1290.0,1220.0,1290.0,6907103,331718,-68000,-8715,40.41,17,6,7,14.02
90,2023-03-22,1315.0,1315.0,1275.0,1305.0,5062641,-3006,-158000,-57226,40.41,17,6,7,14.02
91,2023-03-23,1290.0,1335.0,1280.0,1305.0,4827014,-89050,-76000,25412,40.41,17,6,7,14.02
92,2023-03-24,1310.0,1325.0,1245.0,1255.0,5304100,-325499,-95000,-36199,40.41,17,6,7,14.02
93,2023-03-27,1255.0,1280.0,1240.0,1260.0,3496768,-59897,-170000,-543,40.43,16,6,7,14.52
94,2023-03-28,1250.0,1260.0,1210.0,1215.0,3554826,182208,-42000,-90114,40.43,16,6,7,14.52
95,2023-03-29,1230.0,1230.0,1140.0,1210.0,5861687,199001,-354000,-177764,40.43,16,6,7,14.52
96,2023-03-30,1215.0,1230.0,1180.0,1180.0,2715301,-322169,-34000,29233,40.43,16,6,7,14.52
97,2023-03-31,1200.0,1260.0,1190.0,1240.0,2868324,174130,-11000,85141,40.43,16,6,7,14.52
98,2023-04-06,1210.0,1240.0,1185.0,1210.0,2396974,-125440,63000,-19450,41.64,16,5,9,14.82
99,2023-04-07,1230.0,1265.0,1195.0,1250.0,2850493,-252302,203000,55367,41.64,16,5,9,14.82
100,2023-04-10,1265.0,1330.0,1260.0,1315.0,4343548,-763086,64000,101066,41.07,19,5,8,13.32
101,2023-04-11,1375.0,1385.0,1315.0,1345.0,7395928,-16384,-69000,-98045,41.07,19,5,8,13.32
102,2023-04-12,1330.0,1350.0,1295.0,1340.0,3611347,605271,32000,-24014,41.07,19,5,8,13.32
103,2023-04-13,1325.0,1340.0,1290.0,1290.0,3217629,-138760,-3000,-10852,41.07,19,5,8,13.32
104,2023-04-14,1310.0,1370.0,1310.0,1360.0,4022046,671602,3000,45653,41.07,19,5,8,13.32
105,2023-04-17,1345.0,1370.0,1330.0,1340.0,2669745,-36747,-14000,-26241,42.65,18,5,7,16.96
106,2023-04-18,1350.0,1365.0,1270.0,1280.0,4470440,49649,-58000,-96088,42.65,18,5,7,16.96
107,2023-04-19,1300.0,1330.0,1270.0,1295.0,3781080,740959,-161000,-12160,42.65,18,5,7,16.96
108,2023-04-20,1300.0,1330.0,1280.0,1315.0,3294488,311165,-2000,73869,42.65,18,5,7,16.96
109,2023-04-21,1320.0,1320.0,1190.0,1195.0,7421168,-288382,-29000,-273369,42.65,18,5,7,16.96
110,2023-04-24,1195.0,1210.0,1175.0,1210.0,3340130,109708,-235000,13400,44.57,15,4,6,22.78
111,2023-04-25,1210.0,1215.0,1120.0,1135.0,5990495,1168029,-782000,-87385,44.57,15,4,6,22.78
112,2023-04-26,1140.0,1180.0,1135.0,1170.0,4736467,177908,-161000,67690,44.57,15,4,6,22.78
113,2023-04-27,1170.0,1245.0,1130.0,1215.0,6226158,-92330,-175000,90274,44.57,15,4,6,22.78
114,2023-04-28,1240.0,1250.0,1185.0,1185.0,4646282,-1252964,-49000,-46139,44.57,15,4,6,22.78
115,2023-05-02,1200.0,1290.0,1190.0,1260.0,5292774,377108,4000,114367,43.34,15,4,9,17.73
116,2023-05-03,1245.0,1265.0,1220.0,1230.0,2674631,-269239,28000,-47337,43.34,15,4,9,17.73
117,2023-05-04,1240.0,1270.0,1220.0,1225.0,3053205,-365924,83000,5271,43.34,15,4,9,17.73
118,2023-05-05,1250.0,1265.0,1220.0,1260.0,2723708,260856,35000,16881,43.34,15,4,9,17.73
119,2023-05-08,1275.0,1325.0,1255.0,1260.0,4950190,-727334,-8593,58021,42.19,16,5,7,17.76
120,2023-05-09,1280.0,1285.0,1245.0,1275.0,2983732,-235397,44494,6074,42.19,16,5,7,17.76
121,2023-05-10,1300.0,1345.0,1270.0,1345.0,8860335,1073743,359296,10987,42.19,16,5,7,17.76
122,2023-05-11,1350.0,1355.0,1305.0,1305.0,3577731,-339366,15395,-71629,42.19,16,5,7,17.76
