,n_lags,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,4,True,True,23.647621154785156,1.9578032512868133
1,2,True,True,25.53128433227539,2.0347118965025137
6,7,True,True,25.37881851196289,2.0862939381803307
2,3,True,True,25.814332962036133,2.0889306879822347
8,9,True,True,26.013721466064453,2.1314516616832533
9,10,True,True,28.020809173583984,2.195988193912552
11,12,True,True,38.555519104003906,3.1574470584079273
7,8,True,True,41.50270080566406,3.448850606360924
4,5,True,True,43.26901626586914,3.677669989249319
5,6,True,True,57.506893157958984,4.919095083109245
13,14,True,True,65.44078063964844,5.433258046453389
14,15,True,True,79.42249298095703,6.552879758965689
10,11,True,True,82.74373626708984,6.846168549241348
12,13,True,True,99.72847747802734,8.080412651182392
0,1,True,True,94.97574615478516,8.312970051685893
