,MA,high_low_diff,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,0,5,7,True,0,False,False,5.425105571746826,1.5081306436973827
0,0,0,7,True,0,False,False,5.480199813842773,1.5163825296814901
1,0,0,7,True,5,False,False,5.538132190704346,1.543350993152271
23,10,5,7,True,10,False,False,5.596866130828857,1.5998726563293806
17,5,10,7,True,10,False,False,5.897388458251953,1.6690282675960497
25,10,10,7,True,5,False,False,5.875197887420654,1.6748089732573288
18,10,0,7,True,0,False,False,11.6937837600708,3.464497405440941
2,0,0,7,True,10,False,False,12.622238159179688,3.5335324684672904
4,0,5,7,True,5,False,False,12.71137809753418,3.5424758681490434
6,0,10,7,True,0,False,False,12.605135917663574,3.5431032939976106
12,5,5,7,True,0,False,False,12.84915542602539,3.5759875835415773
10,5,0,7,True,5,False,False,12.96188735961914,3.5805800415790374
19,10,0,7,True,5,False,False,14.810283660888672,4.251369954658113
14,5,5,7,True,10,False,False,15.278022766113281,4.371116172347491
5,0,5,7,True,10,False,False,15.391286849975586,4.39035496690348
20,10,0,7,True,10,False,False,15.29511833190918,4.39684919194533
7,0,10,7,True,5,False,False,14.961345672607422,4.3982844149031575
21,10,5,7,True,0,False,False,15.208786964416504,4.434657384132401
24,10,10,7,True,0,False,False,15.358345985412598,4.580137912089988
13,5,5,7,True,5,False,False,16.96009635925293,4.750091976672658
11,5,0,7,True,10,False,False,16.69487953186035,4.786192555557204
15,5,10,7,True,0,False,False,16.523643493652344,4.797955293312763
8,0,10,7,True,10,False,False,17.473657608032227,4.938578775039863
22,10,5,7,True,5,False,False,19.568208694458008,5.231649139164967
16,5,10,7,True,5,False,False,22.493900299072266,5.876627687149956
26,10,10,7,True,10,False,False,31.60753631591797,9.442730241510464
9,5,0,7,True,0,False,False,40.0666389465332,9.751125616509118
