,MA,dealer,foreign,high_low_diff,investment,n_lags,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
16,0,3,5,0,3,2,True,10,True,False,2.5116260051727295,1.0995964281963433
9,0,3,1,0,1,2,True,10,True,False,2.5716707706451416,1.1057598410936724
20,0,5,1,0,5,2,True,10,True,False,2.5980448722839355,1.1214691412981184
1,0,1,1,0,3,2,True,10,True,False,2.5860066413879395,1.1231983550370477
0,0,1,1,0,1,2,True,10,True,False,2.5159049034118652,1.1241611531477496
23,0,5,3,0,5,2,True,10,True,False,2.6319546699523926,1.142378773196162
24,0,5,5,0,1,2,True,10,True,False,2.572089910507202,1.143018397619583
14,0,3,3,0,5,2,True,10,True,False,2.5613152980804443,1.1451187502507147
22,0,5,3,0,3,2,True,10,True,False,2.5692317485809326,1.1515496806170704
17,0,3,5,0,5,2,True,10,True,False,2.6155149936676025,1.1531492682787081
3,0,1,3,0,1,2,True,10,True,False,2.6566569805145264,1.1616031245538028
25,0,5,5,0,3,2,True,10,True,False,2.8756418228149414,1.2442624838338074
8,0,1,5,0,5,2,True,10,True,False,2.827902317047119,1.339981331936466
2,0,1,1,0,5,2,True,10,True,False,3.846298933029175,1.8732357216530537
10,0,3,1,0,3,2,True,10,True,False,4.347642421722412,2.0154014395866766
12,0,3,3,0,1,2,True,10,True,False,3.9988043308258057,2.0442391494706302
6,0,1,5,0,1,2,True,10,True,False,4.037149429321289,2.0914350675419353
18,0,5,1,0,1,2,True,10,True,False,4.546270847320557,2.285226522007935
21,0,5,3,0,1,2,True,10,True,False,5.246090888977051,2.444884651205494
4,0,1,3,0,3,2,True,10,True,False,5.162439346313477,2.491496199901039
11,0,3,1,0,5,2,True,10,True,False,5.666506290435791,2.801963419211619
5,0,1,3,0,5,2,True,10,True,False,5.726513862609863,2.837730342361765
13,0,3,3,0,3,2,True,10,True,False,5.827784061431885,2.8698324282153336
19,0,5,1,0,3,2,True,10,True,False,5.963306903839111,2.924061455797957
15,0,3,5,0,1,2,True,10,True,False,6.241874694824219,3.0004801543679056
7,0,1,5,0,3,2,True,10,True,False,6.156485557556152,3.059797627623614
26,0,5,5,0,5,2,True,10,True,False,6.6325578689575195,3.2292584556862756
