,MA,dealer,foreign,high_low_diff,investment,n_lags,ratio_over_1000_shares,ratio_over_400_shares,shareholders_400_to_600,shareholders_600_to_800,shareholders_800_to_1000,use_holidays,volume,weekly_seasonality,yearly_seasonality,RMSE,MAPE
15,0,1,1,5,3,1,0,5,5,5,5,False,0,False,False,36.8333625793457,2.4508823905418273
23,0,1,1,5,3,1,5,0,5,5,5,False,0,False,False,37.034908294677734,2.4587147642132234
30,0,1,1,5,3,1,5,5,5,5,0,False,0,False,False,36.7546501159668,2.466055041981244
29,0,1,1,5,3,1,5,5,5,0,5,False,0,False,False,36.90434646606445,2.4681642376363078
27,0,1,1,5,3,1,5,5,0,5,5,False,0,False,False,37.310791015625,2.50865359831609
0,0,1,1,5,3,1,0,0,0,0,0,False,0,False,False,44.650047302246094,2.834163049107659
12,0,1,1,5,3,1,0,5,5,0,0,False,0,False,False,57.17433547973633,3.8063203560792758
10,0,1,1,5,3,1,0,5,0,5,0,False,0,False,False,64.7511978149414,4.2093895238025345
6,0,1,1,5,3,1,0,0,5,5,0,False,0,False,False,64.42822265625,4.385820926975382
9,0,1,1,5,3,1,0,5,0,0,5,False,0,False,False,69.29668426513672,4.497869338767872
3,0,1,1,5,3,1,0,0,0,5,5,False,0,False,False,73.41156768798828,4.764683075582225
18,0,1,1,5,3,1,5,0,0,5,0,False,0,False,False,71.8351058959961,4.882362063796427
5,0,1,1,5,3,1,0,0,5,0,5,False,0,False,False,73.84072875976562,4.983291966436749
20,0,1,1,5,3,1,5,0,5,0,0,False,0,False,False,73.42362213134766,5.061568062113692
24,0,1,1,5,3,1,5,5,0,0,0,False,0,False,False,75.43364715576172,5.220979716464404
17,0,1,1,5,3,1,5,0,0,0,5,False,0,False,False,86.46974182128906,5.825124598367403
4,0,1,1,5,3,1,0,0,5,0,0,False,0,False,False,86.43119812011719,5.909707532895228
8,0,1,1,5,3,1,0,5,0,0,0,False,0,False,False,90.47269439697266,6.132633536016971
2,0,1,1,5,3,1,0,0,0,5,0,False,0,False,False,97.22205352783203,6.576259406685274
14,0,1,1,5,3,1,0,5,5,5,0,False,0,False,False,98.63104248046875,6.682256648767815
1,0,1,1,5,3,1,0,0,0,0,5,False,0,False,False,103.6811294555664,7.003452380507717
28,0,1,1,5,3,1,5,5,5,0,0,False,0,False,False,101.58918762207031,7.01842975736095
16,0,1,1,5,3,1,5,0,0,0,0,False,0,False,False,101.4300308227539,7.0606184358735895
13,0,1,1,5,3,1,0,5,5,0,5,False,0,False,False,107.06031799316406,7.146641666670166
21,0,1,1,5,3,1,5,0,5,0,5,False,0,False,False,103.7302017211914,7.1466473307469816
11,0,1,1,5,3,1,0,5,0,5,5,False,0,False,False,110.54288482666016,7.201833021540679
7,0,1,1,5,3,1,0,0,5,5,5,False,0,False,False,109.75704193115234,7.259374128390937
22,0,1,1,5,3,1,5,0,5,5,0,False,0,False,False,107.88993072509766,7.362951999752414
26,0,1,1,5,3,1,5,5,0,5,0,False,0,False,False,110.84528350830078,7.576295421617557
19,0,1,1,5,3,1,5,0,0,5,5,False,0,False,False,115.16603088378906,7.855278639766242
25,0,1,1,5,3,1,5,5,0,0,5,False,0,False,False,112.29174041748047,7.861177467923297
31,0,1,1,5,3,1,5,5,5,5,5,False,0,False,False,207.2220001220703,14.124065538842306
