,n_lags,use_holidays,weekly_seasonality,yearly_seasonality,RMSE,MAPE
3,7,True,False,False,47.75175857543945,1.9441630681490851
7,7,False,False,False,48.87116241455078,1.9556653201926237
11,1,True,False,False,45.682830810546875,1.984810905493327
9,1,True,True,False,46.33110427856445,2.0315635921828714
13,1,False,True,False,47.78263854980469,2.0706596909217434
15,1,False,False,False,46.55583572387695,2.073340260573018
17,4,True,True,False,47.884559631347656,2.076816930811378
4,7,False,True,True,50.06263732910156,2.105781793676086
10,1,True,False,True,47.74485778808594,2.1239125856957806
26,8,True,False,True,50.10051727294922,2.1630416558685743
8,1,True,True,True,49.19093704223633,2.1680497952103024
16,4,True,True,True,50.508243560791016,2.1754162266603174
12,1,False,True,True,49.766517639160156,2.1839984107311134
20,4,False,True,True,51.1629753112793,2.1977814446496
28,8,False,True,True,50.782981872558594,2.238856284663413
14,1,False,False,True,52.28295135498047,2.3054725933445446
27,8,True,False,False,52.836238861083984,2.373392339215952
6,7,False,False,True,54.127044677734375,2.3789850649885382
18,4,True,False,True,55.91792678833008,2.437460895174882
31,8,False,False,False,57.249183654785156,2.568338227394208
5,7,False,True,False,60.053096771240234,2.59138679833044
29,8,False,True,False,59.60702133178711,2.6853391638948527
22,4,False,False,True,61.26066589355469,2.7108430038270206
1,7,True,True,False,64.10038757324219,2.746468056276799
24,8,True,True,True,61.01531219482422,2.753949462945651
30,8,False,False,True,63.14152908325195,2.810018486813768
23,4,False,False,False,63.08531188964844,2.8762142104857698
21,4,False,True,False,64.92192077636719,2.9001844908417587
0,7,True,True,True,68.29178619384766,3.0182897262173594
19,4,True,False,False,68.41949462890625,3.099341182523483
25,8,True,True,False,72.94678497314453,3.1143550201161165
2,7,True,False,True,84.11967468261719,3.86743128167817
