symbol,no RAG,with RAG,human rule,use summary,news RAG r15,news RAG r20,news RAG cr15,deepseek no RAG,Deepseek-chat-v3-0324
2382,2.57,2.59,2.66,2.93,2.71,2.58,2.69,2.11,1.99
3231,2.66,2.67,2.79,3.11,2.63,2.61,2.6,2.56,2.36
2330,2.39,2.37,2.42,2.56,2.17,2.35,2.18,1.92,1.79
3443,2.94,2.9,2.84,3.28,2.82,2.87,2.9,2.84,2.68
3661,3.42,3.45,3.5,3.51,3.56,3.46,3.48,3.15,3.07
3035,2.47,2.54,2.53,2.77,2.52,2.52,2.53,2.47,2.47
2345,2.57,2.67,2.64,2.94,2.76,2.77,2.84,2.44,2.5
3711,2.39,2.49,2.5,2.79,2.5,2.48,2.58,2.12,2.01
2308,2.39,2.47,2.37,2.74,2.36,2.35,2.46,2.07,1.93
2301,1.74,1.81,1.81,1.94,1.69,1.66,1.71,1.55,1.51
2385,1.72,1.84,1.82,1.91,1.86,1.85,1.86,1.72,1.73
3017,2.82,2.89,2.95,3.13,2.94,2.99,2.97,2.7,2.62
2368,2.91,2.75,2.87,3.01,2.83,2.87,2.79,2.56,2.56
3533,2.55,2.65,2.67,2.84,2.54,2.59,2.62,2.44,2.4
2376,2.22,2.52,2.33,2.93,2.4,2.5,2.41,2.03,1.97
6669,2.98,3.06,3.07,3.25,2.87,2.73,2.85,2.75,2.62
2356,2.12,2.09,2.1,2.59,2.11,2.13,2.1,1.78,1.82
2317,2.41,2.44,2.41,3.05,2.46,2.46,2.51,2.09,1.99
2454,2.42,2.39,2.4,2.75,2.42,2.51,2.45,2.11,1.96
6213,2.08,2.11,2.11,2.25,2.17,2.14,2.23,2.13,2.12
