,default,add_period,add_ar,tune_close,lag_vol_price,lag_inst,lag_share,with_future,is_lower
2301,6.02,6.02,1.46,1.38,1.38,1.41,1.41,1.4,True
2308,17.01,17.01,1.98,1.77,1.76,1.84,1.84,1.65,True
2317,44.05,44.05,2.13,1.85,1.76,1.97,1.8,1.67,True
2330,23.67,23.67,1.96,1.65,1.63,1.63,1.63,3.18,False
2345,9.85,9.85,2.19,2.17,2.11,2.1,2.09,6.42,False
2356,13.71,13.71,1.72,1.59,1.59,1.58,1.58,1.59,False
2368,29.35,29.35,2.42,2.34,2.3,2.28,2.28,2.25,True
2376,9.81,9.81,1.83,1.72,1.72,1.71,1.71,1.71,False
2382,12.14,12.14,1.85,1.85,1.85,1.8,1.75,1.68,True
2385,13.67,13.67,1.6,1.57,1.48,1.54,1.54,1.57,False
2454,8.9,8.9,2.1,1.76,1.67,1.66,1.61,1.48,True
3017,33.53,33.53,2.9,2.49,2.49,2.5,2.35,2.35,False
3035,32.35,32.35,2.41,2.17,2.17,2.16,2.16,2.17,False
3231,10.1,10.1,2.04,2.01,2.01,2.03,2.03,2.29,False
3443,8.25,8.25,2.51,2.36,2.32,2.83,2.45,2.45,False
3533,43.56,43.56,3.07,2.42,2.26,2.38,2.38,2.5,False
3661,34.48,34.48,2.62,2.62,2.59,2.58,2.51,4.05,False
3711,12.55,12.55,2.82,1.91,1.88,2.3,2.3,2.19,True
6213,21.7,21.7,2.09,1.91,1.91,2.04,2.04,2.21,False
6669,12.54,12.54,2.43,2.3,2.29,2.37,2.37,2.24,True
